Player modifiers:,玩家修正:
Main hand modifiers:,主手修正:
Off hand modifiers:,副手修正:
"Enemy modifiers:","敌人修正:"
"Enemy resistance: {0}%","敌人抗性: {0}%"
Conversions:,转换列表:
Tvalue Override (ms):,Tvalue覆盖(毫秒):
PvP Multiplier:,PVP加成:
Cannot pierce,无法穿透
Cannot fork,无法分叉
Cannot chain,无法连锁
Enemy Evasion modifiers:,敌人闪避加成:
Main Hand:,主手:
Off Hand:,副手:




Added Max:,附加 (最大):
Added Min:,附加 (最小):
Total Increased:,总提高:
Total More:,总增:
Effective DPS Mod:,等效DPS修正:
Skill Hit Damage:,技能击中伤害:
Skill Average Hit:,技能平均击中伤:
Skill PvP Average Hit:,技能PVP平均击中伤:
MH Total Increased:,总提高(主手):
MH Total More:,总增(主手):
MH Eff. DPS Mod:,等效DPS修正(主):
MH Hit Damage:,击中伤害(主):
MH Average Hit:,平均击中伤害(主):
MH PvP Average Hit:,平均PVP击中伤(主):
OH Total Increased:,总提高(副手):
OH Total More:,总增(副手)
OH Eff. DPS Mod:,等效DPS修正(副):
OH Hit Damage:,击中伤害(副):
OH Average Hit:,平均击中伤害(副):
OH PvP Average Hit:,平均PVP击中伤(副):
Average Damage:,平均伤害:
PvP Average Dmg:,PVP平均伤害:
Skill DPS:,技能 DPS:
Skill PvP DPS:,技能PVP DPS:


Exerting Warcries:,战吼发挥:


Skill Damage over Time:,技能持续伤害:
Total Multiplier:,总加成:
Damage over Time:,持续伤害:
Skill DoT DPS:,技能持续伤害DPS:


Attack/Cast Rate:,攻击/施法 速率:
MH Inc. Att. Speed:,攻速提高(主手):
MH More Att. Speed:,攻速总增(主手):
MH Att. per second:,每秒攻击(主手):
OH Inc. Att. Speed:,攻速提高(副手):
OH More Att. Speed:,攻速总增(副手):
OH Att. per second:,每秒攻击(副手):
Attacks per second:,每秒攻击:
Attack time:,攻击用时:
Inc. Cast Speed:,施法速度提高:
More Cast Speed:,施法速度总增:
Casts per second:,每秒施法:
Trigger Rate Cap:,触发速率上限:
Skill Trigger Rate:,技能触发速率:
Adj. Trigger Rate:,校正触发速率:
Eff. Trigger Rate:,等效触发速率:
Cast time:,施法用时:


Crits:,暴击:
Inc. Crit Chance:,暴击几率提高:
Crit Chance:,暴击率:
Crit Multiplier:,暴击伤害加成:
Crit Effect Mod:,等效暴伤修正:
MH Inc. Crit Chance:,暴击率提高(主手):
MH Crit Chance:,暴击率(主手):
MH Crit Multiplier:,暴伤加成(主手):
MH Crit Effect Mod:,等效暴伤修正(主):
OH Inc. Crit Chance:,暴击率提高(副手):
OH Crit Chance:,暴击率(副手):
OH Crit Multiplier:,暴伤加成(副手):
OH Crit Effect Mod:,等效暴伤修正(副):


Impale:,穿刺:
Max Impale Stacks:,最大穿刺迭层:
Stacks on Enemy:,对敌人迭层:
Impale Chance:,穿刺几率:
Stored Damage:,存储伤害:
Damage Mod.:,伤害修正:
MH Impale Chance:,穿刺几率(主手):
MH Stored Damage:,存储伤害(主手):
MH DMG Mod.:,伤害修正(主手):
OH Impale Chance:,穿刺几率(副手):
