Resistance penalty:,抗性惩罚:
Act {0}{1}%),第{0}章{1}%)
Bandit quest:,盗贼任务:
Major God:,主神:
Kill all,全杀
Grants 2 Passive Skill Points,给予2天赋点
Help Oak,帮助欧克
Help Kraityn,帮助克雷顿
Help Alira,帮助阿莉亚
The Pantheon:,万神殿:
Nothing,没有
Soul of the Brine King,惊海之王 索亚格斯之魂
Soul of Lunaris,月影女神之魂
Soul of Solaris,日耀女神之魂
Soul of Arakaali,暗影女皇 阿拉卡力之魂
Minor God:,次神:
Soul of Gruthkul,绝望之母 格鲁丝克之魂
Soul of Yugul,恐惧之源 尤格尔之魂
Soul of Abberath,割裂者 艾贝拉斯之魂
Soul of Tukohama,战争之父 图克哈玛之魂
Soul of Garukhan,风暴女神 格鲁坎之魂
Soul of Ralakesh,万面之主 拉克斯之魂
Soul of Ryslatha,傀儡女王 瑞斯拉萨之魂
Soul of Shakari,沙之女神 沙卡丽之魂
Enemy Corpse Life:,敌人灵柩^xE05030生命:
Sets the maximum life of the target corpse for Detonate Dead and similar skills.,^xFFFFFF设置【爆灵术】等类似的技能的灵柩最大^xE05030生命^7
"For reference, a level 70 monster has 6937 base life, and a level 80 monster has 12787.","^xFFFFFF參考: 70 级怪物^xE05030生命^7为6937, 80级怪物^xE05030生命^7为12787。"
Time spent stationary,静止时长
Applies mods that use `while stationary` and `per/every second while stationary`,启用'当你静止'、'静止时每秒'之类的修正
Are you always moving?,是否处于移动状态?
Are you insane?,是否处于疯狂状态?
Are you always on Full Life?,^xFFFFFF是否处于满^xE05030血^7状态?
"You will automatically be considered to be on Full Life if you have Chaos Inoculation,","^xFFFFFF如果你有【异灵之体】将一直被视为满^xE05030血^7状态,"
"but you can use this option to force it if necessary.","如有必要可用此选项强制应用."
Are you always on Low Life?,^xFFFFFF是否处于低^xE05030血^7状态?
"You will automatically be considered to be on Low Life if you have at least 50% life reserved,","^xFFFFFF如果你至少有 50% ^xE05030生命^7保留将一直被视为低^xE05030血^7状态,"
Are you always on Full Mana?,^xFFFFFF是否处于满^x7070FF魔^7状态?
Are you always on Low Mana?,^xFFFFFF是否处于低^x7070FF魔^7状态?
"You will automatically be considered to be on Low Mana if you have at least 50% life reserved,","^xFFFFFF如果你至少有 50% ^x7070FF魔力^7保留将一直被视为^x7070FF低魔^7状态,"
"Are you always on Full Energy Shield?","^xFFFFFF是否处于满^x88FFFF盾^7状态?"
"Are you always on Low Energy Shield?","^xFFFFFF是否处于低^x88FFFF盾^7状态?"
"You will automatically be considered to be on Low Energy Shield if you have at least 50% ES reserved,","^xFFFFFF如果你至少有 50% ^x88FFFF能量护盾^7保留将一直被视为低^x88FFFF盾^7状态,"
Do you always have Energy Shield?,^xFFFFFF是否一直有^x88FFFF能量护盾^7?
"Are your minions always on Full Life?","你的召唤物是否处于满血状态?"
"Have your Minions been created Recently?","你的召唤物是否是近期内创造的?"
"Ailment calculation mode:","异常状态计算模式:"
Average,平均
Average:,平均:
Crits Only,仅暴击
Crits Only:,仅暴击:
Minimum,最小值
Minimum:,最小值:
Maximum,最大值
"Controls how the base damage for applying Ailments is calculated:","控制如何计算异常状态的基础伤害:"
"damage is based on the average application, including both crits and non-crits","伤害计算基于平均应用，包括了暴击与非暴击"
"damage is based solely on Ailments inflicted with crits","伤害计算只基于暴击产生的异常状态"
Random element mode:,随机元素模式:
Controls how modifiers which choose a random element will function.,控制选择随机元素的修正的运作。
Life regen calculation mode:,^xE05030生命^7回复计算模式:
Controls how life regeneration is calculated:,^xFFFFFF控制如何计算^xE05030生命^7回复:
does not include burst regen,不计算瞬时回复
"includes burst regen, averaged based on uptime",包括瞬时回复，基于生效时间进行平均计算
includes full burst regen,包括完整的瞬时回复
EHP calc unlucky:,等效生命值计算时不幸:
Sets the EHP calc to pretend its unlucky and reduce the effects of random events,对等效生命值计算进行设置以假装它是不幸的并减少随机事件的效果
Unlucky,不幸
Very Unlucky,非常不幸
Disable EHP gain on block:,禁用格挡时回复的等效生命值:
Sets the EHP calc to not apply gain on block effects,对等效生命值计算进行设置以禁用格挡时回复效果
Armour calculation mode:,护甲计算模式:
"Controls how Defending with Double Armour is calculated:","控制如何计算使用双倍护甲防御:"
never Defend with Double Armour,从不使用双倍护甲进行防御
Damage Reduction from Defending with Double Armour is proportional to chance,双倍护甲防御的伤害减免与几率成正比
always Defend with Double Armour,总使用双倍护甲进行防御
This setting has no effect if you have 100% chance to Defend with Double Armour.,此设置在你有100%几率使用双倍护甲进行防御时无效。
Warcry calculation mode:,战吼计算模式:
"Max Hit","最大击中"
"Controls how exerted attacks from Warcries are calculated:","控制如何计算战吼后的增助攻击:"
"Averages out Warcry usage with cast time, attack speed and warcry cooldown.","用施法时间，攻击速度和战吼冷却时间计算平均战吼使用率。"
"Max Hit: Shows maximum hit for lining up all warcries.","最大击中:显示排列所有战吼的最大击中伤害。"
"Disable Emperor's Vigilance Bypass","禁用【皇帝的警戒】的规避效果"

"Crit Damage",暴击伤害
"Aspect of the Avian:",【鸟之势】:
"Is Avian's Might active?",【鸟之力量】激活状态?
"Is Avian's Flight active?",【鸟之斗魄】激活状态?
