"Abyssal Cry",深渊战吼
"Word of Blades",刀锋之誓
"Edict of Blades",刀锋之律
"Decree of Blades",刀锋之令
"Commandment of Blades",刀锋之诫
"Word of Flames",烈火之誓
"Edict of Flames",烈火之律
"Decree of Flames",烈火之令
"Commandment of Flames",烈火之诫
"Word of Force",原力之誓
"Edict of Force",原力之律
"Decree of Force",原力之令
"Commandment of Force",原力之诫
"Word of Frost",寒冰之誓
"Edict of Frost",寒冰之律
"Decree of Frost",寒冰之令
"Commandment of Frost",寒冰之诫
"Word of Fury",狂怒之誓
"Edict of Fury",狂怒之律
"Decree of Fury",狂怒之令
"Commandment of Fury",狂怒之诫
"Word of Inferno",炼狱之誓
"Edict of Inferno",炼狱之律
"Decree of Inferno",炼狱之令
"Commandment of Inferno",炼狱之诫
"Word of Ire",雷霆之誓
"Edict of Ire",雷霆之律
"Decree of Ire",雷霆之令
"Commandment of Ire",雷霆之诫
"Word of Light",光之誓
"Edict of Light",光之律
"Decree of Light",光之令
"Commandment of Light",光之诫
"Word of Reflection",倒影之誓
"Edict of Reflection",倒影之律
"Decree of Reflection",倒影之令
"Commandment of Reflection",倒影之诫
"Word of Spite",怨恨之誓
"Edict of Spite",怨恨之律
"Decree of Spite",怨恨之令
"Commandment of Spite",怨恨之诫
"Word of the Tempest",风暴之誓
"Edict of the Tempest",风暴之律
"Decree of the Tempest",风暴之令
"Commandment of the Tempest",风暴之诫
"Word of the Grave",冰墓之誓
"Edict of the Grave",冰墓之律
"Decree of the Grave",冰墓之令
"Commandment of the Grave",冰墓之诫
"Word of Thunder",雷电之誓
"Edict of Thunder",雷电之律
"Decree of Thunder",雷电之令
"Commandment of Thunder",雷电之诫
"Word of War",战争之誓
"Edict of War",战争之律
"Decree of War",战争之令
"Commandment of War",战争之诫
"Word of Winter",冬之誓
"Edict of Winter",冬之律
"Decree of Winter",冬之令
"Default Attack",普通攻击
Mortar,迫击炮
"Abberath's Fury",重复冲击波
"Aspect of the Avian",鸟之势
"Aspect of the Cat",猫之势
"Aspect of the Crab",蟹之势
"Aspect of the Spider",蛛之势
"Bone Nova",裂骨新星
"Cold Aegis",凝冰守护
Consecrate,奉献
"Create Lesser Shrine",创造低等神龛
"Death Walk",泯灭之舞
"Doryani's Touch",多里亚尼之触
"Elemental Aegis",元素守护
"Elemental Warding",元素守卫
"Fire Aegis",烈焰守护
"Fire Burst",火焰爆破
Icestorm,冰风暴
"Icicle Burst",爆环冰刺
"Illusory Warp",幻象传送
"Lightning Aegis",闪电护盾
"Lightning Bolt",雷霆万钧
"Manifest Dancing Dervish",幻化之刃德尔维希
"Molten Burst"," 熔岩爆破"
"Raise Spiders",召唤毒蛛
"Shade Form",暗影姿态
"Shock Ground",感电地面
"Spirit Burst",精神冲击
"Storm Cascade",风暴突袭
"Summon Bestial Rhoa",召唤兽化恐喙鸟
"Summon Bestial Snake",召唤兽化巨蛇
"Summon Bestial Ursa",召唤兽化之爪
"Spectral Spirits","幽鬼之灵 "
"Summon Harbinger of the Arcane",召唤秘法先驱者
"Summon Harbinger of Brutality",召唤残暴先驱者
"Summon Harbinger of Directions",召唤射术先驱者
"Summon Harbinger of Focus",召唤不屈先驱者
"Summon Harbinger of Storms",召唤冰雷先驱者
"Summon Harbinger of Time",召唤时空先驱者
"Summon Spectral Wolf",召唤幽狼
"Tentacle Whip",藤蔓抽击
"Bone Mortar",骇骨炮塔
Plague,疫源
"Rune Blast",爆裂符纹
"Feast of Flesh",血肉盛宴
"Call of Steel",钢铁呼唤
Combust,燃尽
Brandsurge,烙印喷涌
"Embrace Madness",疯狂之拥
"Fog of War",战争迷雾
"Stalking Pustule",尾随之疮
"Tawhoa's Chosen",塔赫亚神选
"Physical Aegis",物理护盾
"Corpse Walk",灵柩行走
"Death Wish",死亡之愿
"Animate Guardian's Weapon",幻化守卫武器
Reflection,反射
"Unseen Strike",隐形打击
"Summon Greater Harbinger of the Arcane",召唤高等秘法先驱者
"Summon Greater Harbinger of Brutality",召唤高等残暴先驱者
"Summon Greater Harbinger of Directions",召唤高等射术先驱者
"Summon Greater Harbinger of Focus",召唤高等不屈先驱者
"Summon Greater Harbinger of Storms",召唤高等冰雷先驱者
"Summon Greater Harbinger of Time",召唤高等时空先驱者
"Summon Taunting Contraption",召唤嘲讽装置
"Shield Shatter",破盾击
"Void Gaze",虚空凝视
"Signal Prey",掠食信标
"Doom Blast",末日爆炸
"Void Shot",虚空射击
"Arcane Wake",秘术苏醒
"Atlas Riftwalk",异界迷踪
"Barrel Explosion",火力爆裂
"Bleed Nova",流血冰霜
"Commandment of Winter",冬之诫
"Consume Bones",吞噬骇骨
Contaminate,玷污
"Curse Consume",诅咒强化
"Curse Transfer",诅咒转移
"Damage On Movement Skill Use Aura",使用位移技能时受到伤害光环
"Darktongue's Kiss",暗语之吻
"Doom Arrow",厄运箭矢
"Empowering Howl",增强怒嚎
"Face Last Target",面对最后目标
"Fiery Impact",火烈冲击
"FigureHead Incinerate",头像燃尽
"Fire Elemental Cone",火元素炎锥
"Fire Nova Mine",火焰新星地雷
"Fire Projectile Retaliation",火焰反击投射
"Flame Breath",火焰之息
"Flask Charge Nova",药剂充能冰霜
"Flicker Thrust",闪光突刺
Focus,专注
"Freeze Mine",冰冻地雷
"Frost Bolt Channel",持续施放寒冰弹
"Glimpse of Eternity",永恒窥视
"Goddess Beam",女神光束
"Goddess Warp",女神传送
"Gore Shockwave",涂炭震波
"Ice Elemental Spear",冰元素尖矛
Ignite,点燃
"Inca Boss Freezing Pulse",印加头目急冻波
"Increased Damage Taken Aura",增加受到伤害光环
"Izaro Warp",伊泽洛传送
Kill,击败
"Lightning Clone Retaliation",闪电反击复制之体
"Petrification Statue",召唤石化雕像
"Physical Degeneration Aura",持续物理伤害光环
"Physical Projectile Retaliation",物理反击投射
"Piety Beam",派蒂光束
"Piety Reverse Cleave",派蒂反向劈砍
"Primal Aegis",原能护盾
"Rain Of Blades",刀雨
"Range Finder",距离探测
"Rending Steel (NOT CURRENTLY USED)",裂肉铁刃（非当前使用）
"Slow Aura",缓速光环
"Storm Cloud Lightning Warp",暴雨云闪电传送
"Summon Doedre's Effigy",召唤德瑞的雕像
"Talisman Degen",魔符诅咒
"Talisman Summon Lightning Spiral",魔符召唤电涡
Taunt,嘲讽
"Thirst for Blood",鲜血渴求
Throw,投掷
"Throw Dynamite",投掷炸药
"Throw Flare",投掷照明弹
"Touch Of God",天谴之拳
Unhinge,精神失常
Unnamed2,未命名
"Vaal Fire Trap",瓦尔.火焰陷阱
"Vaal Vitality",瓦尔.活力
"Vinktar Lightning Bond",闪电链结
"Volatile Anomaly",异动奇点
"Whirling Leap",回旋跃击
"Blood Sacrament",赤色誓言
"Flames of Judgement",审判烈焰
"Queen's Demand",女王敕令
"Storm of Judgement",审判风暴
"Summon Arbalists",召唤劲弩
Twister,混沌之风
Absolution,赦罪
"Alchemist's Mark",炼金师印记
Ambush,伏击
"Ancestral Blademaster",先祖大剑师
"Ancestral Cry",先祖战吼
"Ancestral Protector",先祖卫士
"Ancestral Warchief",先祖战士长
Anger,愤怒
"Animate Guardian",幻化守卫
"Animate Weapon",幻化武器
"Approaching Flames",烈焰之触
Arc,电弧
"Arcane Cloak",奥术斗篷
"Arcanist Brand",奥法烙印
"Arctic Armour",极地装甲
"Armageddon Brand",末日烙印
"Artillery Ballista",火力弩炮
"Assassin's Mark",暗影印记
Backstab,背刺
"Ball Lightning",天雷之珠
Bane,混沌之毒
Barrage,弹幕
"Battlemage's Cry",魔武战号
"Bear Trap",捕熊陷阱
Berserk,盛怒
"Blade Blast",乱剑穿心
"Blade Flurry",刀刃乱舞
"Blade Trap",剑刃陷阱
"Blade Vortex",飞刃风暴
Bladefall,虚空刀雨
Bladestorm,剑刃风暴
"Blast Rain",爆裂箭雨
"Blazing Salvo",怒炎穿心
Blight,枯萎
"Blinding Aura",失明光环
"Blink Arrow",闪现射击
"Blood and Sand",血与沙
"Blood Offering",血脉奉献
"Blood Rage",狂野怒火
Bodyswap,灵体转换
"Bone Armour",骨制战甲
"Bone Offering",骸骨奉献
Boneshatter,七伤破
"Brand Recall",烙印召回
"Burning Arrow",燃烧箭矢
"Capture Monster",捕获魔物
"Caustic Arrow",腐蚀箭矢
"Chain Hook",钩链攻击
"Charged Dash",蓄力疾风闪
Clarity,清晰
Cleave,劈砍
"Cobra Lash",毒蛇鞭击
"Cold Snap",霜暴
Conductivity,导电
"Consecrated Path",奉献之路
Contagion,瘟疫
"Conversion Trap",迷魅陷阱
Convocation,号召
"Corrupting Fever",腐灼热瘟
"Crackling Lance",电殛长枪
"Creeping Frost",电光寒霜
Cremation,火葬
Cyclone,旋风斩
"Damage Infusion",伤害灌注
"Dark Pact",暗夜血契
Dash,冲刺
"Death Aura",死神光环
"Decoy Totem",诱饵图腾
"Defiance Banner",抗争之旗
Desecrate,亵渎
Despair,绝望
"Destructive Link",毁灭羁绊
Determination,瓦尔.坚定
"Detonate Dead",爆灵术
"Detonate Mines",引爆地雷
"Devouring Totem",吞噬图腾
"Direct Ants",引导蚁群
Discharge,解放
Discipline,纪律
"Divine Ire",圣怨
"Dominating Blow",霸气之击
"Double Strike",双重打击
"Dread Banner",恐怖之旗
"Dual Strike",双持打击
Earthquake,震地
Earthshatter,尖刺战吼
"Elemental Hit",元素打击
"Elemental Projectiles",元素投射
"Elemental Weakness",元素要害
"Enduring Cry",坚决战吼
"Energy Blade",能量之刃
Enfeeble,衰弱
"Ensnaring Arrow",诱捕之箭
Envy,嫉妒
"Essence Drain",灵魂吸取
"Ethereal Knives",虚空匕首
"Explosive Arrow",爆炸箭矢
"Explosive Concoction",爆破灵药
"Explosive Trap",爆炸陷阱
Exsanguinate,赤炼魔光
"Eye of Winter",凛冬之眼
"Fire Trap",火焰陷阱
"Fire Weapon",烈焰武器
Fireball,火球
Firestorm,烈炎风暴
"Flame Dash",烈焰冲刺
"Flame Link",烈炎羁绊
"Flame Surge",怒焰奔腾
"Flame Wall",烈焰之墙
Flameblast,烈焰爆破
"Flamethrower Trap",掷火陷阱
Flammability,易燃
"Flammable Shot",诱燃射击
"Flesh and Stone",血肉与岩石
"Flesh Offering",血肉奉献
"Flicker Strike",闪现打击
"Forbidden Rite",禁断典仪
"Freezing Pulse",冰霜脉冲
Frenzy,狂怒
"Frost Blades",冰霜之刃
"Frost Bomb",寒霜爆
"Frost Shield",冰霜护盾
"Frost Wall",冰墙
Frostbite,冻伤
Frostblink,冰霜闪现
Frostbolt,寒冰弹
"Frozen Legion",冰封军团
"Frozen Sweep",冰封横扫
"Galvanic Arrow",电光箭
"Galvanic Field",电流场
"General's Cry",将军之吼
"Glacial Cascade",冰川之刺
"Glacial Hammer",冰霜之锤
"Gluttony of Elements",元素之愈
Grace,优雅
"Ground Slam",裂地之击
Haste,迅捷
Hatred,憎恨
"Heavy Strike",重击
"Herald of Agony",苦痛之捷
"Herald of Ash",灰烬之捷
"Herald of Blood",鲜血之捷
"Herald of Ice",寒冰之捷
"Herald of Purity",纯净之捷
"Herald of Thunder",闪电之捷
Hexblast,魔蛊爆炸
"Holy Flame Totem",圣焰图腾
Hydrosphere,水源法球
"Ice Crash",寒冰冲击
"Ice Nova",冰霜新星
"Ice Shot",冰霜射击
"Ice Spear",冰矛
"Ice Trap",冰冻陷阱
Icefire,霜火
"Icicle Mine",冰锥地雷
"Immortal Call",不朽怒嚎
Incinerate,烧毁
"Infernal Blow",炼狱之击
"Infernal Cry",炼狱战吼
"Infernal Sweep",炼狱裂击
"Intimidating Cry",威吓战吼
"Intuitive Link",直觉羁绊
"Kinetic Blast",力量爆破
"Kinetic Bolt",念动飞箭
Lacerate,破空斩
"Lancing Steel",断金之刃
"Leap Slam",跃击
"Lightning Arrow",闪电箭矢
"Lightning Conduit",闪电通道
"Lightning Spire Trap",电塔陷阱
"Lightning Strike",闪电打击
"Lightning Tendrils",电能释放
