"Blue Pearl Amulet",碧珠护身符
"Marble Amulet",大理石护身符
"Jet Amulet",杰特护身符
"Paua Amulet",海灵护身符
"Citrine Amulet",黄晶护身符
"Ruby Amulet",血色护身符
"Coral Amulet",珊瑚护身符
"Amber Amulet",琥珀护身符
"Jade Amulet",翠玉护身符
"Lapis Amulet",海玉护身符
"Gold Amulet",帝金护身符
"Onyx Amulet",黑曜护身符
"Turquoise Amulet",青玉护身符
"Agate Amulet",玛瑙护身符
"Black Maw Talisman",黑牙魔符
"Mandible Talisman",巨颚魔符
"Chrysalis Talisman",虫蛹魔符
"Writhing Talisman",狂癫魔符
"Bonespire Talisman",脊骨魔符
"Ashscale Talisman",灰烬魔符
"Lone Antler Talisman",孤角魔符
"Deep One Talisman",深渊魔符
"Breakrib Talisman",碎骨魔符
"Deadhand Talisman",亡手魔符
"Undying Flesh Talisman",不朽魔符
"Rot Head Talisman",腐首魔符
"Hexclaw Talisman",幻爪魔符
"Primal Skull Talisman",皇骨魔符
"Wereclaw Talisman",亡爪魔符
"Splitnewt Talisman",断螈魔符
"Clutching Talisman",咒箍魔符
"Avian Twins Talisman",双子魔符
"Fangjaw Talisman",齿鲨魔符
"Horned Talisman",尖角魔符
"Spinefuse Talisman",潜能魔符
"Three Rat Talisman",三鼠魔符
"Monkey Twins Talisman",双猴魔符
"Longtooth Talisman",长牙魔符
"Rotfeather Talisman",死羽魔符
"Monkey Paw Talisman",猴掌魔符
"Three Hands Talisman",三手魔符
"Greatwolf Talisman",狼王魔符
"Rustic Sash",素布腰带
"Chain Belt",扣链腰带
"Leather Belt",皮革腰带
"Heavy Belt",重革腰带
"Cloth Belt",饰布腰带
"Studded Belt",扣钉腰带
"Stygian Vise",深渊腰带
"Vanguard Belt",先锋腰带
"Crystal Belt",水晶腰带
"Golden Obi",金羽腰带
"Breach Ring",裂隙戒指
"Iron Ring",锻铁戒指
"Amethyst Ring",紫晶戒指
"Diamond Ring",晶钻戒指
"Two-Stone Ring",双玉戒指
"Unset Ring",潜能之戒
"Coral Ring",珊瑚戒指
"Paua Ring",海灵戒指
"Gold Ring",金光戒指
"Topaz Ring",黄玉戒指
"Sapphire Ring",蓝玉戒指
"Ruby Ring",红玉戒指
"Prismatic Ring",三相戒指
"Moonstone Ring",月光石戒指
"Steel Ring",合金戒指
"Opal Ring",蛋白石戒指
"Vermillion Ring",朱砂之戒
"Cerulean Ring",天蓝之戒
"Golden Hoop",金环
"Astrolabe Amulet",星盘项链
"Simplex Amulet",朴实项链
"Cogwork Ring",齿轮戒指
"Geodesic Ring",地线戒指
"Jet Ring",杰特戒指
"Micro-Distillery Belt",低酿腰带
"Mechalarm Belt",警戒腰带
"Thief's Trinket",赏金猎人饰品
"Seaglass Amulet",海晶护符
"Iolite Ring",青石戒指
"Unset Amulet",潜能项链
"Bone Ring",骨环
"Dusk Ring",戒指：暮色
"Penumbra Ring",戒指：半影
"Gloam Ring",戒指：薄暮
"Tenebrous Ring",戒指：暗黑
"Shadowed Ring",戒指：暗影
Ring,戒指
"Atziri's Foible",阿兹里圣徽
Sidhebreath,魔灵之符
Sidhebite,仙灵之印
"Zerphi's Heart",泽佛伊之心
"Sacrificial Heart",祭祀之心
"Replica Atziri's Foible",阿兹里圣徽【仿品】
"DrTestapus' Charm",特塔普斯的幸运符
"Araku Tiki",隐灵之符
"Ngamahu Tiki",努葛玛呼之像
"The Primordial Chain",原始锁链
Tavukai,圣令
"The Anvil",信念之砧
"Blood of Corruption",堕落之血
"The Rathorn",咒荆
"Xoph's Heart",索伏之心
"Xoph's Blood",索伏之血
"Karui Ward",卡鲁的战徽
"Rashkaldor's Patience",拉什卡德的耐心
"Karui Charge",卡鲁充能
"The Halcyon",太平
"The Pandemonius",群魔殿
"Hyrri's Truth",西里的真相
Willowgift,柳树之赐
"Replica Karui Ward",卡鲁的战徽【仿品】
"Replica Hyrri's Truth",西里的真相【仿品】
"Marylene's Fallacy",玛莉琳的护体之符
"Stone of Lazhwar",拉兹瓦的灵石
"Tear of Purity",纯净之泪
"Voice of the Storm",暴风之言
"Choir of the Storm",暴风之语
"The Ephemeral Bond",短暂羁绊
"Doedre's Tongue",德瑞之舌
"Demigod's Presence",升华之印
"The Ignomon",烈阳徽记
Winterheart,冬之心
"Frost Unbroken",不灭冰晶
"The Ascetic",苦行
"Bisco's Collar",比斯克的项圈
"The Effigon",耀阳徽记
"Perquil's Toe",珀奎尔之趾
"Replica Winterheart",冬之心【仿品】
Astramentis,均衡之符
"Carnage Heart",屠戮之心
"Eye of Chayula",寻宝者的心眼
"Hinekora's Sight",辛格拉的凝视
"The Learning Stone",学习之石
Duskwing,暗翼
"Presence of Chayula",夏乌拉之印
"Yoke of Suffering",苦难羁绊
Impresence,隐逝
"Aul's Uprising",奥尔之兴
"Malachai's Brilliance",玛拉凯的卓越
"Solstice Vigil",至日不眠
"Leadership's Price",领袖的代价
Stranglegasp,绞杀之息
"Crystallised Omniscience",结晶全知
"Ashes of the Stars",群星之灰
"The Eternal Struggle",永恒之战
"Victario's Acuity",维多里奥的捷思
"Ungil's Harmony",恩吉尔的和谐
"Warped Timepiece",时空扭曲
"Maligaro's Cruelty",马雷格罗的残酷
"Badge of the Brotherhood",兄弟会徽章
"Fury Valve",愤怒之阀
"Voll's Devotion",福尔的忠诚之符
"Shaper's Seed",塑界者之籽
"The Aylardex",埃拉黛丝
"Extractor Mentis",心灵抽取
"Eternal Damnation",永恒诅咒
"Daresso's Salute",德瑞索的战礼
"Eye of Innocence",无罪之眼
"The Jinxed Juju",厄运护符
"The Felbog Fang",费伯之牙
"Retaliation Charm",复仇的魅力
"Star of Wraeclast",瓦尔克拉斯之星
"Uul-Netol's Vow",乌尔尼多之誓
"Talisman of the Victor",胜者护符
Gloomfang,昏暗之牙
Bloodgrip,鲜血支配
"Night's Hold",夜守
"Rigwald's Curse",瑞佛诅咒
Blightwell,枯井
"Natural Hierarchy",自然组织
"Eyes of the Greatwolf",巨狼之眼
"Demigod's Eye",升华之眼
Blackheart,幽暗之语
"Le Heup of All",英灵宝环
Voidheart,虚空心灵
"The Warden's Brand",守卫之铭
"Circle of Guilt",罪恶之环
"Icefang Orbit",冰牙指环
Venopuncture,静脉穿刺
"Kaom's Sign",冈姆的远见
"Sibyl's Lament",希比尔之叹
"Kaom's Way",冈姆之路
Winterweave,冬日之织
"Doedre's Damning",德瑞的魔具
"Perandus Signet",普兰德斯之记
Praxis,普拉克斯
"Replica Doedre's Damning",德瑞的魔具【仿品】
"Fated End",命中注定
Andvarius,贪欲之记
"Ventor's Gamble",赌神芬多
"The Highwayman",绿林豪侠
Kikazaru,基加萨鲁
"Valako's Sign",瓦拉库之印
"Putembo's Valley",普藤博的山谷
"Putembo's Mountain",普藤博的高山
"Putembo's Meadow",普藤博的草原
"Precursor's Emblem",先驱的纹章
"Circle of Regret",悔恨之环
"Astral Projector",星界投影
"Ungils's Coil",恩吉尔的指环
"Storm Secret",风暴之秘
Nimis,尼米斯
"Dream Fragments",梦语之痕
Pyre,燃焰
"Tasalio's Sign",塔萨里奥之印
Snakepit,蛇穴
"Uzaza's Meadow",乌扎萨的草原
"Uzaza's Mountain",乌扎萨的高山
"Uzaza's Valley",乌扎萨的山谷
"Circle of Fear",恐惧之环
"Replica Tasalio's Sign",塔萨里奥之印【仿品】
"Call of the Void",虚空召唤
"Mokou's Embrace",莫考之拥
"Ngamahu's Sign",努葛玛呼之印
Emberwake,余烬之痕
"Ahkeli's Mountain",阿克莱的高山
"Ahkeli's Meadow",阿克莱的草原
"Ahkeli's Valley",阿克莱的山谷
"Circle of Anguish",苦痛之环
"Warrior's Legacy",战士的遗产
"Replica Emberwake",余烬之痕【仿品】
"Lori's Lantern",罗里的幸运之灯
"The Taming",元素之章
"Thief's Torment",窃罪
"Shavronne's Revelation",薛朗的启示之环
Timeclasp,时光之握
"Heartbound Loop",结魂之环
"Mana Sponge",吸魔海绵
Valyrium,女武神
Timetwist,时空扭曲
Anathema,咒逐
"Death Rush",亡者呼唤
"Ming's Heart",明恩的慧心
"Circle of Nostalgia",乡愁之环
Blackflame,黑焰
"Original Sin",原初之罪
"Gifts from Above",神赐
"Romira's Banquet",罗米拉的潜力之环
