"Golden Mantle",黄金战甲
"Shabby Jerkin",破旧外套
"Glorious Leather",荣耀皮甲
"Coronal Leather",光耀皮甲
"Cutthroat's Garb",死神之装
"Sharkskin Tunic",鲨皮之衣
"Destiny Leather",命运皮甲
"Exquisite Leather",精制皮甲
"Zodiac Leather",星辰皮甲
"Assassin's Garb",暗影之装
"Strapped Leather",扣环皮甲
"Buckskin Tunic",鹿皮外套
"Wild Leather",狂野部族皮甲
"Full Leather",连身皮甲
"Sun Leather",日光皮甲
"Thief's Garb",窃贼之装
"Eelskin Tunic",鳗皮之衣
"Frontier Leather",边戍皮甲
"Padded Vest",薄衬衣
"Crimson Raiment",绯红之衣
"Lacquered Garb",漆彩束衣
"Crypt Armour",地穴战甲
"Sentinel Jacket",哨兵之衣
"Varnished Coat",映彩外套
"Blood Raiment",血色之衣
"Sadist Garb",狂虐者束衣
"Carnal Armour",禁礼之甲
"Oiled Vest",防水背心
"Padded Jacket",长袖棉袄
"Oiled Coat",防水外衣
"Scarlet Raiment",炽红之衣
"Waxed Garb",蜡封束衣
"Bone Armour",骨制战甲
"Quilted Jacket",菱纹外衣
"Sleek Coat",滑布外套
"Simple Robe",简易之袍
"Conjurer's Vestment",咒者长衣
"Spidersilk Robe",蛛丝之袍
"Destroyer Regalia",灭世法衣
"Savant's Robe",智者之袍
"Necromancer Silks",操灵者背心
"Occultist's Vestment",秘术长衣
"Widowsilk Robe",毒蛛丝之袍
"Vaal Regalia",瓦尔法衣
"Silken Vest",绸缎背心
"Scholar's Robe",学者之袍
"Silken Garb",丝绸之衣
"Mage's Vestment",博学长衣
"Silk Robe",丝质之袍
"Cabalist Regalia",秘术法衣
"Sage's Robe",贤者之袍
"Silken Wrap",丝绒背心
"Plate Vest",铁制背心
"Sun Plate",日光之铠
"Colosseum Plate",决斗之铠
"Majestic Plate",庄严之铠
"Golden Plate",金耀之铠
"Crusader Plate",征战重铠
"Astral Plate",星芒战铠
"Gladiator Plate",角斗重铠
"Glorious Plate",荣耀战铠
Chestplate,胸甲
"Copper Plate",铜锻板甲
"War Plate",战争之铠
"Full Plate",连身铠甲
"Arena Plate",斗者之铠
"Lordly Plate",领主护铠
"Bronze Plate",青铜铠甲
"Battle Plate",战铠
"Scale Vest",细鳞背心
"Full Wyrmscale",连身龙鳞战甲
"Commander's Brigandine",指挥者锁甲
"Battle Lamellar",争战鳞甲
"Dragonscale Doublet",龙鳞护甲
"Desert Brigandine",荒野锁铠
"Full Dragonscale",连身龙鳞铠
"General's Brigandine",将军铠甲
"Triumphant Lamellar",胜利盔甲
"Light Brigandine",轻锁甲
"Scale Doublet",合身鳞甲
"Infantry Brigandine",步兵锁甲
"Full Scale Armour",连身鳞甲
"Soldier's Brigandine",战士锁甲
"Field Lamellar",野战薄甲
"Wyrmscale Doublet",龙鳞战甲
"Hussar Brigandine",轻骑锁甲
"Sacrificial Garb",祭礼束衣
"Chainmail Vest",锁链背心
"Ornate Ringmail",华丽环甲
"Chain Hauberk",锁子长甲
"Devout Chainmail",虔诚链甲
"Loricated Ringmail",覆体环甲
"Conquest Chainmail",征战锁甲
"Elegant Ringmail",权贵环甲
"Saint's Hauberk",圣者链甲
"Saintly Chainmail",圣洁锁甲
"Chainmail Tunic",链甲外衣
"Ringmail Coat",环甲外套
"Chainmail Doublet",护体锁甲
"Full Ringmail",连身环甲
"Full Chainmail",连身锁甲
"Holy Chainmail",圣语锁甲
"Latticed Ringmail",精制环甲
"Crusader Chainmail",圣战锁甲
"Two-Toned Boots","异色鞋 (火闪)"
"Golden Caligae",黄金缠鞋
"Rawhide Boots",生皮短靴
"Goathide Boots",羊皮短靴
"Deerskin Boots",鹿皮短靴
"Nubuck Boots",砂影短靴
"Eelskin Boots",鳗皮短靴
"Sharkskin Boots",鲨皮短靴
"Shagreen Boots",粗革短靴
"Stealth Boots",匿踪短靴
"Slink Boots",迷踪短靴
"Wrapped Boots",裹趾凉鞋
"Strapped Boots",扣环短靴
"Clasped Boots",环带长靴
"Shackled Boots",缚足长靴
"Trapper Boots",猎人之靴
"Ambush Boots",伏击之靴
"Carnal Boots",禁礼之靴
"Assassin's Boots",暗影之靴
"Murder Boots",暗影者长靴
"Wool Shoes",羊毛之鞋
"Velvet Slippers",丝绒便鞋
"Silk Slippers",丝绸便鞋
"Scholar Boots",学者长靴
"Satin Slippers",缎布便鞋
"Samite Slippers",绣布便鞋
"Conjurer Boots",咒者长靴
"Arcanist Slippers",秘术便鞋
"Sorcerer Boots",术士长靴
"Iron Greaves",铁锻胫甲
"Steel Greaves",冷钢胫甲
"Plated Greaves",坚铁胫甲
"Reinforced Greaves",强化胫甲
"Antique Greaves",古钢胫甲
"Ancient Greaves",远古胫甲
"Goliath Greaves",巨灵胫甲
"Vaal Greaves",瓦尔胫甲
"Titan Greaves",巨人胫甲
"Leatherscale Boots",粗鳞皮靴
"Ironscale Boots",铁影长靴
"Bronzescale Boots",铜影长靴
"Steelscale Boots",钢影长靴
"Serpentscale Boots",蛇鳞长靴
"Wyrmscale Boots",地蝮鳞长靴
"Hydrascale Boots",火蝮鳞长靴
"Dragonscale Boots",龙鳞长靴
"Chain Boots",链甲长靴
"Ringmail Boots",环甲筒靴
"Mesh Boots",网眼长靴
"Riveted Boots",仪式短靴
"Zealot Boots",狂热者长靴
"Soldier Boots",战士之靴
"Legion Boots",军团长靴
"Crusader Boots",圣战长靴
"Gripped Gloves",擒拿手套
"Fingerless Silk Gloves",丝绸手套
"Spiked Gloves",扣钉手套
"Golden Bracers",黄金臂甲
"Rawhide Gloves",生皮手套
"Goathide Gloves",羊皮手套
"Deerskin Gloves",鹿皮手套
"Nubuck Gloves",砂影手套
"Eelskin Gloves",鳗皮手套
"Sharkskin Gloves",鲨皮手套
"Shagreen Gloves",粗革手套
"Stealth Gloves",匿踪手套
"Slink Gloves",迷踪手套
"Wrapped Mitts",裹趾护手
"Strapped Mitts",扣环护手
"Clasped Mitts",环带护手
"Trapper Mitts",猎人护手
"Ambush Mitts",伏击护手
"Carnal Mitts",禁礼护手
"Assassin's Mitts",暗影护手
"Murder Mitts",暗影者护手
"Wool Gloves",羊毛手套
"Velvet Gloves",丝绒手套
"Silk Gloves",丝绸手套
"Embroidered Gloves",刺绣手套
"Satin Gloves",缎布手套
"Samite Gloves",绣布手套
"Conjurer Gloves",咒者手套
"Arcanist Gloves",秘术手套
"Sorcerer Gloves",术士手套
"Iron Gauntlets",铁锻护手
"Plated Gauntlets",坚铁护手
"Bronze Gauntlets",青铜护手
"Steel Gauntlets",冷钢护手
"Antique Gauntlets",古钢护手
"Ancient Gauntlets",远古护手
"Goliath Gauntlets",巨灵护手
"Vaal Gauntlets",瓦尔护手
"Titan Gauntlets",巨人护手
"Fishscale Gauntlets",鱼鳞手套
"Ironscale Gauntlets",铁影手套
"Bronzescale Gauntlets",铜影手套
"Steelscale Gauntlets",钢影护手
"Serpentscale Gauntlets",蛇鳞手套
"Wyrmscale Gauntlets",蝮鳞手套
"Hydrascale Gauntlets",火蝮鳞手套
"Dragonscale Gauntlets",龙鳞手套
"Chain Gloves",链甲手套
"Ringmail Gloves",环甲手套
"Mesh Gloves",网眼手套
"Riveted Gloves",仪式手套
"Zealot Gloves",狂热者手套
