"Small Hybrid Flask",小型复合药剂
"Medium Hybrid Flask",中型复合药剂
"Large Hybrid Flask",大型复合药剂
"Colossal Hybrid Flask",高阶复合药剂
"Sacred Hybrid Flask",圣语复合药剂
"Hallowed Hybrid Flask",祝福复合药剂
"Small Life Flask",小型生命药剂
"Sanctified Life Flask",圣化生命药剂
"Divine Life Flask",不朽生命药剂
"Eternal Life Flask",永恒生命药剂
"Medium Life Flask",中型生命药剂
"Large Life Flask",大型生命药剂
"Greater Life Flask",良质生命药剂
"Grand Life Flask",优质生命药剂
"Giant Life Flask",巨型生命药剂
"Colossal Life Flask",高阶生命药剂
"Sacred Life Flask",圣语生命药剂
"Hallowed Life Flask",祝福生命药剂
"Small Mana Flask",小型魔力药剂
"Sanctified Mana Flask",圣化魔力药剂
"Divine Mana Flask",不朽魔力药剂
"Eternal Mana Flask",永恒魔力药剂
"Medium Mana Flask",中型魔力药剂
"Large Mana Flask",大型魔力药剂
"Greater Mana Flask",良质魔力药剂
"Grand Mana Flask",优质魔力药剂
"Giant Mana Flask",巨型魔力药剂
"Colossal Mana Flask",高阶魔力药剂
"Sacred Mana Flask",圣语魔力药剂
"Hallowed Mana Flask",祝福魔力药剂
"Diamond Flask",宝钻药剂
"Basalt Flask",石化药剂
"Aquamarine Flask",海蓝药剂
"Stibnite Flask",迷雾药剂
"Sulphur Flask",硫磺药剂
"Silver Flask",真银药剂
"Bismuth Flask",灰岩药剂
"Ruby Flask",红玉药剂
"Sapphire Flask",蓝玉药剂
"Topaz Flask",黄玉药剂
"Granite Flask",坚岩药剂
"Quicksilver Flask",水银药剂
"Amethyst Flask",紫晶药剂
"Quartz Flask",石英药剂
"Jade Flask",翠玉药剂
