"Max Stages",最大阶数
"Lightning Surge",闪电奔腾
"Explosion (10 fuses)","爆炸 (10 箭)"
"Explosion (20 fuses)","爆炸 (20 箭)"
"1 Blade","1 飞刃"
"3 Blades","3 飞刃"
"6 Blades","6 飞刃"
"40 Blades","40 飞刃"
"50 Blades","50 飞刃"
"Explosion (15 fuses)","爆炸 (15 箭)"
"Single Projectile Hit",单个投射物击中
"All Projectiles Hit",所有投射物击中
"Cone AoE",圆锥范围
"Main Projectile",主投射物
"Split Projectile",分裂投射物
"First Impact",第一波冲击
"Subsequent Impacts",后续几波冲击
"Primary Debuff",初次减益效果
"Secondary Debuff",二次减益效果
"Initial Bursts",初始几波
"Final Burst",最终一波
Target,单体目标
"1 Energy Explosion","1 层能量爆炸"
"5 Energy Explosion","5 层能量爆炸"
"10 Energy Explosion","10 层能量爆炸"
"15 Energy Explosion","15 层能量爆炸"
"20 Energy Explosion","20 层能量爆炸"
"20 Energy Pulse","20 层能量辐射"
Spike,尖刺
"First Wave Area",初始震波区域
"Final Wave Area",最终震波区域
"Skitterbot Wait",飞掠者待机
"Caustic Ground",腐蚀毒云
ChannelledSnipeSupport,狙击吟唱辅助
"Minion Explosion",召唤生物爆炸
"Greater Spell Echo",高等施法回响
"Triggered Summon Phantasm",召唤幻灵
"Elemental Hit Fire",火焰元素打击
"Physical Beam",炮击
"Crystal Impact",龙卷射击
"Projectile Spell",爆弹产生（部分）
Bombs,爆弹爆炸（部分）
"Breach Lightning Whip",闪电奔腾
"Breach Arc",裂隙电弧
"Breach Team Warp",裂隙团队曲线
"Breach Lightning Orbs Commander",裂隙雷球指挥
"Sand Leaper Dodge Left",跳沙者左躲闪
"Sand Leaper Dodge Right",显现
"Lightning Laser",噬魂者激光（部分）
"Nova Spell",新星法术
"Slam Attack",猛击
"Frost Projectile",冰霜投射物
"Frost Mortar",冰霜炮击
"Explosive Arrow (20 Fuses)",WalkEmergeAtlasInfluenceMonster
"Dagger Trigger Spell",匕首触发法术
"Secret Police Daggers",炮击碎片
"Mortar Shards","爆炸箭矢 (20 层)"
"Arrow Shotgun",箭矢
"Ranged Shotgun",远程猎枪
"Beam Blast",光束爆炸
"Nuke Beam",光束
"Nuke Beam Channelled",持续吟唱光束
"Manual Stacks",手动叠层
"Maximum Stacks",最大叠层
"Energy Explosion",能量爆炸
"Max Explosion per Brand",每个烙印最大爆炸
"Max Stages Energy Pulsing",最大层能量辐射
"1 Orb Tick","1 能量球"
"Max Channelled Orbs",最大吟唱能量球
"Debuff Explosion - 1 Stack","减益效果爆炸 - 1 层"
"Debuff Explosion - 6 Stacks","减益效果爆炸 - 6 层"
"Beam Sweep",光束扫描
"Knockback Attack",击退攻击
