"Animate Weapon",幻化武器
"Arctic Armour",极地装甲
Barrage,弹幕（辅）
"Bear Trap",捕熊陷阱
"Blade Flurry",刀刃乱舞
"Blade Vortex",飞刃风暴
"Vaal Blade Vortex",瓦尔：飞刃风暴
Bladefall,虚空刀雨
"Blast Rain",爆裂箭雨
"Blink Arrow",闪现射击
"Blood Rage",狂野怒火
"Burning Arrow",燃烧箭矢
"Vaal Burning Arrow",瓦尔：燃烧箭矢
"Caustic Arrow",腐蚀箭矢
"Charged Dash",蓄力疾风闪
"Cobra Lash",毒蛇鞭击
Cremation,火葬
Cyclone,旋风斩
"Vaal Cyclone",瓦尔：旋风斩
Dash,冲刺
Desecrate,亵渎
"Detonate Dead",爆灵术
"Vaal Detonate Dead",瓦尔：爆灵术
"Double Strike",双重打击
"Vaal Double Strike",瓦尔：双重打击
"Dual Strike",双持打击
"Elemental Hit",元素打击
"Ethereal Knives",虚空匕首
"Explosive Arrow",爆炸箭矢
"Explosive Trap",爆炸陷阱
"Fire Trap",火焰陷阱
"Flamethrower Trap",掷火陷阱
"Flicker Strike",闪现打击
Frenzy,狂怒
"Frost Blades",冰霜之刃
Grace,优雅
"Vaal Grace",瓦尔：优雅
Haste,迅捷
"Vaal Haste",瓦尔：迅捷
Hatred,憎恨
"Herald of Agony",苦痛之捷
"Herald of Ice",寒冰之捷
"Ice Shot",冰霜射击
"Ice Trap",冰冻陷阱
Lacerate,破空斩
"Lancing Steel",断金之刃
"Lightning Arrow",闪电箭矢
"Lightning Strike",闪电打击
"Vaal Lightning Strike",瓦尔：闪电打击
"Mirror Arrow",魅影射击
"Pestilent Strike",致疫打击
"Phase Run",暗影迷踪
"Plague Bearer",瘟疫使徒
"Poacher's Mark",盗猎者印记
Precision,精准
Puncture,放血
"Purity of Ice",冰霜净化
"Vaal Impurity of Ice",瓦尔：不净之冰
"Rain of Arrows",箭雨
"Vaal Rain of Arrows",瓦尔：箭雨
Reave,冲击波
"Vaal Reave",瓦尔：冲击波
Riposte,击刃
"Scourge Arrow",天灾之箭
"Shattering Steel",破碎铁刃
"Seismic Trap",震波陷阱
"Siege Ballista",攻城炮台
"Smoke Mine",烟雾地雷
"Spectral Shield Throw",灵盾投掷
"Spectral Throw",灵体投掷
"Vaal Spectral Throw",瓦尔：灵体投掷
"Toxic Rain",毒雨
"Split Arrow",分裂箭矢
"Summon Ice Golem",召唤寒冰魔像
"Temporal Chains",时空锁链
"Tornado Shot",龙卷射击
Unearth,亵渎之矛
"Venom Gyre",剧毒旋风
"Viper Strike",毒蛇打击
"Volatile Dead",灵体火球
"Whirling Blades",回旋之刃
"Wild Strike",野性打击
Arc,电弧
"Vaal Arc",瓦尔：电弧
"Armageddon Brand",末日烙印
"Assassin's Mark",暗影印记
"Ball Lightning",天雷之珠
Bane,混沌之毒
Blight,菌潮
"Vaal Blight",瓦尔：枯萎
Bodyswap,灵体转换
"Bone Offering",骸骨奉献
"Brand Recall",烙印召回
Clarity,清晰
"Vaal Clarity",瓦尔：清晰
"Cold Snap",霜暴
"Vaal Cold Snap",瓦尔：霜暴
Conductivity,导电
Contagion,瘟疫
"Conversion Trap",迷魅陷阱
Convocation,号召
"Dark Pact",暗夜血契
Despair,绝望
Discharge,解放
Discipline,纪律
"Vaal Discipline",瓦尔：纪律
"Divine Ire",神圣寒冰
"Elemental Weakness",元素要害
Enfeeble,衰弱
"Essence Drain",灵魂吸取
Fireball,火球
"Vaal Fireball",瓦尔：火球
Firestorm,烈炎风暴
"Flame Dash",烈焰冲刺
"Flame Surge",怒焰奔腾
Flameblast,烈焰爆破
"Vaal Flameblast",瓦尔：烈焰爆破
Flammability,易燃
"Flesh Offering",血肉奉献
"Freezing Pulse",冰霜脉冲
"Frost Bomb",寒霜爆
"Frost Wall",冰墙
Frostbite,冻伤
Frostblink,冰霜闪现
Frostbolt,寒冰弹
"Glacial Cascade",冰川之刺
"Herald of Thunder",闪电之捷
"Ice Nova",冰霜新星
"Vaal Ice Nova",瓦尔：冰霜新星
"Ice Spear",冰矛
"Icicle Mine",冰锥地雷
Incinerate,烧毁
"Kinetic Blast",力量爆破
"Lightning Spire Trap",电塔陷阱
"Lightning Tendrils",电能释放
"Lightning Trap",闪电陷阱
"Vaal Lightning Trap",瓦尔：闪电陷阱
"Lightning Warp",闪电传送
"Vaal Lightning Warp",瓦尔：闪电传送
Malevolence,怨毒光环
