Hotfooted,狂奔
"Hypnotic Eye Jewel",安睡之凝珠宝
"Murderous Eye Jewel",凶残之凝珠宝
"Searching Eye Jewel",锐利之凝珠宝
"Ghastly Eye Jewel",苍白之凝珠宝
"Viridian Jewel",翠绿珠宝
"Cobalt Jewel",钴蓝珠宝
"Prismatic Jewel",三相珠宝
"Crimson Jewel",赤红珠宝
"Timeless Jewel",永恒珠宝
"Medium Cluster Jewel",中型星团珠宝
"Small Cluster Jewel",小型星团珠宝
"Large Cluster Jewel",大型星团珠宝
Brawn,筋骨强化
Inertia,惯性
"Vampire's Might",吸血鬼的力量
"Survival Skills",生存技巧
"Inspired Learning",求知的热情
"Martial Artistry",武艺之相
"Spire of Stone",石塔
"Mantra of Flames",烈炎之兆
Combustibles,燃尽
"The Naming Temporary",暂名
"Fragile Bloom",脆弱的繁华
"Rain of Splinters",碎镞雨
"Efficient Training",充分训练
"Atziri's Reign",阿兹里之权
"Blood Sacrifice",血牺
"Warlord's Reach",督军之力
"Conqueror's Efficiency",征服者的迅捷
"Ancient Waystones",远古基石
"Zerphi's Youth",泽佛伊的青春
Fragility,脆弱
Fireborn,炎域
"Energised Armour",能量坚甲
"Might in All Forms",卓绝之力
"Izaro's Turmoil",伊泽洛之乱
"The Vigil",监视守夜
"Rapid Expansion",急速扩张
"Shattered Chains",破碎之炼
"Weight of the Empire",帝国重量
"Emperor's Might",帝王的霸权
"Grand Spectrum",聚光之石
"Coated Shrapnel",榴星
"Underdog's Fury",逆行之怒
"Primordial Might",起源力量
"The Red Dream",赤影梦境
"The Red Nightmare",赤影梦魇
"Winter Burial",冬葬
Wildfire,野火
"Overwhelming Odds",压倒性
"Might of the Meek",温柔之力
"Tempered Flesh",淬火之躯
"Combat Focus",战斗专注
"Transcendent Flesh",升华之躯
"Thread of Hope",希望之线
"Split Personality",人格分裂
"Replica Conqueror's Efficiency",征服者的迅捷【仿品】
"Replica Fragile Bloom",脆弱的繁华【仿品】
"Replica Blood Sacrifice",血牺【仿品】
"Replica Primordial Might",起源力量【仿品】
"Dissolution of the Flesh",血肉分崩
"Forbidden Flame",禁断之火
"Divine Inferno",神圣炼狱
Firesong,烈火之歌
"Immutable Force",永恒之力
"Fluid Motion",流畅行动
"Intuitive Leap",直觉之跃
"Lioneye's Fall",狮眼的陨落
"Survival Instincts",生存本能
"Cannibalistic Habits",同族相残
Apparitions,映像
Hotheaded,鲁莽
"Weight of Sin",罪恶的重量
Specialised,熟稔
"Miser of Misery",悲惨赐予者
"Careful Planning",审慎计划
"Hidden Potential",深藏的潜能
"Sacrificial Harvest",原生祭仪
Self-Flagellation,残虐之欢愉
"Poacher's Aim",盗猎者的准心
"Conqueror's Longevity",征服者的长生
"Chill of Corruption",腐化寒息
"Hungry Abyss",饥馑深渊
Pacifism,和平主义
Pugilist,迅击者
"Cold Steel",冷钢
"Static Electricity",静电之源
"Volley Fire",怒火齐发
"Spirit Guards",精神守护
"Pitch Darkness",黯黑之调
"Steel Spirit",坚毅心灵
"Growing Agony",茁壮苦痛
"Cheap Construction",廉价建设
"Hair Trigger",发闸机关
"Emperor's Cunning",帝王的诡计
"Primordial Eminence",起源卓越
"The Green Dream",青影梦境
"The Green Nightmare",青影梦魇
"Sudden Ignition",突然点火
"Ring of Blades",利刃戒指
"Fight for Survival",为生存而战
"Omen on the Winds",风之启示
"Might and Influence",蛮力与影响
"Collateral Damage",附带伤害
"Choking Ash",窒息之烬
"Straight and True",直理之述
"Pure Talent",纯才
"The Golden Rule",黄金法则
"Tempered Spirit",淬火之魂
"Transcendent Spirit",升华之魂
"Unnatural Instinct",超自然本能
"Toxic Vapours",剧毒蒸汽
"Seething Fury",怒火中烧
"Quickening Covenant",加速誓约
"Unearth Threshold",发掘入口
"Replica Hotheaded",鲁莽【仿品】
"Replica Pure Talent",纯才【仿品】
"Replica Cheap Construction",廉价建设【仿品】
"Lord of Steel",钢铁之主
"Impossible Escape",无所遁形
Stormshroud,暴风遮罩
"To Dust",尘埃落定
"Eldritch Knowledge",异能知识
"Selfless Leadership",无私领导
"Survival Secrets",生存秘技
"Fertile Mind",丰富心灵
"Fortified Legion",坚守军团
"Malicious Intent",不善意图
"Clear Mind",理智
"Brute Force Solution",蛮力冲撞
"Vaal Sentencing",瓦尔之诉
"Fevered Mind",狂热之心
Powerlessness,无力
"Assassin's Haste",暗影之影
"Conqueror's Potency",征服者的力量
"Mutated Growth",堕落异体
"Corrupted Energy",腐化能量
"Brittle Barrier",易碎屏障
"Anatomical Knowledge",真知灼见
"Energy From Within",潜能防护
"Healthy Mind",灵体转换
"Rolling Flames",滚动烈焰
"Winter's Bounty",冬季赏金
"Spirited Response",先祖回音
"Dead Reckoning",死亡清算
"Reckless Defence",鲁莽防御
"Unstable Payload",不稳定承载
"Emperor's Wit",帝王的智慧
"Unending Hunger",无尽渴望
"Primordial Harmony",起源和谐
"The Blue Dream",碧影梦境
"The Blue Nightmare",碧影梦魇
"Violent Dead",暴力的死者
"First Snow",初雪
"Frozen Trail",冰冻痕迹
Inevitability,不可避免
"Spreading Rot",腐烂扩散
"Boundless Grasp",无边紧握
"Hazardous Research",危险研究
"From Dust",尘土归来
"The Long Winter",凛冽寒冬
"Soul's Wick",灵魂之芯
"Tempered Mind",淬火之心
"Transcendent Mind",升华之心
"Fortress Covenant",要塞誓约
"Replica Reckless Defence",鲁莽防御【仿品】
"Replica Unstable Payload",不稳定承载【仿品】
"Endless Misery",无尽之苦
"Apex Mode",巅峰状态
"Nadir Mode",低谷状态
"Melding of the Flesh",血肉融合
"Forbidden Flesh",禁断之肉
Witchbane,女巫克星
"Rational Doctrine",理性主义
"The Balance of Terror",恐惧之平衡
"Emperor's Mastery",帝王的纯熟
"The Anima Stone",聚魂石
"Watcher's Eye",守望之眼
"Sublime Vision",崇高愿景
"Glorious Vanity",光彩夺目
"Militant Faith",好战的信仰
"Brutal Restraint",残酷的约束
"Elegant Hubris",优雅的狂妄
"Lethal Pride",致命的骄傲
Voices,天神之音
Megalomaniac,妄想症
"One With Nothing",徒手空拳
"Kitava's Teachings",奇塔弗的指教
"The Interrogation",审讯
"Calamitous Visions",灾祸异象
"Natural Affinity",自然之喜
"The Siege",围攻
"Child of Violence",暴力之子
"The Front Line",前线
"Tecrod's Gaze",特克罗的凝视
"Ulaman's Gaze",薛乌勒曼的凝视
"Kurgal's Gaze",库加尔的凝视
"Amanamu's Gaze",埃曼纳姆的凝视
Bloodnotch,血痕
"Warrior's Tale",战士的史诗
"Ancestral Vision",先祖的远视
"That Which Was Taken",剥夺之念
"The Adorned",浮华
"Replica Fragility",脆弱【仿品】
"Replica Pacifism",和平主义【仿品】
"Replica Powerlessness",无力【仿品】
"The Perandus Pact",普兰德斯契约
