"Raised Zombie",再生腐尸
"Chaos Golem",混沌魔像
"Flame Golem",烈焰魔像
"Ice Golem",寒冰魔像
"Lightning Golem",闪电魔像
"Stone Golem",年迈巨石
"Raging Spirit",怒炎之灵
"Essence Spirit",精华之灵
"Spectral Wolf Companion",幽狼
"Summoned Skeleton",异灵魔侍
"Summoned Skeleton Caster",异灵魔侍术者
"Summoned Skeleton Archer",异灵魔侍弓箭手
Clone,复制之体
"Spider Minion",蜘蛛爪牙
"Animated Weapon",幻灵武器
"Animated Guardian",幻灵守卫
"Grave Spirit",悲墓之灵
"Dancing Dervish",狂舞德尔维希
"Summoned Phantasm",异界凶灵
"Agony Crawler",苦痛爬行者
"Sentinel of Purity",纯净哨兵
"Holy Relic",圣物
"Sentinel of Dominance",统御哨兵
"Summoned Rhoa",被召唤的恐喙鸟
"Summoned Cobra",被召唤的眼镜蛇
"Summoned Ursa",召唤之爪
"Carrion Golem",腐化魔像
