Necromancer,死灵法师
"Blackguard Mage",乌旗守卫法师
"Blackguard Arcmage",乌旗守卫雷使
"Solaris Champion",日耀斗士
"Mortality Experimenter",生灵实验者
"Flesh Sculptor",躯体雕塑者
Reanimator,复生师
"Kraityn's Sniper",克雷顿的狙击手
"Alira's Deadeye",阿莉亚的穿心之弓
"Oak's Devoted",欧克的支持者
"Shaggy Monstrosity",毒息巨兽
"Hairy Bonecruncher",长毛碎骨兽
"Carnage Chieftain",冷血酋长
"Host Chieftain",宿主酋长
"Bone Stalker",白骨潜踪者
"Fighting Bull",战斗公牛
"Sandworn Slaves",恶魔奴隶
"Cannibal Fire-eater",食人族吞火者
Goatman,羊人
"Bearded Devil",长须羊人
"Goatman Shaman",羊人萨满
"Goatman Fire-raiser",羊人炎咒师
"Bearded Shaman",长须术师
"Colossus Crusher",巨大羊魔
"Alpine Shaman",羊人萨满
"Whipping Miscreation",古灵实验者:长鞭
"Tentacle Miscreation",古灵实验者:扫荡者
"Slashed Miscreation",派蒂的古灵实验者
"Burned Miscreation",古灵实验者:烈火
"Fetid Maw",恶臭裂齿兽
"Murk Fiend",阴暗之兽
"Plumed Chimeral",彩羽龙蜥
"Spectral Bowman",怨灵弓手
"Cursed Mariner",水手咒灵
"Spectral Scoundrel",怨灵恶棍
"Undying Grappler",不朽格斗者
"Shadow Lurker",阴影潜伏者
"Flame Sentinel",火炎哨带
"Frost Sentinel",寒霜哨带
"Galvanic Ribbon",雷电之带
"Gut Flayer",裂脏剥皮者
"Solar Guard",太阳军卫
"Ancient Construct",远古创造物
"Carrion Queen",食腐虫后
"Kaom's Chosen",冈姆的精兵
"Tukohama's Vanguard",拉维安加的侍祭（图腾）
"Risen Vaal Fanatic",复活的瓦尔虔信者
"Risen Vaal Advocate",复活的瓦尔拥护者
"Kitava's Herald",奇塔弗的使徒
"Avian Retch",丛林反刍鸟
"Gluttonous Gull",狂食反刍鸟
"Stoneskin Flayer",石肤剥皮者
"Dune Hellion",沙丘地狱犬
"Knitted Horror",恐惧创造物
"Pocked Lanternbearer",疮痕持灯者
"Pocked Illuminator",疮痕照明者
Voidbearer,虚影炎兽
"Cinder Elemental",炽炎魔像
"Kiln Mother",不死火焰
"Sin Lord",恶咒之主
Diabolist,恶魔咒师
"Ash Prophet",烈火咒师
"Death Bishop",死亡咒师
Defiler,玷污咒师
"Undying Incinerator",不朽之炎
"Undying Alchemist",不朽之毒
"Stygian Revenant",幽灵亡魂
"Merveil's Blessed",莫薇儿的宠儿
"Singing Siren",冥曲海妖
"Merveil's Attendant",莫薇儿的侍女
"Merveil's Chosen",海妖爱女
"Merveil's Retainer",海妖家臣
"Brittle Bleeder",嗜血枯骨
"Brittle Poacher",盗猎者残骨
"Colossal Bonestalker",巨型骸骨斗士
"Flayed Archer",悲语之弦
"Frost Harbinger",冰霜先锋
"Incinerated Mage",狂炎术者
"Plagued Bowman",瘟疫弓手
"Restless Archer",不灭之弦
"Sin Archer",罪恶之弓
"Sparking Mage",雷能枯灵
"Vexing Archer",咒灵射手
"Enhanced Vaal Fallen",强大的瓦尔堕灵
"Bone Husk",白骨之牙
"Bramble Cobra",丛林眼镜蛇
"Barb Serpent",棘刺巨蛇
"Leaping Spider",跃影巨蛛
"Towering Figment",巨型创造物
"Noisome Ophidian",审阅者
"Slave Driver",驱刑者
"Undying Evangelist",不朽传道者
"Undying Impaler",不朽暗影
"Undying Outcast",不朽放逐者
"Wicker Man",诡异行者
"Crazed Driver",疯狂驱刑者
"Redemption Sentry",救赎哨兵
"Baranite Thaumaturge",追随巴兰的奇术师
"Baranite Sister",追随巴兰的修女
"Baranite Preacher",追随巴兰的教士
"Scale of Esh",艾许之鳞
"Scinteel Synthete",菲刃融合体
"Redemption Knight",救赎骑士
"Primal Crushclaw",原始利爪
"Templar Tactician",圣堂战术家
"Syndicate Operative",辛迪加侦探
"Cloud Retch",毒云
"Artless Assassin",拙劣刺客
"Ashblessed Warden",灰祝守卫
"Archer Statue",弦影岩灵
"Chrome-infused Chimeral",融铬龙蜥
"Desecrated Saint",漆黑吟唱者
Foreman,工头
"Freezing Wolf",冰雪巨狼
"Frost Auto-Scout",冰霜斥候
"Imperial Vanguard",纯净守卫
"Kraityn's Sentry",克雷顿的侦查兵
"Lunaris Concubine",月影妻妾
"Lunarsworn Wintermage",月卫魔导士
"Primeval Hunter",原始猎手
"Snow Rhex",雪凶鸟
"Vaal Slayer",瓦尔血灵
