"Cospri's Malice",卡斯普里怨恨
"Ahkeli's Meadow",阿克莱的草原
"Ahkeli's Mountain",阿克莱的高山
"Ahkeli's Valley",阿克莱的山谷
"Ashes of the Stars",群星之灰
"Ashes of the Sun",烬杵
Andvarius,贪欲之记
"Angler's Plait",渔夫之辫
"Araku Tiki",隐灵之符
"Ascent From Flesh",变节者
Astramentis,均衡之符
"Atziri's Foible",阿兹里圣徽
"Aul's Uprising",奥尔之兴
Auxium,奥术之符
"Badge of the Brotherhood",兄弟会徽章
"Bated Breath",凝息
"Belt of the Deceiver",狡徒束腰
"Berek's Grip",贝雷克的冰与雷之曲
"Berek's Pass",贝雷克的冰与火之歌
"Berek's Respite",贝雷克的火与雷之乐
"Bisco's Collar",比斯克的项圈
"Bisco's Leash",比斯克的缰绳
Blackheart,幽暗之语
Blightwell,枯井
Bloodboil,沸血
Bloodgrip,鲜血支配
"Blood of Corruption",堕落之血
"Brinerot Mark",布琳洛特印记
"Call of the Brotherhood",意志呼唤
"Carnage Heart",屠戮之心
"Choir of the Storm",暴风之语
"Circle of Anguish",苦痛之环
"Circle of Fear",恐惧之环
"Circle of Guilt",罪恶之环
"Circle of Nostalgia",乡愁之环
"Circle of Regret",悔恨之环
"Coward's Chains",懦夫之链
"Coward's Legacy",懦夫之遗
"Cyclopean Coil",巨岩指套
"Daresso's Salute",德瑞索的战礼
"Darkness Enthroned",夜临
"Death Rush",亡者呼唤
"Demigod's Bounty",升华珍宝
"Demigod's Eye",升华之眼
"Demigod's Presence",升华之印
"Doedre's Damning",德瑞的魔具
"Doryani's Invitation",多里亚尼之约
"Dream Fragments",梦语之痕
"Dyadian Dawn",戴亚迪安的晨曦
Emberwake,余烬之痕
"Essence Worm",菁华蠕虫
"Extractor Mentis",心灵抽取
"Eye of Chayula",寻宝者的心眼
"Eye of Innocence",无罪之眼
"Eyes of the Greatwolf",巨狼之眼
Faminebind,饥荒之结
Feastbind,盛宴之结
"Gifts from Above",神赐
Gloomfang,昏暗之牙
Gluttony,暴食
"Hallowed Ground",魔诅之域
Headhunter,猎首
"Heartbound Loop",结魂之环
"Hinekora's Sight",辛格拉的凝视
Hyperboreus,极北
"Hyrri's Truth",西里的真相
"Icefang Orbit",冰牙指环
"Immortal Flesh",永生
Impresence,隐逝
"Impossible Escape",无所遁形
"Kaom's Sign",冈姆的远见
"Kaom's Way",冈姆之路
"Karui Charge",卡鲁充能
"Karui Ward",卡鲁的战徽
Kikazaru,基加萨鲁
"Le Heup of All",英灵宝环
"Lori's Lantern",罗里的幸运之灯
"Malachai's Artifice",玛拉凯的巧技
"Maligaro's Cruelty",马雷格罗的残酷
"Maligaro's Restraint",马雷格罗的染血之环
"Mark of Submission",屈服印记
"Mark of the Elder",裂界之印
"Mark of the Shaper",塑界之印
"Marylene's Fallacy",玛莉琳的护体之符
"Meginord's Girdle",梅吉诺德的力量泉源
"Ming's Heart",明恩的慧心
"Mokou's Embrace",莫考之拥
"Mutewind Seal",哑风封印
"Natural Hierarchy",自然组织
"Ngamahu's Sign",努葛玛呼之印
"Ngamahu Tiki",努葛玛呼之像
"Night's Hold",夜守
"Perandus Blazon",普兰德斯之印
"Perandus Signet",普兰德斯之记
"Perquil's Toe",珀奎尔之趾
Perseverance,恒毅意志
Praxis,普拉克斯
"Precursor's Emblem",先驱的纹章
"Presence of Chayula",夏乌拉之印
Prismweave,幻彩菱织
"Putembo's Meadow",普藤博的草原
"Putembo's Mountain",普藤博的高山
"Putembo's Valley",普藤博的山谷
Pyre,燃焰
"Rashkaldor's Patience",拉什卡德的耐心
"Redblade Band",红刃之环
"Rigwald's Crest",瑞佛之冠
"Rigwald's Curse",瑞佛诅咒
"Romira's Banquet",罗米拉的潜力之环
"Ryslatha's Coil",瑞斯拉萨的线圈
"Sacrificial Heart",祭祀之心
"Shaper's Seed",塑界者之籽
"Shavronne's Revelation",薛朗的启示之环
"Sibyl's Lament",希比尔之叹
Sidhebreath,魔灵之符
Siegebreaker,突围者
Snakepit,蛇穴
"Solstice Vigil",至日不眠
"Soul Tether",灵魂羁绊
Soulthirst,嗜魂
"Star of Wraeclast",瓦尔克拉斯之星
"Stone of Lazhwar",拉兹瓦的灵石
Stormfire,风暴之炎
"String of Servitude",奴役之索
Sunblast,日炎
"Talisman of the Victor",胜者护符
