##statDescriptions修正##,##statDescriptions修正##

Monsters have {0}% increased Area of Effect,怪物效果区域扩大 {0}%
Monsters have {0}% reduced Area of Effect,怪物效果区域缩小　{0}%
{0}% increased Reflected Physical Damage taken,承受的反射物理伤害提高 {0}%
{0}% reduced Reflected Physical Damage taken,承受的反射物理伤害降低 {0}%
Right ring slot: {0}% increased Reflected Physical Damage taken,右戒指栏位：承受的反射物理伤害提高 {0}%
Right ring slot: {0}% reduced Reflected Physical Damage taken,右戒指栏位：承受的反射物理伤害降低 {0}%
{0}% to Critical Strike Multiplier per {1} Strength on Unallocated Passives in Radius,范围内每 {1} 点未配置的力量予以{0}% 暴击伤害加成
{0}% increased Attack Speed while Leeching,偷取时攻击速度提高 {0}%
{0}% reduced Attack Speed while Leeching,偷取时攻击速度降低 {0}%
Cannot be Stunned while Leeching,偷取时免疫晕眩
Removes Elemental Ailments when you use a Flask,使用药剂时驱散元素异常状态
Adds {0} to {1} Physical Damage to Attacks and Spells per Siphoning Charge,每个轮回球可使攻击和法术附加 {0} - {1} 基础物理伤害
Enemies Taunted by you cannot Evade Attacks,被你嘲讽的敌人无法闪避攻击
Gain a Void Charge every second,每秒获得一个虚空之矢
Gain a Void Charge every {0} seconds,每 {0} 秒获得一个虚空之矢
{0}% increased Physical Damage over Time taken while moving,移动时受到的物理持续伤害提高{0}%
Impales you inflict last {0} additional Hits while using Pride,使用【尊严】时，你施加的【穿刺】效果持续 {0} 次额外击中
Remove a Curse when you use a Mana Flask,使用魔力药剂时移除 1 个诅咒
Remove a random Elemental Ailment when you use a Mana Flask,使用魔力药剂时移除 1 个随机元素异常状态
Arcane Surge grants {0}% increased Cast Speed,【秘术增强】使施法速度加快 {0}%
Minions deal {0}% more Damage,召唤生物造成的伤害总增{0}%
Minions deal {0}% less Damage,召唤生物造成的伤害总降{0}%
Strength's Damage bonus applies to Projectile Attack Damage as well for Supported Skills,力量的伤害加成同样作用于被辅助的技能的投射物攻击伤害
Consecrated Ground you create causes Life Regeneration to,你产生的的奉献地面使得
also Recover Energy Shield for you and Allies,你与你的友军的生命再生同样套用至能量护盾回复
Ring has {0}% chance to Shock,新星有{0}%的几率造成感电
{0}% of Physical Damage Converted to Lightning Damage while sphere is Shocked or Sapped,球体具有感电或力竭时，将 {0}% 物理伤害转化为闪电伤害
"Every {1} seconds, gain {0}% of Physical Damage","每 {1} 秒，获得额外火焰伤害，"
