"(You can only take one of the three Witch Ascendancy passives)","( 你只能在女巫的三个升华职业中选择一个 )"
"(Shock increases Damage taken by up to 50%, depending on the amount of Lightning Damage in the hit, for 2 seconds)","（感电能额外提高至多50%的伤害，取决于击中的闪电伤害量, 持续2秒）"
"(Recently refers to the past 4 seconds)","( 近期内意指 4 秒内 )"
"(You can only take one of the three Templar Ascendancy passives)","( 你只能在圣堂武僧的三个升华职业中选择一个 )"
"(Arcane Surge grants 10% more Spell Damage, 10% increased Cast Speed, and 0.5% of maximum Mana Regenerated per second, for 4 seconds)","(秘术增强额外增加 10% 法术总伤害, 增加 10% 施法速度，和每秒 0.5% 最大魔力的魔力回复，持续4秒)"
"(Poison deals Chaos Damage over time, based on the base Physical and Chaos Damage of the Skill. Multiple instances of Poison stack)","( 中毒造成持续混沌伤害, 伤害取决于技能初始的物理和混沌伤害。中毒效果可以叠加 )"
"(Ignoring Resistances means your Damage cannot be modified in any way by any Resistance stats)",（无视抗性表示你的伤害不会被任何抗性相关的词缀以任何方式修改）
"(You can only take one of the three Ranger Ascendancy passives)","( 你只能在游侠的三个升华职业中选择一个 )"
"(You can only take one of the three Marauder Ascendancy passives)","( 你只能在野蛮人的三个升华职业中选择一个 )"
"(Maximum Rage is 50)","(最大怒气为 50 层)"
"(You lose 1 Rage every 0.5 seconds if you have not been Hit or gained Rage Recently)","（近期内如果你没有被击中或获得怒气，则每 0.5 秒失去 1 层怒气）"
"(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second. Hits against Enemies on your Consecrated Ground have increased Critical Strike Chance)","( 站在奉献地面上的友军每秒回复一定百分比的最大生命 )"
"(Elemental Ailments are Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)",(被点燃、灼烧、冰缓、冰冻、易碎、感电和精疲力尽统称为元素异常状态)
"(You can only take one of the three Shadow Ascendancy passives)","( 你只能在暗影的三个升华职业中选择一个 )"
"(Intimidated enemies take 10% increased Attack Damage)",（受到威吓的敌人受到的攻击伤害会提高10%）
"(Adrenaline grants 100% increased Damage, 25% increased Attack, Cast and Movement Speed and 10% additional Physical Damage Reduction)",(肾上腺素会增加100%伤害，提高25%攻击速度，施法速度和移动速度，并且受到的物理伤害额外减少10%)
"(Onslaught grants 20% increased Attack, Cast, and Movement Speed)","( 猛攻赋予你额外你 20% 攻击速度, 施法速度, 和移动速度 )"
"(You can only take one of the three Duelist Ascendancy passives)","( 你只能在决斗者的三个升华职业中选择一个 )"
"(Culling Strike means enemies that are on 10% or lower life after your Hit are Killed)","( 对生命等于或少于 10% 生命上限的敌人可以造成终结，敌人将直接死亡 )"
"(Choose one of the three attached options)","( 请在三个选项中选择一项 )"
"(Bleeding deals Physical Damage over time, based on the base Physical Damage of the Skill. Damage is higher while moving)","( 流血造成持续物理伤害, 伤害取决于技能初始的物理伤害。移动时受到的流血伤害增加 )"
"(Blinded enemies have their Chance to Hit halved)","( 被致盲的敌人命中率减半 )"
"(Withered applies 6% increased Chaos Damage Taken, and can be inflicted up to 15 times)","（死亡凋零会使受到的混沌伤害提高 6%，最多造成 15 次)"
"(Freeze lowers Enemy Action Speed to zero, preventing them from acting. Duration is based on the Cold Damage of the Hit)","(冰冻将完全冻结敌人, 使其无法移动。冰冻的持续长度取决于命中时造成的冰霜伤害量)"
"(Enemies you Taunt can only target you, and deal 10% less damage to anyone else. Taunt lasts for 3 seconds)","(受你嘲讽的敌人只会攻击你, 并对你以外的其他人造成额外减少 10% 的总伤害, 嘲讽持续3秒)"
"Enemies have -12% to Total Physical Damage Reduction against your Hits","敌人对抗你的击中时，总物理伤害减免 -12%"
"Enemies have -5% to Total Physical Damage Reduction against your Hits","敌人对抗你的击中时，总物理伤害减免 -5%"
"Enemies have -10% to Total Physical Damage Reduction against your Hits","敌人对抗你的击中时，总物理伤害减免 -10%"
"3% more Damage per Summoned Totem","每个召唤的图腾都使总伤害额外提高 3%"
"Enemies you Impale have -5% to Total Physical Damage Reduction against Impale Hits","被你穿刺的敌人对抗穿刺击中的总物理伤害减免 -5%"
"Enemies you Impale have -10% to Total Physical Damage Reduction against Impale Hits","被你穿刺的敌人对抗穿刺击中的总物理伤害减免 -10%"
"Auras from your Skills grant 3% increased Attack and Cast",你技能的光环可使你和周围友军的攻击和施法
"You and nearby Allies have +20% to Elemental Resistances","你和周围友军的元素抗性 +20%"
"Enemies have -15% to Total Physical Damage Reduction against your Hits","敌人对抗你的击中时，总物理伤害减免 -15%"
"30% increased Critical Strike Chance against Shocked Enemies","对感电目标的暴击率提高 30%"
"(Fortify grants 20% less Damage Taken from Hits)","（护体从击中承受的总伤害额外降低 20%）"
"(Defences are Armour, Evasion Rating and Energy Shield)","(防御指护甲, 闪避和能量护盾)"
"(Ailments that deal Damage are Bleeding, Ignited, and Poisoned)",(伤害类异常状态包括流血、点燃和中毒)
"(Leeched Life is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(吸取的生命会随时间逐渐回复。多个吸取效果可以同时发生, 但有一个上限)"
"(Physical Damage Reduction cannot be negative)",（物理伤害减免不能为负）
"(Projectile Attacks gain Damage as they travel farther, dealing up to 30% more Attack Damage with Hits to targets)","(投射物攻击飞得越远, 造成伤害越高, 最多可对目标额外造成30%的伤害)"
"(Ignite deals Fire Damage over time, based on the base Fire Damage of the Skill, for 4 seconds)","(点燃会造成持续燃烧的火焰伤害, 取决于技能的基础火焰伤害, 持续4秒)"
"(Warstaves are considered Staves)",（战杖视为长杖）
"(Affects Melee Strikes, including the Default Attack. Does not apply to Areas of Effect)",（影响近战打击，包括普通攻击。无法用于效果区域）
"(Rune Daggers are considered Daggers)",（符文匕首视为匕首）
"(The Stun Threshold determines how much Damage can Stun something)",(眩晕门槛决定了多少伤害可以眩晕目标)
"(Maximum Resistances cannot be raised above 90%)","（最大抗性不能超过 90%）"
"(Unholy Might grants 30% of Physical Damage as extra Chaos Damage)",(不洁之力将附加等同30%物理伤害的混沌伤害)
"(They will deal the same total damage over a shorter duration)",（他们会在短时间内造成相同的伤害）
"(Knockback pushes Enemies away when Hit)",(命中时击退敌人)
"(Leeched Energy Shield is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)",（被偷取的能量护盾会持续恢复。可以同时进行多次偷取，次数有上限）
"(No chance to avoid damage can be higher than 75%)","（躲避伤害的几率不能高于 75%）"
"(Leeched Mana is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(吸取的魔力会随时间逐渐回复。多个吸取效果可以同时发生, 但有一个上限)"
"(Debuffs you are Unaffected by can still be placed on you, but will not actually apply their effect)",(你受到的未生效的减益效果依然会被显示，但是他们不会产生效果)
"(Chill reduces Enemy Action Speed by 10% for 2 seconds)",(冰缓使敌人行动速度降低10%持续2秒)
"(The effects of the ground still apply to you, allies or enemies after leaving its area)",（离开此区域，地面的效果也会附加于你、友军或敌人）
"(Enemies that are Covered in Ash have 20% less Movement Speed and 20% increased Fire Damage Taken)","（灰烬覆盖的敌人移动速度降低 20%，所承受的火焰伤害提高 20 %）"
"(Auras can only grant bonuses to things they affect)",（光环只能给受影响的事物提供加成）
"(Unnerved enemies take 10% increased Spell Damage)","（恐惧的敌人承受的法术伤害提高 10%）"
"(Killing an Enemy is not Spawning a corpse)",（击败敌人不会唤起灵枢）
"(Shock increases Damage taken by 15%)","（感电使敌人承受的伤害提高 15%）"
"(Chill reduces Enemy Action Speed by 10%)",(冰缓使敌人行动速度降低10%)
"(While you have Phasing, your movement is not blocked by Enemies)","( 当你进入迷踪状态时, 你将不会被敌人所阻挡 )"
"(Hindered enemies have reduced movement speed)",(被缓速的敌人移动速度会降低)
"(A Hit that removes at least 15% of Maximum Life is a Savage Hit)","( 一次击中使目标失去 15% 最大生命以上的伤害时, 该攻击会被视为残暴打击 )"
"(Blitz Charges have a base Duration of 5 seconds)","（疾电球的基础持续时间为 5 秒）。"
"(Ailments that do not deal Damage are Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)",(非伤害类异常状态包括灼烧、冰缓、冰冻、易碎、感电和精疲力尽)
"(Overkill Damage is any Damage from a Hit in excess of the Enemy's remaining Life)",(溢出伤害是造成的伤害超出怪物剩余生命的部分)
"(You are on Low Life if you have 35% of your Maximum Life or less)",(生命低于35%时进入低血状态)
"(Elusive initially grants 15% chance to Dodge Spell or Attack Hits, and 30% increased Movement Speed. The buff reduces its effect over time, removing itself at 0% effect. If you already have an Elusive buff, you cannot gain Elusive)","（【灵巧】一开始有 15% 几率躲避法术或攻击击中，并使移动速度提高 30%。该增益随时间流逝递减，降低到 0% 时移除。在已经获得【灵巧】的情况下，无法再次获得【灵巧】）"
"(Increases and Reductions to Maximum Energy Shield",（对最大能量护盾的增幅与减益
"also apply to Spell Damage at 30% of their value)","有 30% 也套用于法术伤害）"
"(Increases and Reductions to Maximum Mana also apply to Damage at 30% of their value)","（对最大魔力的增幅与减益有 30% 也套用于伤害）"
"(Enemies with Malediction deal 10% reduced damage and take 10% increased damage)",(带有恶语术诅咒的敌人造成的伤害减少10%，受到的伤害增加10%)
"(Freeze lowers Enemy Action Speed to zero, preventing them from acting)",(冻结可将敌人的行动速度减缓至零，使其无法行动）
"(Maimed enemies have 30% reduced Movement Speed)","( 被瘫痪的敌人减少 30% 移动速度 )"
"(Attacks that Trigger when you are Hit are Counterattacks)",(当你被击中时触发的攻击被称为反击)
"(Ailments are Bleeding, Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, Sapped, and Poisoned)",(异常状态包括流血、点燃、灼烧、冰缓、冰冻、易碎、感电、精疲力尽和中毒)
"(Permanent Auras are Auras with no Duration)",（恒定光环没有持续时间）
"(Up to 10 Vines can grasp you, inflicting 8% less Movement Speed per Vine. Broken by moving)","（最多有 10 根蔓藤可以抓住你，每根蔓藤都使你移动速度降低 8%。移动可以挣脱）"
"(Scorched Enemies have their Elemental Resistances lowered by up to 30%, based on the Fire Damage of the Hit, for 4 seconds)","（基于击中的火焰伤害，使被【灼烧】的敌人元素抗性最多降低 30%，持续 4 秒）"
"(Hits have up to +15% Critical Strike Chance against Brittle Enemies, based on the Cold Damage of the Hit which inflicted Brittle, for 4 seconds)","（基于造成【易碎】的击中冰霜伤害，使对抗【易碎】的敌人时，最多 +15% 暴击率，持续 4 秒）"
"(Sapped Enemies deal up to 20% less Damage, based on the Lightning Damage of the Hit, for 4 seconds)","（基于击中的闪电伤害，使【精疲力尽】的敌人造成的总伤害降低最多 20%，持续 4 秒）"
"(You are Unencumbered while you have no Gloves, no Main Hand Item, and no Off Hand Item Equipped)",（未装备手部装备、主手物品、副手物品时，视为【两手空空】状态）
"(Attributes are Strength, Dexterity, and Intelligence)",(属性分为力量，敏捷和智慧三种)
"(Cold Exposure applies -10% to Cold Resistance for 4 seconds)","(【畏寒】-10% 冰霜抗性，持续 4 秒）"
"(Fire Exposure applies -10% to Fire Resistance for 4 seconds)","(【畏火】-10% 火焰抗性，持续 4 秒）"
"(Lightning Exposure applies -10% to Lightning Resistance for 4 seconds)","(【闪电曝露】-10% 闪电抗性，持续 4 秒）"
"(Throwing Mines takes 10% more time for each additional Mine thrown)","（每投掷一个额外地雷都使投掷地雷时间延长 10%）"
"(Increases and Reductions to Maximum Life also apply to Attack Damage at 30% of their value)","（对最大能量护盾的增幅与减益 有 30% 也套用于法术伤害）"
"(Brand Damage is any Damage dealt by Brand Skills or by Skills Triggered by a Brand)",（由烙印技能和烙印触发的技能造成的伤害都为烙印伤害）
"(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits or 8 seconds)","（当一个被穿刺的敌人被击中，穿刺效果会对该敌人造成该穿刺击中物理伤害的 10%。穿刺效果持续 5 次击中，或持续 8 秒）"
"(Enemies that are Debilitated have 20% less Movement Speed and deal 10% less damage)","（【疲惫】的敌人总移动速度额外减慢 20%，造成的总伤害额外降低 20 %）"
"(Physical Damage Reduction is lower against Overwhelming Hits, but cannot go negative)",（物理伤害减免对抗猛攻击中效果会降低，但不会变为负值）
"(Armour is treated as double value, only for calculating damage mitigation)",（护甲被视为双倍数值，只用于缓阻伤害）
"(Chill reduces Enemy Action Speed by up to 30%, depending on the amount of Cold Damage in the hit, for 2 seconds)","(取决于造成的冰霜伤害量, 冰缓能至多使敌人减速30%并持续2秒)"
"(Brand Critical Strikes are any Critical Strikes dealt by Brand Skills or by Skills Triggered by a Brand)",（由烙印技能和烙印触发的技能造成的暴击都为烙印暴击）
"(Effects cannot be slowed below 25% of their normal expiry rate)","（效果无法低于正常消退速率的 25%）"
"(You are in Blood Stance by default)",（你默认为血姿态）
"(Alchemist's Genius increases Flask Charges gained by 20% and effect of Flasks by 10%, for 4 seconds)","（炼金奇才使药剂充能获取率提高20%，药剂效果提高10%，持续 4 秒）"
"(Normal Monsters have 1 Power, Magic Monsters 2, Rare Monsters 10, Unique Monsters 20, and Players 5)","（普通怪物的威力为 1，魔法怪物为 2，稀有怪物为 10，传奇怪物为 20，玩家为 5）"
"(Being Covered in Ash applies 20% less Movement Speed and 20% increased Fire Damage Taken, and lasts for 4 seconds)","(处于灰烬缠身状态的敌人移动速度减少20%，受到的火焰伤害提高20%，持续 4 秒)"
"(Cold Ailments are Chilled, Frozen and Brittle)",（冰霜元素异常状态指冰缓、冻结、易碎）
"(Lightning Ailments are Shocked and Sapped)",（闪电异常状态指感电、精疲力尽）
"(This only affects the inherent loss of Rage when you haven't been Hit or gained Rage Recently)",（只影响近期内没有被击中或没有获得战火时，战火的固有损耗）
"(Hexes can gain Doom up to a maximum of 30. The effect of a Hex is increased by the amount of Doom it has)","（魔蛊可以获得最多 30 点灭能。增加灭能数值能提高魔蛊的效果）"
"Totem mastery",图腾专精
"Disciple of Kitava",奇塔弗门徒
"Lone Messenger",独行使者
"Nature's Patience",造化自然
Kineticism,万物皆动
"Veteran's Awareness",百战老兵
Pitfighter,深渊斗士
"Axe and Sword Damage",斧剑伤害
"Axe and Sword Damage Mastery",斧剑伤害专精
"Mace and Staff Damage",锤杖伤害
"Mace and Staff Damage Mastery",锤杖伤害专精
"Dagger and Claw Damage",匕爪伤害
"Dagger and Claw Damage Mastery",匕爪伤害专精
"Bow Damage Mastery",弓类伤害专精
"Wand Damage Mastery",法杖伤害专精
"Damage with Two Handed Melee Weapons",双手近战武器伤害
"Damage with Two Handed Melee Weapons Mastery",双手近战武器伤害专精
"Attack Damage while Dual Wielding",双持攻击伤害
"Attack Damage while Dual Wielding Mastery",双持攻击伤害专精
"Attack Damage while holding a Shield",持盾攻击伤害
"Attack Damage while holding a Shield Mastery",持盾攻击伤害专精
"Fire Damage Mastery",火焰伤害专精
"Lightning Damage Mastery",闪电伤害专精
"Cold Damage Mastery",冰霜伤害专精
"Minion Damage Mastery",召唤生物伤害专精
"Fire Damage over Time Multiplier",持续火焰伤害加成
"Fire Damage over Time Multiplier Mastery",持续火焰伤害加成专精
"Chaos Damage over Time Multiplier",持续混沌伤害加成
"Chaos Damage over Time Multiplier Mastery",持续混沌伤害加成专精
"Physical Damage over Time Multiplier Mastery",持续物理伤害加成专精
"Cold Damage over Time Multiplier",持续冰霜伤害加成
"Cold Damage over Time Multiplier Mastery",持续冰霜伤害加成专精
"Effect of Non-Damaging Ailments",非伤害型异常状态效果
"Effect of Non-Damaging Ailments Mastery",非伤害型异常状态效果专精
"Aura Effect Mastery",光环效果专精
"Curse Effect Mastery",诅咒效果专精
"Damage while you have a Herald Mastery",捷效果下伤害专精
"Minion Damage while you have a Herald",捷状态下的召唤生物伤害
"Minion Damage while you have a Herald Mastery",捷效果下召唤生物伤害专精
"Warcry Buff Effect Mastery",战吼增益效果专精
"Critical Chance",暴击率
"Critical Chance Mastery",暴击率专精
"Minion Life Mastery",召唤生物生命专精
"Area Damage",范围伤害
"Area Damage Mastery",范围伤害专精
"Totem Damage Mastery",图腾伤害专精
"Brand Damage Mastery",烙印伤害专精
"Channelling Skill Damage",吟唱技能伤害
"Channelling Skill Damage Mastery",吟唱技能伤害专精
"Flask Duration",药剂持续时间
"Flask Duration Mastery",药剂持续时间专精
"Life and Mana recovery from Flasks",药剂回复生命和魔力
