Maelstrom,魔暴
Fulcent,耀眼
" Abyss"," 深渊"
" Apex"," 绝境"
" Bind"," 羁绊"
" Cage"," 囚笼"
" Chambers"," 密室"
" Coffers"," 冥棺"
" Core"," 星核"
" Court"," 静院"
" Cradle"," 摇篮"
" Crag"," 绝壁"
" Cramp"," 剧痛之境"
" Crate"," 坚笼"
" Crest"," 桂冠"
" Depths"," 黑渊"
" Dregs"," 沉积物"
" Edge"," 刀锋"
" Frontier"," 壁垒"
" Haven"," 庇荫"
" Keep"," 坚城"
" Nexus"," 圣域"
" Oubliette"," 窖间"
" Panorama"," 望景"
" Pit"," 巨坑"
" Point"," 巅峰"
" Reaches"," 驿站"
" Refuge"," 庇护所"
" Refuse"," 凶兆"
" Remains"," 残迹"
" Remnant"," 遗地"
" Rupture"," 破裂之境"
" Sanctum"," 圣地"
" Scum"," 泥潭"
" Secrets"," 密境"
" Shadows"," 影域"
" Shard"," 破碎之地"
" Slag"," 残石"
" Solitude"," 孤独之境"
" Spires"," 尖塔"
" Trap"," 陷阱"
" Vault"," 宝库"
" View"," 美景"
" Vine"," 藤壁"
" Waste"," 荒原"
" Ziggurat"," 灵间"
" Abode"," 居所"
" Quarters"," 戒哨"
" Roost"," 栖地"
" Sector"," 辖域"
" Zone"," 管区"
" Precinct",苦行之域
" Dwelling"," 住处"
" Aegis"," 护盾"
" Anthem"," 圣曲"
" Arbiter"," 裁决"
" Arch"," 之弦"
" Arrow"," 箭矢"
" Badge"," 之徽"
" Band"," 灵环"
" Bane"," 禁域"
" Barb"," 利勾"
" Barrage"," 连炮"
" Barrier"," 屏障"
" Bastion"," 坚堡"
" Batter"," 重伤"
" Beads"," 宝符"
" Beak"," 尖喙"
" Beam"," 光辉"
" Bite"," 慧齿"
" Blast"," 炎暴"
" Blow"," 强击"
" Blunt"," 圣拳"
" Bolt"," 重矢"
" Bond"," 护环"
" Braid"," 护链"
" Branch"," 森灵"
" Brand"," 神章"
" Breaker"," 坏甲者"
" Breeze"," 风语"
" Brow"," 坚额"
" Buckle"," 腹甲"
" Bulwark"," 守护"
" Burst"," 地裂"
" Butcher"," 屠斧"
" Call"," 灵唤"
" Carapace"," 魔甲"
" Caress"," 加护"
" Chant"," 圣曲"
" Charm"," 礼器"
" Choker"," 圣符"
" Circle"," 魔环"
" Clasp"," 扣环"
" Claw",暗影爪
" Cloak"," 隐袍"
" Clutches"," 灵掌"
" Coat"," 神袍"
" Coil"," 指套"
" Collar"," 颈符"
" Cord"," 护腰环"
" Corona"," 阳光之冠"
" Cowl"," 护冠"
" Crack"," 裂骨锤"
" Crown"," 皇家之冠"
" Crusher"," 冲锋锤"
" Cry"," 战具"
" Curtain"," 夜幕"
" Dart"," 利芒"
" Dash"," 疾影"
" Dome"," 圆顶盔"
" Duty"," 哨卫"
" Emblem"," 荣耀之纹"
" Etcher"," 骨雕"
" Eye"," 之眼"
" Fang"," 利牙"
" Fend"," 铁卫"
" Finger"," 闪耀之指"
" Fingers"," 护指套"
" Fist"," 力量之拳"
" Fletch"," 利眼"
" Flight"," 飞矢"
" Girdle"," 护带"
" Glance"," 护盔"
" Glare"," 眩光"
" Globe"," 圆体"
" Gnarl"," 灵曲"
" Gnash"," 石崩"
" Goad"," 风唤"
" Gorget"," 安魂符"
" Grasp"," 魂掌"
" Grinder"," 灵杵"
" Grip"," 灵指"
" Guard"," 军卫"
" Guardian"," 守卫者"
" Guide"," 真眼"
" Gutter"," 剖刃"
" Gyre"," 风环"
" Hail"," 寻风矢"
" Halo"," 虹影"
" Hand"," 健臂"
" Harness"," 腹套"
" Heart"," 护心符"
" Hide"," 防身甲"
" Hold"," 神力"
" Hoof"," 足迹"
" Horn"," 战角"
" Hunger"," 嗜魂具"
" Idol"," 魔偶"
" Impaler"," 穿体"
" Iridescence"," 彩虹"
" Jack"," 保身"
" Knell"," 丧仪"
" Knot"," 魔语"
" Knuckle"," 灵具"
" Lash"," 饰带"
" League"," 盟誓"
" Leash"," 护绳"
" Leer"," 斜视"
" Lock"," 坚锁"
" Locket"," 保护符"
" Loop"," 圆环"
" Mangler"," 撕裂者"
" Mantle"," 护障"
" March"," 行靴"
" Mark"," 宝记"
" Mast"," 晴空"
" Medallion"," 奖章"
" Mitts"," 护手"
" Nail"," 宝戒"
" Nails"," 掌爪"
" Needle"," 魔针"
" Nock"," 影弦"
" Noose"," 护颈索"
" Pace"," 步伐"
" Palm"," 护掌"
" Paw"," 护指"
" Peak"," 独峰"
" Pelt"," 韧衣"
" Pendant"," 颈饰"
" Pile"," 圣棒"
" Pillar"," 灵柱"
" Pith"," 灵光"
" Pole"," 自然之力"
" Post"," 之权"
" Quill"," 凌羽"
" Rain"," 之雨"
" Ram"," 冲撞者"
" Razor"," 剃刃"
" Reach"," 目光"
" Rend"," 斩刃"
" Road"," 之途"
" Roar"," 咆哮"
" Rock"," 岩石"
" Rod"," 之棒"
" Rook"," 城塔"
" Rosary"," 花符"
" Ruin"," 裂毁者"
" Salvation"," 救赎者"
" Sanctuary"," 殿堂"
" Saw"," 之锯"
" Scalpel"," 剖刀"
" Scarab"," 圣物"
" Scratch"," 刃痕"
" Sever"," 断魂者"
" Shackle"," 缚灵"
" Shatter"," 裂空"
" Shell"," 坚壳"
" Shelter"," 避难所"
" Shot"," 啸空矢"
" Shroud"," 幽影"
" Siege"," 破城弩"
" Skewer"," 锐刃"
" Skin"," 钢肤"
" Slayer"," 裂劈"
" Slicer"," 斩灭"
" Slippers"," 凉靴"
" Smasher"," 巨锤"
" Snare"," 浮云"
" Sole"," 之足"
" Song"," 之曲"
" Span"," 漫幕"
" Spark"," 夜星"
" Spawn"," 再生"
" Spear"," 长锋"
" Spell"," 之术"
" Sphere"," 天体"
" Spike"," 尖矢"
" Spiker"," 锋刃"
" Spiral"," 之旋"
" Spire"," 术涡"
" Splitter"," 切割者"
" Spur"," 套靴"
" Star"," 之星"
" Stinger"," 刺针"
" Strap"," 缚带"
" Stride"," 行靴"
" Strike"," 战弦"
" Suit"," 战服"
" Sunder"," 大地震击"
" Talisman"," 魔符"
" Talons"," 爪锋"
" Tether"," 束灵"
" Thirst"," 渴望"
" Thread"," 绸带"
" Thresher"," 之链"
" Thunder"," 雷鸣"
" Torc"," 颈环"
" Touch"," 温存"
" Tower"," 之塔"
" Track"," 踪迹"
" Trail"," 远道"
" Tread"," 漫步"
" Turn"," 弯环"
" Twine"," 无尽之弦"
" Twirl"," 之轮"
" Urge"," 迅步"
" Veil"," 之幕"
" Visage"," 慧眼"
" Vise"," 猛钳"
" Visor"," 真视"
" Volley"," 和谐之弦"
" Ward"," 真实之卫"
" Watch"," 眺望"
" Weaver"," 织术者"
" Whorl"," 螺旋"
" Wish"," 希望"
" Wind"," 破风"
" Wing"," 光翼"
" Wrap"," 覆身"
" Wreck"," 遗骸"
" Cast"," 之模"
" Line"," 之线"
" Tackle"," 捕绳"
" Lure"," 诱饵"
" Bait"," 之饵"
" Fish"," 鱼影"
" Breach"," 裂隙"
" Angler"," 长竿"
" Sinker"," 沉笼"
" Chum"," 诱捕者"
" Gill"," 鳃网"
" Jig"," 跳笼"
" Prism",棱镜
" Hope",希望
" Dream",梦境
" Bliss",明亮
" Delirium",迷幻
" Solace",抚慰
" Wisdom",智慧
" Desire",渴望
" Creed",教则
" Wound",伤口
" Blood",鲜血
" Scar",疮疤
" Drop",水滴
" Essence",精华
" Dew",露水
" Ichor",蚀骨
" Sliver",流银
" Splinter",碎片
" Vessel"," 之器"
" Joy",欢愉
" Cut",切口
" Glimmer",光泽
" Glisten",色泽
" Shine",光芒
" Ember",余烬
" Lens",透镜
" Bloom",繁花
" Breath",之息
" Pause",歇息
" Ornament",之饰
" Curio",逸品
" Flame",火焰
" Gaze"," 凝视"
" Stare"," 注视"
" Vision"," 视野"
" Portent"," 预兆"
" Sight"," 远目"
" Oculus"," 眼体"
" Orb"," 天球"
" Sepulchre"," 墓场"
" Stone",赠礼
" Writ"," 书状"
" Oath"," 誓约"
" Deed"," 证书"
" Scripture"," 经书"
" Orders"," 命令"
" Pledge"," 抵押"
" Manifesto"," 宣言"
" Pact"," 协约"
" Covenant"," 协议"
" Testament"," 证据"
" Vow"," 誓言"
" Tool"," 工具"
" Kit"," 工具包"
" Gear"," 道具"
" Implement"," 器具"
" Device"," 装置"
" Apparatus"," 器械"
" Instrument"," 仪器"
" Material"," 材料"
" Equipment"," 装备"
" Contraption"," 设备"
" Disguise"," 伪装"
" Cover"," 掩护"
" Bauble"," 装扮"
" Trinket"," 饰品"
" Fetish"," 恋物"
" Bead"," 珠子"
" Relic"," 圣物"
" Invitation"," 邀请"
" Passage"," 通道"
" Key"," 钥匙"
" Offer"," 奉献"
" Summons"," 召唤"
" Bid"," 旨意"
" Excursion"," 远足的"
" Undertaking"," 事业的"
" Enterprise"," 进取的"
" Exploration"," 探索"
" Journey"," 旅程"
" Expedition"," 先祖秘藏"
" Voyage"," 远航"
" Trek"," 远行"
" Campaign"," 战役"
" Quest"," 使命"
" Mission"," 任务"
" Colony"," 殖民地"
" Outpost"," 哨站"
" Mandate"," 办理"
" Territory"," 地盘"
" Lands"," 土地"
" Excavation"," 挖掘场"
" Tale"," 故事"
" Saga"," 传说"
" Myth"," 神话"
" Ballad"," 歌谣"
" Folktale"," 民间故事"
