"(Inherent effects from having Rage are:",（你将从怒火中获得：
"1% increased Attack Damage per 1 Rage","每 1 点怒火使攻击伤害提高 1%"
"1% increased Attack Speed per 2 Rage","每 2 点怒火使攻击速度提高 1%"
"1% increased Movement Speed per 5 Rage)","每 5 点怒火使移动速度提高 1%）"
"(Virulence is granted by the Herald of Agony Skill)",(毒力可以通过苦痛之捷技能获得)
"(These are consecutive)",(这些都是连续的)
"(Each Conflux means all damage causes that Ailment)",(每一种汇流代表所有的伤害会触发该属性的异常状态)
"(Tailwind increases Action Speed by 8%)",(提速尾流使你行动速度提升8%)
"(Fortify grants 20% reduced Damage Taken from Hits)","( 护体减少 20% 被击中的伤害 )"
"(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits)","(当一个被穿刺的敌人被击中，该次击中物理伤害的 10% 会因穿刺而施加给该敌人。穿刺效果可以维持 5 次击中)"
