"Absolution of Inspiring","격려의 면죄"
"Animate Guardian of Smiting","징벌의 수호자 기동"
"Animate Weapon of Ranged Arms","원거리 병기의 무기 기동"
"Animate Weapon of Self Reflection","자기 반사의 무기 기동"
"Arc of Oscillating","뇌동의 연쇄 번개"
"Arc of Surging","쇄도의 연쇄 번개"
"Armageddon Brand of Recall","소환의 종말의 낙인"
"Armageddon Brand of Volatility","일촉즉발의 종말의 낙인"
"Ball Lightning of Orbiting","공전의 구형 번개"
"Ball Lightning of Static","정전기의 구형 번개"
"Bane of Condemnation","규탄의 파멸"
"Barrage of Volley Fire","일제 포격의 연발 사격"
"Bear Trap of Skewers","꼬챙이의 곰 덫"
"Blade Blast of Dagger Detonation","단검 폭파의 칼날 폭격"
"Blade Blast of Unloading","난사의 칼날 폭격"
"Blade Flurry of Incision","절개의 질풍의 칼날"
"Blade Trap of Greatswords","대검의 칼날 덫"
"Blade Trap of Laceration","열상의 칼날 덫"
"Blade Vortex of the Scythe","낫의 칼날 소용돌이"
"Bladefall of Impaling","꿰뚫기의 칼날비"
"Bladefall of Volleys","사격 공세의 칼날비"
"Bladestorm of Uncertainty","불확실성의 칼날 폭풍"
"Blight of Atrophy","위축의 황폐"
"Blight of Contagion","전염의 황폐"
"Blink Arrow of Bombarding Clones","포격 분신의 점멸 화살"
"Blink Arrow of Prismatic Clones","분광 분신의 점멸 화살"
"Bodyswap of Sacrifice","희생의 신체 전환"
"Boneshatter of Carnage","살육의 뼈 박살"
"Boneshatter of Complex Trauma","복합 외상의 뼈 박살"
"Burning Arrow of Vigour","활력의 불타는 화살"
"Caustic Arrow of Poison","독의 부식성 화살"
"Cleave of Rage","격노의 회전베기"
"Cold Snap of Power","권능의 한파"
"Consecrated Path of Endurance","인내의 축성의 진격"
"Contagion of Subsiding","침하의 전염"
"Contagion of Transference","전이의 전염"
"Crackling Lance of Branching","파생의 치직대는 창"
"Crackling Lance of Disintegration","분해의 치직대는 창"
"Cremation of Exhuming","발굴의 시체 소각"
"Cremation of the Volcano","화산의 시체 소각"
"Cyclone of Tumult","소동의 회오리바람"
"Detonate Dead of Chain Reaction","연쇄 반응의 시체 폭발"
"Detonate Dead of Scavenging","청소부의 시체 폭발"
"Discharge of Misery","비참의 방출"
"Divine Ire of Disintegration","분해의 신성한 진노"
"Divine Ire of Holy Lightning","상서로운 번개의 신성한 진노"
"Dominating Blow of Inspiring","격려의 지배의 맹타"
"Double Strike of Impaling","꿰뚫기의 이중 타격"
"Double Strike of Momentum","기세의 이중 타격"
"Dual Strike of Ambidexterity","양손잡이의 쌍수 타격"
"Earthquake of Amplification","증폭의 지진"
"Earthshatter of Fragility","허약의 지면 분쇄"
"Earthshatter of Prominence","출중의 지면 분쇄"
"Essence Drain of Desperation","필사의 정수 흡수"
"Essence Drain of Wickedness","사악함의 정수 흡수"
"Ethereal Knives of Lingering Blades","지속되는 칼날의 천상의 단도"
"Ethereal Knives of the Massacre","도륙의 천상의 단도"
"Explosive Concoction of Destruction","파괴의 폭발성 혼합물"
"Explosive Trap of Magnitude","규모의 폭발 덫"
"Explosive Trap of Shrapnel","파편의 폭발 덫"
"Exsanguinate of Transmission","전송의 방혈"
"Eye of Winter of Finality","종극의 겨울의 눈"
"Eye of Winter of Transience","덧없음의 겨울의 눈"
"Fire Trap of Blasting","폭발의 화염 덫"
"Firestorm of Meteors","유성의 화염 폭풍"
"Firestorm of Pelting","퍼부음의 화염 폭풍"
"Flame Dash of Incinerating","소각의 화염 질주"
"Flame Dash of Return","귀환의 화염 질주"
"Flame Surge of Combusting","발화의 화염 쇄도"
"Flameblast of Celerity","민첩함의 화염파"
"Flameblast of Contraction","수축의 화염파"
"Flicker Strike of Power","권능의 점멸 타격"
"Forbidden Rite of Soul Sacrifice","영혼 희생의 금단의 의식"
"Frenzy of Onslaught","맹공의 격분"
"Frost Blades of Katabasis","퇴각의 서리 칼날"
"Frost Bomb of Forthcoming","임박의 서리 폭탄"
"Frost Bomb of Instability","불안정의 서리 폭탄"
"Frostblink of Wintry Blast","차가운 폭발의 서리점멸"
"Frozen Legion of Rallying","재집결의 얼어붙은 군단"
"Galvanic Arrow of Energy","에너지의 충격 화살"
"Galvanic Arrow of Surging","쇄도의 충격 화살"
"Galvanic Field of Intensity","격렬함의 충격장"
"Glacial Cascade of the Fissure","균열의 빙하 폭포"
