"Detect Evil","악 감지"
"Your Hits against Marked Enemy cannot be Blocked or Suppressed","징표 찍힌 적을 대상으로 플레이어의 명중이 막히거나 억제되지 않음"
"Rare and Unique Enemies within 120 metres have Minimap Icons","120미터 내 희귀 및 고유 적이 미니맵에 아이콘으로 표시"
"Nature's Concoction","자연의 혼합물"
"Flasks adjacent to applied Tincture gain 3 charges when you Hit an Enemy with a Weapon, no more than once every second","무기로 적 명중 시 적용된 팅크에 인접한 플라스크 3 충전, 1초마다 최대 1번 충전"
"Flasks adjacent to applied Tincture have 30% increased Effect when used if you've Hit an enemy with a Weapon Recently","최근 4초 이내 무기로 적 명중 시, 적용된 팅크에 인접한 플라스크의 사용 시 효과 30% 증가"
"Coated Blade","칠한 칼날"
"Can apply Tinctures to your Equipped Weapons","장착한 무기에 팅크 적용 가능"
"Enduring Suffusion","격화한 확산"
"Tinctures applied to you have 75% increased Effect per empty Flask Slot","빈 플라스크 슬롯 1개당 자신에게 적용된 팅크의 효과 75% 증가"
"Wildwood Blessing","야생림의 축복"
"Grants Level 20 Barkskin Skill","20레벨 껍질피부 스킬 사용 가능"
"(Adopt the power of the Viridian Wildwood, gradually covering your body in bark. Getting hit by enemy attacks causes bark to be removed.","취록의 야생림의 힘을 받아들여, 서서히 몸을 껍질로 뒤덮습니다. 적의 공격에 피격당하면 껍질이 사라집니다."
"You have higher armour the more bark builds up, but higher chance to evade when less covered in bark)","껍질에 더 뒤덮일수록 방어도가 높아지지만, 껍질이 적을수록 회피 확률이 높아집니다.)"
"Lesson of the Seasons","계절의 가르침"
"10% chance to Avoid non-Damaging Ailments on you per Bark below maximum","최대치에 미달하는 껍질 하나당 10%의 확률로 플레이어에게 적용되는 비-피해 상태 이상 긴급회피"
"10% reduced Duration of Damaging Ailments on you per Bark","플레이어에게 적용된 피해를 주는 상태 이상의 지속시간이 껍질 하나당 10% 감소"
"(Ailments that do not deal Damage are Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)","피해를 가하지 않는 상태 이상 - 그을림, 냉각, 동결, 허약, 감전, 활력 감소"
"(Ailments that deal Damage are Bleeding, Ignited, and Poisoned)","피해를 가하는 상태 이상 - 출혈, 점화, 중독"
"Oath of the Maji", "마지의 서약"
"Defences from Equipped Body Armour are doubled if it has no Socketed Gems","장착한 갑옷에 장착된 젬이 없을 경우 해당 갑옷으로 얻는 방어력이 2배로 증가"
"+50% to all Elemental Resistances if you have an Equipped Helmet with no Socketed Gems","장착된 젬이 없는 투구를 장착 중인 경우 모든 원소 저항 +50%"
"25% increased Maximum Life if you have Equipped Gloves with no Socketed Gems","장착된 젬이 없는 장갑 장착 시 생명력 최대치 25% 증가"
"30% increased Movement Speed if you have Equipped Boots with no Socketed Gems","장착된 젬이 없는 장화 장착 시 이동 속도 30% 증가"
"Vivid Wisps found","혈기 도끼비물 발견"
"10% increased Quantity of Vivid Wisps found in the Viridian Wildwood","취록의 야생림에 발견하는 혈기 도깨비불 수량 10% 증가"
"Charm Socket","부적 슬롯"
"Primal Wisps found","원시 도깨비불 발견"
"10% increased Quantity of Primal Wisps found in the Viridian Wildwood","취록의 야생림에서 발견하는 원시 도깨비불 수량 10% 증가"
"Might of the Bear","곰의 완력"
"5% increased Character Size","캐릭터 크기 5% 증가"
"Equip a Wildwood Rucksack which has 20 Inventory Slots","소지품창 슬롯이 20개인 야생림 등짐 가방 장착"
"Howl of the Wolf","늑대의 포효"
"Your Warcries attempt to shake extra items from Corpses","함성이 시신을 흔들어 추가 아이템을 떨어뜨리려 시도"
"Your Warcries open Chests","플레이어가 함성을 사용하면 상자가 열림"
"Blood Hunt","피의 사냥"
"Grants Level 20 Ravenous Skill","20레벨 굶주린 스킬 사용 가능"
"Cannibalised Faith","식인의 신념"
"Spells you cast yourself gain Added Physical Damage equal to 75% of Life Cost, if Life Cost is not higher than the maximum you could spend","생명력 소모량이 소모할 수 있는 최대 생명력보다 크기 않을 경우, 주문 집적 시전 시 생명력 소모량의 75%와 동일한 추가 물리 피해를 얻음"
"Wild Wisps found","야생 도깨비불 발견"
"10% increased Quantity of Wild Wisps found in the Viridian Wildwood","취록의 야생림에서 발견하는 야생 도깨비불 수량 10% 증가"
"Sanguimancy","혈액술"
"Skills Cost Life instead of Mana","스킬이 마나 대신 생명력 소모"
"Skills Reserve Life instead of Mana","스킬이 마나 대신 생명력 점유"
"Removes all Mana","모든 마나 제거"
"50% increased Life Reservation Efficiency of Skills","스킬의 생명력 점유 효율 50% 증가"
"Crimson Power","진홍색 힘"
"Removes all Energy Shield","모든 에너지 보호막 제거"
"Gain Maximum Life instead of Maximum Energy Shield from Equipped Armour Items","장착한 방어구 아이템으로부터 에너지 보호막 최대치 대신 생명력 최대치를 얻음"
"-6 Maximum Life per Level","1레벨당 최대 생명력 -6"
"(Characters inherently gain +12 Life per Level)","(캐릭터가 기본적으로 1레벨당 생명력 +12 획득)"
"Soul Splitting","영혼 분할"
"Grants Level 20 Summon Dark Effigy Skill","20레벨 어둠의 제웅 소환 스킬 사용 가능"
"Foul Pact","추악한 맹약"
"Enemies Pacified by you take 20% increased Damage","플레이어가 진정시킨 적이 받는 피해 20% 증가"
"Minions affected by Affliction have Onslaught","고난의 영향을 받는 소환수가 맹공 획득"
"Phantasms from Penance Mark have a 50% chance to grant a Vaal Soul on Death","속죄의 징표로 생성되는 환영이 처치당할 시 50%의 확률로 바알 영혼 제공"
"Phantasms from Penance Mark grant 50% increased Flask Charges","속죄의 징표로 생성되는 환영이 부여하는 플라스크 충전량 50% 증가"
"Black Mass","검은 미사"
"Grants Level 20 Affliction Skill","20레벨 고난 스킬 사용 가능"
"(You can only take one of the three Warlock Power passives)","세 개의 마법사의 힘 패시브 중 하나만 선택할 수 있습니다)"
"(Affliction permanently Afflicts any of your damageable minions in a targeted area, causing them to take physical damage over time, at an accelerating rate.","(고난은 목표 지역 내의 피해를 받을 수 있는 모든 소환수에게 영구적으로 고난을 내립니다. 고난을 받은 소환수는 지속 물리 피해르 받고, 피해를 받는 주기가 점점 짧아집니다."
"Each such minion causes you to regenerate life at a rate based on the current damage of it's Affliction debuff.","고난을 받은 소환수 하나마다, 해당 고난 디버프의 현재 피해량에 기반한 속도로 플레이어의 생명력이 재생됩니다."
"Afflicted Minions explode if their life is lowered to a fifth of maximum)","고난을 받은 소환수는 생명력이 최대치의 20%로 떨어지면 폭발합니다.)"
"Creeping Lobotomy","번지는 뇌엽 절제술"
"Grants Level 20 Pacify Skill","20레벨 진정 스킬 사용 가능"
"(Pacify curses all targets in an area, having no effect at first, but causing them to deal no damage once 60% of the curse's duration has expired)","진정은 범위 내의 모든 대상에게 저주를  겁니다. 처음에는 아무런 효과가 없지만, 저주의 지속시간이 60% 경과하면 저주에 걸린 적이 피해를 줄 수 없게 됩니다.)"
"Warlock Power","마법사의 힘"
"(Choose one of the three attached options)","세 선택지 중 하나를 선택하십시오."
"Choir of the Damned","저주받은 자의 합창"
"Grants Level 20 Penance Mark Skill","20레벨 속죄의 징표 스킬 사용 가능"
"(Penance Mark curses a single enemy, causing them to spawn multiple phantasms when hit. The phantasms will be allies of the marked enemy with the same monster level.","(속죄의 징표는 하나의 적에게 저주를 겁니다. 저주에 걸린 적이 피격당하면 환영들이 생성됩니다. 환영은 징표 찍힌 적의 아군이며, 같은 몬스터 레벨을 보유합니다."
