"Grace of the Goddess","여신의 은총"
"Circle of Ambition","야심의 고리"
"Grattus Signet","그라투스 인장"
"Ravenous Passion","굶주린 열정"
"The Celestial Brace","천공의 죔쇠"
"The Hand of Phrecia","프레시아의 손"
"The Tempest Rising","몰려오는 폭풍"
"The Utmost","극도"
"Nevalius Inheritance","네발리우스의 유산"
"The Apostate","배교자"
"The Devourer of Minds","정신 포식자"
"The Perandus Pact","페란두스 맹약"
"The Tides of Time","시간의 파도"
"Veruso's Ambition","베루소의 야심"

"+1 to Maximum number of Sacred Wisps","신성한 도깨비불의 최대 수 +1"
"+1 to number of Sacred Wisps Summoned","소환되는 신성한 도깨비불의 수 +1"
"{0}% increased Attack Speed per Fortification","방어 상승 하나당 공격 속도 {0}% 증가"
"Melee Hits from Strike Skills Fortify","타격 스킬로 근접 명중 시 방어 상승"
"Gain (10–15) Rage after Spending a total of 200 Mana","총 200마나 소모 시 격노 (10–15) 획득"
"Rage grants Cast Speed instead of Attack Speed","격노가 공격 속도가 아닌 시전 속도 부여"
"Rage grants Spell Damage instead of Attack Damage","격노가 공격 피해가 아닌 주문 피해 부여"
"2% reduced Flask Effect Duration per Level","1레벨당 플라스크 효과 지속시간 2% 감소"
"Flasks applied to you have 1% increased Effect per Level","1레벨당 자신에게 적용된 플라스크의 효과 1% 증가"
"Minions count as having the same number of","소환수가 플레이어와 동일한 수의"
"Endurance, Frenzy and Power Charges as you","인내, 격분, 권능 충전 보유"
"Passive Skills in Radius also grant {0} to all Attributes","반경 내 패시브 스킬이 추가로 모든 능력치 {0} 부여"
