"Blue Pearl Amulet","파란 진주 목걸이"
"Marble Amulet","대리석 목걸이"
"Jet Amulet","흑옥 목걸이"
"Paua Amulet","파우아 목걸이"
"Citrine Amulet","황수정 목걸이"
"Ruby Amulet","루비 목걸이"
"Coral Amulet","산호 목걸이"
"Amber Amulet","호박 목걸이"
"Jade Amulet","비취 목걸이"
"Lapis Amulet","청금석 목걸이"
"Gold Amulet","황금 목걸이"
"Onyx Amulet","오닉스 목걸이"
"Turquoise Amulet","터키석 목걸이"
"Agate Amulet","마노 목걸이"
"Black Maw Talisman","검은 턱 부적"
"Mandible Talisman","아래턱 부적"
"Chrysalis Talisman","번데기 부적"
"Writhing Talisman","꿈틀거리는 부적"
"Bonespire Talisman","뼈 첨탑 부적"
"Ashscale Talisman","재비늘 부적"
"Lone Antler Talisman","외가지뿔 부적"
"Deep One Talisman","심해의 존재 부적"
"Breakrib Talisman","골절늑골 부적"
"Deadhand Talisman","죽은 손 부적"
"Undying Flesh Talisman","산 송장 살점 부적"
"Rot Head Talisman","썩은 머리 부적"
"Hexclaw Talisman","사술발톱 부적"
"Primal Skull Talisman","원시 해골 부적"
"Wereclaw Talisman","변신자발톱 부적"
"Splitnewt Talisman","분할도롱뇽 부적"
"Clutching Talisman","움켜잡는 부적"
"Avian Twins Talisman","쌍둥이 새 부적"
"Fangjaw Talisman","송곳니턱 부적"
"Horned Talisman","뿔 달린 부적"
"Spinefuse Talisman","척추융합 부적"
"Three Rat Talisman","세 마리 쥐 부적"
"Monkey Twins Talisman","쌍둥이 원숭이 부적"
"Longtooth Talisman","긴 이빨 부적"
"Rotfeather Talisman","썩은 깃털 부적"
"Monkey Paw Talisman","원숭이 발 부적"
"Three Hands Talisman","세 개의 손 부적"
"Greatwolf Talisman","위대한 늑대 부적"
"Rustic Sash","소박한 띠"
"Chain Belt","사슬 허리띠"
"Leather Belt","가죽 허리띠"
"Heavy Belt","무거운 허리띠"
"Cloth Belt","헝겊 허리띠"
"Studded Belt","징 박힌 허리띠"
"Stygian Vise","명계의 조임쇠"
"Vanguard Belt","선봉대 허리띠"
"Crystal Belt","수정 허리띠"
"Golden Obi","황금 오비"
"Breach Ring","균열 반지"
"Iron Ring","철제 반지"
"Amethyst Ring","자수정 반지"
"Diamond Ring","다이아몬드 반지"
"Two-Stone Ring","쌍보석 반지"
"Unset Ring","무보석 반지"
"Coral Ring","산호 반지"
"Paua Ring","파우아 반지"
"Gold Ring","황금 반지"
"Topaz Ring","토파즈 반지"
"Sapphire Ring","사파이어 반지"
"Ruby Ring","루비 반지"
"Prismatic Ring","분광 반지"
"Moonstone Ring","월장석 반지"
"Steel Ring","강철 반지"
"Opal Ring","오팔 반지"
"Vermillion Ring","주색 반지"
"Cerulean Ring","진청색 반지"
"Golden Hoop","황금 고리"
"Astrolabe Amulet","관측기 목걸이"
"Simplex Amulet","평범한 목걸이"
"Cogwork Ring","톱니장치 반지"
"Geodesic Ring","정동석 반지"
"Jet Ring","흑옥 반지"
"Micro-Distillery Belt","섬세한 주조자 허리띠"
"Mechalarm Belt","기계 경보 허리띠"
"Thief's Trinket","도둑 장신구"
"Seaglass Amulet","바다유리 목걸이"
"Iolite Ring","근청석 반지"
"Unset Amulet","무보석 목걸이"
"Golden Mantle","황금 외투"
"Shabby Jerkin","허름한 조끼"
"Glorious Leather","영광의 가죽 갑옷"
"Coronal Leather","광환의 가죽 갑옷"
"Cutthroat's Garb","살인자의 의복"
"Sharkskin Tunic","상어가죽 튜닉"
"Destiny Leather","운명의 가죽 갑옷"
"Exquisite Leather","정교한 가죽 갑옷"
"Zodiac Leather","성좌의 가죽 갑옷"
"Assassin's Garb","암살자의 의복"
"Strapped Leather","끈을 멘 가죽 갑옷"
"Buckskin Tunic","사슴가죽 튜닉"
"Wild Leather","거친 가죽 갑옷"
"Full Leather","전신 가죽 갑옷"
"Sun Leather","태양의 가죽 갑옷"
"Thief's Garb","도둑의 의복"
"Eelskin Tunic","장어가죽 튜닉"
"Frontier Leather","개척자 가죽 갑옷"
"Padded Vest","패드 조끼"
"Crimson Raiment","진홍색 의복"
"Lacquered Garb","옻칠한 의복"
"Crypt Armour","지하실 갑옷"
"Sentinel Jacket","파수꾼 재킷"
"Varnished Coat","광택 나는 외투"
"Blood Raiment","피의 의복"
"Sadist Garb","가학자 의복"
"Carnal Armour","육욕의 갑옷"
"Oiled Vest","기름칠된 조끼"
"Padded Jacket","패드 재킷"
"Oiled Coat","기름칠된 외투"
"Scarlet Raiment","다홍색 의복"
"Waxed Garb","밀랍재질 의복"
"Bone Armour","뼈 갑옷"
"Quilted Jacket","누비 재킷"
"Sleek Coat","매끈한 외투"
"Simple Robe","단순한 로브"
"Conjurer's Vestment","요술사의 법의"
"Spidersilk Robe","거미줄 실크 로브"
"Destroyer Regalia","파괴자 예복"
"Savant's Robe","석학의 로브"
"Necromancer Silks","네크로맨서 실크 갑옷"
"Occultist's Vestment","오컬티스트의 법의"
"Widowsilk Robe","과부거미줄 실크 로브"
"Vaal Regalia","바알 예복"
"Silken Vest","실크 조끼"
"Scholar's Robe","학자의 로브"
"Silken Garb","실크 의복"
"Mage's Vestment","마법사의 법의"
"Silk Robe","실크 로브"
"Cabalist Regalia","비법가 예복"
"Sage's Robe","현자의 로브"
"Silken Wrap","실크 외투"
"Plate Vest","판금 조끼"
"Sun Plate","태양의 판금 갑옷"
"Colosseum Plate","원형 경기장 판금 갑옷"
"Majestic Plate","압도적인 판금 갑옷"
"Golden Plate","황금 판금 갑옷"
"Crusader Plate","십자군 판금 갑옷"
"Astral Plate","우주의 판금 갑옷"
"Gladiator Plate","검투사 판금 갑옷"
"Glorious Plate","영광의 판금 갑옷"
"Chestplate","가슴 보호 갑옷"
"Copper Plate","구리 판금 갑옷"
"War Plate","전쟁용 판금 갑옷"
"Full Plate","전신 판금 갑옷"
"Arena Plate","투기장 판금 갑옷"
"Lordly Plate","위풍당당한 판금 갑옷"
"Bronze Plate","청동 판금 갑옷"
"Battle Plate","전투용 판금 갑옷"
"Scale Vest","미늘 조끼"
"Full Wyrmscale","전신 아룡 비늘 갑옷"
"Commander's Brigandine","지휘관의 브리간딘"
"Battle Lamellar","전투용 라멜라"
"Dragonscale Doublet","용 비늘 더블릿"
"Desert Brigandine","사막 브리간딘"
"Full Dragonscale","전신 용 비늘 갑옷"
"General's Brigandine","장군의 브리간딘"
"Triumphant Lamellar","승리의 라멜라"
"Light Brigandine","가벼운 브리간딘"
"Scale Doublet","비늘 더블릿"
"Infantry Brigandine","보병 브리간딘"
"Full Scale Armour","전신 미늘 갑옷"
"Soldier's Brigandine","병사용 브리간딘"
"Field Lamellar","야전 라멜라"
"Wyrmscale Doublet","아룡 비늘 더블릿"
"Hussar Brigandine","경기병 브리간딘"
"Sacrificial Garb","희생의 의복"
"Chainmail Vest","사슬 조끼"
"Ornate Ringmail","화려한 고리 갑옷"
"Chain Hauberk","쇠사슬 갑옷"
"Devout Chainmail","신도 사슬 갑옷"
"Loricated Ringmail","단단한 고리 갑옷"
"Conquest Chainmail","점령자의 사슬 갑옷"
"Elegant Ringmail","고상한 고리 갑옷"
"Saint's Hauberk","성인의 쇠사슬 갑옷"
"Saintly Chainmail","성인의 사슬 갑옷"
"Chainmail Tunic","사슬 튜닉"
