"# of Nearby Corpses:","근처 시체 수:"
"% to not Consume:","충전 미-소모 확률:"
"%Inc Armour from Tree","방어도 증가%(패시브)"
"%Inc ES from Tree","에너지 보호막 증가%(패시브)"
"%Inc Evasion from Tree","회피 증가%(패시브)"
"%Inc Life from Tree","생명력 증가%(패시브)"
"%Inc Mana from Tree","마나 증가%(패시브)"
"(1 - chance to avoid stun)","(1- 기절 긴급회피 확률)"
"(1 / duration - trauma per second * increased attack speed per trauma / 100)","(1 / 지속시간 - 초당 외상 x 외상 공격 속도 증가 / 100)"
"(Ailment Threshold is about equal to Life except on bosses where it is about half of their life)","^8(특정 상태이상 임계치를 가지고 있는 보스를 제외하고, 상태이상 임계치는 생명력 절반 정도와 거의 같습니다.)"
"(Bleed duration / Attack Time)","^8(출혈 지속시간 / 공격 시간)"
"(Ignite Duration / Cast Time)","(점화 지속시간 / 시전 속도)"
"(ailment threshold is about equal to life, except on bosses that have specific ailment thresholds)","^8(특정 상태이상 임계치를 가지고 있는 보스를 제외하고, 상태이상 임계치는 생명력과 거의 같습니다.)"
"(attacks per second)","(초당 공격)"
"(average exerted damage)","(평균 전령 공격 피해)"
"(average warcry cooldown)","(평균 함성 재사용 대기시간)"
"(base damage from skill multiplied by base damage multiplier)","(스킬의 기본 피해에 기본 피해 배율을 곱한 값)"
"(base damage from weapon multiplied by base damage multiplier)","(무기의 기본 피해에 기본 피해 배율을 곱한 값)"
"(base life for a level {0} monster)","({0}레벨 몬스터의 기본 생명력)"
"(base)","(기본)"
"(extra ICDR of {0}% would reach next breakpoint)","(재사용 대기시간 회복속도가 {0}% 추가 증가하면 다음 중단점에 도달합니다)"
"(number of exerts)","(최대 전력 공격)"
"(portion of damage from crits)","(치명타 피해의 부분)"
"(portion of damage from non-crits)","(비-치명타 피해의 부분)"
"(the above table shows that when the enemy has X ailment threshold, you bleed for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 출혈을 주는 것을 보여줍니다)"
"(the above table shows that when the enemy has X ailment threshold, you brittle for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 허약을 주는 것을 보여줍니다)"
"(the above table shows that when the enemy has X ailment threshold, you chill for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 냉각을 주는 것을 보여줍니다)"
"(the above table shows that when the enemy has X ailment threshold, you freeze for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 동결을 주는 것을 보여줍니다)"
"(the above table shows that when the enemy has X ailment threshold, you ignite for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 점화를 주는 것을 보여줍니다)"
