"Active Mines:","사용가능한 소환수"
"Active Skill:","활성화 스킬:"
"Aura and Buff Skills:","오라와 버프 스킬"
"Battlemage's Cry:","전투마법사의 함성:"
"Buffed","버프 있음"
"Buffed: Aura and buff skills apply. This is equivalent to standing in your hideout with auras and buffs turned on.","버프있음 : 오라와 버프 스킬이 적용됩니다. 이것은 오라와 버프를 켠 상태로 은신처에 서있는 것과 같습니다."
"Calculation Mode:","계산 모드:"
"Combat Buffs:","전투 버프:"
"Condition: Chilled","조건: 냉각"
"Curses and Debuffs:","저주와 디버프:"
"Effective DPS","유효 DPS"
"Effective DPS: Curses and enemy properties (such as resistances and status conditions) will also apply. This estimates your true DPS.","유효 DPS: 적의 저항 및 상태 조건과 같은 저주 및 적 속성의 영향을 받습니다. 이는 실제 DPS의 추정치를 나타냅니다."
"Effective Recharge rate:","유효 재충전 속도:"
"Energy Shield Recharge Applies To Life","에너지 보호막 재충전이 생명력에 적용"
"Energy Shield Regeneration:","에너지 보호막 재생:"
"Guaranteed Chills:","보장된 냉각:"
"Guard Absorb Limit","수호 흡수 한계"
"Guard Absorb Rate","수호 흡수 속도"
"In Combat","전투에서"
"In Combat: Charges and combat buffs such as Onslaught will also apply. This will show your character sheet stats in combat.","전투 상태: 돌격과 맹공과 같은 전투 버프의 영향을 받습니다. 이것은 전투에서 캐릭터의 통계를 표시합니다."
"Increased Mana Regeneration Rate:","마나 재생 속도 증가:"
"Lesser Brutal Shrine","난폭화의 성소"
"Lesser Massive Shrine","거대화의 성소"
"Life Regeneration:","생명력 재생:"
"Manage Spectres...","망령 관리..."
"Minion Skill:","소환수 스킬:"
"Minion:","소환수:"
"More Life Regeneration Rate:","생명력 재생 속도 감폭:"
"Physical Damage Taken As Chaos","물리 피해를 카오스 피해로 받음"
"Show Minion Stats:","소환수 상태 보기:"
"Show stats for the minion instead of the player.","플레이어가 아닌 소환수 데이터 표시"
"Skill Part:","스킬 부분:"
"Skill Stages:","스킬 단계:"
"Socket Group:","소켓 그룹:"
"Spectre Library:","망령 라이브러리:"
"The stats in the sidebar are always shown in Effective DPS mode, regardless of this setting.","사이드바의 통계 데이터는 이 설정에 관계없이 항상 유효한 DPS 모드로 표시됩니다."
"This controls the calculation of the stats shown in this tab.","이 탭에 표시되는 통계 계산을 제어합니다."
"Unaffected by Life Regen","생명력 재생의 영향을 받지 않음"
"Unbuffed","버프 없음"
"Unbuffed: No auras, buffs, or other support skills or effects will apply. This is equivalent to standing in town.","버프없음: 오라, 버프 또는 기타 지원 기술이나 효과가 적용되지 않습니다. 이것은 마을에 서있는 것과 같습니다."
"View Skill Details:","스킬 세부 정보 보기:"
"Avian's Flight","새의 비행"
"Condition: Not Affected By Vaal Smite","조건: 바알 징벌의 영향을 받지 않음"
"Lightning Golem Wrath","번개 골렘의 진노"
"Summon Sentinel of Radiance:","광휘의 파수꾼 소환:"
"from Summon Sentinel of Radiance","광휘의 파수꾼 소환에서"
"20x Summon Raging Spirit:","격노의 유령 소환 x20:"

