"	-10% to all Resistances","	모든 원소 저항 -10%"
"	1% increased Attack Damage per 1 Rage","	격노 1마다 공격 피해 1% 증가"
"	1% increased Attack Speed per 2 Rage","	격노 2마다 공격 속도 1% 증가"
"	1% increased Movement Speed per 5 Rage","	격노 5마다 이동 속도 1% 증가"
"	1% increased character size per stack.","	중첩당 캐릭터 크기 1% 증가"
"	10% additional Physical Damage Reduction","	물리 피해 10% 추가 감소"
"	100% increased Damage","	피해 100% 증가"
"	100% increased chance to be Critically Hit","	치명타 확률 100% 증가"
"	15% Chance to Avoid all Damage from Hits","	15% 적중으로 인한 모든 피해를 피할 수있는 기회"
"	20% increased Cold Damage taken","^xFFFFFF받는 ^x3F6DB3냉기^7 피해 20% 증가"
"	20% increased Fire Damage taken","^xFFFFFF받는 ^xB97123화염^7 피해 20% 증가"
"	20% less Movement Speed","이동 속도 20% 감소"
"	30% increased Movement Speed","	이동 속도 30% 증가"
"	5% increased attack speed","	공격 속도 5% 증가"
"	5% increased cast speed","	공격 시전 5% 증가"
"	50% less Critical Strike Chance","치명타 확률 50% 감폭"
"	Average: Averages out Warcry usage with cast time, attack speed and warcry cooldown .","	평균: 함성의 시전 시간, 공격 속도 및 재사용 대기 시간을 평균화합니다."
"	Average: Damage Reduction from Defending with Double Armour is proportional to chance","	평균: 두 배 방어도로 방어하는데 따른 피해 감소는 확률에 비례합니다."
"	Average: Modifiers will grant one third of their value to Fire, Cold, and Lightning simultaneously","	^7평균: 수정자는 해당 값의 1/3을 ^xB97123화염^7 /^x3F6DB3 냉기^7 /^xADAA47 번개^7에 동시에 부여합니다."
"	Average: damage is based on the average application, including both crits and non-crits","	평균: 치명타와 비-치명타를 포함해서 상태 이상 피해의 평균을 계산합니다."
"	Average: includes burst regen, averaged based on uptime","	평균: 잠시 발생하는 생명력 재생을 포함해서 재생되는 동안의 평균을 계산합니다."
"	Average: uses the Average of all damage types","	평균: 모든 피해 유형의 평균을 사용합니다."
"	Average: uses the Average of all typed damage types (not Untyped)","	평균: 모든 유형의 피해 유형의 평균을 사용합니다.(유형이 지정되지 않음)"
"	Average: uses the Average of all typed damage types (except Damage Over Time and Untyped)","	평균: 모든 유형의 피해 유형의 평균을 사용합니다.(지속 피해 및 유형이 지정되지 않은 피해는 제외)"
"	Burst: includes full burst regen","	돌발: 잠시 발생하는 생명력 재생을 포함해서 전체 재생을 계산합니다."
"	Crits Only: damage is based solely on Ailments inflicted with crits","	치명타만: 피해는 전적으로 치명타로 가해진 상태 이상을 기준으로 계산합니다."
"	Each Magic enemy grants 2 Power","	마법 몬스터는 위세 2"
"	Each Normal enemy grants 1 Power","	일반 몬스터는 위세 1"
"	Each Rare enemy grants 10 Power","	희귀 몬스터는 위세 10"
"	Each Rare enemy grants 20 Power","	고유 몬스터는 위세 20"
"	Each Unique enemy grants 20 Power","	고유 몬스터는 위세 20"
"	Fire / Cold / Lightning: Modifiers will grant their full value as the specified element","	^xB97123화염^7 /^x3F6DB3 냉기^7 /^xADAA47 번개^7: 수정자는 지정된 요소에 전첵밧을 부여합니다."
"	Max Hit: Shows maximum hit for lining up all warcries.","	최대 적중: 모든 함성을 정렬한 후 최대 명중을 표시합니다."
"	Maximum: always Defend with Double Armour","	최대: 항상 두 배의 방어도로 방어하는 것으로 계산합니다."
"	Minimum: calculates each one and uses the worst","	최소: 각 값을 계산하고 최악의 값을 사용합니다."
"	Minimum: does not include burst regen","	최소: 잠시 발생하는 생명력 재생 효과는 포함하지 않습니다."
"	Minimum: never Defend with Double Armour","	최소: 절대 두 배의 방어도를 방어하지 않는 것으로 계산합니다."
"	Most monsters and the players' character are this size.","	대부분의 몬스터와 플레이어의 캐릭터는 이 크기입니다."
"	Profane Bloom","	부정한 꽃"
"	This is the size of most humanoid bosses (i.e. The Maven; The Shaper; Izaro)","이것은 보통 인간형 보스들의 크기입니다. (예: 메이븐, 쉐이퍼, 이자로)"
"	This is the size of some larger bosses (i.e. King Kaom; Vaal Oversoul)","이것은 일부 더 큰 보스의 크기입니다. (예: 카옴 왕, 바알 신령)"
"	This is the size of some of the largest bosses (i.e. Nucleus of the Maven; Tsoagoth, The Brine King)","이것은 일부 가장 큰 보스의 크기입니다. (예: 메이븐의 핵, 염수왕 소아고스)"
"   (14 to 17)% increased Monster Damage","   몬스터 피해 (14~17)% 증가"
"   (15 to 20)% increased Monster Movement Speed","   몬스터의 이동 속도 (15 ~ 20)% 증가"
"   (18 to 21)% increased Monster Damage","   몬스터 피해 (18~21)% 증가"
"   (20 to 25)% increased Monster Attack Speed","   몬스터의 공격 속도 (20 ~ 25)% 증가"
"   (20 to 25)% increased Monster Cast Speed","   몬스터의 시전 속도 (20 ~ 25)% 증가"
"   (20 to 25)% increased Monster Movement Speed","   몬스터의 이동 속도 (20 ~ 25)% 증가"
"   (22 to 25)% increased Monster Damage","   몬스터 피해 (22~25)% 증가"
"   (25 to 30)% increased Monster Movement Speed","   몬스터의 이동 속도 (25 ~ 30)% 증가"
"   (25 to 35)% increased Monster Attack Speed","   몬스터의 공격 속도 (25 ~ 35)% 증가"
"   (25 to 35)% increased Monster Cast Speed","   몬스터의 시전 속도 (25 ~ 35)% 증가"
"   (35 to 45)% increased Monster Attack Speed","   몬스터의 공격 속도 (35 ~ 45)% 증가"
"   (35 to 45)% increased Monster Cast Speed","   몬스터의 시전 속도 (35 ~ 45)% 증가"
"   +(30 to 35)% to Monster Critical Strike Multiplier","   몬스터의 치명타 피해 배율 +(30~35)%"
"   +(36 to 40)% to Monster Critical Strike Multiplier","   몬스터의 치명타 피해 배율 +(36~40)%"
"   +(41 to 45)% to Monster Critical Strike Multiplier","   몬스터의 치명타 피해 배율 +(41~45)%"
"   Buffs on Players expire {0}% faster","   플레이어에게 적용되는 버프가 {0}% 더 빠르게 만료됨"
"   Monsters Inflict Withered for {0} seconds on Hit","   몬스터가 명중 시 {0}초 동안 위축 유발"
"   Monsters deal (21 to 25)% extra Physical Damage as Chaos","   몬스터가 (21 ~ 25)%의 추가 물리 피해를 카오스 속성으로 가함"
"   Monsters deal (31 to 35)% extra Physical Damage as Chaos","   몬스터가 (31 ~ 35)%의 추가 물리 피해를 카오스 속성으로 가함"
"   Monsters deal (50 to 69)% extra Physical Damage as Cold","   몬스터가 (50 ~ 69)%의 추가 물리 피해를 냉기 속성으로 가함"
"   Monsters deal (50 to 69)% extra Physical Damage as Fire","   몬스터가 (50 ~ 69)%의 추가 물리 피해를 화염 속성으로 가함"
"   Monsters deal (50 to 69)% extra Physical Damage as Lightning","   몬스터가 (50 ~ 69)%의 추가 물리 피해를 번개 속성으로 가함"
"   Monsters deal (70 to 89)% extra Physical Damage as Cold","   몬스터가 (70 ~ 89)%의 추가 물리 피해를 냉기 속성으로 가함"
"   Monsters deal (70 to 89)% extra Physical Damage as Fire","   몬스터가 (70 ~ 89)%의 추가 물리 피해를 화염 속성으로 가함"
"   Monsters deal (70 to 89)% extra Physical Damage as Lightning","   몬스터가 (70 ~ 89)%의 추가 물리 피해를 번개 속성으로 가함"
"   Monsters deal (90 to 110)% extra Physical Damage as Cold","   몬스터가 (90 ~ 110)%의 추가 물리 피해를 냉기 속성으로 가함"
"   Monsters deal (90 to 110)% extra Physical Damage as Fire","   몬스터가 (90 ~ 110)%의 추가 물리 피해를 화염 속성으로 가함"
"   Monsters deal (90 to 110)% extra Physical Damage as Lightning","   몬스터가 (90 ~ 110)%의 추가 물리 피해를 번개 속성으로 가함"
"   Monsters have (160 to 200)% increased Critical Strike Chance","   몬스터의 치명타 확률 (160–200)% 증가"
"   Monsters have (260 to 300)% increased Critical Strike Chance","   몬스터의 치명타 확률 (260–300)% 증가"
"   Monsters have (360 to 400)% increased Critical Strike Chance","   몬스터의 치명타 확률 (360–400)% 증가"
"   Monsters have a {0}% chance to avoid Poison, Impale, and Bleeding","   몬스터가 {0}%의 확률로 중독, 꿰뚫기, 출혈 회피"
"   Monsters have {0}% chance to Avoid Elemental Ailments","   몬스터가 {0}%의 확률로 원소 상태 이상 긴급회피"
"   Monsters have {0}% increased Accuracy Rating","   몬스터의 정확도 {0}% 증가"
"   Monsters take (25 to 30)% reduced Extra Damage from Critical Strikes","   몬스터가 치명타로 받는 추가 피해 (25–30)% 감소"
"   Monsters take (31 to 35)% reduced Extra Damage from Critical Strikes","   몬스터가 치명타로 받는 추가 피해 (31–35)% 감소"
"   Monsters take (36 to 40)% reduced Extra Damage from Critical Strikes","   몬스터가 치명타로 받는 추가 피해 (36–40)% 감소"
"   Players cannot Regenerate Life, Mana or Energy Shield","   플레이어가 생명력, 마나 또는 에너지 보호막 재생 불가"
"   Players gain {0}% reduced Flask Charges","   플레이어의 플라스크 충전량 {0}% 감소"
"   Players have minus {0}% to amount of Suppressed Spell Damage Prevented","   플레이어가 방지하는 억제된 주문 피해 -{0}%"
"   Players have {0}% less Accuracy Rating","   플레이어의 정확도 {0}% 감폭"
"   Players have {0}% less Area of Effect","   플레이어의 효과 범위 15% 감폭"
"   Players have {0}% less Armour","   플레이어의 방어도 {0}% 감폭"
"   Players have {0}% less Cooldown Recovery Rate","   플레이어의 재사용 대기시간 회복 속도 {0}% 감폭"
"   Players have {0}% less Recovery Rate of Life and Energy Shield","   플레이어의 생명력 및 에너지 보호막 회복 속도 {0}% 감폭"
"   Players have {0}% reduced Chance to Block","   플레이어의 막기 확률 {0}% 감소"
"   Players have {0}% reduced effect of Non-Curse Auras from Skills","   플레이어가 비-저주 오라 스킬로 받는 효과 {0}% 감소"
"   Unique Boss deals {0}% increased Damage","   고유 보스가 주는 피해 {0}% 증가"
"   Unique Boss has {0}% increased Attack and Cast Speed","   고유 보스의 공격 및 시전 속도 {0}% 증가"
"   minus (5 to 8)% maximum Player Resistances","   플레이어의 저항 최대치 -(5 ~ 8)%"
"   minus (9 to 12)% maximum Player Resistances","   플레이어의 저항 최대치 -(9 ~ 12)%"
"   {0}% Monster Chaos Resistance","   몬스터의 카오스 저항 {0}%"
"   {0}% Monster Elemental Resistances","   몬스터의 원소 저항 {0}%"
"   {0}% Monster Physical Damage Reduction","   몬스터의 물리 피해 감소 {0}%"
"   {0}% less effect of Curses on Monsters","   몬스터에게 걸리는 저주 효과 {0}% 감폭"
" -20% Accuracy ","-20% 정확도"
" -20% Evasion","^xFFFFFF-20% ^x33FF77회피"
