"	All of these effects can be found in the Calcs tab","	모든 효과는 계산 탭에서 확인할 수 있습니다"
"	Auras with the highest effect will take priority, your curses will take priority over a support's","	가장 높은 효과를 가진 오라가 우선 순위를 차지하며, 당신의 저주보다 파티원의 저주가 우선입니다"
"# Life gained when you Block","막아낼 시 생명력 #"
"# of Non-Instant Spells Cast Recently:","최근에 시전한 비-즉시 주문 수:"
"# total Elemental Resistances","모든 원소 저항력 총 +#%"
"# total Resistances","총 저항 #"
"#% Chance to Block Spell Damage","#%의 확률로 주문 피해를 막아냄"
"#% additional Physical Damage Reduction","받는 물리 피해 #% 추가 감소"
"#% chance to Avoid Elemental Ailments","#%의 확률로 원소 상태 이상 회피"
"#% chance to Freeze","#%의 확률로 동결 유발"
"#% chance to Ignite","#%의 확률로 점화 유발"
"#% chance to Poison on Hit","명중 시 #% 확률로 중독 유발"
"#% chance to Shock","#%의 확률로 감전 유발"
"#% faster Restoration of Ward","수호 회복 속도 #% 가속"
"#% faster start of Energy Shield Recharge","에너지 보호막 재충전 시작 속도 #% 가속"
"#% increased Armour and Energy Shield","방어도 및 에너지 보호막 #% 증가"
"#% increased Armour and Evasion","방어도 및 회피 #% 증가"
"#% increased Armour","방어도 #% 증가"
"#% increased Attack Speed","공격 속도 #% 증가"
"#% increased Burning Damage","화상 피해 #% 증가"
"#% increased Cast Speed","시전 속도 #% 증가"
"#% increased Cold Damage","냉기 피해 #% 증가"
"#% increased Cold Spell Damage","냉기 주문 피해 #% 증가"
"#% increased Critical Strike Chance for Spells","주문 치명타 확률 #% 증가"
"#% increased Critical Strike Chance with Bows","활 사용 시 치명타 확률 #% 증가"
"#% increased Critical Strike Chance","치명타 확률 #% 증가"
"#% increased Damage when on Full Life","생명력이 최대일 때 피해 #% 증가"
"#% increased Damage when on Low Life","낮은 생명력 상태일 때 피해 #% 증가"
"#% increased Damage with Bleeding","출혈 피해 #% 증가"
"#% increased Damage with Poison","중독 피해 #% 증가"
"#% increased Elemental Damage with Attack Skills","공격 스킬의 원소 피해 #% 증가"
"#% increased Elemental Damage","원소 피해 #% 증가"
"#% increased Energy Shield Recharge Rate","에너지 보호막 재충전 속도 #% 증가"
"#% increased Energy Shield","에너지 보호막 #% 증가"
"#% increased Evasion Rating","회피 #% 증가"
"#% increased Evasion and Energy Shield","회피 및 에너지 보호막 #% 증가"
"#% increased Fire Damage","화염 피해 #% 증가"
"#% increased Fire Spell Damage","화염 주문 피해 #% 증가"
"#% increased Flask Charges gained","플라스크 충전량 #% 증가"
"#% increased Flask Effect Duration","플라스크 효과 지속시간 #% 증가"
