"1 Projectile","1 투사체"
"All Projectiles","모든 투사체"
"1 Stage","1 단계"
"6 Stages","6 단계"
"Release at 6 Stages","6 단계 방출"
"0 Blades","0 칼날"
"5 Blades","5 칼날"
"10 Blades","10 칼날"
"1 explosion","1 폭발"
"4 explosions","4 폭발"
"Corpse Explosion","시체 폭발"
"Explosion (1 fuse)","폭발(화살 1개)"
"Explosion (5 fuses)","폭발(화살 5개)"
Arrow,화살
"Melee hit","근접 타격"
"Icy blades","얼음 칼날"
Cone,"원뿔"
"One slash","1차 충격파"
"Both slashes","모든 충격파"
Projectiles,투사체
Beams,광선
"Projectile Weakness","투사체 약화"
"No stages","0 단계"
"4 stages","4 단계"
"8 stages","8 단계"
"No Stages","0 단계"
"4 Stages","4 단계"
"8 Stages","8 단계"
"Release at 5 Stages","5 단계 방출"
"Thorn Arrows","가시 화살"
"Shrapnel Shot","파편 사격"
Shield,방패
Shards,파편
"Outgoing Projectile","발사된 투사체"
"Returning Projectile","반환된 투사체"
"Fire hit","화염 적중"
"Fire explosion","화염 폭발"
"Lightning hit","번개 적중"
"Lightning bolt","낙뢰"
"Cold hit","냉기 적중"
"Icy wave","얼음 파"
"Arctic Breath","한기의 숨결"
"Self Explosion","자기 폭발"
"Cast on Player","플레이어에게 시전"
"Cast on Skeleton","해골에게 시전"
"Release at 10 Stages","10 단계 방출"
"Release at 20 Stages","20 단계 방출"
Explosion,폭발
"10 Stages","10 단계"
"First Form, 1 Projectile","첫 번째 형태, 1 발사체"
"Second Form, 1 Projectile","두 번째 형태, 1 발사체"
"First Form, All Projectiles","첫 번째 형태, 모든 발사체"
"Second Form, All Projectiles","두 번째 형태, 모든 발사체"
"Half stages","절반 단계"
"Maximum stages","최대 단계"
Release,방출
Explosions,폭발
"Magma Orb","마그마 보주"
"Initial hit","첫 적중"
Ring,Ring
Idle,Idle
"1 Stack","1 단계"
"5 Stacks","5 단계"
"10 Stacks","10 단계"
"15 Stacks","15 단계"
"Initial impact","첫 영향"
Aftershock,여진
"First Hit","첫번째 적중"
"Second Hit","두번째 적중"
"Third Hit","세번째 적중"
"Melee Hit","근접 적중"
"Magma Balls","Magma Balls"
"Initial effect","초기 효과"
"Maximum effect","최대 효과"
"Beams - 1 Stack","광선 - 1 단계"
"Beams - 3 Stacks","광선 - 3 단계"
"Primary wave","1차 충격파"
Shockwaves,"충격파"
Cascade,"폭포"
"Chaos Aura","카오스 오라"
"Magma Ball","마그마 볼"
"Flame Wave","화염 파도"
"Storm Orb","폭풍 구"
"Lightning Projectile","번개 발사체"
Charge,"충전"
"Cold Projectile","냉기 발사체"
"Fire Projectile","화염 발사체"
Roll,"소용돌이 칼날"
"Physical Projectile","물리적 발사체"
"Tail Spike","꼬리 찌르기"
"Crusade Slam","십자군 강타"
"Chaos Projectile","카오스 발사체"
"Combo Attack","연속 공격"
"Caustic Cloud","부식성 구름"
Mjolner,묠니르(Mjolner)
Blessing,축복
"Convert to fire","화염으로 전환"
"Convert to cold","냉기로 전환"
"Convert to lightning","번개로 전환"
"Summon Volatile Anomaly","폭발성 이형 소환"
"Blood Projectile","피의 발사체"
"Consume Corpse","시체 소비"
Sandstorm,"모래 폭풍"
"Delayed Blast","지연 폭파"
"Whirling Charge","회전 에너지 충전"
"Ranged Attack","원거리 공격"
"Chaos Ball","혼돈의 구"
"Lightning Ball","번개 구"
"Fire Roll","화염 구"
"Blue Flame","푸른 불꽃"
"Chaos Spikes","카오스 가시"
Spit,주입
"Scorching Ray Totem","작열 광선 토템"
"Mass Frenzy","Mass Frenzy"
"Mass Power","Mass Power"
"Throw Fire",발사
"Caustic Bomb","부식 폭탄"
"Fire Bomb","불폭탄"
"Lesser Multi Fireball","하위 다중 화염구"
"Lesser Multi Ice Spear","하위 다중 얼음창"
"Lightning Thorns","번개 가시"
"Multi Fireball","다중 화염구"
"Multi Ice Spear","다중 얼음창"
"Proximity Shield","근접 보호막"
"Unrighteous Fire","불의의 화염"
"Split Fireball","분열 화염구"
"Split Ice Spear","분열 얼음창"
"Chaos Fireball","혼돈 화염구"
"Suicide Explosion",자폭
Screech,비명
Wave,진동파
"Spine Attack","척추 공격"
"Flame Vortex","불꽃 소용돌이"
Beam,광선
"Tar Projectile","타르 발사체"
"Double Slash","이중 타격"
"Physical Mortar","물리 박격포"
"Curse On Hit","명중 시 저주 보조"
Deathmark,"죽음의 표식 보조"
"Ranged Attack Totem","원거리 공격 토템 보조"
