Absolution,면죄
"Added Chaos Damage","카오스 피해 추가 보조"
"Added Cold Damage","냉기 피해 추가 보조"
"Added Fire Damage","화염 피해 추가 보조"
"Added Lightning Damage","번개 피해 추가 보조"
"Additional Accuracy","정확도 추가 보조"
"Advanced Traps","향상된 덫 보조"
"Alchemist's Mark","연금술사의 징표"
Ambush,매복
"Ancestral Call","선대의 부름 보조"
"Ancestral Cry","선대의 함성"
"Ancestral Protector","선대의 수호자"
"Ancestral Warchief","선대의 대전사"
Anger,분노
"Animate Guardian","수호자 기동"
"Animate Weapon","무기 기동"
Arc,"연쇄 번개"
"Arcane Cloak","비전의 망토"
"Arcane Surge","비전 쇄도 보조"
"Arcanist Brand","신비학자 낙인"
Archmage,"대마법사 보조"
"Arctic Armour","한기의 방어구"
"Armageddon Brand","종말의 낙인"
Arrogance,"오만 보조"
"Arrow Nova","화살 산개 보조"
"Artillery Ballista","포대 쇠뇌"
"Assassin's Mark","암살자의 징표"
"Ball Lightning","구형 번개"
"Ballista Totem","쇠뇌 토템 보조"
Bane,파멸
Barrage,"연발 사격"
"Barrage Support","연발 사격 보조"
"Battlemage's Cry","전투마법사의 함성"
"Bear Trap","곰 덫"
Behead,"참수 보조"
Berserk,광폭
"Blade Blast","칼날 폭격"
"Blade Flurry","질풍의 칼날"
"Blade Trap","칼날 덫"
"Blade Vortex","칼날 소용돌이"
Bladefall,칼날비
Bladestorm,"칼날 폭풍"
Blasphemy,"신성 모독 보조"
"Blast Rain","폭발 화살비"
"Blastchain Mine","연쇄 폭발 지뢰 보조"
"Blazing Salvo","맹렬한 포격"
Blight,황폐
Blind,"실명 보조"
"Blink Arrow","점멸 화살"
"Block Chance Reduction","막기 확률 감소 보조"
"Blood and Sand","피와 모래"
"Blood Rage","피의 격노"
Bloodlust,"유혈 충동 보조"
Bloodthirst,"피의 갈증 보조"
Bodyswap,"신체 전환"
"Bone Offering","뼈 공물"
Bonechill,"사무치는 한기 보조"
Boneshatter,"뼈 박살"
"Brand Recall","낙인 소환"
Brutality,"포악함 보조"
"Burning Arrow","불타는 화살"
"Burning Damage","화상 피해 보조"
"Cast On Critical Strike","치명타 시 시전 보조"
"Cast on Death","사망 시 시전 보조"
"Cast on Melee Kill","근접 처치 시 시전 보조"
"Cast when Damage Taken","피격 시 시전 보조"
"Cast when Stunned","기절 시 시전 보조"
"Cast while Channelling","집중 유지 중 시전 보조"
"Caustic Arrow","부식성 화살"
Chain,"연쇄 보조"
"Chain Hook","사슬 갈고리"
"Chance to Bleed","출혈 확률 보조"
"Chance to Flee","도망칠 확률 보조"
"Chance to Poison","중독 확률 보조"
"Charged Dash","충전 질주"
"Charged Mines","충전된 지뢰 보조"
"Charged Traps","충전된 덫 보조"
Clarity,명상
Cleave,회전베기
"Close Combat","근접 전투 보조"
"Cluster Traps","무리 덫 보조"
"Cobra Lash","코브라 채찍"
"Cold Penetration","냉기 관통 보조"
"Cold Snap",한파
"Cold to Fire","냉기 화염 전환 보조"
Combustion,"연소 보조"
"Concentrated Effect","효과 집중 보조"
Conductivity,전도성
"Consecrated Path","축성의 진격"
Contagion,전염
"Controlled Destruction","제어된 파괴 보조"
"Conversion Trap","전향 덫"
Convocation,소집
"Corrupting Fever","타락한 열병"
"Crackling Lance","치직대는 창"
"Creeping Frost","엄습하는 서리"
Cremation,"시체 소각"
"Critical Strike Affliction","치명타 고통 격화 보조"
Cruelty,"잔혹 보조"
"Culling Strike","마무리 타격 보조"
"Cursed Ground","저주받은 지대 보조"
Cyclone,회오리바람
"Damage on Full Life","최대 생명력 시 피해 보조"
"Dark Pact","어둠의 서약"
Dash,질주
"Deadly Ailments","치명적인 상태 이상 보조"
Decay,"부패 보조"
"Decoy Totem","미끼 토템"
"Defiance Banner","저항의 깃발"
Desecrate,모독
Despair,절망
"Destructive Link","파괴의 연결"
Determination,결의
"Detonate Dead","시체 폭발"
"Detonate Mines","지뢰 폭발"
"Devouring Totem","포식 토템"
Discharge,방출
Discipline,단련
"Divine Blessing","신성한 축복 보조"
"Divine Ire","신성한 진노"
"Dominating Blow","지배의 맹타"
"Double Strike","이중 타격"
"Dread Banner","공포의 깃발"
"Dual Strike","쌍수 타격"
Earthbreaker,"대지 분쇄자 보조"
Earthquake,지진
Earthshatter,"지면 분쇄"
Efficacy,"효력 보조"
"Elemental Army","원소의 군단 보조"
"Elemental Damage with Attacks","공격 시 원소 피해 보조"
"Elemental Focus","원소 집중 보조"
"Elemental Hit","원소의 일격"
"Elemental Penetration","원소 관통 보조"
"Elemental Proliferation","원소 확산 보조"
"Elemental Weakness","원소 약화"
Empower,"강화 보조"
"Endurance Charge on Melee Stun","기절 시 인내 충전 보조"
"Enduring Cry","인내의 함성"
"Energy Blade","에너지 칼날"
"Energy Leech","에너지 흡수 보조"
Enfeeble,쇠약화
Enhance,"향상 보조"
Enlighten,"계몽 보조"
"Ensnaring Arrow","올가미 화살"
"Essence Drain","정수 흡수"
"Eternal Blessing","영원한 축복 보조"
"Ethereal Knives","천상의 단도"
"Explosive Arrow","폭발 화살"
"Explosive Concoction","폭발성 혼합물"
"Explosive Trap","폭발 덫"
Exsanguinate,방혈
"Eye of Winter","겨울의 눈"
"Faster Attacks","공격 속도 증가 보조"
"Faster Casting","시전 속도 증가 보조"
"Faster Projectiles","투사체 속도 증가 보조"
"Feeding Frenzy","격분 주입 보조"
"Fire Penetration","화염 관통 보조"
"Fire Trap","화염 덫"
Fireball,화염구
Firestorm,"화염 폭풍"
"Fist of War","전쟁의 주먹 보조"
"Flame Dash","화염 질주"
"Flame Link","화염의 연결"
"Flame Surge","화염 쇄도"
"Flame Wall","화염 벽"
Flameblast,화염파
"Flamethrower Trap","화염방사기 덫"
Flammability,인화성
"Flesh and Stone","육체와 돌"
"Flesh Offering","살점 공물"
"Flicker Strike","점멸 타격"
"Focused Ballista","쇠뇌 집중 사격 보조"
"Forbidden Rite","금단의 의식"
Fork,"갈래 보조"
Fortify,"방어 상승 보조"
"Freezing Pulse","동결 파동"
Frenzy,격분
"Frost Blades","서리 칼날"
"Frost Bomb","서리 폭탄"
"Frost Shield","서리 방패"
"Frost Wall","서리 방벽"
Frostbite,동상
Frostblink,서리점멸
Frostbolt,"서리 구체"
"Frozen Legion","얼어붙은 군단"
"Galvanic Arrow","충격 화살"
"Galvanic Field",충격장
"General's Cry","장군의 함성"
Generosity,"관대함 보조"
"Glacial Cascade","빙하 폭포"
"Glacial Hammer","빙하 망치"
Grace,은총
"Superior Multiple Projectiles","상위 다중 투사체 보조"
"Ground Slam","대지 강타"
Haste,가속
Hatred,증오
"Heavy Strike","묵직한 타격"
"Herald of Agony","고통의 전령"
"Herald of Ash","재의 전령"
"Herald of Ice","얼음의 전령"
"Herald of Purity","순수의 전령"
"Herald of Thunder","천둥의 전령"
"Hex Bloom","사술의 꽃 보조"
Hexblast,"사술 폭발"
Hextouch,"사술 손길 보조"
"High-Impact Mine","고충격 지뢰 보조"
"Holy Flame Totem","신성한 화염 토템"
Hydrosphere,"물의 구체"
Hypothermia,"체온저하 보조"
"Ice Bite","얼음 쐐기 보조"
"Ice Crash","얼음 충격"
"Ice Nova","얼음 폭발"
