"Paua Amulet","파우아 목걸이"
"Coral Amulet","산호 목걸이"
"Amber Amulet","호박 목걸이"
"Jade Amulet","비취 목걸이"
"Lapis Amulet","청금석 목걸이"
"Gold Amulet","황금 목걸이"
"Onyx Amulet","오닉스 목걸이"
"Turquoise Amulet","터키석 목걸이"
"Agate Amulet","마노 목걸이"
"Citrine Amulet","황수정 목걸이"
"Ruby Amulet","루비 목걸이"
"Unset Amulet","무보석 목걸이"
"Astrolabe Amulet","관측기 목걸이"
"Simplex Amulet","평범한 목걸이"
"Jet Amulet","흑옥 목걸이"
"Blue Pearl Amulet","파란 진주 목걸이"
"Marble Amulet","대리석 목걸이"
"Seaglass Amulet","바다유리 목걸이"
"Black Maw Talisman","검은 턱 부적"
"Bonespire Talisman","뼈 첨탑 부적"
"Ashscale Talisman","재비늘 부적"
"Lone Antler Talisman","외가지뿔 부적"
"Deep One Talisman","심해의 존재 부적"
"Breakrib Talisman","골절늑골 부적"
"Deadhand Talisman","죽은 손 부적"
"Undying Flesh Talisman","산 송장 살점 부적"
"Rot Head Talisman","썩은 머리 부적"
"Mandible Talisman","아래턱 부적"
"Chrysalis Talisman","번데기 부적"
"Writhing Talisman","꿈틀거리는 부적"
"Hexclaw Talisman","사술발톱 부적"
"Primal Skull Talisman","원시 해골 부적"
"Wereclaw Talisman","변신자발톱 부적"
"Splitnewt Talisman","분할도롱뇽 부적"
"Clutching Talisman","움켜잡는 부적"
"Avian Twins Talisman","쌍둥이 새 부적"
"Fangjaw Talisman","송곳니턱 부적"
"Horned Talisman","뿔 달린 부적"
"Spinefuse Talisman","척추융합 부적"
"Three Rat Talisman","세 마리 쥐 부적"
"Monkey Twins Talisman","쌍둥이 원숭이 부적"
"Longtooth Talisman","긴 이빨 부적"
"Rotfeather Talisman","썩은 깃털 부적"
"Monkey Paw Talisman","원숭이 발 부적"
"Three Hands Talisman","세 개의 손 부적"
"Greatwolf Talisman","위대한 늑대 부적"
"Golden Hoop","황금 고리"
"Iron Ring","철제 반지"
"Coral Ring","산호 반지"
"Paua Ring","파우아 반지"
"Gold Ring","황금 반지"
"Topaz Ring","토파즈 반지"
"Sapphire Ring","사파이어 반지"
"Ruby Ring","루비 반지"
"Prismatic Ring","분광 반지"
"Moonstone Ring","월장석 반지"
"Amethyst Ring","자수정 반지"
"Diamond Ring","다이아몬드 반지"
"Two-Stone Ring","쌍보석 반지"
"Unset Ring","무보석 반지"
"Bone Ring","뼈 반지"
"Cogwork Ring","톱니장치 반지"
"Geodesic Ring","정동석 반지"
"Dusk Ring","황혼 반지"
"Penumbra Ring","음영 반지"
"Gloam Ring","석양 반지"
"Tenebrous Ring","어둑한 반지"
"Shadowed Ring","그늘진 반지"
"Jet Ring","흑옥 반지"
"Steel Ring","강철 반지"
"Opal Ring","오팔 반지"
"Vermillion Ring","주색 반지"
"Cerulean Ring","진청색 반지"
"Iolite Ring","근청석 반지"
Ring,반지
"Breach Ring","균열 반지"
"Rustic Sash","소박한 띠"
"Chain Belt","사슬 허리띠"
"Leather Belt","가죽 허리띠"
"Heavy Belt","무거운 허리띠"
"Cloth Belt","헝겊 허리띠"
"Studded Belt","징 박힌 허리띠"
"Micro-Distillery Belt","섬세한 주조자 허리띠"
"Mechalarm Belt","기계 경보 허리띠"
"Vanguard Belt","선봉대 허리띠"
"Crystal Belt","수정 허리띠"
"Golden Obi","황금 오비"
"Stygian Vise","명계의 조임쇠"
"Thief's Trinket","도둑 장신구"
"Atziri's Foible","앗지리의 결점"
Sidhebreath,"요정의 숨결"
Sidhebite,"요정의 이빨"
"Zerphi's Heart","제르피의 심장"
"Sacrificial Heart","희생의 심장"
"Replica Atziri's Foible","앗지리의 결점 모조품"
"DrTestapus' Charm","타스타퍼스의 부적"
"Defiance of Destiny","운명의 저항"
"Araku Tiki","아라쿠 티키"
"Ngamahu Tiki","나마후 티키"
"The Primordial Chain","태고의 사슬"
Tavukai,타부카이
"Tainted Pact","더럽혀진 맹약"
"Ikiaho's Promise","이키아호의 약속"
"The Anvil",모루
"Blood of Corruption","타락의 피"
"The Rathorn",라손
"Xoph's Heart","조프의 심장"
"Xoph's Blood","조프의 피"
"Bloodsoaked Medallion","피투성이 메달리온"
"Karui Ward","카루이의 수호"
"Rashkaldor's Patience","라시칼도어의 인내"
"Karui Charge","카루이의 돌진"
"The Halcyon",평온
"The Pandemonius",대혼란
"Hyrri's Truth","하이리의 진리"
Willowgift,"버드나무 선물"
"Replica Karui Ward","카루이의 수호 모조품"
"Replica Hyrri's Truth","하이리의 진리 모조품"
"Marylene's Fallacy","마릴린의 오산"
"Stone of Lazhwar","라즈워의 보석"
"Tear of Purity","정화의 눈물"
"Voice of the Storm","태풍의 목소리"
"Choir of the Storm","태풍의 합창"
"The Ephemeral Bond","덧없는 유대"
"Doedre's Tongue","도이드리의 혀"
"Demigod's Presence","반신의 존재"
"The Ignomon",이그노몬
Winterheart,겨울심장
"Frost Unbroken","온전한 서리"
"The Ascetic",고행자
"Bisco's Collar","비스코의 목걸이"
"The Effigon",에피곤
"Perquil's Toe","퍼퀼의 발가락"
"Replica Winterheart","겨울심장 모조품"
Astramentis,"별의 보석"
"Carnage Heart","학살 심장"
"Eye of Chayula","차율라의 눈"
"Hinekora's Sight","히네코라의 통찰력"
"The Learning Stone","배움의 돌"
Duskwing,"황혼 날개"
"Presence of Chayula","차율라의 존재"
"Yoke of Suffering","고통의 멍에"
Impresence,무존재
"Aul's Uprising","아울의 반란"
"Malachai's Brilliance","말라카이의 광채"
"Solstice Vigil","동짓날 밤"
"Leadership's Price","통솔력의 가치"
Stranglegasp,"교살의 손아귀"
"Crystallised Omniscience","결정화된 전지력"
"Ashes of the Stars","별의 재"
"The Eternal Struggle","영원한 투쟁"
"Replica Dragonfang's Flight","용송곳니의 비상 모조품"
"Victario's Acuity","빅타리오의 예리함"
"Ungil's Harmony","웅힐의 조화"
"Warped Timepiece","뒤틀린 시계"
"Maligaro's Cruelty","말리가로의 잔혹성"
"Badge of the Brotherhood","형제단의 증표"
"Fury Valve","광분의 밸브"
"Voll's Devotion","볼의 헌신"
"Shaper's Seed","쉐이퍼의 씨앗"
"The Aylardex",에일러덱스
"Extractor Mentis","정신 추출기"
"Eternal Damnation","영원한 지옥"
"Daresso's Salute","다레소의 경례"
"Eye of Innocence","결백의 눈"
"The Jinxed Juju","징크스 액막이"
"The Felbog Fang","펠보그 송곳니"
"Retaliation Charm","보복 부적"
"Star of Wraeclast","레이클라스트의 별"
"Uul-Netol's Vow","울네톨의 맹세"
"Talisman of the Victor","승리자의 부적"
Gloomfang,그롬팡
Bloodgrip,"피의 지배"
"Night's Hold","밤의 연장"
"Rigwald's Curse","리그월드의 저주"
Blightwell,"황폐한 샘"
"Natural Hierarchy","순수의 지배"
"Eyes of the Greatwolf","위대한 늑대의 눈"
"Demigod's Eye","반신의 눈"
Blackheart,"검은 심장"
"Le Heup of All","만인의 르 흐프"
Voidheart,"공허의 심장"
"The Warden's Brand","간수의 낙인"
"Circle of Guilt","유죄의 고리"
"Icefang Orbit","얼음송곳니의 위력"
Venopuncture,"혈관 관통"
"Kaom's Sign","카옴의 표식"
"Sibyl's Lament","시빌의 한탄"
"Kaom's Way","카옴의 길"
Winterweave,"겨울 매듭"
"Honoured Alliance","명예로운 동맹"
"Doedre's Damning","도이드리의 파멸"
"Perandus Signet","페란두스 인장"
Praxis,관습
"Replica Doedre's Damning","도이드리의 파멸 모조품"
"Fated End","예견된 최후"
Soulbound,"속박된 영혼"
Andvarius,앤드바리우스
"Ventor's Gamble","벤토의 도박"
"The Highwayman",노상강도
Kikazaru,키카자루
"Valako's Sign","발라코의 표식"
"Putembo's Valley","푸템보의 계곡"
"Putembo's Mountain","푸템보의 산"
"Putembo's Meadow","푸템보의 초원"
"Precursor's Emblem","선도자의 상징"
"Circle of Regret","후회의 고리"
"Astral Projector","우주의 영사기"
"Ungils's Coil","웅힐의 고리"
"Storm Secret","태풍의 비밀"
Nimis,니미스
"Dream Fragments","꿈의 조각"
Pyre,장작
"Tasalio's Sign","타살리오의 표식"
Snakepit,"뱀 구덩이"
"Uzaza's Meadow","우자자의 초원"
"Uzaza's Mountain","우자자의 산"
"Uzaza's Valley","우자자의 계곡"
"Circle of Fear","두려움의 고리"
