"Abberath's Hooves","아버라스의 발굽(Abberath's Hooves)"
"Abberath's Horn","아버라스의 뿔(Abberath's Horn)"
"Abhorrent Interrogation","혐오스러운 취조(Abhorrent Interrogation)"
"Abyssus","깊은 심연(Abyssus)"
"Acton's Nightmare","액턴의 악몽(Acton's Nightmare)"
"Actum","액툼(Actum)"
"Advancing Fortress","전진하는 요새(Advancing Fortress)"
"Aegis Aurora","비호의 오로라(Aegis Aurora)"
"Agnerod East","동쪽의 아그네로드(Agnerod East)"
"Agnerod North","북쪽의 아그네로드(Agnerod North)"
"Agnerod South","남쪽의 아그네로드(Agnerod South)"
"Agnerod West","서쪽의 아그네로드(Agnerod West)"
"Ahkeli's Meadow","아켈리의 초원(Ahkeli's Meadow)"
"Ahkeli's Mountain","아켈리의 산(Ahkeli's Mountain)"
"Ahkeli's Valley","아켈리의 계곡(Ahkeli's Valley)"
"Ahn's Contempt","안의 경멸(Ahn's Contempt)"
"Ahn's Heritage","안의 유산(Ahn's Heritage)"
"Ahn's Might","안의 완력(Ahn's Might)"
"Al Dhih","알 디(Al Dhih)"
"Alberon's Warpath","알베른의 적대(Alberon's Warpath)"
"Algor Mortis","사후 냉각(Algor Mortis)"
"Allelopathy","생존 경쟁(Allelopathy)"
"Allure","매혹(Allure)"
"Alpha's Howl","우두머리의 울부짖음(Alpha's Howl)"
"Altered Distant Memory","뒤바뀐 희미한 기억(Altered Distant Memory)"
"Ambu's Charge","앰부의 돌진(Ambu's Charge)"
"Amplification Rod","증폭 막대(Amplification Rod)"
"Anatomical Knowledge","육체에 대한 지식(Anatomical Knowledge)"
"Ancient Skull","고대 해골(Ancient Skull)"
"Ancient Waystones","고대 경로석(Ancient Waystones)"
"Andvarius","앤드바리우스(Andvarius)"
"Angler's Plait","낚시꾼의 고리(Angler's Plait)"
"Apep's Rage","아펩의 격노(Apep's Rage)"
"Apep's Slumber","아펩의 수면(Apep's Slumber)"
"Apep's Supremacy","아펩의 패권(Apep's Supremacy)"
"Apex Mode","정점 모드(Apex Mode)"
"Apparitions","유령(Apparitions)"
"Arakaali's Fang","아라칼리의 송곳니(Arakaali's Fang)"
"Araku Tiki","아라쿠 티키(Araku Tiki)"
"Arborix","아보릭스(Arborix)"
"Architect's Hand","건축가의 손길(Architect's Hand)"
"Arn's Anguish","안의 비통(Arn's Anguish)"
"Ascent From Flesh","육체로부터의 해방(Ascent From Flesh)"
"Asenath's Chant","아세나스의 노래(Asenath's Chant)"
"Asenath's Gentle Touch","아세나스의 부드러운 손길(Asenath's Gentle Touch)"
"Asenath's Mark","아세나스의 징표(Asenath's Mark)"
"Ashcaller","재의 소환사(Ashcaller)"
"Ashes of the Sun","태양의 재(Ashes of the Sun)"
"Ashrend","부서진 잿더미(Ashrend)"
"Asphyxia's Wrath","질식의 진노(Asphyxia's Wrath)"
"Assailum","공격병동(Assailum)"
"Assassin's Haste","암살자의 신속함(Assassin's Haste)"
"Astral Projector","우주의 영사기(Astral Projector)"
"Astramentis","별의 보석(Astramentis)"
"Atop the Atlas","아틀라스의 꼭대기"
"Atziri's Acuity","앗지리의 예리함(Atziri's Acuity)"
"Atziri's Disfavour","앗지리의 경멸(Atziri's Disfavour)"
"Atziri's Foible","앗지리의 결점(Atziri's Foible)"
"Atziri's Mirror","앗지리의 거울(Atziri's Mirror)"
"Atziri's Promise","앗지리의 약속(Atziri's Promise)"
"Atziri's Reflection","앗지리의 성찰(Atziri's Reflection)"
"Atziri's Reign","앗지리의 치세(Atziri's Reign)"
"Atziri's Splendour","앗지리의 위풍(Atziri's Splendour)"
"Atziri's Step","앗지리의 걸음(Atziri's Step)"
"Atziri's Vessel","앗지리의 그릇(Atziri's Vessel)"
"Augmented Distant Memory","강화된 희미한 기억(Augmented Distant Memory)"
"Augyre","오귀르(Augyre)"
"Aukuna's Will","아우카나의 의지(Aukuna's Will)"
"Aul's Uprising","아울의 반란(Aul's Uprising)"
"Aurseize","아우르시즈(Aurseize)"
"Aurumvorax","금빛 욕망(Aurumvorax)"
"Auxium","오시움(Auxium)"
"Axiom Perpetuum","액시옴의 무기징역(Axiom Perpetuum)"
"Badge of the Brotherhood","형제단의 증표(Badge of the Brotherhood)"
"Balefire","대화재(Balefire)"
"Bated Breath","약해진 숨결(Bated Breath)"
"Beacon of Madness","광기의 신호(Beacon of Madness)"
"Bear's Girdle","곰의 허리띠(Bear's Girdle)"
"Belly of the Beast","짐승의 소굴(Belly of the Beast)"
"Belt of the Deceiver","기만자의 허리띠(Belt of the Deceiver)"
"Beltimber Blade","벨팀버 검(Beltimber Blade)"
"Berek's Grip","베렉의 손아귀(Berek's Grip)"
"Berek's Pass","베렉의 길(Berek's Pass)"
"Berek's Respite","베렉의 유예(Berek's Respite)"
"Bino's Kitchen Knife","비노의 부엌칼(Bino's Kitchen Knife)"
"Bisco's Collar","비스코의 목걸이(Bisco's Collar)"
"Bisco's Leash","비스코의 가죽끈(Bisco's Leash)"
"Bitterbind Point","쓰라린 속박의 끝(Bitterbind Point)"
"Bitterdream","악몽(Bitterdream)"
"Black Sun Crest","검은 태양 문양(Black Sun Crest)"
"Blackflame","검은화염(Blackflame)"
"Blackgleam","검은 섬광(Blackgleam)"
"BlackGuardz","검은 근위대(BlackGuardz)"
"Blackheart","검은 심장(Blackheart)"
"Blasphemer's Grasp","신성 모독자의 장악(Blasphemer's Grasp)"
"Blightwell","황폐한 샘(Blightwell)"
"Blood of Corruption","타락의 피(Blood of Corruption)"
"Blood of Summer","여름날의 피(Blood of Summer)"
"Blood of the Karui","카루이의 피(Blood of the Karui)"
"Blood Sacrifice","피의 희생(Blood Sacrifice)"
"Bloodboil","끓는 피(Bloodboil)"
"Bloodbond","피붙이(Bloodbond)"
"Bloodgrip","피의 지배(Bloodgrip)"
"Bloodplay","피의 오락(Bloodplay)"
"Bloodseeker","피의 탐색자(Bloodseeker)"
"Blunderbore","블런더보어(Blunderbore)"
"Bones of Ullr","울러의 뼈(Bones of Ullr)"
"Booming Populace","불어나는 무리(Booming Populace)"
"Bottled Faith","병에 담긴 믿음(Bottled Faith)"
"Boundless Grasp","끝없는 장악(Boundless Grasp)"
"Brain Rattler","요동치는 두뇌(Brain Rattler)"
"Bramblejack","가시나무 갑옷(Bramblejack)"
"Brawn","근육(Brawn)"
"Breath of the Council","의회의 숨결(Breath of the Council)"
"Breathstealer","숨결강탈자(Breathstealer)"
"Brightbeak","밝은 부리(Brightbeak)"
"Brinerot Flag","부패한 염수단 깃발(Brinerot Flag)"
"Brinerot Mark","부패한 염수단 징표(Brinerot Mark)"
"Brinerot Whalers","부패한 염수단 고래잡이 신발(Brinerot Whalers)"
"Briskwrap","활력의 겉옷(Briskwrap)"
"Brittle Barrier","부실한 방어막(Brittle Barrier)"
"Broadstroke","파괴의 살(Broadstroke)"
"Broken Faith","부서진 믿음(Broken Faith)"
"Bronn's Lithe","브론의 융통성(Bronn's Lithe)"
"Brutal Restraint","잔인한 속박(Brutal Restraint)"
"Brute Force Solution","완력 해결(Brute Force Solution)"
"Brutus' Lead Sprinkler","브루투스의 리드 스플링쿨러(Brutus' Lead Sprinkler)"
"Bubonic Trail","죽음의 자취(Bubonic Trail)"
"Caer Blaidd, Wolfpack's Den","캐어블레이드 늑대의 소굴(Caer Blaidd, Wolfpack's Den)"
"Calamitous Visions","환란의 시각(Calamitous Visions)"
"Call of the Brotherhood","형제의 부름(Call of the Brotherhood)"
"Callinellus Malleus","집게발 쇠망치(Callinellus Malleus)"
"Cameria's Avarice","카메리아의 탐욕(Cameria's Avarice)"
"Cameria's Maul","카메리아의 대형 망치(Cameria's Maul)"
"Cane of Unravelling","해결의 지팡이(Cane of Unravelling)"
"Cannibalistic Habits","야만적 습성(Cannibalistic Habits)"
"Carcass Jack","시체 상인(Carcass Jack)"
"Careful Planning","철저한 계획(Careful Planning)"
"Carnage Heart","학살 심장(Carnage Heart)"
"Cerberus Limb","케르베로스의 발(Cerberus Limb)"
"Chaber Cairn","차버 케른(Chaber Cairn)"
"Chains of Command","지휘관의 사슬(Chains of Command)"
"Chains of Emancipation","해방의 사슬(Chains of Emancipation)"
"Chains of Time","시간의 사슬(Chains of Time)"
"Chalice of Horrors","공포의 성배(Chalice of Horrors)"
"Cheap Construction","저렴한 건축(Cheap Construction)"
"Chernobog's Pillar","체르노보그의 기둥(Chernobog's Pillar)"
"Cherrubim's Maleficence","체루빔의 악행(Cherrubim's Maleficence)"
"Child of Violence","폭력의 아이(Child of Violence)"
"Chill of Corruption","타락의 한기(Chill of Corruption)"
"Chin Sol","친 솔(Chin Sol)"
"Chitus' Apex","치투스의 정점(Chitus' Apex)"
"Chitus' Needle","치투스의 바늘(Chitus' Needle)"
"Chober Chaber","초버 차버(Chober Chaber)"
"Choir of the Storm","태풍의 합창(Choir of the Storm)"
"Choking Ash","숨막히는 잿더미(Choking Ash)"
"Cinderswallow Urn","잿더미 단지(Cinderswallow Urn)"
"Circle of Anguish","비통의 고리(Circle of Anguish)"
"Circle of Fear","두려움의 고리(Circle of Fear)"
"Circle of Guilt","유죄의 고리(Circle of Guilt)"
"Circle of Nostalgia","그리움의 고리(Circle of Nostalgia)"
"Circle of Regret","후회의 고리(Circle of Regret)"
"Clayshaper","클레이쉐이퍼(Clayshaper)"
"Clear Mind","맑은 정신(Clear Mind)"
"Cloak of Defiance","저항의 망토(Cloak of Defiance)"
"Cloak of Flame","화염의 망토(Cloak of Flame)"
"Cloak of Tawm'r Isley","탐위르 이슬리의 망토(Cloak of Tawm'r Isley)"
"Coated Shrapnel","뒤덮은 파편(Coated Shrapnel)"
"Cold Iron Point","날붙이 끝(Cold Iron Point)"
"Cold Steel","냉기의 강철(Cold Steel)"
"Collateral Damage","부가적 피해(Collateral Damage)"
"Combat Focus","집중 전투(Combat Focus)"
"Combustibles","가연성 보석(Combustibles)"
"Command of the Pit","구덩이의 지배자(Command of the Pit)"
"Conqueror's Efficiency","정복자의 효율(Conqueror's Efficiency)"
"Conqueror's Longevity","정복자의 수명(Conqueror's Longevity)"
"Conqueror's Potency","정복자의 능력(Conqueror's Potency)"
"Contract: Breaking the Unbreakable","계약: 파괴 불가능한 존재 파괴하기(Contract: Breaking the Unbreakable)"
"Contract: Death to Darnaw","계약: 다나우에게 죽음을(Contract: Death to Darnaw)"
"Contract: Heart of Glory","계약: 영광의 심장(Contract: Heart of Glory)"
"Contract: Jamanra's Rest","계약: 자만라의 휴식"
"Contract: The Slaver King","계약: 노예상의 왕"
"Contract: The Twins","계약: 쌍둥이(Contract: The Twins)"
"Convent of the Twins' Flame","쌍둥이 불꽃의 수녀원(Convent of the Twins' Flame)"
"Coralito's Signature","코랄리토의 서명(Coralito's Signature)"
"Corona Solaris","솔라리스의 광환(Corona Solaris)"
"Corpsewalker","시체 보행자(Corpsewalker)"
"Corrupted Energy","타락한 에너지(Corrupted Energy)"
"Cortex","코텍스(Cortex)"
"Coruscating Elixir","빛나는 묘약(Coruscating Elixir)"
"Cospri's Malice","코스프리의 장난(Cospri's Malice)"
"Cospri's Will","코스프리의 의지(Cospri's Will)"
"Coward's Chains","겁쟁이의 사슬(Coward's Chains)"
"Coward's Legacy","겁쟁이의 유물(Coward's Legacy)"
"Cowl of the Ceraunophile","번개애호가의 고깔(Cowl of the Ceraunophile)"
"Cowl of the Cryophile","냉동애호가의 고깔(Cowl of the Cryophile)"
