"Spectral Shield Throw","환영 방패 투척"
Fireball,화염구
"Ice Nova","얼음 폭발"
"Leap Slam","도약 강타"
"Charged Dash","충전 질주"
"Blade Flurry","질풍의 칼날"
Sweep,휩쓸기
"Discorectangle Slam","타원 강타"
"Ground Slam","대지 강타"
Cleave,회전베기
"Shield Charge","방패 돌진"
"Enduring Cry","인내의 함성"
"Double Strike","이중 타격"
Lacerate,"피부 찢기"
"Elemental Hit","원소의 일격"
"Immortal Call","불멸의 외침"
"Dual Strike","쌍수 타격"
"Whirling Blades","칼날 선회"
Frenzy,격분
"Cold Snap",한파
"Raise Zombie","좀비 소환"
"Detonate Dead","시체 폭발"
"Volatile Dead","시체 불덩이"
Unearth,발굴
Snipe,저격
"Caustic Arrow","부식성 화살"
"Creeping Frost","엄습하는 서리"
"Ice Shot","얼음 화살"
"Static Strike","정전기 타격"
"Split Arrow","분할 화살"
"Damage Infusion","피해 주입"
"Blood Rage","피의 격노"
Icefire,얼음불꽃
"Righteous Fire","정의의 화염"
"Fire Weapon","화염 무기"
Discharge,방출
Portal,포탈
Riptide,역류
Backstab,"배후 공격"
"Flicker Strike","점멸 타격"
Spark,전기불꽃
"Ice Spear","얼음 창"
"Raise Spectre","망령 소환"
"Infernal Blow","지옥불 맹타"
"Glacial Hammer","빙하 망치"
"Frost Wall","서리 방벽"
"Freezing Pulse","동결 파동"
"Shock Nova","충격 폭발"
"New Shock Nova","신규 충격 폭발"
"Viper Strike","맹독 타격"
"Phase Run","위상 질주"
"Explosive Arrow","폭발 화살"
"Temporal Chains","시간의 사슬"
"Elemental Weakness","원소 약화"
"Warlord's Mark","전쟁군주의 징표"
Punishment,응징
NewPunishment,"신규 응징"
Enfeeble,쇠약화
"Assassin's Mark","암살자의 징표"
"Sniper's Mark","저격수의 징표"
Despair,절망
"Lightning Warp","번개 차원 이동"
"Summon Skeletons","해골 소환"
"Summon Skeletons Channelled","집중된 해골 소환"
Riposte,반격
Vengeance,복수
Reckoning,역습
"Heavy Strike","묵직한 타격"
"Dominating Blow","지배의 맹타"
"Rain of Arrows",화살비
Firestorm,"화염 폭풍"
"Lightning Strike","번개 타격"
"Tempest Shield","폭풍의 방패"
"Molten Shell","용암 방패"
"Power Siphon","권능 착취"
Puncture,관통상
"Lightning Arrow","번개 화살"
Arc,"연쇄 번개"
Haste,가속
"Purity of Elements","원소의 순수함"
Vitality,활력
Discipline,단련
Grace,은총
Determination,결의
Anger,분노
Hatred,증오
Wrath,진노
"Burning Arrow","불타는 화살"
Clarity,명상
"Shockwave Totem","충격파 토템"
"Rejuvenation Totem","회복 토템"
"Icicle Mine","고드름 지뢰"
"Conversion Trap","전향 덫"
"Bear Trap","곰 덫"
"Fire Trap","화염 덫"
"Decoy Totem","미끼 토템"
"Devouring Totem","포식 토템"
"Ethereal Knives","천상의 단도"
"Arctic Armour","한기의 방어구"
"Vaal Arctic Armour","바알 한기의 방어구"
"Holy Flame Totem","신성한 화염 토템"
Flammability,인화성
Frostbite,동상
Conductivity,전도성
Incinerate,소각
Cyclone,회오리바람
"Searing Bond","불타는 굴레"
Reave,약탈
"Lightning Trap","번개 덫"
"Smoke Mine","연막 지뢰"
"Animate Guardian","수호자 기동"
"Spectral Throw","환영 무기 투척"
"Animate Weapon","무기 기동"
"Purity of Fire","불의 순수함"
"Vaal Impurity of Fire","바알 불의 부정함"
"Purity of Ice","얼음의 순수함"
"Vaal Impurity of Ice","바알 얼음의 부정함"
"Purity of Lightning","번개의 순수함"
"Vaal Impurity of Lightning","바알 번개의 부정함"
"Storm Call","폭풍 부름"
Flameblast,화염파
Barrage,"연발 사격 보조"
"Ball Lightning","구형 번개"
"Vortex Mine","소용돌이 지뢰"
Wildfire,도깨비불
"Summon Raging Spirit","격노의 유령 소환"
"Flame Surge","화염 쇄도"
Desecrate,모독
"Flesh Offering","살점 공물"
"Bone Offering","뼈 공물"
"Spirit Offering","영혼 공물"
"Glacial Cascade","빙하 폭포"
Convocation,소집
"Vaal Fireball","바알 화염구"
"Vaal Arc","바알 연쇄 번개"
"Vaal Spark","바알 전기불꽃"
"Vaal Burning Arrow","바알 불타는 화살"
"Vaal Molten Shell","바알 용암 방패"
"Vaal Lightning Warp","바알 번개 차원 이동"
"Vaal Immortal Call","바알 불멸의 외침"
"Vaal Power Siphon","바알 권능 착취"
"Vaal Cyclone","바알 회오리바람"
"Vaal Ice Nova","바알 얼음 폭발"
"Wand Teleport","마법봉 순간이동"
"Vaal Detonate Dead","바알 시체 폭발"
"Vaal Ground Slam","바알 대지 강타"
"Vaal Rain of Arrows","바알 화살비"
"Vaal Cold Snap","바알 한파"
"Vaal Spectral Throw","바알 환영 무기 투척"
"Vaal Lightning Strike","바알 번개 타격"
"Vaal Heavy Strike","바알 묵직한 타격"
"Vaal Double Strike","바알 이중 타격"
"Vaal Glacial Hammer","바알 빙하 망치"
"Vaal Summon Skeletons","바알 해골 소환"
"Vaal Storm Call","바알 폭풍 부름"
"Vaal Reave","바알 약탈"
"Molten Strike","용암 타격"
"Vaal Clarity","바알 명상"
"Vaal Grace","바알 은총"
"Vaal Discipline","바알 단련"
"Vaal Haste","바알 가속"
"Vaal FireTrap","바알 화염 덫"
"Vaal Sweep","바알 휩쓸기"
"Vaal Righteous Fire","바알 정의의 화염"
"Vaal Breach","바알 균열"
"Vaal Flameblast","바알 화염파"
"Pyroclast Mine","화산탄 지뢰"
"Tornado Shot","회오리 사격"
"Vaal Lightning Trap","바알 번개 덫"
"Herald of Blood","피의 전령"
"Herald of Ash","재의 전령"
"Herald of Ice","얼음의 전령"
"Herald of Thunder","천둥의 전령"
"Herald of Agony","고통의 전령"
"Herald of Purity","순수의 전령"
"Poacher's Mark","밀렵꾼의 징표"
"Lightning Tendrils","덩굴 번개"
"Lightning Circle","원형 번개"
"Lightning Channel","번개 집중 유지"
"Mirror Arrow","거울 화살"
"Blink Arrow","점멸 화살"
"Kinetic Blast","역학 폭발"
"Touch of God","신의 손길"
"Summon Chaos Golem","카오스 골렘 소환"
"Summon Ice Golem","얼음 골렘 소환"
"Summon Flame Golem","화염 골렘 소환"
"Summon Lightning Golem","번개 골렘 소환"
"Ice Crash","얼음 충격"
"Rallying Cry","집결의 함성"
"Infernal Cry","지옥불 함성"
"Seismic Cry","지진 함성"
"Detonate Mines","지뢰 폭발"
"Flame Dash","화염 질주"
"Frost Blades","서리 칼날"
"Vigilant Strike","경계 타격"
"Rolling Magma","몰려오는 마그마"
"Ice Trap","얼음 덫"
"Wild Strike","사나운 타격"
"Galvanic Arrow","충격 화살"
"Blast Rain","폭발 화살비"
Bladefall,칼날비
"Siege Ballista","공성 쇠뇌"
"Static Tether","정전기 올가미"
"Blade Vortex","칼날 소용돌이"
"New Blade Vortex","신규 칼날 소용돌이"
"Vaal Blade Vortex","바알 칼날 소용돌이"
"Frost Bomb","서리 폭탄"
"Orb of Storms","폭풍 보주"
"Summon Stone Golem","돌 골렘 소환"
"Righteous Lightning","정의의 번개"
Earthquake,지진
Contagion,전염
Wither,위축
Blight,황폐
"Essence Drain","정수 흡수"
"Shadow Blades","어둠의 칼날"
Sunder,산산조각
Frostbolt,"서리 구체"
Vortex,소용돌이
"Ancestral Protector","선대의 수호자"
"Ancestral Blademaster","선대의 검귀"
"Ancestral Warchief","선대의 대전사"
"Scorching Ray","작열 광선"
"Dark Pact","어둠의 서약"
"Storm Burst","폭풍 점사"
"Infernal Sweep","지옥불 휩쓸기"
Cremation,"시체 소각"
Bodyswap,"신체 전환"
"Spectral Spinning Weapon","영체 회전 무기"
"Tectonic Slam","지층 강타"
Vulnerability,취약성
"Capture Monster","몬스터 포획"
"Explosive Trap","폭발 덫"
"Siphoning Trap","착취 덫"
"Flamethrower Trap","화염방사기 덫"
"Lightning Spire Trap","번개 첨탑 덫"
"Seismic Trap","지진 덫"
"Vaal Flesh Offering","바알 살점 공물"
"Vaal Earthquake","바알 지진"
"Vaal Blight","바알 황폐"
"Vaal Ancestral Warchief","바알 선대의 대전사"
"Consecrated Path","축성의 진격"
Smite,징벌
"Scourge Arrow","재앙의 화살"
"Toxic Rain","맹독성 비"
"Summon Holy Relic","신성한 유물 소환"
"Winter Orb","겨울 보주"
"Rending Steel","강철 분리"
"Lancing Steel","강철 관통"
"Storm Brand","폭풍의 낙인"
"War Banner","전쟁 깃발"
"Dread Banner","공포의 깃발"
"Shattering Steel","강철 파편"
"Armageddon Brand","종말의 낙인"
"Brand Recall","낙인 소환"
"Purifying Flame","정화의 불길"
Soulrend,"영혼 분리"
Bane,파멸
Stormbind,"폭풍 연대"
"Divine Ire","신성한 진노"
"Wave of Conviction","신념의 파도"
Zealotry,열광
Malevolence,악의
Steelskin,강철피부
Dash,질주
Bladestorm,"칼날 폭풍"
"Blood and Sand","피와 모래"
Berserk,광폭
Perforate,천공
"Chain Hook","사슬 갈고리"
Frostblink,서리점멸
Precision,정밀함
"Flesh and Stone","육체와 돌"
Pride,자부심
"Cobra Lash","코브라 채찍"
"Summon Carrion Golem","부패 골렘 소환"
"Withering Step","고사시키는 걸음"
"Plague Bearer","독성 운반자"
"Stormblast Mine","태풍 파열 지뢰"
"Summon Skitterbots","원격 기폭 장치 소환"
"Pestilent Strike","전염성 일격"
"Venom Gyre","독액 선회"
"Shrapnel Ballista","파편 쇠뇌"
"Ensnaring Arrow","올가미 화살"
"Artillery Ballista","포대 쇠뇌"
Spellslinger,주문투척
"Arcane Cloak","비전의 망토"
"Kinetic Bolt","역학 투사체"
"Blade Blast","칼날 폭격"
"Elemental Projectiles","원소 투사체"
"Arcanist Brand","신비학자 낙인"
"Intimidating Cry","위협의 함성"
"Ancestral Cry","선대의 함성"
"Penance Brand","속죄의 낙인"
"Wintertide Brand","겨울의 낙인"
Earthshatter,"지면 분쇄"
"General's Cry","장군의 함성"
"Blazing Salvo","맹렬한 포격"
"Void Sphere","공허 구체"
"Crackling Lance","치직대는 창"
"Frost Shield","서리 방패"
"Splitting Steel","강철 분할"
"Sigil of Power","힘의 부적"
