"Crimson Jewel","진홍색 주얼"
"Viridian Jewel","진청록색 주얼"
"Cobalt Jewel","코발트색 주얼"
"Prismatic Jewel","분광 주얼"
"Timeless Jewel","무궁한 주얼"
"Large Cluster Jewel","대형 스킬 군 주얼"
"Medium Cluster Jewel","중형 스킬 군 주얼"
"Small Cluster Jewel","소형 스킬 군 주얼"
"Murderous Eye Jewel","살인적인 눈 주얼"
"Searching Eye Jewel","탐색하는 눈 주얼"
"Hypnotic Eye Jewel","최면 거는 눈 주얼"
"Ghastly Eye Jewel","무시무시한 눈 주얼"
Brawn,근육
Inertia,관성
"Vampire's Might","흡혈귀의 완력"
"Survival Skills","생존 기술"
"Inspired Learning","탁월한 학습"
"Martial Artistry","무도가의 기교"
"Spire of Stone",첨탑
"Mantra of Flames","화염의 주문"
Combustibles,"가연성 보석"
"The Naming Temporary","임시 이름"
"Fragile Bloom","가냘픈 꽃"
"Rain of Splinters","파편의 비"
"Efficient Training","효율적인 훈련"
"Atziri's Reign","앗지리의 치세"
"Blood Sacrifice","피의 희생"
"Warlord's Reach","전쟁군주의 역량"
"Conqueror's Efficiency","정복자의 효율"
"Ancient Waystones","고대 경로석"
"Zerphi's Youth","제르피의 젊음"
Fragility,허약
Fireborn,"불의 체질"
"Energised Armour","활력의 방어구"
"Might in All Forms","만물의 힘"
"Izaro's Turmoil","이자로의 혼란"
"The Vigil","철야 기도"
"Rapid Expansion","신속한 확장"
"Shattered Chains","바스라진 사슬"
"Weight of the Empire","제국의 무게"
"Emperor's Might","황제의 완력"
"Grand Spectrum","장대한 파장"
"Coated Shrapnel","뒤덮은 파편"
"Underdog's Fury","패배자의 광분"
"Primordial Might","태고의 완력"
"The Red Dream","붉은 꿈"
"The Red Nightmare","붉은 악몽"
"Winter Burial","한겨울의 장례식"
Wildfire,도깨비불
"Overwhelming Odds","압도적인 역경"
"Might of the Meek","온유의 힘"
"Tempered Flesh","조절된 육체"
"Combat Focus","집중 전투"
"Transcendent Flesh","초월한 육체"
"Thread of Hope","희망의 실타래"
"Split Personality","이중 인격"
"Replica Conqueror's Efficiency","정복자의 효율 모조품"
"Replica Fragile Bloom","가냘픈 꽃 모조품"
"Replica Blood Sacrifice","피의 희생 모조품"
"Replica Primordial Might","태고의 완력 모조품"
"Dissolution of the Flesh","살점의 융해"
"Forbidden Flame","금단의 화염"
"Divine Inferno","신성한 지옥불"
Firesong,"불의 노래"
"Immutable Force","불변의 힘"
Bloodnotch,"피의 오늬"
"Warrior's Tale","전사의 이야기"
"Fluid Motion","유체 운동"
"Intuitive Leap","직관의 도약"
"Lioneye's Fall","라이온아이의 몰락"
"Survival Instincts","생존 본능"
"Cannibalistic Habits","야만적 습성"
Apparitions,유령
Hotheaded,핫헤드
"Weight of Sin","죄의 무게"
Specialised,특별함
"Miser of Misery","불행의 수전노"
"Careful Planning","철저한 계획"
"Hidden Potential","숨겨진 잠재력"
"Sacrificial Harvest","희생의 수확"
Self-Flagellation,"자학 채찍질"
