"Nailed Fist","못박은 너클"
"Sharktooth Claw","상어이빨 클로"
Awl,송곳
"Cat's Paw","고양이 발"
Blinder,실명기
"Timeworn Claw","오래된 클로"
"Sparkling Claw","섬광 클로"
"Fright Claw","섬뜩한 클로"
"Double Claw","이중 클로"
"Thresher Claw","도리깨 클로"
Gouger,후비개
"Tiger's Paw","호랑이 발"
"Gut Ripper","내장 거열기"
"Prehistoric Claw","선사 시대 클로"
"Noble Claw","귀족 클로"
"Eagle Claw","독수리 클로"
"Twin Claw","쌍둥이 클로"
"Great White Claw","거대 하얀 클로"
"Throat Stabber","목구멍 송곳"
"Hellion's Paw","헬리온의 발"
"Eye Gouger","눈 후비개"
"Vaal Claw","바알 클로"
"Imperial Claw","제국 클로"
"Terror Claw","공포의 클로"
"Gemini Claw","쌍생아 클로"
"Shadow Fangs","그림자 송곳니"
"Malign Fangs","해악의 송곳니"
"Void Fangs","공허의 송곳니"
"Glass Shank","유리 단도"
"Skinning Knife","무두질용 단도"
Stiletto,스틸레토
"Prong Dagger","갈래 단검"
"Flaying Knife","박피 단도"
Poignard,포이너드
Trisula,트리술라
"Gutting Knife","내장 제거용 단도"
Ambusher,매복자
Sai,사이
"Hollowpoint Dagger","중공 단검"
"Pressurised Dagger","가압 단검"
"Pneumatic Dagger","공압 단검"
"Ethereal Blade","천상의 칼날"
"Driftwood Wand","표류목 마법봉"
"Goat's Horn","염소의 뿔"
"Carved Wand","조각된 마법봉"
"Quartz Wand","석영 마법봉"
"Spiraled Wand","나선형 마법봉"
"Sage Wand","현자 마법봉"
"Pagan Wand","이교도 마법봉"
"Faun's Horn","판의 뿔"
"Engraved Wand","아로새긴 마법봉"
"Crystal Wand","수정 마법봉"
"Coiled Wand","똬리 마법봉"
"Omen Wand","전조의 마법봉"
"Heathen Wand","이방인 마법봉"
"Demon's Horn","악마의 뿔"
"Imbued Wand","부여된 마법봉"
"Opal Wand","오팔 마법봉"
"Tornado Wand","회오리 마법봉"
"Prophecy Wand","예언 마법봉"
"Profane Wand","부정한 마법봉"
"Assembler Wand","조립 마법봉"
"Congregator Wand","군집 마법봉"
"Accumulator Wand","축적 마법봉"
"Calling Wand","부름의 마법봉"
"Convening Wand","회합의 마법봉"
"Convoking Wand","소집의 마법봉"
"Charan's Sword","차란의 검"
"Golden Blade","황금 검"
"Rusted Sword","녹슨 검"
"Copper Sword","구리 검"
Sabre,사브르
"Broad Sword","넓은날 검"
"War Sword","전쟁 검"
"Ancient Sword","고대의 검"
"Elegant Sword","고상한 검"
"Dusk Blade","황혼의 검"
"Hook Sword","갈고리 검"
"Variscite Blade","바리사이트 검"
Cutlass,커틀라스
Baselard,베이스라드
"Battle Sword","전투용 검"
"Elder Sword","장로의 검"
"Graceful Sword","우아한 검"
"Twilight Blade","여명의 검"
Grappler,격투자
"Gemstone Sword","원석 검"
"Corsair Sword","해적의 검"
Gladius,글라디우스
"Legion Sword","군단 검"
"Vaal Blade","바알 칼날"
"Eternal Sword","영원의 검"
"Midnight Blade","심야의 칼날"
"Tiger Hook","호랑이 갈고리"
"Fickle Spiritblade","변화무쌍한 정령의 칼"
"Capricious Spiritblade","변덕스러운 정령의 칼"
"Anarchic Spiritblade","무질서한 정령의 칼"
"Energy Blade","에너지 칼날"
"Rusted Spike","녹슨 스파이크"
"Whalebone Rapier","고래뼈 레이피어"
"Battered Foil","닳은 펜싱 검"
"Basket Rapier","손보호구 레이피어"
"Jagged Foil","삐죽삐죽한 펜싱 검"
"Antique Rapier","앤티크 레이피어"
"Elegant Foil","고상한 펜싱 검"
"Thorn Rapier","가시 레이피어"
Smallsword,"스몰 소드"
"Wyrmbone Rapier","아룡뼈 레이피어"
"Burnished Foil","윤이 나는 펜싱 검"
Estoc,에스톡
"Serrated Foil","톱니 펜싱 검"
"Primeval Rapier","원시 레이피어"
"Fancy Foil","장식용 펜싱 검"
"Apex Rapier","정점 레이피어"
"Courtesan Sword","코르티잔 검"
"Dragonbone Rapier","용뼈 레이피어"
"Tempered Foil","단조한 펜싱 검"
Pecoraro,페코라로
"Spiraled Foil","나선형 펜싱 검"
"Vaal Rapier","바알 레이피어"
"Jewelled Foil","보석이 박힌 펜싱 검"
"Harpy Rapier","하피 레이피어"
"Dragoon Sword","용기병 검"
"Rusted Hatchet","녹슨 손도끼"
