"Alira's Deadeye","알리라의 데드아이"
"Alpine Shaman","고산 주술사"
"Ancient Construct","고대 구조물"
"Archer Statue","궁수 석상"
"Artless Assassin","서투른 암살자"
"Ash Prophet","재 예언자"
"Ashblessed Warden","재로 축복받은 간수"
"Avian Retch","구역질나는 새"
"Baranite Preacher","바란의 전도사"
"Baranite Sister","바란의 수녀"
"Baranite Thaumaturge","바란의 마석학자"
"Barb Serpent","가시 독사"
"Bearded Devil","염소인간 악마"
"Bearded Shaman","염소인간 주술사"
"Blackguard Arcmage","검은 근위대 번개마법사"
"Blackguard Mage","검은 근위대 마법사"
"Bone Husk","뼈 허스크"
"Bone Stalker","뼈 추적자"
"Bramble Cobra","가시나무 코브라"
"Brittle Bleeder","말라붙은 출혈자"
"Brittle Poacher","말라붙은 밀렵꾼"
"Burned Miscreation","불에 탄 기형물"
"Cannibal Fire-eater","식인종 불 포식자"
"Carnage Chieftain","학살의 부족장"
"Carrion Queen","부패하는 여왕"
"Chrome-infused Chimeral","크롬 주입 키메랄"
"Cinder Elemental","재투성이 정령"
"Cloud Retch","구름 레치"
"Colossal Bonestalker","초대형 뼈추적자"
"Colossus Crusher","초대형 타쇄자"
"Crazed Driver","미쳐버린 감독"
"Cursed Mariner","저주받은 선원"
"Death Bishop","죽음의 주교"
Defiler,모독자
"Desecrated Saint","훼손된 성자"
Diabolist,악마술사
"Dune Hellion","사구 헬리온"
"Enhanced Vaal Fallen","강화 바알 몰락자"
"Fetid Maw","악취 나는 큰턱개구리"
"Fighting Bull",싸움소
"Flame Sentinel","화염 파수꾼"
"Flayed Archer","박피된 궁수"
"Flesh Sculptor","살점 조각가"
Foreman,작업반장
"Freezing Wolf","동결 늑대"
"Frost Auto-Scout","서리 자동정찰병"
"Frost Harbinger","서리 선구자"
"Frost Sentinel","서리 파수꾼"
"Galvanic Ribbon","충격의 리본"
"Gluttonous Gull","걸신들린 갈매기"
Goatman,염소인간
"Goatman Fire-raiser","염소인간 방화범"
"Goatman Shaman","염소인간 주술사"
"Gut Flayer","내장 박피사"
"Hairy Bonecruncher","털투성이 뼈깨물이"
"Host Chieftain","숙주 부족장"
"Imperial Vanguard","제국 선봉대"
"Incinerated Mage","소각된 마법사"
"Kaom's Chosen","카옴의 선발대"
"Kiln Mother","가마의 어머니"
"Kitava's Herald","키타바의 전령"
"Knitted Horror","견고한 호러"
"Kraityn's Sentry","크레이틴의 보초"
"Leaping Spider","도약 거미"
"Lunaris Concubine","루나리스의 첩"
"Lunarsworn Wintermage","달 서약의 겨울마법사"
"Merveil's Attendant","머베일의 수행원"
"Merveil's Blessed","머베일에 축복받은 자"
"Merveil's Chosen","머베일에 선택받은 자"
"Merveil's Retainer","머베일의 신하"
"Mortality Experimenter","필멸성 실험자"
"Murk Fiend","암흑 마귀"
Necromancer,네크로맨서
"Noisome Ophidian","유해한 장충"
"Oak's Devoted","오크의 헌신자"
"Plagued Bowman","역병 활잡이"
"Plumed Chimeral","깃털 키메랄"
"Pocked Illuminator","구멍투성이 조명자"
"Pocked Lanternbearer","구멍투성이 등불 운반자"
"Primal Crushclaw","원시 박살발톱"
"Primeval Hunter","원시 사냥꾼"
Reanimator,소생술사
"Redemption Knight","구원의 기사"
"Redemption Sentry","구원의 보초"
"Restless Archer","쉬지 못하는 궁수"
"Risen Vaal Advocate","일어난 바알 대변자"
"Risen Vaal Fanatic","일어난 바알 광신도"
"Sandworn Slaves","모래에 닳은 노예거미"
"Scale of Esh","에쉬의 비늘"
"Scinteel Synthete","불꽃 결합자"
"Shadow Lurker","그림자 잠복자"
"Shaggy Monstrosity","털북숭이 괴수"
"Sin Archer","죄악의 궁수"
"Sin Lord","죄악의 군주"
"Singing Siren","노래하는 사이렌"
"Slashed Miscreation","베어진 기형물"
"Slave Driver","노예 감독"
"Snow Rhex","눈 렉스"
"Solar Guard","태양의 수호병"
"Solaris Champion","솔라리스 용사"
"Sparking Mage","전기불꽃 마법사"
"Spectral Bowman","유령 활잡이"
"Spectral Scoundrel","영체 불한당"
"Stoneskin Flayer","돌 피부 타격가"
"Stygian Revenant","명계의 원령"
"Syndicate Operative","연합 첩보원"
"Templar Tactician","템플러 전술가"
"Tentacle Miscreation","촉수 기형물"
"Towering Figment","뛰어난 허구"
"Tukohama's Vanguard","투코하마의 선봉대"
"Undying Alchemist","산 송장 연금술사"
"Undying Evangelist","산 송장 선교사"
"Undying Grappler","산 송장 격투자"
"Undying Impaler","산 송장 가시괴물"
"Undying Incinerator","산 송장 소각자"
"Undying Outcast","산 송장 낙오자"
"Vaal Slayer","바알 처형자"
"Vexing Archer","지긋지긋한 궁수"
Voidbearer,공허운반자
"Whipping Miscreation","채찍 기형물"
"Wicker Man","인신공양 제물"
