"Normal Maximum","일반 최대"
"All gems default to their highest valid non-corrupted gem level.","모든 젬은 기본적으로 가장 높은 유효한 타락되지 않은 젬 레벨로 설정됩니다."
"Corrupted Maximum","타락 최대"
"Normal gems default to their highest valid corrupted gem level.","일반 젬은 기본적으로 가장 높은 유효한 타락된 젬 레벨로 설정됩니다."
"Awakened gems default to their highest valid non-corrupted gem level.","각성한 젬은 기본적으로 가장 높은 유효한 타락되지 않은 젬 레벨로 설정됩니다."
"Awakened Maximum","각성 최대"
"All gems default to their highest valid corrupted gem level.","모든 젬은 기본적으로 유효한 가장 높은 타락된 젬 레벨로 설정됩니다."
"Match Character Level","캐릭터 레벨에 맞추기"
"All gems default to their highest valid non-corrupted gem level that your character meets the level requirement for.","모든 젬은 기본적으로 캐릭터가 레벨 요구 사항을 충족하는 가장 유효한 타락되지 않은 젬 레벨로 설정됩니다."
"This hides gems with a minimum level requirement above your character level, preventing them from showing up in the dropdown list.","이렇게 하면 캐릭터 레벨 이상의 최소 레벨 요구 사항이 있는 젬이 숨겨져 드롭다운에 표시되지 않습니다."
Non-Awakened,비-각성
Awakened,각성된
"Full DPS","전체 DPS"
"Combined DPS","결합 DPS"
"Hit DPS","명중 DPS"
"Average Hit","평균 명중"
"Skill set:","스킬 세트:"
"Usage Tips:",사용법:
"You can copy/paste socket groups using Ctrl+C and Ctrl+V.","팁: Ctrl+C와 Ctrl+V 버튼으로 복사/붙여넣기가 가능합니다."
"Ctrl + Click to enable/disable socket groups.","Ctrl+클릭하여 소켓 그룹을 활성화/비활성화합니다."
"Ctrl + Right click to include/exclude in FullDPS calculations.","Ctrl+마우스 오른쪽 버튼을 클릭하여 최종 합계 DPS 계산에 포함/제외합니다."
"Right click to set as the Main skill group.","마우스 오른쪽 버튼을 클릭하여 주 스킬 세트로 설정합니다."
"Gem Options","스킬 젬 옵션"
"Sort gems by DPS:","스킬 젬 정렬(DPS):"
"Default gem level:","기본 젬 레벨:"
"Default gem quality:","기본 젬 품질:"
"Show support gems:","보조 젬 보기"
"Show quality variants:","품질 변형 표시"
"Socketed in:","슬롯 위치:"
"Select the item in which this skill is socketed.","이 스킬이 장착된 아이템을 선택합니다."
"This will allow the skill to benefit from modifiers on the item that affect socketed gems.","이렇게 하면 소켓에 장착된 젬에 영향을 미치는 아이템 수정자의 혜택을 스킬에 적용할 수 있습니다."
"No item is equipped in this slot.","이 장비 슬롯에는 어떤 아이템도 장착되어 있지 않습니다."
Enabled:,"사용:"
"Include in Full DPS:","최종합계DPS포함:"
Count:,배율:
"You cannot delete this group, but it will disappear if you un-allocate the node.","그룹은 삭제할 수 없지만 노드 할당을 해제하면 그룹이 사라집니다."
"You cannot delete this group, but it will disappear if you un-equip the item.","그룹은 삭제할 수 없지만 아이템 장착을 해제하면 그룹이 사라집니다."
"You cannot add support gems to this group, but support gems in","이 그룹에 보조 젬을 추가할 수 없지만, 보조 젬은"
"will automatically apply to the skill.","스킬에 자동으로 적용됩니다."
"Gem name:","젬 이름"
Variant:,"변형:"
"Note: `count` integer value scales the DPS of associated skill by a scalar.","팁:'배율' 정수 값은 관련 스킬의 DPS를 스칼라로 조정합니다."
"+3 to Level of all Seismic Trap Gems","모든 지진 덫 레벨 +3"
