"Class","직업"
"Ascendancy","전직"
"Points used","패시브 포인트 사용"
"Jewel sockets","주얼 소켓"
"Switching to this tree will give you:","이 트리로 전환하면:"
"Game Version","게임 버전"
"Compare:","비교:"
"Reset","초기화"
"Reset Tree","트리 초기화"
"Reset Tree/Tattoos","트리/문신 초기화"
"Are you sure you want to reset your passive tree?","패시브 트리를 재설정하시겠습니까?"
"Import Tree","트리 가져오기"
"Export Tree","트리 내보내기"
"Uses Lua pattern matching for complex searches","복잡한 검색을 위해 Lua 패턴 매칭을 사용합니다."
"Find Timeless Jewel","무궁한 주얼 검색"
"Show Node Power:","노드 강도 표시:"
"When enabled, an estimate of the offensive and defensive strength of","활성화되면 할당되지 않은 각 노드의 공격 및 방어 강도 추정치가"
"each unallocated passive is calculated and displayed visually.","계산되고 시각화됩니다."
"Offensive power shows as red, defensive power as blue.","공격 보너스는 빨간색으로 표시되고 방어 보너스는 파란색으로 표시됩니다."
"Hide Power Report","강도 보고서 숨김"
"Show Power Report","강도 보고서 표시"
"Show Power Report is disabled until the first time","모든 노드 및 클러스터 노드에 대한 첫 번째 추정이 완료될 때까지"
"an evaluation of all nodes and clusters completes.","""강도 보고서 표시""가 비활성화됩니다."
"This is an older tree version, which may not be fully compatible with the current game version.","이 특성 트리는 이전 버전이며 현재 게임 버전과 완전히 호환되지 않을 수 있습니다."
"Convert to {0}","{0} 버전으로 변환하기"
"Tree Converted","패시브 트리 변환 완료"
"The tree has been converted to {0}.{1}.","패시브 트리가 {0}.{1} 버전으로 변환되었습니다."
"The tree has been converted to {0}.","패시브 트리가 {0} 버전으로 변환되었습니다."
"The tree has been converted to 3.25.","패시브 트리가 3.25 버전으로 변환했습니다."
"The tree has been converted to 3.26.","패시브 트리가 3.26 버전으로 변환했습니다."
"Note that some or all of the passives may have been de-allocated due to changes in the tree.","트리 변경으로 인해 패시브의 일부 또는 전체가 할당이 취소되었을 수 있습니다."
"You can switch back to the old tree using the tree selector at the bottom left.","왼쪽 하단 모서리에 있는 특성 트리 선택기를 사용하여 이전 특성으로 다시 전환할 수 있습니다."
"Manage trees...","트리 관리..."
"Building table...","테이블 생성..."
"Click to focus node on tree","트리에서 이 노드에 초점을 맞추려면 클릭하십시오."
"""Offense/Defense"" not supported.  Select a specific stat from the dropdown.","""공격/방어""는 지원되지 않습니다. 드롭다운 목록에서 특정 데이터를 선택하십시오."
"Unknown Passive Tree Version","알 수 없는 패시브 트리 버전"
"The build you are trying to load uses an unrecognised version of the passive skill tree.","불러오려는 빌드가 인식할 수 없는 버전의 패시브 트리를 사용합니다."
"You may need to update the program before loading this build.","이 버전을 로드하기 전에 프로그램을 업데이트해야 할 수도 있습니다."
"Manage Passive Trees","패시브 트리 관리"
"Enter passive tree link:","패시브 트리 링크 입력:"
"Resolving PoEURL link...","PoEURL 링크 처리 중..."
"Passive tree link:","패시브 트리 링크:"
"Shrink with PoEURL","PoEURL로 축소"
"Shrinking...","축소중..."
"Tip: Right click to select a different effect","팁: 다른 효과를 선택하려면 마우스 오른쪽 버튼을 클릭하십시오."
"A report of node efficacy based on current heat map selection","현재 히트 맵 선택을 기반으로 한 노드 효율성 보고서"
"Show allocated nodes","할당된 노드 보이기"
"Show Unallocated Nodes","할당되지 않은 노드 표시"
"Max path:","최대 경로:"
"Keystone","핵심 노드"
"Notable","주요 노드"

"Any","모두"
"Doryani (Corrupted Soul)","도리아니(타락한영혼)"
"Xibaqua (Divine Flesh)","지바콰(신성한 육체)"
"Ahuana (Immortal Ambition)","아후아나(불멸의 야망)"
"Kaom (Strength of Blood)","카옴(피의 힘)"
"Rakiata (Tempered by War)","라키아타(전쟁의 담금질)"
"Akoya (Chainbreaker)","아코야(사슬 파괴자)"
"Asenath (Dance with Death)","아세나스(죽음의 춤)"
"Nasima (Second Sight)","나시마(꿰뚫어 보는 눈)"
"Balbala (The Traitor)","발바라(배반자)"
"Avarius (Power of Purpose)","아배리우스(의지력의 힘)"
"Dominus (Inner Conviction)","도미누스(내면의 신념)"
"Maxarius (Transcendence)","막사리우스(초월)"
"Cadiro (Supreme Decadence)","카디로(타락의 정점)"
"Victario (Supreme Grandstanding)","빅타리오(과시의 정점)"
"Caspiro (Supreme Ostentation)","카스피로(허영의 정점)"
"This is a hybrid node containing all additions to {0}","이 노드는 {0}개의 추가된 모든 노드를 포함하는 혼합 노드입니다."
"Jewel Type:","주얼 종류:"
