"The Anvil",모루
"Araku Tiki","아라쿠 티키"
Astramentis,"별의 보석"
"Atziri's Foible","앗지리의 결점"
"Carnage Heart","학살 심장"
"Daresso's Salute","다레소의 경례"
"Demigod's Presence","반신의 존재"
"Eye of Chayula","차율라의 눈"
"The Ignomon",이그노몬
"Karui Ward","카루이의 수호"
"Marylene's Fallacy","마릴린의 오산"
Sidhebreath,"요정의 숨결"
"Stone of Lazhwar","라즈워의 보석"
"Victario's Acuity","빅타리오의 예리함"
"Voll's Devotion","볼의 헌신"
Auxium,오시움
"Demigod's Bounty","반신의 하사품"
"Doryani's Invitation","도리아니의 초대"
Headhunter,헤드헌터
"Immortal Flesh","불멸의 육체"
"The Magnate",거물
"Meginord's Girdle","메기노드의 허리띠"
"Perandus Blazon","페란두스 문장"
Sunblast,"태양의 파동"
"Wurm's Molt","웜의 허물"
Andvarius,앤드바리우스
"Berek's Grip","베렉의 손아귀"
"Berek's Pass","베렉의 길"
"Berek's Respite","베렉의 유예"
Blackheart,"검은 심장"
"Death Rush","죽음의 재촉"
"Doedre's Damning","도이드리의 파멸"
"Dream Fragments","꿈의 조각"
"Gifts from Above","하늘에서 내려준 선물"
"Kaom's Sign","카옴의 표식"
"Le Heup of All","만인의 르 흐프"
"Lori's Lantern","로리의 등불"
"Ming's Heart","밍의 심장"
"Perandus Signet","페란두스 인장"
"Romira's Banquet","로미라의 연회"
"Shavronne's Revelation","샤브론의 계시"
"The Taming",조련
"Thief's Torment","도둑의 고통"
Voideye,"공허의 눈"
Blackgleam,"검은 섬광"
Drillneck,"치명적 송곳"
"Hyrri's Bite","하이리의 이빨"
Rearguard,"후위 경계"
"Ambu's Charge","앰부의 돌진"
Ashrend,"부서진 잿더미"
"Belly of the Beast","짐승의 소굴"
Bramblejack,"가시나무 갑옷"
Briskwrap,"활력의 겉옷"
"Bronn's Lithe","브론의 융통성"
"Carcass Jack","시체 상인"
"Cloak of Flame","화염의 망토"
"Cloak of Defiance","저항의 망토"
"The Covenant",계약
"Daresso's Defiance","다레소의 저항"
"Death's Oath","죽음의 서약"
Foxshade,"여우 그림자"
"Hyrri's Ire","하이리의 노여움"
Icetomb,"얼음 묘지"
"Incandescent Heart","백열하는 심장"
"Infernal Mantle","지옥불 외투"
"Kaom's Heart","카옴의 심장"
"Lightbane Raiment","사그라든 빛의 의복"
"Lightning Coil","번개 도선"
"Queen of the Forest","숲의 여왕"
"Shavronne's Wrappings","샤브론의 겉옷"
"Solaris Lorica","솔라리스 흉갑"
"Soul Mantle","영혼의 외투"
"Tabula Rasa","타뷸라 라사"
"Thousand Ribbons","천 개의 리본"
"Vis Mortis","비스 모티스"
"Voll's Protector","볼의 보호자"
"Zahndethus' Cassock","잔데투스의 성직복"
"Alberon's Warpath","알베른의 적대"
"Atziri's Step","앗지리의 걸음"
"The Blood Dance","피의 춤"
"Bones of Ullr","울러의 뼈"
"Darkray Vectors","어두운 빛의 궤적"
