"Doryani (Corrupted Soul)","도리아니(타락한영혼)"
"Xibaqua (Divine Flesh)","지바콰(신성한 육체)"
"Ahuana (Immortal Ambition)","아후아나(불멸의 야망)"
"Find Timeless Jewel","무궁한 주얼 검색기"
"Kaom (Strength of Blood)","카옴(피의 힘)"
"Rakiata (Tempered by War)","라키아타(전쟁의 담금질)"
"Akoya (Chainbreaker)","아코야(사슬 파괴자)"
"Asenath (Dance with Death)","아세나스(죽음의 춤)"
"Nasima (Second Sight)","나시마(꿰뚫어 보는 눈)"
"Balbala (The Traitor)","발바라(배반자)"
"Avarius (Power of Purpose)","아배리우스(의지력의 힘)"
"Dominus (Inner Conviction)","도미누스(내면의신념)"
"Maxarius (Transcendence)","막사리우스(초월)"
"Cadiro (Supreme Decadence)","카디로(타락의 정점)"
"Victario (Supreme Grandsta)","빅타리오(과시의 정점)"
"Caspiro (Supreme Ostentati)","카스피로(허영의 정점)"

"#% increased Area of Effect","효과 범위 #% 증가"
"#% increased Damage per Power Charge","권능 충전 하나당 피해 #% 증가"
"#% increased Intelligence","지능 #% 증가"
"#% increased Maximum total Life Recovery per second from Leech","흡수로 인한 초당 총 생명력 회복량 최대치 #% 증가"
"(14-20)% increased Quantity of Items Found","발견하는 아이템 수량 (14–20)% 증가"
"(16-24)% increased Reservation Efficiency while affected by a Unique Abyss Jewel","고유 심연 주얼의 영향을 받는 동안 스킬의 점유 효율 (16–24)% 증가"
"(20-25)% increased Spell Damage for each 200 total Mana you have Spent Recently, up to 2000%","최근 4초 이내 사용한 마나 200당 주문 피해 (20–25)% 증가, 최대 2,000% 증가"
"(20-40)% chance to gain a Frenzy Charge for each enemy you hit with a Critical Strike","적에게 치명타가 명중할 때마다 (20–40)%의 확률로 격분 충전 획득"
"(25-30)% chance to gain a Frenzy Charge on Killing an Enemy affected by 5 or more Poisons","중독 5중첩 이상의 적 처치 시 (25–30)%의 확률로 격분 충전 획득"
"(25-40)% increased Damage against Ignited Enemies","점화된 적에 대한 명중 및 상태 이상 피해 (25–40)% 증가"
"(3-4)% chance to gain a Endurance Charge on Kill","처치 시 (3-4)%의 확률로 인내 충전 획득"
"(30-40)% Increased Stun and Block Recovery","기절 및 막기 회복 (30–40)% 증가"
"(30-40)% chance when you Kill a Scorched Enemy to Burn Each surrounding Enemy for 4 seconds, dealing 8% of the Killed Enemy's Life as Fire Damage per second","그을린 적 처치 시 (30–40)%의 확률로 주변의 각 적에게 4초 동안 화상을 유발하여 1초마다 처치된 적의 생명력의 8%를 화염 피해로 줌"
"(300-400)% increased Armour and Evasion Rating","방어도 및 회피 (300–400)% 증가"
"(40-50)% chance to avoid Bleeding","(40–50)%의 확률로 출혈 긴급회피"
"(40-60)% of Damage Taken from Stunning Hits is Recovered as Life","기절 유발 명중으로 받는 피해의 (40–60)%를 생명력으로 회복"
"(6-12)% of Damage Taken Recouped as Life","받은 피해의 (6–12)%를 생명력으로 회생"
"(6-12)% of Damage Taken Recouped as Mana","받은 피해의 (6–12)%를 마나로 회생"
"(60-40)% less duration","지속시간 (60–40)% 감폭"
"(7-10)% increased Skeleton Cast speed","해골의 시전 속도 (7–10)% 증가"
"(80-100)% Increased Evasion Rating","회피 (80–100)% 증가"
"(The damage they take will be divided evenly between them)","(소환수들이 피해를 고르게 나누어 받습니다)"
"* {0} (Ignite DoT Multi)","^7* {0} ^8(점화 지속피해 배율)"
"+(-40-90) maximum Charges","충전 최대치 (-40–90)"
"+(20-25)% Chaos Resistance when on Low Life","낮은 생명력 상태일 때 카오스 저항 +(20–25)%"
"+(25-40) to Maximum Life","생명력 최대치 +(25–40)"
"+(5-7)% to All Elemental Resistances","모든 원소 저항 +(5–7)%"
"+(50-70) to Maximum Life","생명력 최대치 +(50–70)"
"+(700-1000) to maximum Life if there are no Life Modifiers on other Equipped items","장착 중인 다른 아이템에 생명력 속성이 부여되지 않은 경우 최대 생명력 +(700–1000)"
"+1 to Level of Socketed Active Skill Gems per 25 Player Levels ","플레이어 25레벨당 장착된 스킬 젬 레벨 +1"
"+1 to Maximum Endurance Charge","인내 충전 최대치 +1"
"+1 to Maximum Frenzy Charge","격분 충전 최대치 +1"
"+1 to Maximum Power Charge","권능 충전 최대치 +1"
"+1 to maximum Energy Shield per Level","1레벨당 에너지 보호막 최대치 +1"
"+1 to maximum Mana per Level","1레벨당 최대 마나 +1"
"+1 to maximum number of Golems","골렘 최대치 +1"
"+1% to All Elemental Resistances per 15 Omniscience","전지력 15당 모든 원소 저항 +1%"
"+1% to Critical Strike Multiplier per 1% Block Chance","공격 피해 막기 확률 1%당 치명타 피해 배율 +1%"
"+100% Chance to Block Spell Damage if you have Blocked Attack Damage Recently","최근 4초 이내 공격 피해를 막아낸 경우 주문 피해 막기 확률 +100%"
"+2 to Melee Weapon and Unarmed range","근접 타격 범위 +2"
"+2 to Weapon range","무기 공격 범위 +2"
"+3 to maximum number of Golems","골렘 최대치 +3"
"+90 to maximum Charges","충전 최대치 +90"
"-(10-15) Physical Damage taken from Attacks","공격 적중 시 받는 물리 피해 -(15-10)"
"-(30-60)Physical Damage taken from Attack Hits","공격 적중 시 받는 물리 피해 -(60–30)"
"-(80-70)% to All Elemental Resistances","모든 원소 저항 (-80–-70)%"
"-1 to maximum number of Golems","골렘 최대치 -1"
"1% increased Area of Effect of Area Skills per 20 Intelligence","지능 20당 효과 범위 1% 증가"
"1% increased Armour per 16 Strength when in Off Hand","보조 장비로 장착 시 힘 16당 방어도 1% 증가"
"1% increased Bleed Duration per 12 Intelligence","지능 12당 출혈 지속시간 1% 증가"
"1% increased Damage per 8 Strength when in Main Hand","주 무기로 장착 시 힘 8당 피해 1% 증가"
"1% increased Movement Speed per 600 Evasion Rating, up to 75%","회피 600당 이동 속도 1% 증가, 최대 75%"
"1% of Attack Damage Leeched as Life against Chilled enemies","냉각된 적에 대한 공격 피해의 1%를 생명력으로 흡수"
"1% of Damage leeched as Life","피해의 1%를 생명력으로 흡수"
"1% of Physical Attack Damage leeched as Life","물리 공격 피해의 1%를 생명력으로 흡수"
"10% chance that if you would gain a Crab Barrier, you instead gain up to","게의 방어막 획득 시"
"10% chance to gain Adrenaline for 2 Seconds when Leech is removed by Filling Unreserved Life","점유되지 않은 생명력이 차서 흡수가 제거되면 10%의 확률로 2초 동안 아드레날린 획득"
"10% chance to gain Onslaught for 4 Seconds when Leech is removed by Filling Unreserved Life","점유되지 않은 생명력이 차서 흡수가 제거되면 10%의 확률로 4초 동안 맹공 획득"
"10% increased Area of Effect of Area Skills","효과 범위 10% 증가"
"10% increased Evasion per 500 Maximum Mana","최대 마나 500당 회피 10% 증가, 최대 100%"
"10% increased Mana Regeneration Rate Per Power Charge","권능 충전 하나당 마나 재생 속도 10% 증가"
"100% increased Onslaught Effect","플레이어에게 적용되는 맹공 효과 100% 증가"
"15% increased Movement Speed for 9 seconds on Throwing a Trap","덫 투척 시 9초 동안 이동 속도 15% 증가"
"2% chance to Avoid Elemental Damage when Hit per Frenzy Charge","피격 시 격분 충전 하나당 2%의 확률로 원소 피해 긴급회피"
"2% increased Physical Damage over time per 10 Dexterity","민첩 10당 지속 물리 피해 2% 증가"
"20% increased Movement Speed when on Full Energy Shield","에너지 보호막이 최대일 때 이동 속도 20% 증가"
"200 Lightning Damage taken per second per Power Charge if your Skills have dealt a Critical Strike Recently","최근 4초 이내 플레이어의 스킬로 치명타 명중 시 권능 충전 하나당 1초마다 200의 번개 피해를 받음"
"200% of Life Leech applies to enemies as Chaos Damage","적에게 적용되는 생명력 흡수의 200%를 카오스 피해로 적용"
"25% chance that if you would gain Power Charges, you instead gain up to","권능 충전 획득 시"
"25% chance to Trigger Level 10 Summon Raging Spirit on Kill","처치 시 25%의 확률로 10레벨 격노의 유령 소환 발동"
"25% chance to create Profane Ground on Critical","능력치 중 지능이 가장 높을 경우"
"25% reduced Bleed duration","출혈 지속시간 25% 감소"
"3% additional chance for Slain monsters to drop Scrolls of Wisdom","처치한 몬스터가 감정 주문서 1개를 추가로 떨어뜨릴 확률 3%"
"3% of Attack Damage leeched as Life against Bleeding Enemies","출혈 중인 적에 대한 공격 피해의 3%를 생명력으로 흡수"
"30% Chance to cause Bleeding on Hit","명중 시 30%의 확률로 출혈 유발"
"30% increased Evasion while Phasing","차원 능력 상태에서 회피 30% 증가"
"40% increased Chaos Skill Effect Duration","카오스 스킬의 스킬 효과 지속시간 40% 증가"
"40% increased Maximum total Recovery per second from Life Leech","흡수로 인한 초당 총 생명력 회복량 최대치 40% 증가"
"5% additional Block Chance while on Consecrated Ground","신성화 지대에 있는 동안 공격 피해 막기 확률 +5%"
"50% chance to Trigger Socketed Spells when you Spend at least 100 Mana on an Upfront Cost to Use or Trigger a Skill, with a 0.1 second Cooldown","스킬 사용 또는 발동을 위해 초기 비용으로 마나 100 이상 소모 시 50%의 확률로 장착된 주문 발동, 재사용 대기시간 0.1초"
"50% increased Elemental Ailment Duration on You","플레이어에게 적용되는 원소 상태 이상 지속시간 50% 증가"
"50% increased Life Leeched per second","생명력 흡수로 인한 초당 총 회복량 50% 증가"
"75% of Damage bypasses Ward","받는 피해의 75%가 수호에 막히지 않음"
"8% increased Effect of Arcane Surge on you per Hypnotic Eye Jewel affecting you, up to a maximum of 40%","자신에게 적용되는 비전 쇄도 효과 8% 증가, 최대 40%"
"8% increased Effect of non-Damaging Ailments per Elder Item Equipped","장착한 엘더 아이템 하나당 비-피해 상태 이상 효과 8% 증가"
"= {0} maximum survivable enemy damage (approximate)","^7= {0} ^8생존 가능한 적의 최대 피해량 (근사값)"
"Adds (10-14) to (19-24) Physical Damage to Attacks with Bows","활 공격 시 물리 피해 (10–14)~(19–24) 추가"
"Adds (100-145) to (160-200) Cold Damage to Bow Attacks","활 공격 시 냉기 피해 (105–145)~(160–200) 추가"
"Adds (8-10) to (14-16) Physical Damage to Attacks with Bows","활 공격 시 물리 피해 (8–10)~(14–16) 추가"
"Adds 19-43 Chaos Damage to Attacks","공격 시 카오스 피해 19~43 추가"
"Adds 6 to 10 Physical Damage to Attacks with Bows","활 공격 시 물리 피해 6~10 추가"
"Allocates Demolitions Specialist if you have the matching modifier on Forbidden Flame","금단의 살점에 일치하는 속성이 있을 경우 폭발 전문가 할당"
"Allocates Demolitions Specialist if you have the matching modifier on Forbidden Flesh","금단의 살점에 일치하는 속성이 있을 경우 폭파 전문가 할당"
"Attack Skills have added Lightning Damage equal to 6% of maximum Mana","공격 스킬이 최대 마나의 6%와 동일한 추가 번개 피해 보유"
"Attack skills can have 1 additional Totem Summoned at a time","공격 스킬의 소환 가능한 토템 최대치 +1"
"Attacks have 25% chance to inflict Bleeding","공격이 저주받은 적 명중 시 25%의 확률로 출혈 유발"
"Attacks with this Weapon deal double Damage to Chilled Enemies","이 무기로 공격 시 냉각된 적에게 주는 피해 2배"
"Can Consume 4 Support Gems","4개의 타락하지 않은 보조 젬 추가 소모 가능"
"Can have 1 additional Siege Ballista Totem per 200 Dexterity","민첩 200당 공성 쇠뇌의 소환 가능한 토템 최대치 +1"
"Cannot Be Slowed to Below Base Speed","동작 속도가 기본 수치 밑으로 내려가지 않음"
"Cannot be Frozen or Chilled if you've used a Fire Skill Recently","최근 4초 이내 화염 스킬을 사용한 경우 100%의 확률로 동결 또는 냉각 긴급회피"
"Cannot be Ignited while on Low Life","낮은 생명력 상태에서 100%의 확률로 점화 긴급회피"
"Cast Socketed Minion Spells on Kill with this Weapon","이 무기로 처치 시 장착된 소환수 주문 발동"
"Chaos Damage does not bypass Energy Shield while not on Low Life","낮은 생명력 상태가 아닐 때 받는 카오스 피해가 에너지 보호막에 막힘"
"Chaos Damage does not bypass Energy Shield","받는 카오스 피해가 에너지 보호막에 막힘"
"Chill Enemy for 1 second when Hit","피격 시 적을 1초 동안 냉각시켜 적의 동작 속도를 30%만큼 감소"
"Consumes Socketed Support Gems when they reach Maximum Level","최대 레벨 도달 시 장착된 타락하지 않은 보조 젬 소모"
"Contaminate","오염"
