
"(10-20)% increased Cast Speed with Curse Skills","저주 스킬의 시전 속도 (10–20)% 증가"
"(3-5)% increased Elemental Damage per Power Charge","권능 충전 하나당 원소 피해 (3–5)% 증가"
"(60-100)% increased Effect of Chill you inflict while Leeching Mana","마나 흡수 중에 유발한 냉각 효과 (60–100)% 증가"
"(A Hit that removes at least 15% of Maximum Life is a Savage Hit)","(한 번의 피격으로 최대 체력의 15% 이상이 사라지는 공격이 야만적인 타격입니다)"
"(Affects Melee Strikes, including the Default Attack. Does not apply to Areas of Effect)","(기본 공격을 포함한 근접 타격에 영향을 줍니다. 범위 효과에는 적용되지 않습니다)"
"(Ailments that deal Damage are Bleeding, Ignited, and Poisoned)","(피해를 가하는 상태 이상 - 출혈, 점화, 중독)"
"(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second, and Curses have 50% reduced effect on them)","(신성화 지대에서는 동료의 생명력이 1초당 최대 생명력의 정해진 비율만큼 차오르며, 동료에게 적용되는 저주의 효과가 50% 감소합니다.)"
"(Armour, Evasion Rating and Energy Shield are the standard Defences)","(방어는 일반적으로 방어도, 회피, 에너지 보호막으로 구성됩니다)"
"(Attributes are Strength, Dexterity, and Intelligence)","(능력치는 힘, 민첩, 지능입니다)"
"(Base Maximum Effect of Shock is 50% increased Damage taken)","(감전의 기본 최대 효과가 받는 피해 {0}% 증가)"
"(Being Blinded causes 20% less Accuracy Rating and Evasion Rating)","(실명은 정확도와 회피를 20% 감폭시킵니다.)"
"(Being Blinded causes 20% less Accuracy Rating and Evasion Rating, for 4 seconds)","(실명은 4초 동안 정확도와 회피를 20% 감폭시킵니다.)"
"(Being Covered in Ash applies 20% less Movement Speed and 20% increased Fire Damage Taken, for 4 seconds)","(재로 뒤덮임 상태에서는 이동 속도가 20% 감폭되고 받는 화염 피해가 {0}% 증가합니다. 4초 동안 유지됩니다)"
"(Bleeding deals Physical Damage over time, based on the base Physical Damage of the Skill. Damage is higher while moving)","(출혈은 지속 물리 피해를 주며, 피해량은 해당 스킬의 기본 물리 피해에 의해 결정됩니다. 출혈 피해는 이동할 때 더 높아집니다)"
"(Chill reduces Enemy Action Speed by 10%)","(냉각은 적의 동작 속도를 10% 감소시킵니다)"
"(Chill reduces Enemy Action Speed by up to 30%, depending on the amount of Cold Damage in the hit, for 2 seconds)","(냉각은 적의 동작 속도를 2초 동안 30%까지 감소시킵니다. 감소 정도는 냉각을 부여한 냉기 피해량에 따라 달라집니다)"
"(Converts all Evasion Rating to Armour. Dexterity provides no bonus to Evasion Rating)","(모든 회피를 방어도로 전환합니다. 민첩이 회피에 보너스를 제공하지 않습니다)"
"(Culling Strike means enemies that are on 10% or lower life after your Hit are Killed)","(마무리 타격은 플레이어에게 피격되어 10% 이하의 생명력이 남은 적을 처치하는 것을 의미합니다)"
"(Elemental Ailments are Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)","(원소 상태 이상 - 점화, 그을림, 냉각, 동결, 허약, 감전, 활력 감소)"
"(Elusive initially grants 15% chance to Avoid All Damage from Hits, and 30% increased Movement Speed. The buff reduces its effect over time, removing itself at 0% effect. If you already have an Elusive buff, you cannot gain Elusive)","(도피는 최초에 명중으로 인한 피해를 전부 회피할 확률 15%를 부여하고 이동 속도를 30% 증가시킵니다. 버프의 효과는 시간이 지남에 따라 0%까지 감소합니다. 이미 도피 버프를 가지고 있다면 도피를 획득할 수 없습니다)"
"(Enemies with Malediction deal 10% reduced damage and take {0}% increased damage)","(악담 상태의 적은 가하는 피해가 10% 감소하고 받는 피해가 {0}% 증가합니다)"
"(Flammability is a Hex which inflicts -17% to Fire Resistance and causes Hits to have +25% chance to Ignite the target. It lasts 8 seconds)","(인화성은 화염 저항을 17% 감소시키고 피격 시 대상이 점화될 확률을 {0}% 증가시키는 사술입니다. 8초 동안 지속됩니다.)"
