" Abyss"," 심연"
" Apex"," 정점"
" Bind"," 묶음"
" Cage"," 창살"
" Chambers"," 방"
" Coffers"," 궤짝"
" Core"," 중심부"
" Court"," 법정"
" Cradle"," 받침대"
" Crag"," 바위"
" Cramp"," 경련"
" Crate"," 나무상자"
" Crest"," 문양"
" Depths"," 심연"
" Dregs"," 찌꺼기"
" Edge"," 칼날"
" Frontier"," 개척지"
" Haven"," 안식처"
" Keep"," 감옥"
" Nexus"," 연결부"
" Oubliette"," 지하 감옥"
" Panorama"," 전경"
" Pit"," 구덩이"
" Point"," 끝"
" Reaches"," 역량"
" Refuge"," 피난처"
" Refuse"," 거절"
" Remains"," 유물"
" Remnant"," 유물"
" Rupture"," 파열"
" Sanctum"," 지성소"
" Scum"," 쓰레기"
" Secrets"," 비밀"
" Sepulchre"," 매장소"
" Shadows"," 그림자"
" Shard"," 파편"
" Slag"," 용재"
" Solitude"," 고독"
" Spires"," 첨탑"
" Trap"," 덫"
" Vault"," 금고"
" View"," 관점"
" Vine"," 덩굴"
" Waste"," 황무지"
" Ziggurat"," 지구라트"
" Abode"," 거처"
" Quarters"," 구역"
" Roost"," 보금자리"
" Sector"," 영역"
" Zone"," 지역"
" Precinct"," 구획"
" Dwelling"," 거주지"
" Aegis"," 비호"
" Anthem"," 찬가"
" Arbiter"," 중재자"
" Arch"," 활"
" Arrow"," 화살"
" Badge"," 배지"
" Band"," 띠"
" Bane"," 파멸"
" Barb"," 가시"
" Barrage"," 연발 사격"
" Barrier"," 방어막"
" Bastion"," 보루"
" Batter"," 구타"
" Beads"," 구슬"
" Beak"," 부리"
" Beam"," 광선"
" Bite"," 이빨"
" Blast"," 폭발"
" Blow"," 일격"
" Blunt"," 둔기"
" Bolt"," 화살"
" Bond"," 유대"
" Braid"," 끈"
" Branch"," 나뭇가지"
" Brand"," 낙인"
" Breaker"," 분쇄기"
" Breeze"," 바람"
" Brow"," 이마"
" Buckle"," 버클"
" Bulwark"," 방벽"
" Burst"," 격발"
" Butcher"," 도살자"
" Call"," 소환"
" Carapace"," 등딱지"
" Caress"," 손길"
" Chant"," 노래"
" Charm"," 부적"
" Choker"," 목줄"
" Circle"," 고리"
" Clasp"," 걸쇠"
" Claw"," 클로"
" Cloak"," 망토"
" Clutches"," 손아귀"
" Coat"," 외투"
" Coil"," 감개"
" Collar"," 목걸이"
" Cord"," 줄"
" Corona"," 광환"
" Cowl"," 고깔"
" Crack"," 균열"
" Crown"," 왕관"
" Crusher"," 타쇄자"
" Cry"," 함성"
" Curtain"," 장막"
" Dart"," 화살침"
" Dash"," 질주"
" Dome"," 돔"
" Duty"," 의무"
" Emblem"," 상징"
" Etcher"," 부각사"
" Eye"," 눈"
" Fang"," 송곳니"
" Fend"," 방어"
" Finger"," 손가락"
" Fingers"," 손가락"
" Fist"," 주먹"
" Fletch"," 화살깃"
" Flight"," 비행"
" Girdle"," 허리띠"
" Glance"," 곁눈질"
" Glare"," 섬광"
" Globe"," 구체"
" Gnarl"," 마디"
" Gnash"," 악문 이빨"
" Goad"," 몰이 막대"
" Gorget"," 목가리개"
