"Doedre's Gluttony","도이드리의 폭식"
"Doedre's Spite","도이드리의 악의"
"Doedre's Apathy","도이드리의 무관심"
"Endbringer","종말 인도자"
"Energy From Naught","무한 동력"
"Phlebotomist","사혈자"
"Lord of Drought","가뭄의 군주"
"Spiked Bulwark","가시 방벽"
"Flaying","가죽 벗기기"
"Sadist","가학 성애자"
"Ritual of Awakening","각성의 의식"
"Streamlined","간소화"
"Forking Angle","갈래 각도"
"Watchtowers","감시 포탑"
"Shock Avoidance","감전 긴급회피"
"Shock Resistance","감전 저항"
"Shock Chance","감전 확률"
"Fortitude","강건함"
"Powerful Assault","강력한 공격"
"Forceful Skewering","강력한 꿰뚫기"
"Powerful Ward","강력한 수호"
"Powerful Bond","강력한 유대"
"Necromantic Aegis","강령술의 비호"
"One with the River","강에 선 사람"
"Iron Grip","강철 손아귀"
"Steelwood Stance","강철목 자세"
"Command of Steel","강철의 명령"
"Soul of Steel","강철의 영혼"
"Iron Will","강철의 의지"
"Titanic Impacts","거대한 충격"
"Titanic Swings","거대한 휘두르기"
"Holy Conquest","거룩한 정복"
"Pain Forger","거짓 고통"
"Sword Mastery","검 숙련"
"Sword Accuracy and Critical Strike Chance","검 정확도 및 치명타 확률"
"Sword Critical Strike Multiplier","검 치명타 피해 배율"
"Sword Critical Strike Chance","검 치명타 확률"
"Sword Critical Strike Chance and Multiplier","검 치명타 확률 및 피해"
"Sword Damage","검 피해"
"Sword Damage and Attack Speed","검 피해 및 공격 속도"
"Sword Damage and Melee Range","검 피해 및 근접 범위"
"Sword Damage and Block","검 피해 및 막기"
"Blade Master","검의 대가"
"Bladedancer","검의 무희"
"Gladiatorial Combat","검투사 전투"
"Art of the Gladiator","검투사의 기교"
"Gladiator's Fortitude","검투사의 기백"
"Gladiator's Perseverance","검투사의 인내"
"Winter Prowler","겨울 배회자"
"Shaper of Winter","겨울의 형성자"
"Winter Spirit","겨울의 혼백"
"Inspirational","격려"
"Violent Retaliation","격렬한 보복"
"Intensity","격렬함"
"Frenzy Charge Duration","격분 충전 지속시간"
"Attack Speed per Frenzy Charge","격분 충전 하나당 공격 속도"
"Movement Speed per Frenzy Charge","격분 충전 하나당 이동 속도"
"Evasion Per Frenzy Charge","격분 충전 하나당 회피"
"Vanquisher","격퇴자"
"Adamant","견고한 의지"
"Entrench","견고화"
"Untiring","견인불발"
"Crystal Skin","결정 가죽"
"Flawless Savagery","결함 없는 야만성"
"Pious Path","경건한 길"
"Warning Call","경고 신호"
"Astonishing Affliction","경이적인 고통"
"Trickery","계략"
"Measured Fury","계획적인 광분"
"Hard Knocks","고난"
"Withering Presence","고사시키는 존재"
"High Explosives","고성능 폭약"
"Tranquility","고요함"
"High Voltage","고전압"
"Inveterate","고질적"
"Defy Pain","고통 무시"
"Painforged","고통의 대장간"
"Basics of Pain","고통의 밑바닥"
"Pain Attunement","고통의 조율"
"Acrobatics","곡예"
"Golem Life and Buff Effect","골렘 생명력 및 버프 효과"
"Golem Commander","골렘을 부리는 자"
"Golem's Blood","골렘의 피"
"Goliath","골리앗"
"Attack and Cast Speed","공격 및 시전 속도"
"Attack and Cast Speed, Accuracy","공격 및 시전 속도, 정확도"
"Attack Speed","공격 속도"
"Attack Speed and Dexterity","공격 속도 및 민첩"
"Attack Speed and Accuracy","공격 속도 및 정확도"
"Attack Speed and Poison Duration","공격 속도 및 중독 지속시간"
"Attack Speed and One Handed Damage","공격 속도 및 한손 피해"
"Attack Speed, Block Chance","공격 속도, 막기 확률"
"Attack Speed, Physical Damage","공격 속도, 물리 피해"
"Attack Speed, Movement Speed","공격 속도, 이동 속도"
"Attack Mastery","공격 숙련"
"Burning Damage Multiplier with Attacks","공격 시 화상 피해 배율"
"Attack Ignite Chance","공격 점화 확률"
"Attack Ignite Chance and Attack Speed","공격 점화 확률 및 공격 속도"
"Attack Damage","공격 피해"
"Attack Damage and Speed","공격 피해 및 속도"
"Attack Damage and Leech","공격 피해 및 흡수"
"Attack Damage, Frenzy and Endurance Charge Duration","공격 피해, 격분 및 인내 충전 지속시간"
"Attack Damage, Attack Speed","공격 피해, 공격 속도"
"Attack Damage, Life Leech","공격 피해, 생명력 흡수"
"Attack Damage, Critical Strike Chance","공격 피해, 치명타 확률"
"Attack Damage, Area of Effect","공격 피해, 효과 범위"
"Aggressive Defence","공격적인 방어"
"Aggressive Bastion","공격적인 보루"
"Aerodynamics","공기 역학"
"Blitz","공세"
"Aerialist","공중 곡예"
"Dread March","공포 행진"
"Void Barrier","공허 방어막"
"Void Beacon","공허의 등불"
"Overshock","과충격"
"Overcharge","과충전"
"Overcharged","과충전"
"Pierce","관통 보조"
"Piercing Shots","관통 사격"
"Expansive Might","광대 함"
"Vast Power","광대한 권능"
"Frenetic","광란"
"Widespread Destruction","광범위 파괴"
"Feed the Fury","광분 조장"
"Fury Bolts","광분의 화살"
"Berserking","광폭화"
"Burden Projection","괴로운 예감"
"Clever Construction","교묘한 구조물"
"Clever Thief","교묘한 도둑"
"Sleight of Hand","교묘한 손재주"
"Blade of Cunning","교활한 검"
"Serpentine Spellslinger","구불거리는 주문투척"
"Redemption","구원"
"Surefooted Striker","굳건한 공격"
"Hardened Scars","굳어진 흉터"
"Deflection","굴절"
"Ravenous Horde","굶주린 패거리"
"Power Charge Duration","권능 충전 지속시간"
"Mana Regeneration per Power Charge","권능 충전 하나당 마나 재생"
"Spell Damage per Power Charge","권능 충전 하나당 주문 피해"
"Critical Strike Multiplier per Power Charge","권능 충전 하나당 치명타 피해 확률"
"Critical Strike Chance per Power Charge","권능 충전 하나당 치명타 확률"
"Empowered Envoy","권한이 부여 된 특사"
"Testudo","귀갑 방패"
"Grand Design","그랜드 디자인"
"Smoking Remains","그을린 유해"
"Utmost Swiftness","극에 이른 속도"
"Utmost Intellect","극에 이른 지능"
"Utmost Might","극에 이른 힘"
