"Available Mastery node options are:","사용 가능한 숙련 노드 옵션은 다음과 같습니다:"
"(Inherent effects from having Rage are:","(""격노""로 인해 생기는 효과는 다음과 같습니다."
"1% increased Attack Damage per 1 Rage","격노 1마다 공격 피해 1% 증가"
"1% increased Attack Speed per 2 Rage","격노 2마다 공격 속도 1% 증가"
"1% increased Movement Speed per 5 Rage)","격노 5마다 이동 속도 1% 증가)"
"(Virulence is granted by the Herald of Agony Skill)","(""병독성""은 고통의 전령 스킬로 부여됩니다.)"
"(These are consecutive)","(지속 효과)"
"(Each Conflux means all damage causes that Ailment)","(각 원소 융합은 상태 이상을 부여하는 모든 종류의 피해를 의미합니다)"
"(Tailwind increases Action Speed by 10%)","(""순풍""으로 동작 속도가 10% 증가합니다)"
"(Fortify grants 20% reduced Damage Taken from Hits)","(""방어 상승""은 피격으로 받는 피해를 20% 감소합니다)"
"(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits)","(""꿰뚫린"" 적이 피격당하면, 꿰뚫림이 적용되었던 타격의 물리 피해량의 10%가 적에게 반사됩니다. 꿰뚫림은 5회 피격될 동안 유지됩니다)"

"(Increases and Reductions to Maximum Mana also apply to Damage at 30% of their value)","(마나 최대치 증가 및 감소가 해당 값의 30% 만큼 피해에도 적용)"
"(Increases and Reductions to Maximum Life also apply to Attack Damage at 30% of their value)","(생명력 최대치 증가 및 감소가 해당 값의 30% 만큼 공격 피해에도 적용)"
"(Auras can only grant bonuses to things they affect)","(오라는 오라가 영향을 주는 대상에만 효과를 부여합니다.)"
"(Arcane Surge grants 10% increased Cast Speed and 30% increased Mana Regeneration rate, for 4 seconds)","(""비전 쇄도""가 시전 속도를 10% 증가시키고, 마나 재생 속도를 30% 증가시킵니다. 4초 동안 유지됩니다)"
"(Ailments that do not deal Damage are Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)","(피해를 가하지 않는 상태 이상 - 그을림, 냉각, 동결, 허약, 감전, 활력 감소)"
"(Brand Damage is any Damage dealt by Brand Skills or by Skills Triggered by a Brand)","(""낙인 피해""란 낙인 스킬이나 낙인으로 인해 발동하는 스킬이 주는 피해입니다.)"
"(Ignoring Resistances means your Damage cannot be modified in any way by any Resistance stats)","(""저항 무시""는 상대가 어떤 저항을 지니고 있든 여러분에게 받는 피해량이 변하지 않음을 의미합니다)"
"(Fanaticism grants Spells you Cast yourself 75% more Cast Speed, 75% reduced Cost and 75% increased Area of Effect)","(""광신주의""는 직접 시전하는 주문의 시전 속도를 75% 증폭시키고, 소모량을 75% 감소시키며 효과 범위를 75% 증가시킴)"
"(The effects of the ground still apply to you, allies or enemies after leaving its area)","(동료 또는 적이 해당 지역을 떠난 뒤에도 플레이어는 계속 지대의 영향을 받습니다)"
"(Debuffs you are Unaffected by can still be placed on you, but will not actually apply their effect)","(플레이어에게 효과가 없는 ""디버프""는, 유지는 되겠지만 실제로 적용되지는 않습니다)"
"(Only Damage from Hits can be Recouped, over 4 seconds following the Hit)","(피격으로 받은 피해만 회복할 수 있으며, 피격 후 4초에 걸쳐 회생)"
"(Passive Skills that are not Notable, Masteries, Keystones, or Jewel Sockets are Small)","(주요 스킬, 숙련, 핵심노드, 주얼 슬롯이 아닌 ""패시브 스킬""은 소형으로 나타납니다)"
"(Blitz Charges have a base Duration of 5 seconds)","(공세 충전이 5초의 기본 지속시간을 지님)"
"(Maximum Rage is 50)","(""격노""의 최대치는 50입니다)"
"(You lose 1 Rage every 0.5 seconds if you have not been Hit or gained Rage Recently)","(최근 4초 이내 피격당하지 않거나 격노를 얻지 못했다면 격노가 0.5초마다 1씩 줄어듭니다)"
"(Physical Damage Reduction is lower against Overwhelming Hits, but cannot go negative)","(압도하는 공격에 대항할 때는 물리 피해 감소 수치가 낮아지지만, 음수가 되지는 않음)"
"(50% of Damage from Suppressed Hits and Ailments they inflict is prevented)","(억제된 명중과 상태 이상으로 받는 피해의 50%를 방지합니다.)"
"(Overcapped Chance to Block is the amount by which Uncapped Chance to Block is higher than Maximum Chance to Block)","(""제한 초과 막기 확률""은 비 제한 막기 확률에서 막기 확률 최대치를 뺀 값입니다)"
"(Uncapped Chance to Block is the value Chance to Block would have if ignoring Maximum Chance to Block)","(""비 제한 막기 확률""은 막기 확률 최대치를 무시했을 때의 막기 확률 값입니다)"
"(Overcapped Chance to Block is the amount by which Uncapped Chance to Block is higher than Maximum Chance to Block)","(""제한 초과 막기 확률""은 비 제한 막기 확률에서 막기 확률 최대치를 뺀 값입니다)"
"(Uncapped Chance to Block is the value Chance to Block would have if ignoring Maximum Chance to Block)","(""비 제한 막기 확률""은 막기 확률 최대치를 무시했을 때의 막기 확률 값입니다)"
"(Intimidated enemies take 10% increased Attack Damage)","(""위협"" 당한 적은 받는 공격 피해가 10% 증가합니다)"
"(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits or 8 seconds)","(""꿰뚫린"" 적이 피격당하면, 꿰뚫림이 적용되었던 타격의 물리 피해량의 10%가 적에게 반사됩니다. 꿰뚫림은 5회 피격될 동안 또는 8초 동안 유지됩니다)"
"(Being Covered in Ash applies 20% less Movement Speed and 20% increased Fire Damage Taken)","(""재로 뒤덮임"" 상태에서는 이동 속도가 20% 감폭되고 받는 화염 피해가 20% 증가합니다.)"
"(Ailments are Bleeding, Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, Sapped, and Poisoned)","(상태 이상 - 출혈, 점화, 그을림, 냉각, 동결, 허약, 감전, 활력 감소, 중독)"
"(Rune Daggers are considered Daggers)","(룬 단검은 단검으로 간주됩니다)"
"(Armour is treated as this percentage of its actual value, only for calculating damage mitigation)","(완화되는 피해를 계산하는 경우에 한해 방어도를 원래 수치의 해당 퍼센트로 간주)"
"(Each instance of Gale Force lasts 4 seconds. Maximum 10 Gale Force)","(강풍의 힘은 각각 4초 지속됩니다. 최대 10개까지 중첩됩니다.)"
"(Tailwind increases Action Speed by 8%)","(""순풍""으로 동작 속도가 8% 증가합니다)"
"(Targets take 25% more Damage from Bleeding, and Bleeding on them expires 25% more quickly, per Rupture affecting them. Up to 3 Ruptures can affect a target, lasting 3 seconds each)","(대상이 보유한 파열 하나당 대상이 출혈로 받는 피해가 25% 증폭되고, 이 대상에게 걸린 출혈이 25% 빨리 만료됩니다. 파열은 하나의 대상에게 최대 3개 걸릴 수 있으며 각각 3초 동안 지속됩니다.)"
"(Enemies you Taunt can only target you, and deal 10% less damage to anyone else. Taunt lasts for 3 seconds)","(""도발""당한 적은 플레이어만을 대상으로 하며, 다른 이에게 가하는 피해량이 10% 감폭합니다. 3초 동안 유지됩니다)"
