
"+0.4 metres to Melee Strike Range while at least 5 Enemies are Nearby","주변의 적이 5명 이상인 경우 근접 타격 범위 +0.4미터"
"+0.5% to Critical Strike Chance per Poison affecting Enemy, up to +2.0%","적에게 중첩된 중독 하나당 치명타 확률 +0.5%, 최대 +2.0%"
"+0.75% to Critical Strike Chance","치명타 확률 +0.75%"
"+1 Armour per 2 Strength","힘 2당 방어도 +1"
"+1 to Level of all Chaos Skill Gems / Lose 10% of Life and Energy Shield when you use a Chaos Skill","모든 카오스 스킬 젬 레벨 +1 / 카오스 스킬 사용 시 생명력과 에너지 보호막의 10% 상실"
"+1 to Level of all Chaos Skill Gems","모든 카오스 스킬 젬 레벨 +1"
"+1 to Maximum Endurance Charges","인내 충전 최대치 +1"
"+1 to Maximum Frenzy Charges","격분 충전 최대치 +1"
"+1 to Maximum Power Charges and Maximum Endurance Charges","권능 충전 및 인내 충전 최대치 +1"
"+1 to Maximum Power Charges","권능 충전 최대치 +1"
"+1 to Maximum number of Raised Zombies","소환 가능한 좀비 최대치 +1"
"+1 to Maximum number of Skeletons","해골 최대치 +1"
"+1 to Maximum number of Spectres","망령 최대치 +1"
"+1 to Melee Strike Range with Swords","검 사용 시 근접 타격 범위 +1"
"+1 to Melee Strike Range","근접 타격 범위 +1"
"+1 to Minimum Endurance Charges","최소 인내 충전 +1"
"+1 to Minimum Frenzy Charges","최소 격분 충전 +1"
"+1 to Minimum Power Charges","최소 권능 충전 +1"
"+1 to maximum Energy Shield per 6 Evasion Rating on Body Armour","갑옷의 회피 6당 에너지 보호막 최대치 +1"
"+1 to maximum Energy Shield per 6 Evasion Rating on Equipped Body Armour","장착한 갑옷의 회피 6당 에너지 보호막 최대치 +1"
"+1 to maximum Fortification","방어 상승 최대치 +1"
"+1 to maximum number of Summoned Golems","골렘 최대치 +1"
"+1 to maximum number of Summoned Totems","소환 가능한 토템 최대치 +1"
"+1% Chance to Block Attack Damage per 5% Chance to Block on Equipped Shield","장착한 방패의 막기 확률 5%당 공격 피해 막기 확률 +1%"
"+1% Chance to Suppress Spell Damage per 15 Dexterity","민첩 15당 주문 피해 억제 확률 +1%"
"+1% to Critical Strike Multiplier per 10 Maximum Energy Shield on Shield","방패의 에너지 보호막 최대치 10당 치명타 피해 배율 +1%"
"+1% to Off Hand Critical Strike Chance while Dual Wielding","쌍수 사용 시 보조 장비 치명타 확률 +1%"
"+1% to all maximum Elemental Resistances if Equipped Helmet, Body Armour, Gloves, and Boots all have Armour","장착한 투구, 갑옷, 장갑, 장화가 전부 방어도 보유 시 모든 원소 저항 최대치 +1%"
"+1% to all maximum Elemental Resistances if you have Reserved Life and Mana","생명력과 마나가 점유된 경우 모든 원소 저항 최대치 +1%"
"+1% to all maximum Elemental Resistances","모든 원소 저항 최대치 +1%"
"+1% to maximum Chaos Resistance","카오스 저항 최대치 +1%"
"+1% to maximum Cold Resistance","냉기 저항 최대치 +1%"
"+1% to maximum Fire Resistance","화염 저항 최대치 +1%"
"+1% to maximum Lightning Resistance","번개 저항 최대치 +1%"
"+1.5% Critical Strike Chance while at maximum Power Charges","최대 권능 충전 상태에서 치명타 확률 +1.5%"
"+10 to Armour and Evasion Rating per 1% Chance to Block Attack Damage","공격 피해 막기 확률 1%당 방어도 및 회피 +10"
"+10 to Dexterity and Intelligence","민첩 및 지능 +10"
"+10 to Dexterity","민첩 +10"
"+10 to Intelligence","지능 +10"
"+10 to Maximum Challenger Charges","최대 도전자 충전 +10"
"+10 to Maximum Rage","격노 최대치 +10"
"+10 to Strength and Intelligence","힘 및 지능 +10"
"+10 to Strength","힘 +10"
"+10 to maximum Energy Shield","에너지 보호막 최대치 +10"
"+10 to maximum Mana","마나 최대치 +10"
"+10% Chance to Block Attack Damage","+10% 확률로 적의 공격을 막아냄"
"+10% chance to Suppress Spell Damage for each Dagger you're Wielding","장착한 단검 1개당 주문 피해 억제 확률 +10%"
"+10% chance to Suppress Spell Damage while on Full Energy Shield","에너지 보호막이 최대일 때 주문 피해 억제 확률 +10%"
"+10% chance to Suppress Spell Damage while on Full Life","생명력이 최대일 때 주문 피해 억제 확률 +10%"
"+10% chance to Suppress Spell Damage","주문 피해 억제 확률 +10%"
"+10% to Attack Critical Strike Multiplier while Dual Wielding","쌍수 사용 시 공격 치명타 피해 배율 +10%"
"+10% to Chaos Damage over Time Multiplier","지속 카오스 피해 배율 +10%"
"+10% to Chaos Resistance","카오스 저항 +10%"
"+10% to Critical Strike Multiplier for Spell Damage","주문 치명타 피해 배율 +10%"
"+10% to Critical Strike Multiplier per Nearby Enemy, up to +100%","주변의 적 하나당 치명타 피해 배율 +10%, 최대 +100%"
"+10% to Critical Strike Multiplier with Claws","클로 사용 시 치명타 피해 배율 +10%"
"+10% to Critical Strike Multiplier with Mines","지뢰 사용 시 치명타 피해 배율 +10%"
"+10% to Critical Strike Multiplier with Swords","검 사용 시 치명타 피해 배율 +10%"
"+10% to Critical Strike Multiplier with Totem Skills","토템 스킬 치명타 피해 배율 +10%"
"+10% to Critical Strike Multiplier","치명타 피해 배율 +10%"
"+10% to Damage over Time Multiplier for Ailments","치명타로 주는 상태 이상 지속 피해 배율 +10%"
"+10% to Damage over Time Multiplier for Poison","독 지속 피해 배율 +10%"
"+10% to Damage over Time Multiplier if you've Killed Recently","최근 4초 이내에 처치한 경우 지속 피해 배율 +10%"
"+10% to Fire Damage over Time Multiplier with Attack Skills","공격 스킬의 지속 화염 피해 배율 +10%"
"+10% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +10%"
"+10% to Fire Resistance","화염 저항 +10%"
"+10% to Global Critical Strike Multiplier while wielding a Staff","지팡이 장착 시 일반 치명타 피해 배율 +10%"
"+10% to Melee Critical Strike Multiplier","근접 치명타 피해 배율 +10%"
"+10% to all Elemental Resistances","모든 원소 저항 +10%"
"+10% to maximum Chance to Block Attack Damage","공격 피해 막기 확률 최대치 +10%"
"+100 to Accuracy Rating per Green Socket on Equipped Bow","장착한 활의 초록 홈 하나당 정확도 +100"
"+100 to Accuracy Rating","정확도 +100"
"+100 to Evasion Rating","회피 +100"
