"Crucible Passives that sell for items sell for twice as much - Tier: 1","시련 패시브를 판매해 아이템을 획득할 때 2배로 획득 - 1 티어"
"40% of Damage Dealt by Ancestor Totems Leeched to you as Energy Shield - Tier: 1","선대의 토템이 주는 피해의 40%를 에너지 보호막으로 흡수 - 1 티어"
"Barrage and Frenzy have 40% increased Critical Strike Chance per Endurance Charge - Tier: 1","인내 충전 하나당 연발 사격 및 격분의 치명타 확률 40% 증가 - 1 티어"
"Trigger a Socketed Spell every second while Channelling Blade Flurry or Charged Dash - Tier: 1","질풍의 칼날 또는 충전 질주를 집중 유지하는 동안 1초마다 장착된 주문 발동 - 1 티어"
"Consecrated Path and Purifying Flame create Profane Ground instead of Consecrated Ground/100% of Consecrated Path and Purifying Flame Fire Damage Converted to Chaos Damage - Tier: 1","축성의 진격 및 정화의 불길이 신성화 지대 대신 부정 지대 생성/축성의 진격 및 정화의 불길의 화염 피해의 100%를 카오스 피해로 전환 - 1 티어"
"Knockback direction is reversed with Cyclone and Sweep/Knock Enemies Back on hit with Cyclone and Sweep - Tier: 1","회오리바람 및 휩쓸기의 밀어내기 방향 반전/회오리바람 및 휩쓸기 명중 시 적을 밀어냄 - 1 티어"
"Increases and Reductions to Minion Damage also affect Dominating Blow and Absolution at 150% of their value - Tier: 1","소환수 피해의 증가 및 감소 수치의 150%가 지배의 맹타 및 면죄에도 적용 - 1 티어"
"Gain Soul Eater for 20 seconds on Killing Blow against Rare and Unique Enemies with Double Strike or Dual Strike - Tier: 1","희귀 및 고유 적을 상대로 이중 타격 및 쌍수 타격으로 최후의 일격 시 20초 동안 영혼 포식자 획득 - 1 티어"
"Killing Blows with Earthquake and Earthshatter Shatter Enemies as though Frozen - Tier: 1","지진 및 지면 분쇄로 최후의 일격 시 적이 동결된 것처럼 산산이 조각남 - 1 티어"
"Always inflict Scorch, Brittle and Sapped with Elemental Hit and Wild Strike Hits/Cannot Ignite, Chill, Freeze or Shock - Tier: 1","원소의 일격 및 사나운 타격 명중 시 항상 그을림, 허약, 활력 감소 유발/점화, 냉각, 동결, 감전 불가 - 1 티어"
"All Damage from Lightning Strike and Frost Blades Hits can Ignite/20% chance for Ignites inflicted with Lightning Strike or Frost Blades to deal 100% more Damage - Tier: 1","번개 타격 및 서리 칼날의 모든 명중 피해가 점화 유발 가능/번개 타격 또는 서리 칼날로 유발한 점화 피해가 20%의 확률로 100% 증폭 - 1 티어"

"Adds {0} to {1} Chaos Damage - Tier: {2}","카오스 피해 {0}~{1} 추가 - {2} 티어"
"Adds 19 to 31 Chaos Damage/5% reduced maximum Life - Tier: 4","카오스 피해 19~31 추가/최대 생명력 5% 감소 - 4 티어"
"Adds 39 to 59 Chaos Damage/5% reduced maximum Life - Tier: 5","카오스 피해 39~59 추가/최대 생명력 5% 감소 - 5 티어"
"Adds 1 to 5 Chaos Damage/15% chance to Poison on Hit - Tier: 1","카오스 피해 1~5 추가/명중 시 15%의 확률로 중독 유발 - 1 티어"
"Adds 3 to 6 Chaos Damage/15% chance to Poison on Hit - Tier: 2","카오스 피해 3~6 추가/명중 시 15%의 확률로 중독 유발 - 2 티어"
"Adds 7 to 9 Chaos Damage/15% chance to Poison on Hit - Tier: 3","카오스 피해 7~9 추가/명중 시 15%의 확률로 중독 유발 - 3 티어"
"Adds 8 to 15 Chaos Damage/15% chance to Poison on Hit - Tier: 4","카오스 피해 8~15 추가/명중 시 15%의 확률로 중독 유발 - 4 티어"
"Adds 18 to 28 Chaos Damage/15% chance to Poison on Hit - Tier: 5","카오스 피해 18~28 추가/명중 시 15%의 확률로 중독 유발 - 5 티어"





