"Driftwood Wand","표류목 마법봉"
"Goat's Horn","염소의 뿔"
"Carved Wand","조각된 마법봉"
"Quartz Wand","석영 마법봉"
"Spiraled Wand","나선형 마법봉"
"Sage Wand","현자 마법봉"
"Pagan Wand","이교도 마법봉"
"Faun's Horn","판의 뿔"
"Engraved Wand","아로새긴 마법봉"
"Crystal Wand","수정 마법봉"
"Coiled Wand","똬리 마법봉"
"Omen Wand","전조의 마법봉"
"Heathen Wand","이방인 마법봉"
"Demon's Horn","악마의 뿔"
"Imbued Wand","부여된 마법봉"
"Opal Wand","오팔 마법봉"
"Tornado Wand","회오리 마법봉"
"Prophecy Wand","예언 마법봉"
"Profane Wand","부정한 마법봉"
"Assembler Wand","조립 마법봉"
"Congregator Wand","군집 마법봉"
"Accumulator Wand","축적 마법봉"
"Calling Wand","부름의 마법봉"
"Convening Wand","회합의 마법봉"
"Convoking Wand","소집의 마법봉"
