"Agony Crawler","고통의 벌레"
"Alira's Deadeye","알리라의 데드아이"
"Alpine Shaman","고산 주술사"
"Alternating Sceptre","갈마드는 셉터"
"Ancient Construct","고대 구조물"
"Animated Guardian","기동된 수호자"
"Animated Weapon","기동된 무기"
"Ancient Suffering","고대의 고통"
"Ancient Wraith","고대의 악령"
"Archer Statue","궁수 석상"
"Arena Master's Presence","투기장의 대가의 존재"
"Arena Master","투기장의 대가"
"Armour Cruncher","방어구 깨물이"
"Artless Assassin","서투른 암살자"
"Ash Prophet","재 예언자"
"Ashblessed Warden","재로 축복받은 간수"
"Aurid Synthete","금가루 결합자"
"Avian Retch","구역질나는 새"
"Baranite Preacher","바란의 전도사"
"Baranite Sister","바란의 수녀"
"Baranite Thaumaturge","바란의 마석학자"
"Barb Serpent","가시 독사"
"Bearded Devil","염소인간 악마"
"Bearded Shaman","염소인간 주술사"
"Blackguard Arcmag...","검은 근위대 번개마법사"
"Blackguard Arcmage","검은 근위대 번개마법사"
"Blackguard Mage","검은 근위대 마법사"
"Blunt Force Condenser","둔력 응축자"
"Bloodstained Archer","피얼룩 궁수"
"Bone Husk","뼈 허스크"
"Bone Stalker","뼈 추적자"
"Bramble Cobra","가시나무 코브라"
"Brittle Bleeder","말라붙은 출혈자"
"Brittle Poacher","말라붙은 밀렵꾼"
"Burned Miscreation","불에 탄 기형물"
"Cannibal Fire-eater","식인종 불 포식자"
"Capacity Rod","가능성의 막대"
"Carnage Chieftain","학살의 부족장"
"Carrion Golem","부패 골렘"
"Carrion Queen","부패하는 여왕"
"Chaos Golem","카오스 골렘"
"Cinder Elemental","재투성이 정령"
"Clone","분신"
"Chrome-infused Chimeral","크롬 주입 키메랄"
"Cloud Retch","구름 레치"
"Colossal Bonestalker","초대형 뼈추적자"
"Colossus Crusher","초대형 타쇄자"
"Crazed Driver","미쳐버린 감독"
"Crushing Force Magnifier","압착력 확대자"
"Cursed Mariner","저주받은 선원"
"Dancing Dervish","춤추는 수도승"
"Deadly Tarantula","치명적인 타란툴라"
"Death Bishop","죽음의 주교"
"Defiler","모독자"
"Demon Harpy","악마 하피"
"Demon Herder","악마 몰이꾼"
"Desecrated Saint","훼손된 성자"
"Diabolist","악마술사"
"Dune Hellion","사구 헬리온"
"Energy Blade","에너지 칼날"
"Enhanced Vaal Fallen","강화 바알 몰락자"
"Essence Spirit","정수의 혼백"
"Eventuality Rod","불예측의 막대"
"Fetid Maw","악취나는 큰턱개구리"
"Fighting Bull","싸움소"
"Flame Golem","화염 골렘"
"Flame Archmage","화염 대마법사"
"Flame Sentinel","화염 파수꾼"
"Flashfire Blade","번쩍이는 불꽃 칼"
"Flayed Archer","박피된 궁수"
"Flesh Sculptor","살점 조각가"
"Flickerflame Blade","일렁이는 화염 칼"
"Flickershade","일렁이는 그림자"
"Foreman","작업반장"
"Forged Frostbearer","벼려진 서리운반자"
