"Cast While Channeling's Trigger: Charged Dash","집중 유지 중  발동: 충전 질주"
"Cast While Channeling's Trigger: Blade Flurry","집중 유지 중  발동: 질풍의 칼날"
"Cast While Channeling's Trigger: Incinerate","집중 유지 중  발동: 소각"
"Cast While Channeling's Trigger: Cyclone","집중 유지 중  발동: 회오리바람"
"Cast While Channeling's Trigger: Flameblast","집중 유지 중  발동: 화염파"
"Cast While Channeling's Trigger: Lightning Tendrils","집중 유지 중  발동: 덩굴 번개"
"Cast While Channeling's Trigger: Wither","집중 유지 중  발동: 위축"
"Cast While Channeling's Trigger: Blight","집중 유지 중  발동: 황폐"
"Cast While Channeling's Trigger: Scorching Ray","집중 유지 중  발동: 작열 광선"
"Cast While Channeling's Trigger: Storm Burst","집중 유지 중  발동: 폭풍 점사"
"Cast While Channeling's Trigger: Scourge Arrow","집중 유지 중  발동: 재앙의 화살"
"Cast While Channeling's Trigger: Winter Orb","집중 유지 중  발동: 겨울 보주"
"Cast While Channeling's Trigger: Stormbind","집중 유지 중  발동: 폭풍 연대"
"Cast While Channeling's Trigger: Divine Ire","집중 유지 중  발동: 신성한 진노"
"Cast While Channeling's Trigger: Vaal Blade Flurry","집중 유지 중  발동: 바알 질풍의 칼날"
"Cast While Channeling's Trigger: Snipe","집중 유지 중  발동: 저격"

"Cast On Critical Strike's Trigger: Spectral Shield Throw","치명타 시 발동: 환영 방패 투척"
"Cast On Critical Strike's Trigger: Leap Slam","치명타 시 발동: 도약 강타"
"Cast On Critical Strike's Trigger: Charged Dash","치명타 시 발동: 충전 질주"
"Cast On Critical Strike's Trigger: Blade Flurry","치명타 시 발동: 질풍의 칼날"
"Cast On Critical Strike's Trigger: Sweep","치명타 시 발동: 휩쓸기"
"Cast On Critical Strike's Trigger: Ground Slam","치명타 시 발동: 대지 강타"
"Cast On Critical Strike's Trigger: Cleave","치명타 시 발동: 회전베기"
"Cast On Critical Strike's Trigger: Shield Charge","치명타 시 발동: 방패 돌진"
"Cast On Critical Strike's Trigger: Double Strike","치명타 시 발동: 이중 타격"
"Cast On Critical Strike's Trigger: Lacerate","치명타 시 발동: 피부 찢기"
"Cast On Critical Strike's Trigger: Elemental Hit","치명타 시 발동: 원소의 일격"
"Cast On Critical Strike's Trigger: Dual Strike","치명타 시 발동: 쌍수 타격"
"Cast On Critical Strike's Trigger: Whirling Blades","치명타 시 발동: 칼날 선회"
"Cast On Critical Strike's Trigger: Frenzy","치명타 시 발동: 격분"
"Cast On Critical Strike's Trigger: Snipe","치명타 시 발동: 저격"
"Cast On Critical Strike's Trigger: Caustic Arrow","치명타 시 발동: 부식성 화살"
"Cast On Critical Strike's Trigger: Ice Shot","치명타 시 발동: 얼음 화살"
"Cast On Critical Strike's Trigger: Static Strike","치명타 시 발동: 정전기 타격"
"Cast On Critical Strike's Trigger: Split Arrow","치명타 시 발동: 분할 화살"
"Cast On Critical Strike's Trigger: Flicker Strike","치명타 시 발동: 점멸 타격"
"Cast On Critical Strike's Trigger: Infernal Blow","치명타 시 발동: 지옥불 맹타"
"Cast On Critical Strike's Trigger: Glacial Hammer","치명타 시 발동: 빙하 망치"
"Cast On Critical Strike's Trigger: Viper Strike","치명타 시 발동: 맹독 타격"
"Cast On Critical Strike's Trigger: Explosive Arrow","치명타 시 발동: 폭발 화살"
"Cast On Critical Strike's Trigger: Riposte","치명타 시 발동: 반격"
"Cast On Critical Strike's Trigger: Vengeance","치명타 시 발동: 복수"
"Cast On Critical Strike's Trigger: Reckoning","치명타 시 발동: 역습"
"Cast On Critical Strike's Trigger: Heavy Strike","치명타 시 발동: 묵직한 타격"
"Cast On Critical Strike's Trigger: Dominating Blow","치명타 시 발동: 지배의 맹타"
"Cast On Critical Strike's Trigger: Rain of Arrows","치명타 시 발동: 화살비"
"Cast On Critical Strike's Trigger: Lightning Strike","치명타 시 발동: 번개 타격"
"Cast On Critical Strike's Trigger: Power Siphon","치명타 시 발동: 권능 착취"
"Cast On Critical Strike's Trigger: Puncture","치명타 시 발동: 관통상"
"Cast On Critical Strike's Trigger: Lightning Arrow","치명타 시 발동: 번개 화살"
"Cast On Critical Strike's Trigger: Burning Arrow","치명타 시 발동: 불타는 화살"
"Cast On Critical Strike's Trigger: Cyclone","치명타 시 발동: 회오리바람"
"Cast On Critical Strike's Trigger: Reave","치명타 시 발동: 약탈"
"Cast On Critical Strike's Trigger: Spectral Throw","치명타 시 발동: 환영 무기 투척"
"Cast On Critical Strike's Trigger: Barrage","치명타 시 발동: 연발 사격"
"Cast On Critical Strike's Trigger: Vaal Burning Arrow","치명타 시 발동: 바알 불타는 화살"
"Cast On Critical Strike's Trigger: Vaal Power Siphon","치명타 시 발동: 바알 권능 착취"
"Cast On Critical Strike's Trigger: Vaal Cyclone","치명타 시 발동: 바알 회오리바람"
"Cast On Critical Strike's Trigger: Vaal Ground Slam","치명타 시 발동: 바알 대지 강타"
"Cast On Critical Strike's Trigger: Vaal Rain of Arrows","치명타 시 발동: 바알 화살비"
"Cast On Critical Strike's Trigger: Vaal Spectral Throw","치명타 시 발동: 바알 환영 무기 투척"
"Cast On Critical Strike's Trigger: Vaal Lightning Strike","치명타 시 발동: 바알 번개 타격"
"Cast On Critical Strike's Trigger: Vaal Double Strike","치명타 시 발동: 바알 이중 타격"
"Cast On Critical Strike's Trigger: Vaal Glacial Hammer","치명타 시 발동: 바알 빙하 망치"
"Cast On Critical Strike's Trigger: Vaal Reave","치명타 시 발동: 바알 약탈"
"Cast On Critical Strike's Trigger: Molten Strike","치명타 시 발동: 용암 타격"
"Cast On Critical Strike's Trigger: Tornado Shot","치명타 시 발동: 회오리 사격"
"Cast On Critical Strike's Trigger: Mirror Arrow","치명타 시 발동: 거울 화살"
"Cast On Critical Strike's Trigger: Blink Arrow","치명타 시 발동: 점멸 화살"
"Cast On Critical Strike's Trigger: Kinetic Blast","치명타 시 발동: 역학 폭발"
"Cast On Critical Strike's Trigger: Ice Crash","치명타 시 발동: 얼음 충격"
"Cast On Critical Strike's Trigger: Frost Blades","치명타 시 발동: 서리 칼날"
"Cast On Critical Strike's Trigger: Vigilant Strike","치명타 시 발동: 경계 타격"
"Cast On Critical Strike's Trigger: Wild Strike","치명타 시 발동: 사나운 타격"
"Cast On Critical Strike's Trigger: Galvanic Arrow","치명타 시 발동: 충격 화살"
"Cast On Critical Strike's Trigger: Blast Rain","치명타 시 발동: 폭발 화살비"
"Cast On Critical Strike's Trigger: Earthquake","치명타 시 발동: 지진"
"Cast On Critical Strike's Trigger: Sunder","치명타 시 발동: 산산조각"
"Cast On Critical Strike's Trigger: Tectonic Slam","치명타 시 발동: 지층 강타"
