"Acrobat's Large Cluster Jewel of Banishment","곡예사의 대형 스킬 군 주얼 - 추방"
"Acrobat's Large Cluster Jewel of Elation","곡예사의 대형 스킬 군 주얼 - 원기왕성"
"Acrobat's Large Cluster Jewel of Eviction","곡예사의 대형 스킬 군 주얼 - 퇴거"
"Acrobat's Large Cluster Jewel of Excitement","곡예사의 대형 스킬 군 주얼 - 흥분"
"Acrobat's Large Cluster Jewel of Joy","곡예사의 대형 스킬 군 주얼 - 기쁨"
"Acrobat's Large Cluster Jewel of the Bear","곡예사의 대형 스킬 군 주얼 - 곰"
"Acrobat's Large Cluster Jewel of the Brute","곡예사의 대형 스킬 군 주얼 - 짐승"
"Acrobat's Large Cluster Jewel of the Cloud","곡예사의 대형 스킬 군 주얼 - 구름"
"Acrobat's Large Cluster Jewel of the Crystal","곡예사의 대형 스킬 군 주얼 - 결정"
"Acrobat's Large Cluster Jewel of the Drake","곡예사의 대형 스킬 군 주얼 - 비룡"
"Acrobat's Large Cluster Jewel of the Flatworm","곡예사의 대형 스킬 군 주얼 - 편형동물"
"Acrobat's Large Cluster Jewel of the Fox","곡예사의 대형 스킬 군 주얼 - 여우"
"Acrobat's Large Cluster Jewel of the Inuit","곡예사의 대형 스킬 군 주얼 - 이누이트"
"Acrobat's Large Cluster Jewel of the Kaleidoscope","곡예사의 대형 스킬 군 주얼 - 만화경"
"Acrobat's Large Cluster Jewel of the Lizard","곡예사의 대형 스킬 군 주얼 - 도마뱀"
"Acrobat's Large Cluster Jewel of the Lost","곡예사의 대형 스킬 군 주얼 - 상실"
"Acrobat's Large Cluster Jewel of the Lynx","곡예사의 대형 스킬 군 주얼 - 스라소니"
"Acrobat's Large Cluster Jewel of the Meteor","곡예사의 대형 스킬 군 주얼 - 유성"
"Acrobat's Large Cluster Jewel of the Mongoose","곡예사의 대형 스킬 군 주얼 - 몽구스"
"Acrobat's Large Cluster Jewel of the Newt","곡예사의 대형 스킬 군 주얼 - 도롱뇽"
"Acrobat's Large Cluster Jewel of the Penguin","곡예사의 대형 스킬 군 주얼 - 펭귄"
"Acrobat's Large Cluster Jewel of the Prism","곡예사의 대형 스킬 군 주얼 - 분광기"
"Acrobat's Large Cluster Jewel of the Prodigy","곡예사의 대형 스킬 군 주얼 - 영재"
"Acrobat's Large Cluster Jewel of the Pupil","곡예사의 대형 스킬 군 주얼 - 제자"
"Acrobat's Large Cluster Jewel of the Salamander","곡예사의 대형 스킬 군 주얼 - 불도마뱀"
"Acrobat's Large Cluster Jewel of the Seal","곡예사의 대형 스킬 군 주얼 - 봉인"
"Acrobat's Large Cluster Jewel of the Sky","곡예사의 대형 스킬 군 주얼 - 하늘"
"Acrobat's Large Cluster Jewel of the Squall","곡예사의 대형 스킬 군 주얼 - 돌풍"
"Acrobat's Large Cluster Jewel of the Storm","곡예사의 대형 스킬 군 주얼 - 태풍"
"Acrobat's Large Cluster Jewel of the Student","곡예사의 대형 스킬 군 주얼 - 학생"
"Acrobat's Large Cluster Jewel of the Whelpling","곡예사의 대형 스킬 군 주얼 - 새끼용"
"Acrobat's Large Cluster Jewel of the Wrestler","곡예사의 대형 스킬 군 주얼 - 씨름꾼"
"Acrobat's Large Cluster Jewel","곡예사의 대형 스킬 군 주얼"
"Acrobat's Medium Cluster Jewel of Banishment","곡예사의 중형 스킬 군 주얼 - 추방"
"Acrobat's Medium Cluster Jewel of Elation","곡예사의 중형 스킬 군 주얼 - 원기왕성"
"Acrobat's Medium Cluster Jewel of Eviction","곡예사의 중형 스킬 군 주얼 - 퇴거"
"Acrobat's Medium Cluster Jewel of Excitement","곡예사의 중형 스킬 군 주얼 - 흥분"
"Acrobat's Medium Cluster Jewel of Joy","곡예사의 중형 스킬 군 주얼 - 기쁨"
"Acrobat's Medium Cluster Jewel of the Bear","곡예사의 중형 스킬 군 주얼 - 곰"
"Acrobat's Medium Cluster Jewel of the Brute","곡예사의 중형 스킬 군 주얼 - 짐승"
"Acrobat's Medium Cluster Jewel of the Cloud","곡예사의 중형 스킬 군 주얼 - 구름"
"Acrobat's Medium Cluster Jewel of the Crystal","곡예사의 중형 스킬 군 주얼 - 결정"
"Acrobat's Medium Cluster Jewel of the Drake","곡예사의 중형 스킬 군 주얼 - 비룡"
"Acrobat's Medium Cluster Jewel of the Flatworm","곡예사의 중형 스킬 군 주얼 - 편형동물"
"Acrobat's Medium Cluster Jewel of the Fox","곡예사의 중형 스킬 군 주얼 - 여우"
"Acrobat's Medium Cluster Jewel of the Inuit","곡예사의 중형 스킬 군 주얼 - 이누이트"
"Acrobat's Medium Cluster Jewel of the Kaleidoscope","곡예사의 중형 스킬 군 주얼 - 만화경"
"Acrobat's Medium Cluster Jewel of the Lizard","곡예사의 중형 스킬 군 주얼 - 도마뱀"
"Acrobat's Medium Cluster Jewel of the Lost","곡예사의 중형 스킬 군 주얼 - 상실"
"Acrobat's Medium Cluster Jewel of the Lynx","곡예사의 중형 스킬 군 주얼 - 스라소니"
"Acrobat's Medium Cluster Jewel of the Meteor","곡예사의 중형 스킬 군 주얼 - 유성"
"Acrobat's Medium Cluster Jewel of the Mongoose","곡예사의 중형 스킬 군 주얼 - 몽구스"
"Acrobat's Medium Cluster Jewel of the Newt","곡예사의 중형 스킬 군 주얼 - 도롱뇽"
"Acrobat's Medium Cluster Jewel of the Penguin","곡예사의 중형 스킬 군 주얼 - 펭귄"
"Acrobat's Medium Cluster Jewel of the Prism","곡예사의 중형 스킬 군 주얼 - 분광기"
"Acrobat's Medium Cluster Jewel of the Prodigy","곡예사의 중형 스킬 군 주얼 - 영재"
"Acrobat's Medium Cluster Jewel of the Pupil","곡예사의 중형 스킬 군 주얼 - 제자"
"Acrobat's Medium Cluster Jewel of the Salamander","곡예사의 중형 스킬 군 주얼 - 불도마뱀"
"Acrobat's Medium Cluster Jewel of the Seal","곡예사의 중형 스킬 군 주얼 - 봉인"
