"Acuminate Ghastly Eye Jewel of Abuse","예리한 무시무시한 눈 주얼 - 악용"
"Acuminate Ghastly Eye Jewel of Acclimatisation","예리한 무시무시한 눈 주얼 - 순응"
"Acuminate Ghastly Eye Jewel of Adaption","예리한 무시무시한 눈 주얼 - 적용"
"Acuminate Ghastly Eye Jewel of Arcing","예리한 무시무시한 눈 주얼 - 전호"
"Acuminate Ghastly Eye Jewel of Ashes","예리한 무시무시한 눈 주얼 - 잿더미"
"Acuminate Ghastly Eye Jewel of Athletics","예리한 무시무시한 눈 주얼 - 운동 경기"
"Acuminate Ghastly Eye Jewel of Authority","예리한 무시무시한 눈 주얼 - 권위"
"Acuminate Ghastly Eye Jewel of Balance","예리한 무시무시한 눈 주얼 - 균형"
"Acuminate Ghastly Eye Jewel of Berserking","예리한 무시무시한 눈 주얼 - 광폭화"
"Acuminate Ghastly Eye Jewel of Blinding","예리한 무시무시한 눈 주얼 - 실명"
"Acuminate Ghastly Eye Jewel of Bloodletting","예리한 무시무시한 눈 주얼 - 출혈 과다"
"Acuminate Ghastly Eye Jewel of Chilling","예리한 무시무시한 눈 주얼 - 냉각"
"Acuminate Ghastly Eye Jewel of Cinders","예리한 무시무시한 눈 주얼 - 재투성이"
"Acuminate Ghastly Eye Jewel of Clouding","예리한 무시무시한 눈 주얼 - 흐림"
"Acuminate Ghastly Eye Jewel of Coals","예리한 무시무시한 눈 주얼 - 석탄"
"Acuminate Ghastly Eye Jewel of Collision","예리한 무시무시한 눈 주얼 - 충돌"
"Acuminate Ghastly Eye Jewel of Combustion","예리한 무시무시한 눈 주얼 - 연소"
"Acuminate Ghastly Eye Jewel of Command","예리한 무시무시한 눈 주얼 - 명령"
"Acuminate Ghastly Eye Jewel of Confidence","예리한 무시무시한 눈 주얼 - 확신"
"Acuminate Ghastly Eye Jewel of Craiceann","예리한 무시무시한 눈 주얼 - 크라칸"
"Acuminate Ghastly Eye Jewel of Cunning","예리한 무시무시한 눈 주얼 - 교활함"
"Acuminate Ghastly Eye Jewel of Daunting","예리한 무시무시한 눈 주얼 - 위압"
"Acuminate Ghastly Eye Jewel of Delaying","예리한 무시무시한 눈 주얼 - 지연"
"Acuminate Ghastly Eye Jewel of Dexterity","예리한 무시무시한 눈 주얼 - 민첩"
"Acuminate Ghastly Eye Jewel of Discharge","예리한 무시무시한 눈 주얼 - 방전"
"Acuminate Ghastly Eye Jewel of Distraction","예리한 무시무시한 눈 주얼 - 교란"
"Acuminate Ghastly Eye Jewel of Electricity","예리한 무시무시한 눈 주얼 - 전기"
"Acuminate Ghastly Eye Jewel of Enervation","예리한 무시무시한 눈 주얼 - 피폐"
"Acuminate Ghastly Eye Jewel of Escape","예리한 무시무시한 눈 주얼 - 탈주"
"Acuminate Ghastly Eye Jewel of Farrul","예리한 무시무시한 눈 주얼 - 페룰"
"Acuminate Ghastly Eye Jewel of Fenumus","예리한 무시무시한 눈 주얼 - 페누무스"
"Acuminate Ghastly Eye Jewel of Fireproofing","예리한 무시무시한 눈 주얼 - 내화"
"Acuminate Ghastly Eye Jewel of Flames","예리한 무시무시한 눈 주얼 - 화염"
"Acuminate Ghastly Eye Jewel of Floe","예리한 무시무시한 눈 주얼 - 부빙"
"Acuminate Ghastly Eye Jewel of Fortitude","예리한 무시무시한 눈 주얼 - 강건함"
"Acuminate Ghastly Eye Jewel of Glaciation","예리한 무시무시한 눈 주얼 - 빙하 작용"
"Acuminate Ghastly Eye Jewel of Grounding","예리한 무시무시한 눈 주얼 - 난로"
"Acuminate Ghastly Eye Jewel of Grounding","예리한 무시무시한 눈 주얼 - 접지"
"Acuminate Ghastly Eye Jewel of Guarding","예리한 무시무시한 눈 주얼 - 수호"
"Acuminate Ghastly Eye Jewel of Heating","예리한 무시무시한 눈 주얼 - 가열"
"Acuminate Ghastly Eye Jewel of Ice","예리한 무시무시한 눈 주얼 - 얼음"
"Acuminate Ghastly Eye Jewel of Immolation","예리한 무시무시한 눈 주얼 - 제물"
"Acuminate Ghastly Eye Jewel of Immunity","예리한 무시무시한 눈 주얼 - 면역"
"Acuminate Ghastly Eye Jewel of Impact","예리한 무시무시한 눈 주얼 - 충격"
"Acuminate Ghastly Eye Jewel of Instinct","예리한 무시무시한 눈 주얼 - 본능"
"Acuminate Ghastly Eye Jewel of Instruction","예리한 무시무시한 눈 주얼 - 지시"
"Acuminate Ghastly Eye Jewel of Insulation","예리한 무시무시한 눈 주얼 - 절연"
"Acuminate Ghastly Eye Jewel of Intelligence","예리한 무시무시한 눈 주얼 - 지능"
"Acuminate Ghastly Eye Jewel of Languishing","예리한 무시무시한 눈 주얼 - 나른함"
"Acuminate Ghastly Eye Jewel of Longevity","예리한 무시무시한 눈 주얼 - 장수"
"Acuminate Ghastly Eye Jewel of Malevolence","예리한 무시무시한 눈 주얼 - 악의"
"Acuminate Ghastly Eye Jewel of Malice","예리한 무시무시한 눈 주얼 - 적의"
"Acuminate Ghastly Eye Jewel of Maneuvering","예리한 무시무시한 눈 주얼 - 기동성"
"Acuminate Ghastly Eye Jewel of Mangling","예리한 무시무시한 눈 주얼 - 짓이기기"
"Acuminate Ghastly Eye Jewel of Marshalling","예리한 무시무시한 눈 주얼 - 통제"
"Acuminate Ghastly Eye Jewel of Menace","예리한 무시무시한 눈 주얼 - 위험"
"Acuminate Ghastly Eye Jewel of Momentum","예리한 무시무시한 눈 주얼 - 가속도"
"Acuminate Ghastly Eye Jewel of Nonflammability","예리한 무시무시한 눈 주얼 - 비인화성"
"Acuminate Ghastly Eye Jewel of Opportunity","예리한 무시무시한 눈 주얼 - 기회"
"Acuminate Ghastly Eye Jewel of Orchestration","예리한 무시무시한 눈 주얼 - 조직화"
"Acuminate Ghastly Eye Jewel of Order","예리한 무시무시한 눈 주얼 - 질서"
"Acuminate Ghastly Eye Jewel of Phasing","예리한 무시무시한 눈 주얼 - 차원 능력"
"Acuminate Ghastly Eye Jewel of Poise","예리한 무시무시한 눈 주얼 - 침착"
"Acuminate Ghastly Eye Jewel of Potency","예리한 무시무시한 눈 주얼 - 잠재력"
"Acuminate Ghastly Eye Jewel of Praxis","예리한 무시무시한 눈 주얼 - 응용"
"Acuminate Ghastly Eye Jewel of Preparation","예리한 무시무시한 눈 주얼 - 준비"
"Acuminate Ghastly Eye Jewel of Readiness","예리한 무시무시한 눈 주얼 - 즉응성"
"Acuminate Ghastly Eye Jewel of Resistance","예리한 무시무시한 눈 주얼 - 저항"
"Acuminate Ghastly Eye Jewel of Retaliation","예리한 무시무시한 눈 주얼 - 보복"
"Acuminate Ghastly Eye Jewel of Righteousness","예리한 무시무시한 눈 주얼 - 정의"
"Acuminate Ghastly Eye Jewel of Rime","예리한 무시무시한 눈 주얼 - 흰서리"
"Acuminate Ghastly Eye Jewel of Saqawal","예리한 무시무시한 눈 주얼 - 사카왈"
"Acuminate Ghastly Eye Jewel of Shelter","예리한 무시무시한 눈 주얼 - 대피소"
"Acuminate Ghastly Eye Jewel of Shocking","예리한 무시무시한 눈 주얼 - 감전"
"Acuminate Ghastly Eye Jewel of Sin","예리한 무시무시한 눈 주얼 - 죄악"
"Acuminate Ghastly Eye Jewel of Sleet","예리한 무시무시한 눈 주얼 - 진눈깨비"
"Acuminate Ghastly Eye Jewel of Spirit","예리한 무시무시한 눈 주얼 - 혼백"
"Acuminate Ghastly Eye Jewel of Static","예리한 무시무시한 눈 주얼 - 정전기"
"Acuminate Ghastly Eye Jewel of Steadiness","예리한 무시무시한 눈 주얼 - 안정감"
"Acuminate Ghastly Eye Jewel of Stemming","예리한 무시무시한 눈 주얼 - 지혈"
"Acuminate Ghastly Eye Jewel of Stifling","예리한 무시무시한 눈 주얼 - 질식"
"Acuminate Ghastly Eye Jewel of Strength","예리한 무시무시한 눈 주얼 - 힘"
"Acuminate Ghastly Eye Jewel of Suggestion","예리한 무시무시한 눈 주얼 - 제안"
"Acuminate Ghastly Eye Jewel of Taunting","예리한 무시무시한 눈 주얼 - 도발"
"Acuminate Ghastly Eye Jewel of Tolerance","예리한 무시무시한 눈 주얼 - 내성"
"Acuminate Ghastly Eye Jewel of Training","예리한 무시무시한 눈 주얼 - 훈련"
"Acuminate Ghastly Eye Jewel of Unholy Might","예리한 무시무시한 눈 주얼 - 불경한 힘"
"Acuminate Ghastly Eye Jewel of Vampirism","예리한 무시무시한 눈 주얼 - 흡혈귀"
"Acuminate Ghastly Eye Jewel of Venom","예리한 무시무시한 눈 주얼 - 독액"
"Acuminate Ghastly Eye Jewel of Vivaciousness","예리한 무시무시한 눈 주얼 - 활발함"
"Acuminate Ghastly Eye Jewel of Voltage","예리한 무시무시한 눈 주얼 - 전압"
"Acuminate Ghastly Eye Jewel of Warding","예리한 무시무시한 눈 주얼 - 수호"
"Acuminate Ghastly Eye Jewel of Warding","예리한 무시무시한 눈 주얼 - 추방"
"Acuminate Ghastly Eye Jewel of Warming","예리한 무시무시한 눈 주얼 - 온기"
"Acuminate Ghastly Eye Jewel of Weight","예리한 무시무시한 눈 주얼 - 무게"
"Acuminate Ghastly Eye Jewel of the Assassin","예리한 무시무시한 눈 주얼 - 어쌔신"
"Acuminate Ghastly Eye Jewel of the Beast","예리한 무시무시한 눈 주얼 - 야수"
"Acuminate Ghastly Eye Jewel of the Deadeye","예리한 무시무시한 눈 주얼 - 데드아이"
"Acuminate Ghastly Eye Jewel of the Dragon","예리한 무시무시한 눈 주얼 - 용"
"Acuminate Ghastly Eye Jewel of the Guardian","예리한 무시무시한 눈 주얼 - 수호자"
"Acuminate Ghastly Eye Jewel of the Inferno","예리한 무시무시한 눈 주얼 - 지옥불"
"Acuminate Ghastly Eye Jewel of the Inquisitor","예리한 무시무시한 눈 주얼 - 이단심문관"
"Acuminate Ghastly Eye Jewel of the Lightning Rod","예리한 무시무시한 눈 주얼 - 피뢰침"
"Acuminate Ghastly Eye Jewel of the Marksman","예리한 무시무시한 눈 주얼 - 지정사수"
"Acuminate Ghastly Eye Jewel of the Raider","예리한 무시무시한 눈 주얼 - 습격자"
"Acuminate Ghastly Eye Jewel of the Ranger","예리한 무시무시한 눈 주얼 - 레인저"
"Acuminate Ghastly Eye Jewel of the Sanctum","예리한 무시무시한 눈 주얼 - 성지"
"Acuminate Ghastly Eye Jewel of the Slayer","예리한 무시무시한 눈 주얼 - 처형자"
"Acuminate Ghastly Eye Jewel of the Tourniquet","예리한 무시무시한 눈 주얼 - 압박대"
"Acuminate Ghastly Eye Jewel of the Underground","예리한 무시무시한 눈 주얼 - 지하"
"Acuminate Ghastly Eye Jewel","예리한 무시무시한 눈 주얼"
"Acuminate Hypnotic Eye Jewel of Abuse","예리한 최면 거는 눈 주얼 - 악용"
"Acuminate Hypnotic Eye Jewel of Acclimatisation","예리한 최면 거는 눈 주얼 - 순응"
"Acuminate Hypnotic Eye Jewel of Adaption","예리한 최면 거는 눈 주얼 - 적용"
"Acuminate Hypnotic Eye Jewel of Arcing","예리한 최면 거는 눈 주얼 - 전호"
"Acuminate Hypnotic Eye Jewel of Ashes","예리한 최면 거는 눈 주얼 - 잿더미"
"Acuminate Hypnotic Eye Jewel of Athletics","예리한 최면 거는 눈 주얼 - 운동 경기"
"Acuminate Hypnotic Eye Jewel of Authority","예리한 최면 거는 눈 주얼 - 권위"
"Acuminate Hypnotic Eye Jewel of Balance","예리한 최면 거는 눈 주얼 - 균형"
"Acuminate Hypnotic Eye Jewel of Berserking","예리한 최면 거는 눈 주얼 - 광폭화"
"Acuminate Hypnotic Eye Jewel of Blinding","예리한 최면 거는 눈 주얼 - 실명"
"Acuminate Hypnotic Eye Jewel of Bloodletting","예리한 최면 거는 눈 주얼 - 출혈 과다"
"Acuminate Hypnotic Eye Jewel of Chilling","예리한 최면 거는 눈 주얼 - 냉각"
"Acuminate Hypnotic Eye Jewel of Cinders","예리한 최면 거는 눈 주얼 - 재투성이"
