
"Abandoned Abode","버려진 거처"
"Abandoned Abyss","버려진 심연"
"Abandoned Aegis","버려진 비호"
"Abandoned Angler","버려진 낚시꾼"
"Abandoned Anthem","버려진 찬가"
"Abandoned Apex","버려진 정점"
"Abandoned Apparatus","버려진 기구"
"Abandoned Arbiter","버려진 중재자"
"Abandoned Arch","버려진 활"
"Abandoned Arrow","버려진 화살"
"Abandoned Artifice","버려진 책략"
"Abandoned Badge","버려진 배지"
"Abandoned Bait","버려진 미끼"
"Abandoned Ballad","버려진 담시"
"Abandoned Band","버려진 띠"
"Abandoned Bane","버려진 파멸"
"Abandoned Barb","버려진 가시"
"Abandoned Barrage","버려진 연발 사격"
"Abandoned Barrier","버려진 방어막"
"Abandoned Bastion","버려진 보루"
"Abandoned Batter","버려진 구타"
"Abandoned Bauble","버려진 방울"
"Abandoned Bead","버려진 구슬"
"Abandoned Beads","버려진 구슬"
"Abandoned Beak","버려진 부리"
"Abandoned Beam","버려진 광선"
"Abandoned Bid","버려진 노력"
"Abandoned Bind","버려진 묶음"
"Abandoned Bite","버려진 이빨"
"Abandoned Blast","버려진 폭발"
"Abandoned Bliss","버려진 지복"
"Abandoned Blood","버려진 피의"
"Abandoned Bloom","버려진 꽃"
"Abandoned Blow","버려진 일격"
"Abandoned Blunt","버려진 둔기"
"Abandoned Bolt","버려진 화살"
"Abandoned Bond","버려진 유대"
"Abandoned Braid","버려진 끈"
"Abandoned Branch","버려진 나뭇가지"
"Abandoned Brand","버려진 낙인"
"Abandoned Breach","버려진 균열"
"Abandoned Breaker","버려진 분쇄기"
"Abandoned Breath","버려진 숨결"
"Abandoned Breeze","버려진 바람"
"Abandoned Brow","버려진 이마"
"Abandoned Buckle","버려진 버클"
"Abandoned Bulwark","버려진 방벽"
"Abandoned Burst","버려진 격발"
"Abandoned Butcher","버려진 도살자"
"Abandoned Cage","버려진 창살"
"Abandoned Caldera","버려진 칼데라"
"Abandoned Call","버려진 소환"
"Abandoned Campaign","버려진 작전"
"Abandoned Carapace","버려진 등딱지"
"Abandoned Caress","버려진 손길"
"Abandoned Cast","버려진 던지기"
"Abandoned Challenge","버려진 도전"
"Abandoned Chambers","버려진 방"
"Abandoned Chant","버려진 노래"
"Abandoned Charm","버려진 부적"
"Abandoned Choker","버려진 목줄"
"Abandoned Chum","버려진 밑밥"
"Abandoned Circle","버려진 고리"
"Abandoned Clasp","버려진 걸쇠"
"Abandoned Claw","버려진 클로"
"Abandoned Cloak","버려진 망토"
"Abandoned Clutches","버려진 손아귀"
"Abandoned Coat","버려진 외투"
"Abandoned Coffers","버려진 궤짝"
"Abandoned Coil","버려진 감개"
"Abandoned Collar","버려진 목걸이"
"Abandoned Colony","버려진 식민지"
"Abandoned Construct","버려진 구조물"
"Abandoned Contraption","버려진 고안품"
"Abandoned Cord","버려진 줄"
"Abandoned Core","버려진 중심부"
"Abandoned Corona","버려진 광환"
"Abandoned Court","버려진 법정"
"Abandoned Covenant","버려진 계약"
"Abandoned Cover","버려진 덮개"
"Abandoned Cowl","버려진 고깔"
"Abandoned Crack","버려진 균열"
"Abandoned Cradle","버려진 받침대"
"Abandoned Crag","버려진 바위"
"Abandoned Cramp","버려진 경련"
"Abandoned Crate","버려진 나무상자"
"Abandoned Creed","버려진 신념"
"Abandoned Crest","버려진 문양"
"Abandoned Crown","버려진 왕관"
"Abandoned Crusher","버려진 타쇄자"
"Abandoned Cry","버려진 함성"
"Abandoned Curio","버려진 골동품"
"Abandoned Curtain","버려진 장막"
"Abandoned Cut","버려진 조각"
"Abandoned Dart","버려진 화살침"
"Abandoned Dash","버려진 질주"
"Abandoned Deed","버려진 증서"
"Abandoned Delirium","버려진 섬망"
"Abandoned Depths","버려진 심연"
"Abandoned Desire","버려진 갈망"
"Abandoned Device","버려진 장치"
"Abandoned Dew","버려진 이슬"
"Abandoned Disguise","버려진 위장"
"Abandoned Dome","버려진 돔"
"Abandoned Dream","버려진 꿈"
"Abandoned Dregs","버려진 찌꺼기"
"Abandoned Drop","버려진 방울"
"Abandoned Duty","버려진 의무"
"Abandoned Dwelling","버려진 거주지"
"Abandoned Edge","버려진 칼날"
"Abandoned Ember","버려진 잉걸불"
"Abandoned Emblem","버려진 상징"
"Abandoned Enterprise","버려진 사업"
"Abandoned Equipment","버려진 장착품"
"Abandoned Essence","버려진 에센스"
"Abandoned Etcher","버려진 부각사"
"Abandoned Excavation","버려진 발굴터"
"Abandoned Excursion","버려진 기행"
"Abandoned Expedition","버려진 탐험"
"Abandoned Exploration","버려진 원정"
"Abandoned Eye","버려진 눈"
"Abandoned Fang","버려진 송곳니"
"Abandoned Fend","버려진 방어"
"Abandoned Fetish","버려진 숭배물"
"Abandoned Finger","버려진 손가락"
"Abandoned Fingers","버려진 손가락"
"Abandoned Firestorm","버려진 화염 폭풍"
"Abandoned Fish","버려진 물고기"
"Abandoned Fist","버려진 주먹"
"Abandoned Flame","버려진 화염"
"Abandoned Fletch","버려진 화살깃"
"Abandoned Flight","버려진 비행"
"Abandoned Folktale","버려진 설화"
"Abandoned Frontier","버려진 개척지"
"Abandoned Gaze","버려진 응시"
"Abandoned Gear","버려진 장비"
"Abandoned Gill","버려진 아가미"
"Abandoned Girdle","버려진 허리띠"
"Abandoned Glance","버려진 곁눈질"
"Abandoned Glare","버려진 섬광"
"Abandoned Glimmer","버려진 미광"
"Abandoned Glisten","버려진 반짝임"
"Abandoned Globe","버려진 구체"
"Abandoned Gnarl","버려진 마디"
"Abandoned Gnash","버려진 악문 이빨"
"Abandoned Goad","버려진 몰이 막대"
"Abandoned Gorget","버려진 목가리개"
"Abandoned Grasp","버려진 장악"
"Abandoned Grinder","버려진 갈이개"
"Abandoned Grip","버려진 손아귀"
"Abandoned Guard","버려진 수호"
"Abandoned Guardian","버려진 가디언"
"Abandoned Guide","버려진 안내"
"Abandoned Gutter","버려진 시궁창"
"Abandoned Gyre","버려진 선회"
"Abandoned Hail","버려진 칭송"
"Abandoned Halo","버려진 후광"
"Abandoned Hand","버려진 손"
"Abandoned Harness","버려진 고삐"
"Abandoned Haven","버려진 안식처"
"Abandoned Heart","버려진 심장"
"Abandoned Hide","버려진 가죽"
"Abandoned Hold","버려진 유지"
"Abandoned Hoof","버려진 발굽"
"Abandoned Hope","버려진 희망"
"Abandoned Horn","버려진 뿔"
"Abandoned Hunger","버려진 갈망"
"Abandoned Ichor","버려진 영액"
"Abandoned Idol","버려진 우상"
"Abandoned Impaler","버려진 꼬챙이"
"Abandoned Implement","버려진 기물"
"Abandoned Incitement","버려진 조장"
"Abandoned Inferno","버려진 지옥불"
"Abandoned Inscription","버려진 명문"
"Abandoned Instigation","버려진 교사"
"Abandoned Instrument","버려진 계기"
"Abandoned Invitation","버려진 초대"
"Abandoned Invocation","버려진 기원"
"Abandoned Iridescence","버려진 무지개 빛깔"
"Abandoned Jack","버려진 상인"
"Abandoned Jig","버려진 지그"
"Abandoned Journey","버려진 여정"
"Abandoned Joy","버려진 기쁨"
"Abandoned Keep","버려진 감옥"
"Abandoned Keeper","버려진 보관자"
"Abandoned Key","버려진 열쇠"
"Abandoned Kit","버려진 공구"
"Abandoned Knell","버려진 전조"
"Abandoned Knot","버려진 매듭"
"Abandoned Knuckle","버려진 관절"
"Abandoned Lahar","버려진 화산이류"
"Abandoned Lands","버려진 땅"
"Abandoned Lash","버려진 채찍"
"Abandoned League","버려진 리그"
"Abandoned Leash","버려진 가죽끈"
"Abandoned Leer","버려진 시선"
"Abandoned Lens","버려진 시점"
"Abandoned Line","버려진 낚싯줄"
"Abandoned Liturgy","버려진 기도문"
"Abandoned Lock","버려진 자물쇠"
"Abandoned Locket","버려진 갑 목걸이"
"Abandoned Loop","버려진 고리"
"Abandoned Lure","버려진 루어"
"Abandoned Machine","버려진 장치"
"Abandoned Magma","버려진 마그마"
"Abandoned Mandate","버려진 통치"
"Abandoned Mangler","버려진 파괴자"
"Abandoned Manifesto","버려진 성명서"
"Abandoned Mantle","버려진 외투"
"Abandoned March","버려진 행진"
"Abandoned Mark","버려진 징표"
"Abandoned Mast","버려진 돛대"
"Abandoned Material","버려진 재료"
"Abandoned Medallion","버려진 메달리온"
"Abandoned Mission","버려진 임무"
"Abandoned Mitts","버려진 미트"
"Abandoned Myth","버려진 신화"
"Abandoned Nail","버려진 손톱"
"Abandoned Nails","버려진 손톱"
"Abandoned Needle","버려진 바늘"
"Abandoned Nexus","버려진 연결부"
"Abandoned Nock","버려진 활시위"
"Abandoned Noose","버려진 올가미"
"Abandoned Oath","버려진 서약"
"Abandoned Oculus","버려진 눈"
"Abandoned Offer","버려진 제안"
"Abandoned Orb","버려진 구체"
"Abandoned Orders","버려진 명령서"
"Abandoned Ornament","버려진 장신구"
"Abandoned Oubliette","버려진 지하 감옥"
"Abandoned Outpost","버려진 전초기지"
"Abandoned Pace","버려진 보조"
"Abandoned Pact","버려진 맹약"
"Abandoned Palm","버려진 손바닥"
"Abandoned Panorama","버려진 전경"
"Abandoned Passage","버려진 통로"
"Abandoned Pause","버려진 중지"
"Abandoned Paw","버려진 발"
"Abandoned Peak","버려진 앞챙"
"Abandoned Pelt","버려진 가죽모"
"Abandoned Pendant","버려진 펜던트"
"Abandoned Pile","버려진 더미"
"Abandoned Pillar","버려진 기둥"
"Abandoned Pit","버려진 구덩이"
"Abandoned Pith","버려진 핵심"
"Abandoned Pledge","버려진 선서"
"Abandoned Point","버려진 끝"
"Abandoned Pole","버려진 기둥"
"Abandoned Portent","버려진 전조"
"Abandoned Post","버려진 말뚝"
"Abandoned Precinct","버려진 구획"
"Abandoned Prism","버려진 분광기"
"Abandoned Provocation","버려진 촉발"
"Abandoned Quarters","버려진 구역"
"Abandoned Quest","버려진 도전"
"Abandoned Quill","버려진 화살"
"Abandoned Rain","버려진 비"
"Abandoned Ram","버려진 충격"
"Abandoned Razor","버려진 면도날"
"Abandoned Reach","버려진 역량"
"Abandoned Reaches","버려진 역량"
"Abandoned Refuge","버려진 피난처"
"Abandoned Refuse","버려진 거절"
"Abandoned Relic","버려진 유물"
"Abandoned Remains","버려진 유물"
"Abandoned Remnant","버려진 유물"
"Abandoned Rend","버려진 분리"
"Abandoned Rite","버려진 의례"
"Abandoned Road","버려진 길"
"Abandoned Roar","버려진 포효"
"Abandoned Rock","버려진 바위"
"Abandoned Rod","버려진 막대"
"Abandoned Rook","버려진 성"
"Abandoned Roost","버려진 보금자리"
"Abandoned Rosary","버려진 묵주"
"Abandoned Ruin","버려진 유적"
"Abandoned Rupture","버려진 파열"
"Abandoned Saga","버려진 영웅담"
"Abandoned Salvation","버려진 구원"
