"Corroded Blade","부식된 칼날"
"Longsword","장검"
"Bastard Sword","바스타드"
"Two-Handed Sword","양손검"
"Etched Greatsword","조각된 대검"
"Ornate Sword","화려한 검"
"Spectral Sword","영체 검"
"Curved Blade","곡도"
"Butcher Sword","도살자 검"
"Footman Sword","보병 검"
"Highland Blade","고지대 검"
"Engraved Greatsword","아로새긴 대검"
"Tiger Sword","호랑이 검"
"Wraith Sword","악령 검"
"Lithe Blade","유연한 검"
"Headman's Sword","참수자의 검"
"Reaver Sword","강탈자 검"
"Ezomyte Blade","에조미어 검"
"Vaal Greatsword","바알 대검"
"Lion Sword","사자 검"
"Infernal Sword","지옥불 검"
"Exquisite Blade","정교한 검"
"Rebuking Blade","질책의 칼"
"Blasting Blade","폭발성 칼"
"Banishing Blade","추방의 칼"
"Energy Blade","에너지 칼날"
