"+3 to Level of all Absolution Gems","모든 면죄 젬 레벨 +3"
"+3 to Level of all Alchemist's Mark Gems","모든 연금술사의 징표 젬 레벨 +3"
"+3 to Level of all Ambush Gems","모든 매복 젬 레벨 +3"
"+3 to Level of all Ancestral Cry Gems","모든 선대의 함성 젬 레벨 +3"
"+3 to Level of all Ancestral Protector Gems","모든 선대의 수호자 젬 레벨 +3"
"+3 to Level of all Ancestral Warchief Gems","모든 선대의 대전사 젬 레벨 +3"
"+3 to Level of all Anger Gems","모든 분노 젬 레벨 +3"
"+3 to Level of all Animate Guardian Gems","모든 수호자 기동 젬 레벨 +3"
"+3 to Level of all Animate Weapon Gems","모든 무기 기동 젬 레벨 +3"
"+3 to Level of all Arc Gems","모든 연쇄 번개 젬 레벨 +3"
"+3 to Level of all Arcane Cloak Gems","모든 비전의 망토 젬 레벨 +3"
"+3 to Level of all Arcanist Brand Gems","모든 신비학자 낙인 젬 레벨 +3"
"+3 to Level of all Arctic Armour Gems","모든 한기의 방어구 젬 레벨 +3"
"+3 to Level of all Armageddon Brand Gems","모든 종말의 낙인 젬 레벨 +3"
"+3 to Level of all Artillery Ballista Gems","모든 포대 쇠뇌 젬 레벨 +3"
"+3 to Level of all Assassin's Mark Gems","모든 암살자의 징표 젬 레벨 +3"
"+3 to Level of all Ball Lightning Gems","모든 구형 번개 젬 레벨 +3"
"+3 to Level of all Bane Gems","모든 파멸 젬 레벨 +3"
"+3 to Level of all Barrage Gems","모든 연발 사격 젬 레벨 +3"
"+3 to Level of all Battlemage's Cry Gems","모든 전투마법사의 함성 젬 레벨 +3"
"+3 to Level of all Bear Trap Gems","모든 곰 덫 젬 레벨 +3"
"+3 to Level of all Berserk Gems","모든 광폭 젬 레벨 +3"
"+3 to Level of all Blade Blast Gems","모든 칼날 폭격 젬 레벨 +3"
"+3 to Level of all Blade Flurry Gems","모든 질풍의 칼날 젬 레벨 +3"
"+3 to Level of all Blade Trap Gems","모든 칼날 덫 젬 레벨 +3"
"+3 to Level of all Blade Vortex Gems","모든 칼날 소용돌이 젬 레벨 +3"
"+3 to Level of all Bladefall Gems","모든 칼날비 젬 레벨 +3"
"+3 to Level of all Bladestorm Gems","모든 칼날 폭풍 젬 레벨 +3"
"+3 to Level of all Blast Rain Gems","모든 폭발 화살비 젬 레벨 +3"
