"Two Sockets","홈 2개"
"Three Sockets","홈 3개"
"Four Sockets","홈 4개"
"Five Sockets","홈 5개"
"Six Sockets","홈 6개"
"Two Linked Sockets","연결된 홈 2개"
"Three Linked Sockets","연결된 홈 3개"
"Four Linked Sockets","연결된 홈 4개"
"Five Linked Sockets","연결된 홈 5개"
"Six Linked Sockets","연결된 홈 6개"
"At Least One Red Socket","빨간 홈 최소 1개"
"At Least Two Red Sockets","빨간 홈 최소 2개"
"At Least Three Red Sockets","빨간 홈 최소 3개"
"At Least One Green Socket","초록 홈 최소 1개"
"At Least Two Green Sockets","초록 홈 최소 2개"
"At Least Three Green Sockets","초록 홈 최소 3개"
"At Least One Blue Socket","파란 홈 최소 1개"
"At Least Two Blue Sockets","파란 홈 최소 2개"
"At Least Three Blue Sockets","파란 홈 최소 3개"
"At Least One Red and One Green Socket","빨간 홈 최소 1개, 초록 홈 최소 1개"
"At Least One Red and One Blue Socket","빨간 홈 최소 1개, 파란 홈 최소 1개"
"At Least One Green and One Blue Socket","초록 홈 최소 1개, 파란 홈 최소 1개"
"At Least Two Red and One Green Socket","빨간 홈 최소 2개, 초록 홈 최소 1개"
"At Least Two Red and One Blue Socket","빨간 홈 최소 2개, 파란 홈 최소 1개"
"At Least Two Green and One Red Socket","초록 홈 최소 2개, 빨간 홈 최소 1개"
"At Least Two Green and One Blue Socket","초록 홈 최소 2개, 파란 홈 최소 1개"
"At Least Two Blue and One Green Socket","파란 홈 최소 2개, 초록 홈 최소 1개"
"At Least Two Blue and One Red Socket","파란 홈 최소 2개, 빨간 홈 최소 1개"
"+(15-25) to maximum Life","생명력 최대치 +(15~25)"
"+(16-20)% to Fire Resistance","화염 저항 +(16~20)%"
"+(16-20)% to Cold Resistance","냉기 저항 +(16~20)%"
"+(16-20)% to Lightning Resistance","번개 저항 +(16~20)%"
"+(15-20) to Strength","힘 +(15~20)"
"+(15-20) to Dexterity","민첩 +(15~20)"
"+(15-20) to Intelligence","지능 +(15~20)"
"Remove Crafted Mods","제작한 속성 부여 제거"
"+(21-28)% to Fire Resistance","화염 저항 +(21~28)%"
"+(29-35)% to Fire Resistance","화염 저항 +(29~35)%"
"+(21-28)% to Cold Resistance","냉기 저항 +(21~28)%"
"+(29-35)% to Cold Resistance","냉기 저항 +(29~35)%"
"+(21-28)% to Lightning Resistance","번개 저항 +(21~28)%"
"+(29-35)% to Lightning Resistance","번개 저항 +(29~35)%"
"+(10-12)% to Fire and Cold Resistances","화염 및 냉기 저항 +(10~12)%"
"+(13-16)% to Fire and Cold Resistances","화염 및 냉기 저항 +(13~16)%"
"+(17-20)% to Fire and Cold Resistances","화염 및 냉기 저항 +(17~20)%"
"+(10-12)% to Cold and Lightning Resistances","냉기 및 번개 저항 +(10~12)%"
"+(13-16)% to Cold and Lightning Resistances","냉기 및 번개 저항 +(13~16)%"
"+(17-20)% to Cold and Lightning Resistances","냉기 및 번개 저항 +(17~20)%"
"+(10-12)% to Fire and Lightning Resistances","화염 및 번개 저항 +(10~12)%"
"+(13-16)% to Fire and Lightning Resistances","화염 및 번개 저항 +(13~16)%"
"+(17-20)% to Fire and Lightning Resistances","화염 및 번개 저항 +(17~20)%"
"+(5-8)% to all Elemental Resistances","모든 원소 저항 +(5~8)%"
"+(9-12)% to all Elemental Resistances","모든 원소 저항 +(9~12)%"
"+(4-6)% to all Elemental Resistances/Minions have +(5-8)% to all Elemental Resistances","모든 원소 저항 +(4~6)%/소환수의 모든 원소 저항 +(5~8)%"
"+(7-9)% to all Elemental Resistances/Minions have +(9-12)% to all Elemental Resistances","모든 원소 저항 +(7~9)%/소환수의 모든 원소 저항 +(9~12)%"
"+(21-25) to Strength","힘 +(21~25)"
"+(26-30) to Strength","힘 +(26~30)"
"+(21-25) to Dexterity","민첩 +(21~25)"
"+(26-30) to Dexterity","민첩 +(26~30)"
"+(21-25) to Intelligence","지능 +(21~25)"
"+(26-30) to Intelligence","지능 +(26~30)"
"+(6-9) to all Attributes","모든 능력치 +(6~9)"
"+(10-13) to all Attributes","모든 능력치 +(10~13)"
"(10-14)% increased Movement Speed","이동 속도 (10~14)% 증가"
"(15-19)% increased Movement Speed","이동 속도 (15~19)% 증가"
"(20-24)% increased Movement Speed","이동 속도 (20~24)% 증가"
"+(26-40) to maximum Life","생명력 최대치 +(26~40)"
"+(41-55) to maximum Life","생명력 최대치 +(41~55)"
"+(56-70) to maximum Life","생명력 최대치 +(56~70)"
"+(71-85) to maximum Life","생명력 최대치 +(71~85)"
"(0.3-0.5)% of Physical Attack Damage Leeched as Life","물리 공격 피해의 (0.3~0.5)%를 생명력으로 흡수"
"(0.6-0.8)% of Physical Attack Damage Leeched as Life","물리 공격 피해의 (0.6~0.8)%를 생명력으로 흡수"
"(0.5-0.8)% of Physical Attack Damage Leeched as Life","물리 공격 피해의 (0.5~0.8)%를 생명력으로 흡수"
"(0.2-0.4)% of Physical Attack Damage Leeched as Mana","물리 공격 피해의 (0.2~0.4)%를 마나로 흡수"
"+(55-64) to maximum Mana","마나 최대치 +(55~64)"
"+(65-74) to maximum Mana","마나 최대치 +(65~74)"
"+(75-84) to maximum Mana","마나 최대치 +(75~84)"
"+(85-94) to maximum Mana","마나 최대치 +(85~94)"
"+(35-44) to maximum Mana","마나 최대치 +(35~44)"
"+(45-54) to maximum Mana","마나 최대치 +(45~54)"
"+(25-34) to maximum Mana","마나 최대치 +(25~34)"
"(20-30)% increased Mana Regeneration Rate","마나 재생 속도 (20~30)% 증가"
"(31-40)% increased Mana Regeneration Rate","마나 재생 속도 (31~40)% 증가"
"(40-59)% increased Physical Damage","물리 피해 (40~59)% 증가"
"(60-79)% increased Physical Damage","물리 피해 (60~79)% 증가"
"(80-99)% increased Physical Damage","물리 피해 (80~99)% 증가"
"(100-129)% increased Physical Damage","물리 피해 (100~129)% 증가"
"(37-51)% increased Spell Damage","주문 피해 (37~51)% 증가"
"(52-66)% increased Spell Damage","주문 피해 (52~66)% 증가"
"(67-81)% increased Spell Damage","주문 피해 (67~81)% 증가"
"(82-99)% increased Spell Damage","주문 피해 (82~99)% 증가"
"(25-34)% increased Spell Damage","주문 피해 (25~34)% 증가"
"(35-44)% increased Spell Damage","주문 피해 (35~44)% 증가"
"(45-54)% increased Spell Damage","주문 피해 (45~54)% 증가"
"(55-66)% increased Spell Damage","주문 피해 (55~66)% 증가"
"(11-20)% increased Damage over Time","지속 피해 (11~20)% 증가"
"(21-30)% increased Damage over Time","지속 피해 (21~30)% 증가"
"(15-23)% increased Elemental Damage with Attack Skills","공격 스킬의 원소 피해 (15~23)% 증가"
"(24-32)% increased Elemental Damage with Attack Skills","공격 스킬의 원소 피해 (24~32)% 증가"
"(8-10)% increased Attack Speed","공격 속도 (8~10)% 증가"
"(11-15)% increased Attack Speed","공격 속도 (11~15)% 증가"
"(16-20)% increased Attack Speed","공격 속도 (16~20)% 증가"
"(11-13)% increased Attack Speed","공격 속도 (11~13)% 증가"
"(7-12)% increased Attack Speed","공격 속도 (7~12)% 증가"
"(10-13)% increased Cast Speed","시전 속도 (10~13)% 증가"
"(14-17)% increased Cast Speed","시전 속도 (14~17)% 증가"
"(12-15)% increased Cast Speed","시전 속도 (12~15)% 증가"
"(18-21)% increased Cast Speed","시전 속도 (18~21)% 증가"
"(16-20)% increased Cast Speed","시전 속도 (16~20)% 증가"
"(21-28)% increased Cast Speed","시전 속도 (21~28)% 증가"
"(9-11)% increased Cast Speed","시전 속도 (9~11)% 증가"
"(6-9)% increased Cast Speed","시전 속도 (6~9)% 증가"
"(12-14)% increased Cast Speed","시전 속도 (12~14)% 증가"
