"#% increased Attack Speed","공격 속도 #% 증가"
"{0}% increased Attack Speed","공격 속도 {0}% 증가"
"8% increased Attack Speed","공격 속도 8% 증가"
"9% increased Attack Speed ","공격 속도 9% 증가"
"10% increased Attack Speed","공격 속도 10% 증가"
"11% increased Attack Speed","공격 속도 11% 증가"
"12% increased Attack Speed","공격 속도 12% 증가"
"13% increased Attack Speed","공격 속도 13% 증가"
"While a Unique Enemy is in your Presence, #% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 {0}% 증가"
"While a Unique Enemy is in your Presence, 12% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 12% 증가"
"While a Unique Enemy is in your Presence, 13% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 13% 증가"
"While a Unique Enemy is in your Presence, 14% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 14% 증가"
"While a Unique Enemy is in your Presence, 15% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 15% 증가"
"While a Unique Enemy is in your Presence, 16% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 16% 증가"
"While a Unique Enemy is in your Presence, 17% increased Attack Speed","고유 적이 접근해 있는 동안, 공격 속도 17% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 16% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 16% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 17% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 17% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 18% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 18% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 19% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 19% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 20% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 20% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 21% increased Attack Speed","최종 아틀라스 보스가 접근해 있는 동안, 공격 속도 21% 증가"

"#% increased Critical Strike Chance for Attacks","공격 치명타 확률 #% 증가"
"{0}% increased Critical Strike Chance for Attacks","공격 치명타 확률 {0}% 증가"
"(19-21)% increased Critical Strike Chance for Attacks","공격 치명타 확률 (19-21)% 증가"
"(22-24)% increased Critical Strike Chance for Attacks","공격 치명타 확률 (22-24)% 증가"
"(25-27)% increased Critical Strike Chance for Attacks","공격 치명타 확률 (25-27)% 증가"
"(28-30)% increased Critical Strike Chance for Attacks","공격 치명타 확률 (28-30)% 증가"
"(31-33)% increased Critical Strike Chance for Attacks","공격 치명타 확률 (31-33)% 증가"
"(34-36)% increased Critical Strike Chance for Attacks","공격 치명타 확률 (34-36)% 증가"
"While a Unique Enemy is in your Presence, #% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 {0}% 증가"
"While a Unique Enemy is in your Presence, (31-33)% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 (31-33)% 증가"
"While a Unique Enemy is in your Presence, (34-36)% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 (34-36)% 증가"
"While a Unique Enemy is in your Presence, (37-39)% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 (37-39)% 증가"
"While a Unique Enemy is in your Presence, (40-42)% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 (40-42)% 증가"
