
" raising up to #% as they stay in the Aura for # seconds"," 오라 속에 있는 #초 동안 적이 받는 피해가 #%까지 상승"
"# Accuracy Rating per # Intelligence","지능 #당 정확도 #"
"# Added Passive Skill is Adrenaline","아드레날린 패시브 스킬 #개 추가"
"# Added Passive Skill is Advance Guard","선발대 패시브 스킬 #개 추가"
"# Added Passive Skill is Aerialist","공중 곡예 패시브 스킬 #개 추가"
"# Added Passive Skill is Aerodynamics","공기 역학 패시브 스킬 #개 추가"
"# Added Passive Skill is Agent of Destruction","파괴의 요원 패시브 스킬 #개 추가"
"# Added Passive Skill is Aggressive Defence","공격적인 방어 패시브 스킬 #개 추가"
"# Added Passive Skill is Alchemist","연금술사 패시브 스킬 #개 추가"
"# Added Passive Skill is Ancestral Echo","선대의 메아리 패시브 스킬 #개 추가"
"# Added Passive Skill is Ancestral Guidance","선대의 인도 패시브 스킬 #개 추가"
"# Added Passive Skill is Ancestral Inspiration","선대의 영감 패시브 스킬 #개 추가"
"# Added Passive Skill is Ancestral Might","선대의 완력 패시브 스킬 #개 추가"
"# Added Passive Skill is Ancestral Preservation","선대의 보전 패시브 스킬 #개 추가"
"# Added Passive Skill is Ancestral Reach","선대의 능력 패시브 스킬 #개 추가"
"# Added Passive Skill is Antifreeze","동결 방지 패시브 스킬 #개 추가"
"# Added Passive Skill is Antivenom","독소 방지 패시브 스킬 #개 추가"
"# Added Passive Skill is Arcane Adept","비전 권위자 패시브 스킬 #개 추가"
"# Added Passive Skill is Arcane Heroism","비전 영웅 패시브 스킬 #개 추가"
"# Added Passive Skill is Arcane Pyrotechnics","비전 불꽃 패시브 스킬 #개 추가"
"# Added Passive Skill is Arcing Shot","전호 사격 패시브 스킬 #개 추가"
"# Added Passive Skill is Assert Dominance","지배력 행사 패시브 스킬 #개 추가"
"# Added Passive Skill is Astonishing Affliction","경이적인 고통 패시브 스킬 #개 추가"
"# Added Passive Skill is Basics of Pain","고통의 밑바닥 패시브 스킬 #개 추가"
"# Added Passive Skill is Battle-Hardened","전투 단련 패시브 스킬 #개 추가"
"# Added Passive Skill is Battlefield Dominator","전장의 지배자 패시브 스킬 #개 추가"
"# Added Passive Skill is Blacksmith","대장장이 패시브 스킬 #개 추가"
"# Added Passive Skill is Blanketed Snow","내려앉은 눈 패시브 스킬 #개 추가"
"# Added Passive Skill is Blast-Freeze","폭발-동결 패시브 스킬 #개 추가"
"# Added Passive Skill is Blessed Rebirth","신성한 부활 패시브 스킬 #개 추가"
"# Added Passive Skill is Blessed","축성 패시브 스킬 #개 추가"
"# Added Passive Skill is Blizzard Caller","눈보라 소환사 패시브 스킬 #개 추가"
"# Added Passive Skill is Blood Artist","피 예술가 패시브 스킬 #개 추가"
"# Added Passive Skill is Bloodscent","혈향 패시브 스킬 #개 추가"
"# Added Passive Skill is Blowback","역류 패시브 스킬 #개 추가"
"# Added Passive Skill is Bodyguards","호위병 패시브 스킬 #개 추가"
"# Added Passive Skill is Born of Chaos","혼돈의 탄생 패시브 스킬 #개 추가"
"# Added Passive Skill is Brand Loyalty","충성의 방향 패시브 스킬 #개 추가"
"# Added Passive Skill is Brewed for Potency","잠재력 발산 패시브 스킬 #개 추가"
"# Added Passive Skill is Broadside","측면 공격 패시브 스킬 #개 추가"
"# Added Passive Skill is Brush with Death","스치는 죽음 패시브 스킬 #개 추가"
"# Added Passive Skill is Brutal Infamy","잔인한 악명 패시브 스킬 #개 추가"
"# Added Passive Skill is Burden Projection","괴로운 예감 패시브 스킬 #개 추가"
"# Added Passive Skill is Burning Bright","불타는 광채 패시브 스킬 #개 추가"
"# Added Passive Skill is Calamitous","환란 패시브 스킬 #개 추가"
"# Added Passive Skill is Call to the Slaughter","살육자 호출 패시브 스킬 #개 추가"
"# Added Passive Skill is Capacitor","축전기 패시브 스킬 #개 추가"
"# Added Passive Skill is Careful Handling","세심한 취급 패시브 스킬 #개 추가"
"# Added Passive Skill is Chilling Presence","차가운 존재 패시브 스킬 #개 추가"
"# Added Passive Skill is Chip Away","누그러짐 패시브 스킬 #개 추가"
"# Added Passive Skill is Circling Oblivion","돌고 도는 망각 패시브 스킬 #개 추가"
"# Added Passive Skill is Clarity of Purpose","명료한 목적 패시브 스킬 #개 추가"
"# Added Passive Skill is Cold Conduction","냉기 전도 패시브 스킬 #개 추가"
"# Added Passive Skill is Cold to the Core","파고드는 추위 패시브 스킬 #개 추가"
"# Added Passive Skill is Cold-Blooded Killer","냉혹한 살해자 패시브 스킬 #개 추가"
"# Added Passive Skill is Combat Rhythm","전투 리듬 패시브 스킬 #개 추가"
"# Added Passive Skill is Compound Injury","복합 부상 패시브 스킬 #개 추가"
"# Added Passive Skill is Confident Combatant","대담한 전투원 패시브 스킬 #개 추가"
"# Added Passive Skill is Conjured Wall","상상의 벽 패시브 스킬 #개 추가"
"# Added Passive Skill is Conservation of Energy","에너지 보존 패시브 스킬 #개 추가"
"# Added Passive Skill is Cooked Alive","기진맥진 패시브 스킬 #개 추가"
"# Added Passive Skill is Corrosive Elements","부식성 원소 패시브 스킬 #개 추가"
"# Added Passive Skill is Cremator","소각로 패시브 스킬 #개 추가"
"# Added Passive Skill is Cry Wolf","양치기 소년 패시브 스킬 #개 추가"
"# Added Passive Skill is Cult-Leader","교주 패시브 스킬 #개 추가"
"# Added Passive Skill is Daring Ideas","대담한 사고 패시브 스킬 #개 추가"
"# Added Passive Skill is Dark Ideation","음울한 관념 패시브 스킬 #개 추가"
