
"Add Accuracy","추가 일반 정확도"
"Add Ailment Avoid","추가 기절 회피"
"Add Ailment Duration","추가 원소 상태 이상 지속시간"
"Add Ailment Effect","추가 비-상태 이상 효과"
"Add Armour","추가 방어도"
"Add Aura Effect","추가 비-저주 오라 스킬 효과"
"Add Blind","추가 실명 유발 확률"
"Add Burning Damage","추가 화상 피해"
"Add Cold Resistance","추가 냉기 저항"
"Add Damage From Crits","추가 치명타 피해 감소"
"Add Double Damage","추가 2배 피해"
"Add Elemental Damage","추가 원소 피해"
"Add Endurance Charge On Kill","추가 처치 시 인내 충전"
"Add Evasion","추가 회피"
"Add Faster Burn","추가 점화 피해 가속"
"Add Faster Poison","추가 중독 피해 가속"
"Add Fire Resistance","추가 화염 저항"
"Add Flask Charges","추가 플라스크 충전량"
"Add Flask Effect","추가 플라스크 효과"
"Add Fortify Effect","추가 방어 상승 효과"
"Add Frenzy Charge On Kill","추가 처치 시 격분 충전 획득"
"Add Global Crit Chance","추가 치명타 확률"
"Add Intimidate","추가 위협"
"Add Leech","추가 생명력 흡수"
"Add Life Regen","추가 생명력 재생"
"Add Life","추가 생명력"
"Add Melee Crit Chance","추가 근접 치명타 확률"
"Add Melee Crit Multi","추가 근접 치명타 배율"
"Add Melee Damage","추가 근접 피해"
"Add Minion Damage","추가 소환수 피해"
"Add Minion Movement Speed","추가 소환수 이동 속도"
"Add Movement Speed","추가 이동 속도"
"Add Onslaught","추가 맹공 획득"
"Add Percent Dexterity","추가 민첩 백분률"
"Add Percent Strength","추가 힘 백분율"
"Add Physical Added As Cold","추가 물리 피해를 추가 냉기 피해로 획득"
"Add Physical Added As Fire","추가 물리 피해를 추가 화염 피해로 획득"
"Add Physical Damage","추가 물리 피해"
"Add Physical Taken As Fire","추가 물리 피해를 화염 피해로 받음"
"Add Poison Damage","추가 중독 피해"
"Add Projectile Damage","추가 투사체 피해"
"Add Reduced Stun Threshold","추가 적 기절 한계치 감소"
"Add Speed",:"추가 공격 및 시전 속도"
"Add Stun Durationn","추가 기절 지속시간"
"Add Totem Damage","추가 토템 피해"
"Add Totem Placement Speed","추가 토템 설치 속도"
"Add Warcry Buff Effect","추가 함성 버프 효과"
"Ancient Hex                                                (4-6)% increased Effect of your Curses Curse Skills have 20% increased Skill Effect Duration","고대의 사술"
"Automaton Studies                                                (30-40)% increased Armour (3-4)% additional Physical Damage Reduction","오토마톤 연구"
"Axiom Warden                                                Minions have 80% increased maximum Life","액시옴 간수"
"Baleful Augmentation                                                +50% to Lightning Resistance","사악한 강화"
"Blood-Quenched Bulwark                                                (6-10) Life gained when you Block +5% Chance to Block Attack Damage","피 억제 방벽"
"Bloody Flowers' Rebellion                                                80% increased Cold Damage with Attack Skills","핏빛 꽃송이 봉기"
"Bloody Savagery                                                Bleeding you inflict deals Damage 10% faster (25-35)% increased Physical Damage","피로 물든 야만성"
"Brutal Execution                                                +40% to Critical Strike Multiplier","잔인한 처형"
"Calming Devotion                                                15% of Physical Damage Converted to Cold Damage while you have at least 150 Devotion","냉정한 헌신"
"Chitus' Heart                                                80% increased Lightning Damage with Attack Skills","치투스의 심장"
"City Walls                                                +8% Chance to Block Attack Damage","도시 성벽"
"Cloistered                                                Immune to Elemental Ailments while on Consecrated Ground if you have at least 150 Devotion","격리됨"
"Commanding Presence                                                20% increased Area of Effect of Aura Skills (7-10)% increased effect of Non-Curse Auras from your Skills","위엄있는 존재감"
"Construct Studies                                                (30-40)% increased Evasion Rating (5-7)% chance to Blind Enemies on Hit","구조물 연구"
"Crematorium Worker                                                +50% to Fire Resistance","화장터 일꾼"
"Cult of Chaos                                                +1% to maximum Chaos Resistance +(13-19)% to Chaos Resistance","카오스의 교단"
"Cult of Fire                                                +1% to maximum Fire Resistance +(20-30)% to Fire Resistance","불의 교단"
"Cult of Ice                                                +1% to maximum Cold Resistance +(20-30)% to Cold Resistance","얼음의 교단"
"Cult of Lightning                                                +1% to maximum Lightning Resistance +(20-30)% to Lightning Resistance","번개의 교단"
