
"                Acrimony","                신랄"
"                Acuity","                예민함"
"                Adamant","                견고한 의지"
"                Adder's Touch","                살무사의 접촉"
"                Adjacent Animosity","                근처의 적개심"
"                Admonisher","                꾸짖는 자"
"                Aggressive Bastion","                공격적인 보루"
"                Agility","                민첩함"
"                Alacrity","                기민성"
"                Ambidexterity","                양손잡이"
"                Amplify","                증폭"
"                Ancestral Knowledge","                선대의 지식"
"                Annihilation","                전멸"
"                Anointed Flesh","                기름 부은 살"
"                Arcane Capacitor","                비전 축전기"
"                Arcane Chemistry","                비전의 반응"
"                Arcane Expanse","                비전 팽창"
"                Arcane Focus","                비전의 집중"
"                Arcane Guarding","                비전 수호"
"                Arcane Potency","                비전의 잠재력"
"                Arcane Sanctuary","                비전의 성역"
"                Arcane Will","                비전의 의지"
"                Arcanist's Dominion","                신비학자의 지배력"
"                Arcing Blows","                전호의 일격"
"                Armour and Energy Shield","                방어도 및 에너지 보호막"
"                Armour and Energy Shield, Block Recovery","                방어도 및 에너지 보호막, 막기 회복"
"                Armour and Energy Shield, Link Effect","                방어도 및 에너지 보호막, 연결 효과"
"                Armour and Life Regeneration","                방어도 및 생명력 재생"
"                Armour and Life","                방어도 및 생명력"
"                Arsonist","                방화범"
"                Art of the Gladiator","                검투사의 기교"
"                Ash, Frost and Storm","                재, 서리, 태풍"
"                Aspect of Stone","                돌의 위상"
"                Aspect of the Eagle","                독수리의 위상"
"                Aspect of the Lynx","                스라소니의 위상"
"                Assassination","                암살"
"                Assured Strike","                확실한 타격"
"                Asylum","                보호소"
"                Atrophy","                위축"
"                Avatar of the Hunt","                사냥의 화신"
"                Backstabbing","                암습"
"                Ballistics","                탄도학"
"                Bannerman","                기수"
"                Barbarism","                포악성"
"                Bastion Breaker","                보루 분쇄자"
"                Battle Rouse","                전투 분발"
"                Beef","                근력"
"                Berserking","                광폭화"
"                Blacksmith's Clout","                대장장이의 일격"
"                Blade Barrier","                칼날 방어막"
"                Blade Master","                검의 대가"
"                Blade of Cunning","                교활한 검"
"                Bladedancer","                검의 무희"
"                Blast Radius","                폭발 반경"
"                Blast Waves","                폭발의 물결"
"                Blood Drinker","                피 흡수자"
"                Blood Siphon","                혈액 착취"
"                Bloodless","                무혈"
"                Bloodletting","                출혈 과다"
"                Blunt Trauma","                둔탁한 외상"
"                Bone Breaker","                뼈 분쇄기"
"                Born in the Shadows","                어둠의 자식"
"                Born of Chaos","                육체의 연회"
"                Born to Fight","                타고난 싸움꾼"
"                Bow Accuracy","                활 정확도"
"                Bow Area of Effect","                활 효과 범위"
"                Bow Attack Speed and Accuracy","                활 공격 속도 및 정확도"
"                Bow Attack Speed and Phasing","                활 공격 속도 및 차원능력"
"                Bow Attack Speed","                활 공격 속도"
"                Bow Critical Strike Chance and Multiplier","                활 치명타 확률 및 피해"
"                Bow Damage Over Time","                활 지속 피해"
"                Bow Damage and Accuracy","                활 피해 및 정확도"
"                Bow Damage and Attack Speed","                활 피해 및 공격 속도"
"                Bow Damage and Critical Strike Chance","                활 피해 및 치명타 확률"
"                Bow Damage and Evasion","                활 피해 및 회피"
"                Bow Damage","                활 피해"
"                Bow Mastery","                활 숙련"
"                Brand Critical Strike Chance","                낙인 치명타 확률"
"                Brand Damage and Duration","                낙인 피해 및 지속 시간"
"                Brand Damage","                낙인 피해"
"                Brand Duration","                낙인 지속시간"
"                Brand Equity","                낙인 형평성"
"                Brand Loyalty","                충성의 방향"
"                Brand Mastery","                낙인 숙련"
"                Brand Range and Brand Recall Cooldown Recovery","                낙인 범위 및 낙인 소환 재사용 대기시간 회복"
"                Brand Recall Cooldown Recovery","                낙인 소환 재사용 대기시간 회복"
"                Bravery","                기개"
"                Breath of Flames","                화염의 숨결"
"                Breath of Lightning","                번개의 숨결"
"                Breath of Rime","                흰서리의 숨결"
"                Brewed for Potency","                잠재력 발산"
"                Brink of Death","                생사의 경계"
"                Brinkmanship","                벼랑 끝 전략"
"                Broadside","                측면 공격"
"                Brush with Death","                스치는 죽음"
"                Brutal Blade","                잔인한 검"
"                Brutal Fervour","                잔인한 열정"
"                Brutal Infamy","                잔인한 악명"
"                Burden Projection","                괴로운 예감"
"                Burning Bright","                불타는 광채"
"                Burning Brutality","                불타는 포악함"
"                Burning Damage Multiplier with Attacks","                공격 시 화상 피해 배율"
"                Burning Damage Multiplier","                화상 피해 배율"
"                Butchery","                도살"
"                Calamitous","                환란"
"                Call to Arms","                소집"
"                Call to the Slaughter","                살육자 호출"
"                Cannibalistic Rite","                식인 의식"
"                Capacitor","                비전 축전기"
"                Careful Conservationist","                철저한 보호론자"
"                Careful Handling","                신중한 취급"
"                Cast Speed and Spell Critical Strike Chance","                시전 속도 및 주문 치명타 확률"
"                Cast Speed","                시전 속도"
"                Caster Mastery","                시전 숙련"
"                Cauterisation","                소작"
"                Chain Distance","                연쇄 거리"
"                Chain Reaction","                연쇄 반응"
"                Champion of the Cause","                대의의 용사"
"                Champion","                챔피온"
"                Chance for Extra Fork Projectile","                추가 갈래 투사체 확률"
"                Chance to Ignite","                점화 확률"
"                Chance to Ignite, Freeze and Shock","                점화, 동결, 감전 확률"
"                Chance to Poison with Spells","                주문의 중독 확률"
"                Chaos Damage Over Time Multiplier","                지속 카오스 피해 배율"
"                Chaos Damage and Withered Expiry Rate","                카오스 피해 및 위축 만료 속도"
"                Chaos Damage","                카오스 피해"
"                Chaos Inoculation","                카오스 면역"
"                Chaos Mastery","                카오스 숙련"
"                Chaos Resistance","                카오스 저항"
"                Charge Mastery","                충전 숙련"
"                Charge on Kill","                처치 시 충전"
"                Charisma","                신비한 매력"
"                Chieftain","                치프틴"
"                Chill Effect","                냉각 효과"
"                Chill and Freeze Resistance","                냉각 및 동결 저항"
"                Chilling Presence","                차가운 존재"
"                Chip Away","                누그러짐"
"                Circle of Life","                생명의 순환"
"                Circling Oblivion","                돌고 도는 망각"
"                Clarity of Purpose","                목적의 명확성"
"                Claw Ailment Damage and Poison Chance","                클로 상태 이상 피해 및 중독 확률"
"                Claw Ailment Damage and Poison Duration","                클로 상태 이상 피해 및 중독 지속시간"
"                Claw Attack Speed and Poison Chance","                클로 공격 속도 및 중독 확률"
"                Claw Attack Speed","                클로 공격 속도"
"                Claw Critical Strike Chance and Accuracy","                클로 치명타 확률 및 정확도"
"                Claw Critical Strike Chance and Multiplier","                클로 치명타 확률 및 피해"
"                Claw Critical Strike Chance","                클로 치명타 확률"
"                Claw Critical Strike Multiplier","                클로 치명타 피해 배율"
"                Claw Damage and Attack Speed","                클로 피해 및 공격 속도"
"                Claw Damage","                클로 피해"
"                Claw Mastery","                클로 숙련"
"                Claws of the Falcon","                매의 발톱"
"                Claws of the Hawk","                사냥매의 발톱"
"                Claws of the Magpie","                까치의 발톱"
"                Cleansed Thoughts","                정화된 사고"
"                Cleansed Thoughts","                정화된 생각"
"                Cleaving","                쪼개기"
"                Clever Construction","                교묘한 구조물"
"                Clever Thief","                교묘한 도둑"
"                Cloth and Chain","                천과 사슬"
"                Cold Ailment Duration","                냉기 상태 이상 지속시간"
"                Cold Ailment Effect","                냉기 상태 이상 효과"
"                Cold Conduction","                냉기 전도"
"                Cold Damage Over Time Multiplier","                지속 냉기 피해 배율"
"                Cold Damage and Cold Ailment Effect","                냉기 피해와 냉기 상태 이상 효과"
"                Cold Damage and Freeze Chance","                냉기 피해 및 동결 확률"
"                Cold Damage","                냉기 피해"
"                Cold Mastery","                냉기 숙련"
"                Cold Resistance","                냉기 저항"
"                Cold and Lightning Damage","                냉기 및 번개 피해"
"                Cold to the Core","                파고드는 추위"
"                Cold-Blooded Killer","                냉혹한 살해자"
"                Coldhearted Calculation","                냉담한 계산"
"                Combat Rhythm","                전투 리듬"
"                Combat Stamina","                전투 지구력"
