"Abhorrent","혐오스러운"
"Anarchic","무정부의"
"Antagonist's","적대자의"
"Armoured","장갑을 두른"
"Bipedal","이족보행의"
"Buffered","강해진"
"Burning","불타는"
"Capricious","변덕스러운"
"Ceremonial","의식의"
"Chaining","연쇄의"
"Conflagrating","불태우는"
"Demonic","악마의"
"Emanant","발산하는"
"Empowered","강화된"
"Enthralled","예속된"
"Feasting","연회의"
"Fecund","다산의"
"Feral","야생의"
"Fleet","쾌속의"
"Freezing","동결의"
"Haunting","출몰하는"
"Hexwarded","사술 수호의"
"Impaling","꿰뚫는"
"Impervious","뚫리지 않는"
"Lunar","달의"
"Mirrored","반사된"
"Multifarious","다양한"
"Oppressive","억제하는"
"Otherworldly","이계의"
"Overlord's","대군주의"
"Profane","모독적인"
"Punishing","응징하는"
"Resistant","저항하는"
"Savage","야만적인"
"Shocking","감전의"
"Skeletal","해골의"
"Slithering","기어가는"
"Solar","태양의"
"Splitting","분할의"
"Titan's","거신의"
"Twinned","이중"
"Undead","언데드"
"Unstoppable","폭주"
"Unwavering","변함없는"
