"of Balance","- 균형"
"of Blinding","- 실명"
"of Bloodlines","- 혈맹"
"of Carnage","- 살육"
"of Congealment","- 응고"
"of Consecration","- 신성화"
"of Deadliness","- 치명성"
"of Desecration","- 모독"
"of Doubt","- 의심"
"of Drought","- 가뭄"
"of Elemental Weakness","- 원소 약화"
"of Endurance","- 인내"
"of Enervation","- 피폐"
"of Enfeeblement","- 쇠약"
"of Exposure","- 노출"
"of Fatigue","- 피로"
"of Flames","- 화염"
"of Frenzy","- 격분"
"of Giants","- 거인"
"of Ice","- 얼음"
"of Impedance","- 저해"
"of Impotence","- 무기력"
"of Imprecision","- 비정밀함"
"of Insulation","- 절연"
"of Lightning","- 번개"
"of Miring","- 수렁"
"of Power","- 권능"
"of Rust","- 녹"
"of Smothering","- 질식"
"of Stasis","- 정체"
"of Temporal Chains","- 시간의 사슬"
"of Toughness","- 강인함"
"of Transience","- 덧없음"
"of Venom","- 독액"
"of Vulnerability","- 취약성"
