"Arctic Crimson Jewel of Acrimony","한기의 진홍색 주얼 - 신랄"
"Arctic Crimson Jewel of Adaption","한기의 진홍색 주얼 - 적용"
"Arctic Crimson Jewel of Archery","한기의 진홍색 주얼 - 궁술"
"Arctic Crimson Jewel of Athletics","한기의 진홍색 주얼 - 운동 경기"
"Arctic Crimson Jewel of Berserking","한기의 진홍색 주얼 - 광폭화"
"Arctic Crimson Jewel of Blasting","한기의 진홍색 주얼 - 폭발"
"Arctic Crimson Jewel of Bleeding","한기의 진홍색 주얼 - 출혈"
"Arctic Crimson Jewel of Burning","한기의 진홍색 주얼 - 화상"
"Arctic Crimson Jewel of Combat","한기의 진홍색 주얼 - 전투"
"Arctic Crimson Jewel of Combusting","한기의 진홍색 주얼 - 발화"
"Arctic Crimson Jewel of Craiceann","한기의 진홍색 주얼 - 크라칸"
"Arctic Crimson Jewel of Cunning","한기의 진홍색 주얼 - 교활함"
"Arctic Crimson Jewel of Demolishing","한기의 진홍색 주얼 - 철거"
"Arctic Crimson Jewel of Dexterity","한기의 진홍색 주얼 - 민첩"
"Arctic Crimson Jewel of Efficiency","한기의 진홍색 주얼 - 효율"
"Arctic Crimson Jewel of Entropy","한기의 진홍색 주얼 - 엔트로피"
"Arctic Crimson Jewel of Exsanguinating","한기의 진홍색 주얼 - 방혈"
"Arctic Crimson Jewel of Farrul","한기의 진홍색 주얼 - 페룰"
"Arctic Crimson Jewel of Fending","한기의 진홍색 주얼 - 밀치기"
"Arctic Crimson Jewel of Fenumus","한기의 진홍색 주얼 - 페누무스"
"Arctic Crimson Jewel of Freezing","한기의 진홍색 주얼 - 동결"
"Arctic Crimson Jewel of Grounding","한기의 진홍색 주얼 - 접지"
"Arctic Crimson Jewel of Haemophilia","한기의 진홍색 주얼 - 혈우병"
"Arctic Crimson Jewel of Hexwarding","한기의 진홍색 주얼 - 사술 결계"
"Arctic Crimson Jewel of Impaling","한기의 진홍색 주얼 - 꿰뚫기"
"Arctic Crimson Jewel of Infusion","한기의 진홍색 주얼 - 주입"
"Arctic Crimson Jewel of Insulation","한기의 진홍색 주얼 - 절연"
"Arctic Crimson Jewel of Intelligence","한기의 진홍색 주얼 - 지능"
"Arctic Crimson Jewel of Menace","한기의 진홍색 주얼 - 위험"
"Arctic Crimson Jewel of Neutralisation","한기의 진홍색 주얼 - 중화"
"Arctic Crimson Jewel of Order","한기의 진홍색 주얼 - 질서"
"Arctic Crimson Jewel of Poisoning","한기의 진홍색 주얼 - 중독"
"Arctic Crimson Jewel of Potency","한기의 진홍색 주얼 - 잠재력"
"Arctic Crimson Jewel of Raiding","한기의 진홍색 주얼 - 습격"
"Arctic Crimson Jewel of Recovery","한기의 진홍색 주얼 - 회복"
"Arctic Crimson Jewel of Rejuvenation","한기의 진홍색 주얼 - 회춘"
"Arctic Crimson Jewel of Resistance","한기의 진홍색 주얼 - 저항"
"Arctic Crimson Jewel of Runes","한기의 진홍색 주얼 - 룬"
"Arctic Crimson Jewel of Saqawal","한기의 진홍색 주얼 - 사카왈"
"Arctic Crimson Jewel of Shelter","한기의 진홍색 주얼 - 대피소"
"Arctic Crimson Jewel of Shocking","한기의 진홍색 주얼 - 감전"
"Arctic Crimson Jewel of Soaring","한기의 진홍색 주얼 - 급상승"
"Arctic Crimson Jewel of Spirit","한기의 진홍색 주얼 - 혼백"
"Arctic Crimson Jewel of Stemming","한기의 진홍색 주얼 - 지혈"
"Arctic Crimson Jewel of Strength","한기의 진홍색 주얼 - 힘"
"Arctic Crimson Jewel of Stunning","한기의 진홍색 주얼 - 기절"
"Arctic Crimson Jewel of Venom","한기의 진홍색 주얼 - 독액"
"Arctic Crimson Jewel of Weight","한기의 진홍색 주얼 - 무게"
"Arctic Crimson Jewel of Wounding","한기의 진홍색 주얼 - 상처"
"Arctic Crimson Jewel of Zeal","한기의 진홍색 주얼 - 열의"
"Arctic Crimson Jewel of Zealousness","한기의 진홍색 주얼 - 질투"
"Arctic Crimson Jewel of the Apocalypse","한기의 진홍색 주얼 - 종말"
"Arctic Crimson Jewel of the Beast","한기의 진홍색 주얼 - 야수"
"Arctic Crimson Jewel of the Dragon","한기의 진홍색 주얼 - 용"
"Arctic Crimson Jewel of the Elements","한기의 진홍색 주얼 - 원소"
"Arctic Crimson Jewel of the Flameruler","한기의 진홍색 주얼 - 불의 지배자"
"Arctic Crimson Jewel of the Hearth","한기의 진홍색 주얼 - 난로"
"Arctic Crimson Jewel of the Snowbreather","한기의 진홍색 주얼 - 눈의 숨결"
"Arctic Crimson Jewel of the Stormdweller","한기의 진홍색 주얼 - 태풍의 주인"
"Arctic Crimson Jewel of the Underground","한기의 진홍색 주얼 - 지하"
"Arctic Crimson Jewel","한기의 진홍색 주얼"
"Armoured Crimson Jewel of Acrimony","장갑을 두른 진홍색 주얼 - 신랄"
"Armoured Crimson Jewel of Adaption","장갑을 두른 진홍색 주얼 - 적용"
"Armoured Crimson Jewel of Archery","장갑을 두른 진홍색 주얼 - 궁술"
"Armoured Crimson Jewel of Athletics","장갑을 두른 진홍색 주얼 - 운동 경기"
"Armoured Crimson Jewel of Berserking","장갑을 두른 진홍색 주얼 - 광폭화"
"Armoured Crimson Jewel of Blasting","장갑을 두른 진홍색 주얼 - 폭발"
"Armoured Crimson Jewel of Bleeding","장갑을 두른 진홍색 주얼 - 출혈"
"Armoured Crimson Jewel of Burning","장갑을 두른 진홍색 주얼 - 화상"
"Armoured Crimson Jewel of Combat","장갑을 두른 진홍색 주얼 - 전투"
"Armoured Crimson Jewel of Combusting","장갑을 두른 진홍색 주얼 - 발화"
"Armoured Crimson Jewel of Craiceann","장갑을 두른 진홍색 주얼 - 크라칸"
"Armoured Crimson Jewel of Cunning","장갑을 두른 진홍색 주얼 - 교활함"
"Armoured Crimson Jewel of Demolishing","장갑을 두른 진홍색 주얼 - 철거"
"Armoured Crimson Jewel of Dexterity","장갑을 두른 진홍색 주얼 - 민첩"
"Armoured Crimson Jewel of Efficiency","장갑을 두른 진홍색 주얼 - 효율"
"Armoured Crimson Jewel of Entropy","장갑을 두른 진홍색 주얼 - 엔트로피"
"Armoured Crimson Jewel of Exsanguinating","장갑을 두른 진홍색 주얼 - 방혈"
"Armoured Crimson Jewel of Farrul","장갑을 두른 진홍색 주얼 - 페룰"
"Armoured Crimson Jewel of Fending","장갑을 두른 진홍색 주얼 - 밀치기"
"Armoured Crimson Jewel of Fenumus","장갑을 두른 진홍색 주얼 - 페누무스"
"Armoured Crimson Jewel of Freezing","장갑을 두른 진홍색 주얼 - 동결"
"Armoured Crimson Jewel of Grounding","장갑을 두른 진홍색 주얼 - 접지"
"Armoured Crimson Jewel of Haemophilia","장갑을 두른 진홍색 주얼 - 혈우병"
"Armoured Crimson Jewel of Hexwarding","장갑을 두른 진홍색 주얼 - 사술 결계"
"Armoured Crimson Jewel of Impaling","장갑을 두른 진홍색 주얼 - 꿰뚫기"
"Armoured Crimson Jewel of Infusion","장갑을 두른 진홍색 주얼 - 주입"
"Armoured Crimson Jewel of Insulation","장갑을 두른 진홍색 주얼 - 절연"
"Armoured Crimson Jewel of Intelligence","장갑을 두른 진홍색 주얼 - 지능"
"Armoured Crimson Jewel of Menace","장갑을 두른 진홍색 주얼 - 위험"
"Armoured Crimson Jewel of Neutralisation","장갑을 두른 진홍색 주얼 - 중화"
"Armoured Crimson Jewel of Order","장갑을 두른 진홍색 주얼 - 질서"
