"Nailed Fist","못박은 너클"
"Sharktooth Claw","상어이빨 클로"
"Awl","송곳"
"Cat's Paw","고양이 발"
"Blinder","실명기"
"Timeworn Claw","오래된 클로"
"Sparkling Claw","섬광 클로"
"Fright Claw","섬뜩한 클로"
"Double Claw","이중 클로"
"Thresher Claw","도리깨 클로"
"Gouger","후비개"
"Tiger's Paw","호랑이 발"
"Gut Ripper","내장 거열기"
"Prehistoric Claw","선사 시대 클로"
"Noble Claw","귀족 클로"
"Eagle Claw","독수리 클로"
"Twin Claw","쌍둥이 클로"
"Great White Claw","거대 하얀 클로"
"Throat Stabber","목구멍 송곳"
"Hellion's Paw","헬리온의 발"
"Eye Gouger","눈 후비개"
"Vaal Claw","바알 클로"
"Imperial Claw","제국 클로"
"Terror Claw","공포의 클로"
"Gemini Claw","쌍생아 클로"
"Shadow Fangs","그림자 송곳니"
"Malign Fangs","해악의 송곳니"
"Void Fangs","공허의 송곳니"
