"Charan's Sword","차란의 검"
"Golden Blade","황금 검"
"Rusted Sword","녹슨 검"
"Copper Sword","구리 검"
"Sabre","사브르"
"Broad Sword","넓은날 검"
"War Sword","전쟁 검"
"Ancient Sword","고대의 검"
"Elegant Sword","고상한 검"
"Dusk Blade","황혼의 검"
"Hook Sword","갈고리 검"
"Variscite Blade","바리사이트 검"
"Cutlass","커틀라스"
"Baselard","베이스라드"
"Battle Sword","전투용 검"
"Elder Sword","장로의 검"
"Graceful Sword","우아한 검"
"Twilight Blade","여명의 검"
"Grappler","격투자"
"Gemstone Sword","원석 검"
"Corsair Sword","해적의 검"
"Gladius","글라디우스"
"Legion Sword","군단 검"
"Vaal Blade","바알 칼날"
"Eternal Sword","영원의 검"
"Midnight Blade","심야의 칼날"
"Tiger Hook","호랑이 갈고리"
"Fickle Spiritblade","변화무쌍한 정령의 칼"
"Capricious Spiritblade","변덕스러운 정령의 칼"
"Anarchic Spiritblade","무질서한 정령의 칼"
"Energy Blade","에너지 칼날"
