"Driftwood Club","표류목 곤봉"
"Tribal Club","부족 곤봉"
"Spiked Club","가시 박힌 곤봉"
"Stone Hammer","쇄석 망치"
"War Hammer","전쟁 망치"
"Bladed Mace","톱날 철퇴"
"Ceremonial Mace","의식용 철퇴"
"Dream Mace","몽환의 철퇴"
"Wyrm Mace","아룡 철퇴"
"Petrified Club","석화된 곤봉"
"Barbed Club","가시 돋친 곤봉"
"Rock Breaker","바위 분쇄기"
"Battle Hammer","전투용 망치"
"Flanged Mace","테두리 철퇴"
"Ornate Mace","화려한 철퇴"
"Phantom Mace","혼령 철퇴"
"Dragon Mace","용 철퇴"
"Ancestral Club","선대의 곤봉"
"Tenderizer","고기 망치"
"Gavel","의사봉"
"Legion Hammer","군단 망치"
"Pernach","페르나치"
"Auric Mace","금빛 철퇴"
"Nightmare Mace","악몽의 철퇴"
"Behemoth Mace","거대한 철퇴"
"Flare Mace","조명탄 철퇴"
"Crack Mace","균열 철퇴"
"Boom Mace","우뢰 철퇴"
