"k","v"
"Player modifiers:","玩家加成:"
"Enemy modifiers:","敵人加成:"
"Enemy resistance: {0}%","敵人抗性: {0}%"
"Total Increased:","總提高:"
"Total More:","總計額外提高:"
"Effective DPS Mod:","有效 DPS Mod:"
"Skill Hit Damage:","技能擊中傷害:"
"Skill Average Hit:","技能平均擊中:"
"MH Total Increased:","總提高(主手):"
"MH Total More:","總計額外提高(主手):"
"MH Eff. DPS Mod:","DPS Mod (主手):"
"MH Hit Damage:","平均傷害(主手):"
"MH Average Hit:","平均擊中(主手):"
"OH Total Increased:","總提高(副手):"
"OH Total More:","總計額外提高(副手)"
"OH Eff. DPS Mod:","DPS Mod (副手):"
"OH Hit Damage:","平均傷害(副手):"
"OH Average Hit:","平均擊中(副手):"
"Skill DPS:","技能 DPS:"
"Damage over Time:","持續傷害:"
"MH Inc. Att. Speed:","提高攻擊速度(主手):"
"MH More Att. Speed:","額外提高攻擊速度(主手):"
"MH Att. per second:","每秒攻擊(主手):"
"OH Inc. Att. Speed:","提高攻擊速度(副手):"
"OH More Att. Speed:","額外提高攻擊速度(副手):"
"OH Att. per second:","每秒攻擊(副手):"
"Attacks per second:","每秒攻擊:"
"Inc. Cast Speed:","提高施法速度:"
"More Cast Speed:","額外提高施法速度:"
"Casts per second:","每秒施法:"
"Cast time:","施法時間:"
"Inc. Crit Chance:","提高暴擊幾率:"
"Crit Effect Mod:","有效暴擊 Mod:"
"MH Inc. Crit Chance:","提高暴擊率(主手):"
"MH Crit Chance:","暴擊率(主手):"
"MH Crit Multiplier:","暴擊傷害(主手):"
"MH Crit Effect Mod:","有效暴擊 Mod(主手):"
"OH Inc. Crit Chance:","提高暴擊率(副手):"
"OH Crit Chance:","暴擊率(副手):"
"OH Crit Multiplier:","暴擊傷害(副手):"
"OH Crit Effect Mod:","有效暴擊 Mod(副手):"
"MH Accuracy:","命中(主手):"
"MH Chance to Hit:","擊中機率(主手):"
"Enemy Evasion modifiers:","敵人躲避加成:"
"OH Accuracy:","命中(副手):"
"OH Chance to Hit:","擊中機率(副手):"
"Duration Mod:","持續時間 Mod:"
"Skill Duration:","技能持續時間:"
"Secondary Duration:","附加持續時間:"
"Aura Duration:","光環持續時間:"
"Reserve Duration:","保留持續時間:"
"Max Chain Count:","最大連鎖數:"
"Projectile Count:","投射物數:"
"Pierce Count:","穿刺數:"
"Proj. Speed Mod:","速度 Mod(投射物):"
"Area of Effect Mod:","範圍效果 Mod:"
"Radius:","半徑:"
"Secondary Radius:","附加範圍:"
"Weapon Range:","武器範圍:"
"Trap Throw Time:","陷阱投鄭時間:"
"Active Trap Limit:","陷阱激活時間:"
"Trap Trigg. Radius:","陷阱觸發範圍:"
"Area of Effect modifiers:","有效範圍加成:"
"Mine Laying Time:","地雷引爆時間:"
"Active Mine Limit:","地雷激活時間:"
"Mine Deton. Radius:","地雷引爆範圍:"
"Mine Aura Radius:","地雷光環範圍:"
"Totem Place Time:","圖騰放置時間:"
"Active Totem Limit:","圖騰激活時間:"
"Totem Life Mod:","生命 Mod(圖騰):"
"Totem Life:","圖騰生命:"
"Chance to Bleed:","幾率流血:"
"Main Hand:","主手:"
"Off Hand:","副手:"
"MH Source Physical:","物理來源(主手):"
"OH Source Physical:","物理來源(副手):"
"Bleed Duration:","流血持續時間:"
"Chance to Poison:","幾率中毒:"
"Source Physical:","物理來源:"
"Source Lightning:","閃電來源:"
"MH Source Lightning:","閃電來源(主手):"
"OH Source Lightning:","閃電來源(副手):"
"Source Cold:","冰霜來源:"
"MH Source Cold:","冰霜來源(主手):"
"OH Source Cold:","冰霜來源(副手手):"
"Source Fire:","火燄來源:"
"MH Source Fire:","火燄來源(主手):"
"OH Source Fire:","火燄來源(副手):"
"Source Chaos:","混沌來源:"
"MH Source Chaos:","混沌來源(主手)"
"OH Source Chaos:","混沌來源(副手)"
"Poison Duration:","中毒持續時間:"
"Dmg. per Poison:","平均傷害(中毒):"
"Max Poison Stacks:","最大中毒層數:"
"Chance to Ignite:","概率點燃:"
"Ignite Duration:","點燃持續時間:"
"Dmg. per Ignite:","平均傷害(點燃):"
"Max Ignite Stacks:","最大點燃次數:"
"Decay Duration:","腐化持續時間:"
"Life Leech Cap:","生命偷取極限:"
"Life Leech Rate:","生命偷取速度:"
"Totem modifiers:","圖騰加成:"
"Life Leech per Hit:","生命偷取(每次擊中):"
"Life Gain Rate:","生命擊回速率:"
"Life Gain per Hit:","生命擊回(每次擊中):"
"ES Leech Cap:","ES 偷取極限:"
"ES Leech Rate:","ES 偷取速度:"
"ES Leech per Hit:","ES 偷取(每次擊中):"
"ES Gain Rate:","ES 擊回速率:"
"ES Gain per Hit:","ES 擊回(每次擊中):"
"Mana Leech Cap:","魔力偷取極限:"
"Mana Leech Rate:","魔力偷取速度:"
"Mana Leech per Hit:","魔力偷取(每次擊中):"
"Mana Gain Rate:","魔力擊回速率:"
"Mana Gain per Hit:","魔力擊回(每次擊中):"
"Chance to Shock:","幾率感電:"
"Shock Dur. Mod:","感電持續時間 Mod:"
