"Player modifiers:",玩家加成:
"Enemy modifiers:",敵人加成:
"Enemy resistance: {0}%","敵人抗性: {0}%"
"Total Increased:",總提高:
"Total More:",總計額外提高:
"Effective DPS Mod:","有效 DPS Mod:"
"Skill Hit Damage:",技能擊中傷害:
"Skill Average Hit:",技能平均擊中:
"MH Total Increased:",總提高(主手):
"MH Total More:",總計額外提高(主手):
"MH Eff. DPS Mod:","DPS Mod (主手):"
"MH Hit Damage:",平均傷害(主手):
"MH Average Hit:",平均擊中(主手):
"OH Total Increased:",總提高(副手):
"OH Total More:",總計額外提高(副手)
"OH Eff. DPS Mod:","DPS Mod (副手):"
"OH Hit Damage:",平均傷害(副手):
"OH Average Hit:",平均擊中(副手):
"Skill DPS:","技能 DPS:"
"Damage over Time:",持續傷害:
"MH Inc. Att. Speed:",提高攻擊速度(主手):
"MH More Att. Speed:",額外提高攻擊速度(主手):
"MH Att. per second:",每秒攻擊(主手):
"OH Inc. Att. Speed:",提高攻擊速度(副手):
"OH More Att. Speed:",額外提高攻擊速度(副手):
"OH Att. per second:",每秒攻擊(副手):
"Attacks per second:",每秒攻擊:
"Inc. Cast Speed:",提高施法速度:
"More Cast Speed:",額外提高施法速度:
"Casts per second:",每秒施法:
"Cast time:",施法時間:
"Inc. Crit Chance:",提高暴擊幾率:
"Crit Effect Mod:","有效暴擊 Mod:"
"MH Inc. Crit Chance:",提高暴擊率(主手):
"MH Crit Chance:",暴擊率(主手):
"MH Crit Multiplier:",暴擊傷害(主手):
"MH Crit Effect Mod:","有效暴擊 Mod(主手):"
"OH Inc. Crit Chance:",提高暴擊率(副手):
"OH Crit Chance:",暴擊率(副手):
"OH Crit Multiplier:",暴擊傷害(副手):
"OH Crit Effect Mod:","有效暴擊 Mod(副手):"
"MH Accuracy:",命中(主手):
"MH Chance to Hit:",擊中機率(主手):
"Enemy Evasion modifiers:",敵人躲避加成:
"OH Accuracy:",命中(副手):
"OH Chance to Hit:",擊中機率(副手):
"Duration Mod:","持續時間 Mod:"
"Skill Duration:",技能持續時間:
"Secondary Duration:",附加持續時間:
"Aura Duration:",光環持續時間:
"Reserve Duration:",保留持續時間:
"Max Chain Count:",最大連鎖數:
"Projectile Count:",投射物數:
"Pierce Count:",穿刺數:
"Proj. Speed Mod:","速度 Mod(投射物):"
"Area of Effect Mod:","範圍效果 Mod:"
Radius:,半徑:
"Secondary Radius:",附加範圍:
"Weapon Range:",武器範圍:
"Trap Throw Time:",陷阱投鄭時間:
"Active Trap Limit:",陷阱激活時間:
"Trap Trigg. Radius:",陷阱觸發範圍:
"Area of Effect modifiers:",有效範圍加成:
"Mine Laying Time:",地雷引爆時間:
"Active Mine Limit:",地雷激活時間:
"Mine Deton. Radius:",地雷引爆範圍:
"Mine Aura Radius:",地雷光環範圍:
"Totem Place Time:",圖騰放置時間:
"Active Totem Limit:",圖騰激活時間:
"Totem Life Mod:","生命 Mod(圖騰):"
"Totem Life:",圖騰生命:
"Chance to Bleed:",幾率流血:
"Main Hand:",主手:
"Off Hand:",副手:
"MH Source Physical:",物理來源(主手):
"OH Source Physical:",物理來源(副手):
"Bleed Duration:",流血持續時間:
"Chance to Poison:",幾率中毒:
"Source Physical:",物理來源:
"Source Lightning:",閃電來源:
"MH Source Lightning:",閃電來源(主手):
"OH Source Lightning:",閃電來源(副手):
"Source Cold:",冰霜來源:
"MH Source Cold:",冰霜來源(主手):
"OH Source Cold:",冰霜來源(副手手):
"Source Fire:",火燄來源:
"MH Source Fire:",火燄來源(主手):
"OH Source Fire:",火燄來源(副手):
"Source Chaos:",混沌來源:
"MH Source Chaos:",混沌來源(主手)
"OH Source Chaos:",混沌來源(副手)
"Poison Duration:",中毒持續時間:
"Dmg. per Poison:",平均傷害(中毒):
"Max Poison Stacks:",最大中毒層數:
"Chance to Ignite:",概率點燃:
"Ignite Duration:",點燃持續時間:
"Dmg. per Ignite:",平均傷害(點燃):
"Max Ignite Stacks:",最大點燃次數:
"Decay Duration:",腐化持續時間:
"Life Leech Cap:",生命偷取極限:
"Life Leech Rate:",生命偷取速度:
"Totem modifiers:",圖騰加成:
"Life Leech per Hit:",生命偷取(每次擊中):
"Life Gain Rate:",生命擊回速率:
"Life Gain per Hit:",生命擊回(每次擊中):
"ES Leech Cap:","ES 偷取極限:"
"ES Leech Rate:","ES 偷取速度:"
"ES Leech per Hit:","ES 偷取(每次擊中):"
"ES Gain Rate:","ES 擊回速率:"
"ES Gain per Hit:","ES 擊回(每次擊中):"
"Mana Leech Cap:",魔力偷取極限:
"Mana Leech Rate:",魔力偷取速度:
"Mana Leech per Hit:",魔力偷取(每次擊中):
"Mana Gain Rate:",魔力擊回速率:
"Mana Gain per Hit:",魔力擊回(每次擊中):
"Chance to Shock:",幾率感電:
"Shock Dur. Mod:","感電持續時間 Mod:"
"Chance to Freeze:",幾率冰凍:
"Freeze Dur. Mod:","冰凍持續時間 Mod:"
"Stun Threshold:",眩暈門檻:
"Stun Duration:",眩暈持續時間:
"MH Stun Threshold:",眩暈門檻(主手):
"MH Stun Duration:",眩暈持續時間(主手):
"OH Stun Threshold:",眩暈門檻(副手:)
"OH Stun Duration:",眩暈持續時間(副手):
"Knockback Chance:",擊退幾率:
"Knockback Dist.:",擊退距離:
"Inc. Item Quantity:",物品數量(提高):
"Inc. Item Rarity:",物品稀有度(提高):
"Str. Required:",力量需求:
"Dex. Required:",敏捷需求:
"Int. Required:",智慧需求:
"Base from Gear:",基礎(物品):
"Inc. from Tree:",提高(天賦):
"Total Base:",總基礎:
Total:,總計:
Reserved:,保留:
Unreserved:,未保留:
Regen:,秒回:
Sources:,來源:
"Recovery modifiers:",回復加成:
"Increased Regen:",秒回(提高):
"Base from Armours:",基礎(胸甲):
"Global Base:",全域基礎:
"Recharge Rate:",回復速度:
"Recharge Delay:",回復間隔:
"Phys. Dmg. Reduct:",傷害減免(物理):
"Fire Resist:",火燄抗性:
"Cold Resist:",冰霜抗性:
"Lightning Resist:",閃電抗性:
"Chaos Resist:",混沌抗性:
"Physical Hit/DoT:","物理 擊中/持續:"
"Fire Hit/DoT:","火燄 擊中/持續:"
"Cold Hit/DoT:","冰霜 擊中/持續:"
"Lightning Hit/DoT:","閃電 擊中/持續:"
"Chaos Hit/DoT:","混沌 擊中/持續:"
"Mind over Matter:",心靈升華:
"Movement Speed:",移動速度:
"Dodge Chance:",躲避幾率:
"Spell Ddg. Chance:",躲避幾率(法術攻擊):
"Melee Avoid Ch.:",閃避幾率(近戰攻擊):
"Projectile Avoid Ch.:",閃避幾率(投射物攻擊):
"Spell Avoid Ch.:",閃避幾率(法術攻擊):
"Stun Avoid Chance:",閃避幾率(眩暈):
"Block Duration:",格擋持續時間:
"Light Radius Mod:",光環範圍:
"Leech & Gain on Hit:","擊中 (偷取 & 擊回):"
"Skill Damage over Time:",技能持續傷害:
"Attack/Cast Rate:","攻擊/施法 速度:"
Crits:,暴擊:
Accuracy:,命中:
"Skill type-specific Stats:",技能類型統計:
Bleed:,流血:
Poison:,中毒:
Ignite:,點燃:
Decay:,腐化:
"Other Effects:",其它效果:
"Damage Taken:",承受傷害:
"Hit Damage taken as:",承受擊中傷害:
"Other Defences:",其它屬性:
Life:,生命:
Mana:,魔力:
Evasion:,閃避值:
Resists:,抗性:
Value,數值
Stat,狀態
Skill,技能
Notes,天賦點
Source,來源
"Source Name",來源名稱
Item,物品
Global,全域
Total,總計
Buff,增益效果
Inc/red,增/減
More/less,多/少
"Converted Damage",轉換傷害
"{0}% to Fire","{0}% 到火燄"
"{0}% to Cold","{0}% 到冰霜"
"{0}% to Lightning","{0}% 到閃電"
"{0}% to Chaos","{0}% 到混沌"
"Physical Damage Gain As Fire",物理傷害的額外火燄
"Physical Damage Gain As Cold",物理傷害的額外冰霜
"Physical Damage Gain As Lightning",物理傷害的額外閃電
"Physical Damage Gain As Chaos",物理傷害的額外混沌
Base,基礎
Type,類型
Mitigation,減免
Final,最終
Resist,抗性
Elemental,元素
"Total from Tree:",天賦總計:
"Total from Item:",物品總計:
"Total from Base:",基礎總計:
"Total from Skill:",技能總計:
"Total from Dexterity:",敏捷總計:
"Total from Intelligence:",智慧總計:
"Total from Strength:",力量總計:
"{0} base","{0} 基礎"
From,來自
Player,玩家
"Total damage:",總傷害:
"Damage from Crits:",來自暴擊傷害:
"Damage from Non-crits:",來自非暴擊傷害:
"Reduction from Armour: {0}%","護甲減少: {0}%"
"View Skill Details:",技能詳情:
"Show Minion Stats:",顯示召喚物統計:
"Minion Skill:",召喚物技能:
"Calculation Mode:",計算模式:
Attributes:,屬性
"Aura and Buff Skills:",光環和技能增益效果
"Combat Buffs:",戰鬥增益:
"Curses and Debuffs:",詛咒和減益效果:
Physical:,物理:
Lightning:,閃電:
Cold:,冰霜:
Fire:,火燄:
Chaos:,混沌:
"Base damage:",基礎傷害:
Conversions:,轉換列表:
"Portion of total damage: {0}%","總傷害佔比: {0}%"
"Hit damage:",擊中傷害:
"Skill types",技能類型
"= {0} per second","= {0} 每秒"
"{0}% increased","提高 {0}%"
"{0}% reduced","降低 {0}%"
"{0}% more","額外提高 {0}%"
"{0}% less","額外降低 {0}%"
"Average enemy evasion: {0}","敵人閃避值: {0}"
"Approximate hit chance: {0}%","命中幾率: {0}%"
"Recharge rate:",回復速度:
"Max: {0}%","上限: {0}%"
"Total: {0}%","總計: {0}%"
"Average enemy accuracy: {0}","敵人命中值: {0}"
"Approximate evade chance: {0}%","閃避幾率: {0}%"
"Elemental Resist",元素抗性
"Fire Resist Max",火燄抗性上限
"Fire Resist",火燄抗性
"Cold Resist Max",冰霜抗性上限
"Cold Resist",冰霜抗性
"Lightning Resist Max",閃電抗性上限
"Lightning Resist",閃電抗性
"Chaos Resist Max",混沌抗性上限
"Chaos Resist",混沌抗性
"Physical Damage Reduction",物理傷害降低
"{0}% as Physical","{0}% 物理"
"{0}% as Fire","{0}% 為火燄"
"{0}% as Cold","{0}% 為冰霜"
"{0}% as Lightning","{0}% 為閃電"
"{0}% as Chaos","{0}% 為混沌"
Resistance,抗性
"Active Minion Limit",最大召喚物數量
"Average Hit",平均擊中
"Average Damage",平均傷害
"Attack Rate",攻擊速率
"Cast Rate",施法速率
"Hit Rate",擊中速率
"Trap Throwing Time",陷阱投鄭間隔
"Trap Cooldown",陷阱冷卻
"Totem Placement Time",圖騰放置間隔
"Crit Chance",暴擊率
"Effective Crit Chance",有效暴擊率
"Crit Multiplier",暴擊傷害
"Hit Chance",命中率
"Total DPS","總 DPS"
"DoT DPS","持續傷 DPS"
"Bleed DPS","流血 DPS"
"Ignite DPS","點燃 DPS"
"Total Damage per Ignite",每次點燃總傷害
"Total DPS inc. Ignite","提高總 DPS (點燃)"
"Average Dmg. inc. Ignite","提高平均傷害 (點燃)"
"Poison DPS","中毒 DPS"
"Total Damage per Poison",每次中毒總傷害
"Total DPS inc. Poison","提高總 DPS (中毒)"
"Average Dmg. inc. Poison","提高平均傷害 (中毒)"
"Decay DPS","腐蝕 DPS"
"Skill Cooldown",技能冷卻
"AoE Radius","AoE 範圍"
"Mana Cost",魔力消耗
"Strength Required",力量需求
"Dexterity Required",敏捷需求
"Intelligence Required",智慧需求
"Total Life",最大生命
"%Inc Life from Tree",生命加成(天賦)
"Unreserved Life",未保留生命
"Life Leech/On Hit Rate",生命偷取(擊中速率)
"Life Leech/Gain per Hit",生命偷取(擊中獲得)
"Total Mana",最大魔力
"%Inc Mana from Tree",魔力加成(天賦)
"Unreserved Mana",未保留魔力
"Mana Regen",魔力回復
"Mana Leech/On Hit Rate",魔力偷取(擊中速率)
"Mana Leech/Gain per Hit",魔力偷取(擊中獲得)
"%Inc ES from Tree","ES 加成(天賦)"
"Energy Shield Regen",能量護盾回復
"Energy Shield Recharge",能量護盾回復
"ES Leech/On Hit Rate","ES 偷取(擊中速率)"
"ES Leech/Gain per Hit","ES 偷取(擊中獲得)"
"Evasion rating",閃避值
"%Inc Evasion from Tree",閃避加成(天賦)
"Evade Chance",閃避幾率
"Melee Evade Chance",近戰閃避幾率
"Projectile Evade Chance",投射物閃避幾率
"Attack/Cast Rate",攻擊/施法速度
"%Inc Armour from Tree",護甲加成(天賦)
"Phys. Damage Reduction",物理傷害減免
"Movement Speed Modifier",移動速度加成
"Block Chance",攻擊格擋幾率
"Spell Block Chance",法術格擋幾率
"Attack Dodge Chance",攻擊躲避幾率
"Spell Dodge Chance",法術躲避幾率
"Fire Res. Over Max",火燄抗性(溢出)
"Cold Res. Over Max",冰霜抗性(溢出)
"Lightning Res. Over Max",閃電抗性(溢出)
"Chaos Res. Over Max",混沌抗性(溢出)
"DPS inc. Poison","提高 DPS(中毒)"
Speed,速度
"{0} to {1} (total damage)","{0} 至 {1} (總傷害)"
"x {0} {1}% converted to other damage types)","x {0} ({1}% 轉換為其他傷害類型)"
"{0} (base throwing speed)","{0} (基礎投射物速度)"
"{0} (increased/reduced throwing speed)","{0} (提高/降低 投射物速度)"
"{0} (more/less throwing speed)","{0} (額外提高/額外降低 投射物速度)"
"{0} (action speed modifier)","{0} (動作速度加成)"
"{0} (base)","{0} (基礎)"
"/ {0} (increased/reduced cooldown recovery)","/ {0} (提高/降低 冷卻回復)"
"{0} (base placement speed)","{0} (基礎放置速度)"
"{0} (increased/reduced placement speed)","{0} (提高/降低 放置速度)"
"{0} (more/less placement speed)","{0} (額外提高/額外降低 放置速度)"
" (base life for a level {0} monster)"," ({0} 級怪物基礎生命)"
"x {0} (life multiplier for this totem type)","x {0} (此類圖騰生命倍率)"
"x {0} (totem life modifier)","x {0} (圖騰生命加成)"
"x {0} (duration modifier)","x {0} (持續時間加成)"
"/ {0} (debuff expires slower/faster)","/ {0} (減益效果時間 更快/更慢)"
"{0} (base mana cost)","{0} (基礎魔力消耗)"
"x {0} (mana cost multiplier)","x {0} (魔力消耗倍率)"
"x {0} (increased/reduced mana cost)","x {0} (提高/降低 魔力消耗)"
"x {0} (more/less mana cost)","x {0} (額外提高/額外降低 魔力消耗)"
"- %d (- mana cost)","- {0} (- 魔力消耗)"
"x {0} (portion of instances created by main hand)","x {0} (主手實例部分)"
"x {0} (portion of instances created by off hand)","x {0} (副手實例部分)"
"x {0} (increased/reduced)","x {0} (提高/降低)"
"x {0} (more/less)","x {0} (額外提高/額外降低)"
"{0} + {0} (base)","{0} + {0} (基礎)"
