"Resistance penalty:",抗性懲罰:
"Act {0}{1}%)","第 {0} 章 {1}%)"
"Enemy Level:",敵人等級:
"This overrides the default enemy level used to estimate your hit and evade chances.",設置敵人等級會影響你的命中和閃避幾率估算.
"The default level is your character level, capped at 84, which is the same value","默認等級和你的角色等級相同(最高84級),此設定與遊戲相同"
"used in-game to calculate the stats on the character sheet.",在遊戲中用于計算角色狀態面板
"Enemy Physical Hit Damage:",敵人擊中物理傷害:
"This overrides the default damage amount used to estimate your physical damage reduction from armour.",設置傷害量會影響你來自護甲的物理傷害減免估算
"The default is 1.5 times the enemy's base damage, which is the same value","默認值為敵人基礎傷害的 1.5 倍,此設定與遊戲相同"
"used in-game to calculate the estimate shown on the character sheet.",在遊戲中用于估算角色面板.
"Enemy Corpse Life:",敵人靈柩生命:
"Sets the maximum life of the target corpse for Detonate Dead and similar skills.","設置 【爆靈術】 等類似的技能的靈柩最大生命"
"For reference, a level 70 monster has 6449 base life, and a level 80 monster has 12466.","僅供參考: 70 級怪物基礎生命為 6449, 80 級怪物為 12466."
"Are you always stationary?",是否處于靜止狀態?
"Are you always moving?",是有處于移動狀態?
"Are you always on Full Life?",是否處于滿血狀態?
"You will automatically be considered to be on Full Life if you have Chaos Innoculation,","如果你有【異靈之體】將視為滿血狀態,"
"but you can use this option to force it if necessary.",如有必要可用此選項強制應用.
"Are you always on Low Life?",是否處于瀕血狀態?
"You will automatically be considered to be on Low Life if you have at least 65% life reserved,","如果你至少有 65% 生命保留將視為瀕血狀態,"
"Are you always on Full Energy Shield?",是否處于滿盾狀態?
"Do you always have Energy Shield?",是否一直有能量護盾?
"Are your minions always on Full Life?",你的召喚物是否處于滿血狀態?
"Ignite calculation mode:",點燃計算模式:
"Controls how the base damage for ignite is calculated:",控制如何計算點燃的基礎傷害:
"Average Damage: Ignite is based on the average damage dealt, factoring in crits and non-crits.","平均傷害: 基于平均傷害的點燃,包括暴擊和非暴擊."
"Crit Damage: Ignite is based on crit damage only.","暴擊傷害: 僅基于暴擊傷害的點燃."
"When In Combat",戰鬥狀態
"Crit Damage",暴擊傷害
"Aspect of the Avian:",【鳥之勢】:
"Is Avian's Might active?",【鳥之力量】激活狀態?
"Is Avian's Flight active?",【鳥之鬥魄】激活狀態?
"Aspect of the Cat:",【貓之勢】:
"Is Cat's Stealth active?",【貓之隱匿】激活狀態?
"Is Cat's Agility active?",【貓之敏捷】激活狀態?
"Aspect of the Crab:",【蟹之勢】:
"# of Crab Barriers (if not maximum):","# 層【深海屏障】 (如果不是最大值)"
"Aspect of the Spider:",【蛛之勢】:
"# of Spider's Web Stacks:","# 層蜘蛛網"
"Banner Skills:",旗幟技能:
"Is Banner Planted?",旗幟已放置?
"Banner Stages:",旗幟階層:
Bladestorm:,【劍刃風暴】:
"Are you in a Bloodstorm?",是否處于血姿態?
"Are you in a Sandstorm?",是否處于沙姿態?
"Brand Skills:",烙印技能:
"Is Attached to the Enemy?",烙印已附著的敵人?
"Dark Pact:",【暗夜血契】:
"Skeleton Life:",魔侍生命:
"Sets the maximum life of the skeleton that is being targeted.",設置目標魔侍的最大生命.
Deathmark:,【死亡印記】:
"Is the enemy Deathmarked?",【死亡印記】的敵人?
"Feeding Frenzy:",【狂噬】:
"Is Feeding Frenzy active?",【狂噬】激活狀態?
"Feeding Frenzy grants:","【狂噬】 獲得:"
"10% more Minion Damage","額外提高 10% 召喚物傷害"
"15% increased Minion Movement Speed","提高 15% 召喚物移動速度"
"15% increased Minion Attack and Cast Speed","提高 15% 召喚物攻擊和施法速度"
"Herald of Agony:",【苦痛之捷】:
"# of Virulence Stacks:","# 【毒力】層數:"
"Ice Nova:",【冰霜新星】:
"Cast on Frostbolt?",施放【寒冰彈】?
Infusion:,【灌注】:
"Is Infusion active?",【灌注】激活狀態?
Innervate:,【閃電支配】:
"Is Innervation active?",【閃電支配】激活狀態?
Intensify:,【法術凝聚】:
"# of Intensity:","# 【法術凝聚】:"
"Meat Shield:",【肉盾】:
"Is the enemy near you?",附近的敵人?
"Raise Spectre:",【召喚靈體】:
"Spectre Level:",靈體等級:
"Sets the level of the raised spectre.",設置來提高靈體等級
